"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","FC","FD","FF","FS","G","I","PE","RB","CA","SG","FT","DD","GS","DP","PP","CV","GC"
"211","Rafael Vaz dos Santos","Rafael Vaz","https://s.glbimg.com/es/sde/f/2017/04/24/8665d503716b53b97bdd0f56d8ef0f39_FORMATO.png",73421,17,"FLA","zag","Nulo",0,8.14,0,3.56,10,"Flamengo",NA,4,4,4,4,NA,NA,33,11,NA,4,NA,NA,NA,NA,NA,NA,NA
"212","Gabriel Santana Pinto","Gabriel","https://s.glbimg.com/es/sde/f/2017/04/24/60215745abe8839e6e6df43fbe447e2c_FORMATO.png",73515,17,"FLA","ata","Nulo",0,3.51,0,-2,1,"Flamengo",NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"213","Éderson Alves Ribeiro Silva","Éderson","https://s.glbimg.com/es/sde/f/2017/05/26/1055c168d6c49467f567c27a6e48707a_FORMATO.png",73446,17,"ATL","ata","Nulo",-0.5,3.55,-0.16,1.99,8,"Atlético-PR",NA,3,6,5,4,1,6,14,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Rildo de Andrade Felicissimo","Rildo","https://s.glbimg.com/es/sde/f/2017/04/24/e5f2da8b1a9007eed27b4e7ae55d64c2_FORMATO.png",73635,17,"COR","ata","Provável",4.6,8.5,0.71,3.75,15,"Coritiba",1,14,3,4,41,3,4,33,14,2,NA,NA,NA,NA,NA,NA,NA,NA
"215","José Rogério de Oliveira","Rogério","https://s.glbimg.com/es/sde/f/2016/08/31/6340e77cb18143e838ae03747e59b459_FORMATO.png",73540,17,"SPO","ata","Contundido",0,6.21,0,2.23,11,"Sport",1,5,5,3,22,1,NA,31,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Wellington Silva Sanches Aguiar","Wellington Nem","https://s.glbimg.com/es/sde/f/2017/02/18/a23f9ff565dd24baa68eeca4461e1b86_FORMATO.png",73619,17,"SAO","ata","Nulo",-0.1,7.13,-0.77,1.52,10,"São Paulo",NA,10,1,2,20,1,4,9,5,2,NA,NA,NA,NA,NA,NA,NA,NA
"217","Douglas Moreira Pires","Douglas Pires","https://s.glbimg.com/es/sde/f/2017/02/21/9cdc2aa37a7bf02a1d821f703b2ca8dd_FORMATO.png",73517,17,"BAH","gol","Nulo",0,4,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Lucas David Pratto","Lucas Pratto","https://s.glbimg.com/es/sde/f/2017/02/18/2291ee0103b8af06799aee5ab657b149_FORMATO.png",73649,17,"SAO","ata","Provável",2,15.08,-0.41,4.15,17,"São Paulo",2,22,15,29,20,5,3,56,7,2,NA,NA,NA,NA,NA,1,NA,NA
"219","Jose Roberto Assunção de Araújo Filho","Zé Roberto","https://s.glbimg.com/es/sde/f/2015/05/05/c256c7bb8eaa471312899e7b00524ef0_FORMATO.jpeg",80076,17,"PON","ata","Nulo",0,4,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","John Lennon Silva Santos","Lennon","https://s.glbimg.com/es/sde/f/2017/05/03/d072e8eaeab8333c007a7cfb0af5aef4_FORMATO.png",73869,17,"CRU","lat","Nulo",0,4.03,0,0.53,3,"Cruzeiro",NA,4,NA,NA,1,NA,NA,11,2,1,1,NA,NA,NA,NA,NA,NA,NA
"221","Rodrigo Caio Roquette Russo","Rodrigo Caio","https://s.glbimg.com/es/sde/f/2016/05/01/76c4acf534a1a01c922cb927acebb6e7_FORMATO.png",73800,17,"SAO","zag","Provável",1.8,9.1,0.16,2.6,13,"São Paulo",NA,11,NA,2,8,NA,1,27,22,5,3,NA,NA,NA,NA,NA,NA,NA
"222","Marcos Vinícius de Jesus Araújo","Marcos Vinícius","https://s.glbimg.com/es/sde/f/2017/07/14/dc2cc428ed447e7b65ffc2a9b54c02e8_FORMATO.png",73721,17,"BOT","mei","Nulo",15.9,7.71,3.03,3.9,6,"Botafogo",NA,8,3,1,6,2,NA,13,3,NA,NA,1,NA,NA,NA,NA,NA,NA
"223","Geuvânio Santos Silva","Geuvânio","https://s.glbimg.com/es/sde/f/2017/06/27/36ee7e4d8d65bb36e49c895ce0c5fe6c_FORMATO.png",73896,17,"FLA","ata","Contundido",0,9.97,0,2.08,4,"Flamengo",NA,2,2,NA,8,NA,NA,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA
"224","Jomar Herculano Lourenço","Jomar","https://s.glbimg.com/es/sde/f/2017/04/24/75a0f0b187c040aec0d014550c2e765e_FORMATO.png",73876,17,"VAS","zag","Provável",0.4,1.5,-0.2,0,5,"Vasco",NA,7,NA,NA,5,NA,NA,6,4,2,NA,NA,NA,NA,NA,NA,NA,NA
"225","Rodinei Marcelo de Almeida","Rodinei","https://s.glbimg.com/es/sde/f/2017/04/24/43537a69f2836d2da77aebc068eacd46_FORMATO.png",73992,17,"FLA","lat","Nulo",0,10.01,0,4.71,9,"Flamengo",2,15,2,2,8,1,1,21,9,2,4,NA,NA,NA,NA,NA,NA,NA
"226","Walisson Moreira Farias Maia","Walisson Maia","https://s.glbimg.com/es/sde/f/2017/04/24/60830998fb2fc54f511a8d2b5c3a6f25_FORMATO.png",73991,17,"COR","zag","Contundido",0,4.1,0,0.83,6,"Coritiba",NA,2,1,NA,1,NA,NA,10,5,NA,1,NA,NA,NA,NA,NA,NA,1
"227","Alison Lopes Ferreira","Alison","https://s.glbimg.com/es/sde/f/2016/05/01/5cbe20aa51d06aff64b21ed5d19bf070_FORMATO.png",73974,17,"SAN","mei","Provável",4.8,4.31,0.54,1.85,8,"Santos",NA,6,NA,NA,7,NA,NA,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","René Ferreira dos Santos","René","https://s.glbimg.com/es/sde/f/2017/02/20/7d48128069f52815dcd4acb921336cab_FORMATO.png",73978,17,"VIT","zag","Nulo",4.2,2.73,0.66,1.5,9,"Vitória",NA,15,1,1,7,NA,NA,17,7,3,3,NA,NA,NA,NA,NA,NA,NA
"229","Luiz Antonio de Souza Soares","Luiz Antonio ","https://s.glbimg.com/es/sde/f/2017/04/24/470fd6292588f4385e9c32a3aeef091c_FORMATO.png",74060,17,"CHA","mei","Suspenso",-2.6,7.5,-1.01,1.81,16,"Chapecoense",1,16,10,2,7,2,1,32,6,3,NA,2,NA,NA,NA,NA,NA,NA
"230","Michael Antonio Arroyo Mina","Arroyo","https://s.glbimg.com/es/sde/f/2017/07/24/c4c6af5bdd03f02c1d29ada3f5d33e39_FORMATO.png",74134,17,"GRE","ata","Contundido",-0.5,4.43,-1.57,-0.5,1,"Grêmio",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","Alejandro Abraham Guerra Morales","Alejandro Guerra","https://s.glbimg.com/es/sde/f/2017/02/19/fa873321a36da270244cf230ac534a50_FORMATO.png",74213,17,"PAL","mei","Nulo",8.6,14.18,-0.15,5.29,11,"Palmeiras",3,21,7,7,17,4,1,42,12,3,NA,NA,NA,NA,NA,NA,NA,NA
"232","Guilherme Costa Machado Silveira","Guilherme Costa","https://s.glbimg.com/es/sde/f/2017/04/06/ea33443d8c666f61b78424b726238c89_FORMATO.png",74081,17,"VAS","mei","Provável",-0.1,5.21,-0.74,2.95,6,"Vasco",2,4,NA,NA,7,1,NA,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"233","Roberto Junior Fernández Torres","Gatito Fernández","https://s.glbimg.com/es/sde/f/2017/04/17/f87ed5808d28ef2d0446cae72617f143_FORMATO.png",74061,17,"BOT","gol","Provável",1.7,19.79,-3.24,6.07,11,"Botafogo",NA,NA,NA,NA,2,NA,NA,4,NA,1,4,NA,21,14,2,NA,NA,NA
"234","José Paolo Guerrero Gonzales","Paolo Guerrero","https://s.glbimg.com/es/sde/f/2017/04/24/9f5565190d6c37e9959d0747a4ef6ea0_FORMATO.png",75295,17,"FLA","ata","Provável",-1.3,11.45,-0.81,5.16,12,"Flamengo",2,47,10,14,32,5,10,27,11,3,NA,NA,NA,NA,NA,NA,NA,NA
"235","José Élber Pimentel da Silva","Élber","https://s.glbimg.com/es/sde/f/2016/04/29/26c6c8beefa35a5684da137e0e90f6dc_FORMATO.png",74140,17,"CRU","mei","Provável",0.8,4.67,0.02,2.52,10,"Cruzeiro",NA,3,4,6,18,1,1,22,3,NA,NA,1,NA,NA,NA,NA,NA,NA
"236","Jorge de Moura Xavier","Jorginho","https://s.glbimg.com/es/sde/f/2017/04/28/24064c0ab4f724a2a4252d37f02b7223_FORMATO.png",77544,17,"ATL","mei","Provável",-1.9,4.57,-0.83,1.19,15,"Atlético-GO",NA,24,1,4,30,1,2,54,16,1,NA,NA,NA,NA,NA,NA,1,NA
"237","Bruno Brígido de Oliveira","Bruno Brígido","https://s.glbimg.com/es/sde/f/2017/04/24/9375fdbbdc6ab66a27f8b4860036ebc1_FORMATO.png",77556,17,"COR","gol","Nulo",0,3.48,0,-2,1,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"238","Edigar Junio Teixeira Lima ","Edigar Junio","https://s.glbimg.com/es/sde/f/2017/07/28/8fb3bca6fb3b7df0b863748403f1b763_FORMATO.png",74271,17,"BAH","ata","Contundido",0,9.52,0,2.75,10,"Bahia",NA,14,5,2,16,2,1,19,4,NA,NA,1,NA,NA,NA,NA,NA,NA
"239","Eugenio Esteban Mena Reveco","Mena","https://s.glbimg.com/es/sde/f/2017/05/01/b7a4044c003473042da5143f01b9924e_FORMATO.png",77967,17,"SPO","lat","Provável",4.7,5.94,0.5,7.13,7,"Sport",4,16,1,1,6,1,3,16,15,2,3,NA,NA,NA,NA,NA,1,NA
"240","Yago Fernando da Silva","Yago","https://s.glbimg.com/es/sde/f/2017/05/02/30bd8e94c27dbf6a20661d6027251a81_FORMATO.png",77500,17,"PON","zag","Contundido",0,6,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","César Bernardo Dutra","César","https://s.glbimg.com/es/sde/f/2017/04/24/8a28cbc657b6535a81d1cbad583afa48_FORMATO.png",78086,17,"FLA","gol","Nulo",0,3,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","Leandro da Silva","Leandro Silva","https://s.glbimg.com/es/sde/f/2017/04/28/c86a46095a1f0ab0e29d11fbbb7e80a1_FORMATO.png",77529,17,"AVA","lat","Provável",1.9,7.89,-1.2,3.09,16,"Avaí",2,23,4,6,15,NA,2,75,21,1,6,NA,NA,NA,NA,NA,1,NA
"243","Gustavo Henrique Vernes","Gustavo Henrique","https://s.glbimg.com/es/sde/f/2017/05/02/ebaacf4dc046774b9b9f3003c35ba254_FORMATO.png",78248,17,"SAN","zag","Nulo",0,6,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","Madson Ferreira dos Santos","Madson","https://s.glbimg.com/es/sde/f/2017/04/06/e6c07b2728a78e64ae8c1ed0d4ce9d6a_FORMATO.png",78077,17,"VAS","lat","Nulo",0,3.34,0,2.12,4,"Vasco",NA,1,NA,1,7,NA,NA,12,2,NA,1,NA,NA,NA,NA,NA,NA,NA
"245","Jonathan Copete Valencia","Copete","https://s.glbimg.com/es/sde/f/2017/05/02/38284b2eba393aa675069aff35def330_FORMATO.png",77959,17,"SAN","ata","Provável",0.9,6.2,-0.52,2.97,13,"Santos",NA,20,4,9,15,5,7,44,8,3,NA,NA,NA,NA,NA,NA,NA,NA
"246","Douglas Ricardo Grolli","Douglas Grolli","https://s.glbimg.com/es/sde/f/2017/04/24/ef04c0af64af6a9173d17eb922ff55e4_FORMATO.png",78407,17,"CHA","zag","Dúvida",0,6.17,0,1.72,8,"Chapecoense",NA,14,NA,1,1,1,1,13,7,3,2,NA,NA,NA,NA,NA,NA,NA
"247","Willian Souza Arão da Silva","Willian Arão","https://s.glbimg.com/es/sde/f/2017/04/24/afcab1eabef219480495acfdf11be8c3_FORMATO.png",78478,17,"FLA","mei","Nulo",1.9,8.29,-0.87,2.72,11,"Flamengo",1,14,3,1,10,NA,NA,35,21,1,NA,NA,NA,NA,NA,NA,NA,NA
"248","Marcos de Paula Dutra","Marcos","https://s.glbimg.com/es/sde/f/2017/04/27/f3d654b20ab83c212a2a18dab411b2e0_FORMATO.png",78495,17,"ATL","gol","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","Arnaldo Manoel de Almeida","Arnaldo","https://s.glbimg.com/es/sde/f/2017/05/19/ff6d87578b92fff5c4d0ff68a60fc859_FORMATO.png",78497,17,"BOT","lat","Contundido",0,8.9,0,4.32,13,"Botafogo",1,17,1,NA,17,NA,NA,39,24,2,5,NA,NA,NA,NA,NA,NA,NA
"250","Thomás Jaguaribe Bedinelli","Thomás","https://s.glbimg.com/es/sde/f/2017/06/13/bac4f7b0e6270fedb590658d950365b2_FORMATO.png",77551,17,"SPO","mei","Nulo",4.7,7.09,0.62,3,7,"Sport",NA,9,1,2,14,1,1,10,8,1,NA,NA,NA,NA,NA,NA,NA,NA
"251","Miller Alejandro Bolaños Reasco","Miller Bolaños","https://s.glbimg.com/es/sde/f/2016/05/10/e06dcc7c5fd2af9342d95cf318b5f431_FORMATO.png",78371,17,"GRE","ata","Contundido",0,10.62,0,-0.3,2,"Grêmio",NA,2,NA,NA,1,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","Jean Mota Oliveira de Sousa","Jean Mota","https://s.glbimg.com/es/sde/f/2017/05/02/6f250e3510eb4a5cf33223d20befd72c_FORMATO.png",78548,17,"SAN","mei","Provável",3.3,5.22,-0.2,3.17,15,"Santos",2,7,3,5,13,NA,NA,36,24,1,NA,NA,NA,NA,NA,NA,NA,NA
"253","Gabriel Bordinhão Gasparotto","Gabriel Gasparotto","https://s.glbimg.com/es/sde/f/2016/06/28/e51699e690f5560939a50fdbb0077328_FORMATO.jpeg",78839,17,"SAN","gol","Nulo",0,2,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","Gabriel Girotto Franco","Gabriel","https://s.glbimg.com/es/sde/f/2017/04/19/a258f3bd57275dfde4062d53fea35126_FORMATO.png",78605,17,"COR","mei","Provável",1.3,7.52,-0.21,2.33,16,"Corinthians",NA,25,3,NA,18,1,NA,35,29,2,NA,NA,NA,NA,NA,NA,1,NA
"255","Bryan Silva Garcia","Bryan","https://s.glbimg.com/es/sde/f/2016/05/25/5b9b24c19e03fc40d70c6a4523ef44ae_FORMATO.png",78632,17,"CRU","lat","Provável",0,3.43,0,-0.15,2,"Cruzeiro",NA,3,NA,NA,2,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","Ramiro Moschen Benetti","Ramiro","https://s.glbimg.com/es/sde/f/2017/04/23/01565939c1e8813f9c1cc7cf9faeb903_FORMATO.png",78715,17,"GRE","mei","Provável",-1.5,15.54,-0.63,4.32,14,"Grêmio",3,28,7,8,23,4,2,55,17,4,NA,NA,NA,NA,NA,NA,NA,NA
"257","Paulo Luiz Beraldo Santos","Paulinho","https://s.glbimg.com/es/sde/f/2017/04/24/c8f73d0634bf7a30846535c217610b26_FORMATO.png",78578,17,"VIT","ata","Nulo",0,3.44,0,0.15,8,"Vitória",NA,6,4,5,3,NA,1,23,3,3,NA,1,NA,NA,NA,NA,NA,NA
"258","Reinaldo Manoel da Silva","Reinaldo","https://s.glbimg.com/es/sde/f/2017/04/25/e786acca731a4a88d0504f8b3802f4d8_FORMATO.png",78850,17,"CHA","lat","Provável",0.8,11.6,-1.36,3.87,15,"Chapecoense",1,16,3,4,12,3,1,70,21,2,3,NA,NA,NA,NA,NA,NA,NA
"259","Douglas Alan Schuck Friedrich","Douglas Friedrich","https://s.glbimg.com/es/sde/f/2017/04/25/f36c749de572dbbaf8a43b8b71309942_FORMATO.png",78584,17,"AVA","gol","Provável",-3.5,7.74,-3.87,11.94,8,"Avaí",NA,NA,NA,NA,3,NA,NA,NA,NA,1,5,NA,26,7,1,NA,NA,NA
"260","Renê Rodrigues Martins","Renê","https://s.glbimg.com/es/sde/f/2017/04/24/bff75e6319bfeb83e043d1949b127c6e_FORMATO.png",78445,17,"FLA","lat","Nulo",0,7,0,3.87,7,"Flamengo",NA,11,NA,1,7,NA,NA,18,14,NA,2,NA,NA,NA,NA,NA,NA,NA
"261","Luiz Felipe do Nascimento dos Santos","Luiz Felipe","https://s.glbimg.com/es/sde/f/2017/05/02/3b3fe001039a93d9ea75e58f817381cf_FORMATO.png",79035,17,"SAN","zag","Contundido",0,5,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","Andrés Lorenzo Ríos","Andrés Ríos","https://s.glbimg.com/es/sde/f/2017/07/11/a3b10554f6896bd025dfd3eaf5f9ce80_FORMATO.png",81684,17,"VAS","ata","Nulo",0,4,0,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","Pedro Henrique de Castro Silva","Pedro Castro","https://s.glbimg.com/es/sde/f/2017/06/09/95ff53b7b15a7d6719bae7807804fc39_FORMATO.png",78840,17,"AVA","mei","Provável",1.6,2.16,0.01,1.09,12,"Avaí",1,11,1,6,19,NA,NA,25,6,2,NA,NA,NA,NA,NA,NA,NA,NA
"264","Thiago dos Santos","Thiago Santos","https://s.glbimg.com/es/sde/f/2017/04/18/2d51cc56ccd1291d116060e00ca663b6_FORMATO.png",78855,17,"PAL","mei","Nulo",0,6.02,0,2.8,9,"Palmeiras",NA,28,NA,1,17,NA,1,19,26,4,NA,NA,NA,NA,NA,NA,NA,NA
"265","Marcos Antônio Almeida Silva","Marcão Silva","https://s.glbimg.com/es/sde/f/2017/04/27/1fdbc57e3b15e752149d530d7425e5d3_FORMATO.png",78856,17,"ATL","mei","Nulo",0,8.4,0,3.63,14,"Atlético-GO",NA,26,NA,4,10,NA,NA,29,44,5,NA,NA,NA,NA,NA,NA,NA,NA
"266","Petros Mateus dos Santos Araújo","Petros","https://s.glbimg.com/es/sde/f/2017/07/26/76e3ac62bea2e73cc7ef41c4584caa71_FORMATO.png",78891,17,"SAO","mei","Provável",-0.1,8.8,-1.25,2.71,7,"São Paulo",1,15,NA,1,9,NA,1,10,14,2,NA,NA,NA,NA,NA,NA,NA,NA
"267","William Augusto Alves Conserva","William Alves","https://s.glbimg.com/es/sde/f/2017/07/24/a04e286cc1d7af7332d8b257ac7310db_FORMATO.png",79032,17,"ATL","zag","Nulo",0,2,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","Leandro Marcos Pereira","Leandro Pereira","https://s.glbimg.com/es/sde/f/2017/02/22/377457c54b890731e2cfdb9013dc7397_FORMATO.png",78968,17,"SPO","ata","Contundido",0,5.86,0,2.3,2,"Sport",NA,NA,1,NA,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","Moisés Ribeiro Santos","Moisés Ribeiro","https://s.glbimg.com/es/sde/f/2017/04/25/c7b046cc3c9a420d4047bb8d6d4b6570_FORMATO.png",78991,17,"CHA","mei","Provável",1.1,3.17,0.43,0.52,5,"Chapecoense",NA,5,NA,1,4,NA,NA,7,5,2,NA,NA,NA,NA,NA,NA,NA,NA
"270","Marinaldo dos Santos Oliveira","Naldo","https://s.glbimg.com/es/sde/f/2017/05/02/466546b7c0d2a31683ba60341c08ef34_FORMATO.png",78897,17,"PON","mei","Provável",0,8.21,0,4.84,8,"Ponte Preta",NA,12,1,2,8,1,NA,17,22,1,NA,NA,NA,NA,NA,NA,NA,NA
"271","Antonio Thomaz Santos de Barros","Thomaz","https://s.glbimg.com/es/sde/f/2017/04/28/df8a959dc2f3885176d2c02e5d69a246_FORMATO.png",79041,17,"SAO","mei","Nulo",0,5.16,0,2.94,8,"São Paulo",1,9,1,2,7,1,2,5,8,1,NA,NA,NA,NA,NA,NA,NA,NA
"272","Luiz Ricardo Alves","Sassá","https://s.glbimg.com/es/sde/f/2017/06/22/e7d5b223d7908854c81e04f0e7e0fcc0_FORMATO.png",79578,17,"CRU","ata","Provável",-2.6,6.12,-0.97,2.45,9,"Cruzeiro",NA,14,2,4,14,2,3,7,4,1,NA,NA,NA,NA,NA,NA,NA,NA
"273","Alex Roberto Santana Rafael ","Alex Muralha","https://s.glbimg.com/es/sde/f/2017/04/24/3fb41a018fb2c9084cb4800fba9b6607_FORMATO.png",79066,17,"FLA","gol","Nulo",0,4.22,0,2.7,5,"Flamengo",NA,1,NA,NA,3,NA,NA,5,NA,NA,2,NA,4,4,NA,NA,NA,NA
"274","Eduardo Henrique da Silva","Eduardo Henrique","https://s.glbimg.com/es/sde/f/2017/05/10/45db49dd3d8dceb223dc6d2afdf72801_FORMATO.png",78994,17,"ATL","mei","Nulo",0,2.01,0,0.32,6,"Atlético-PR",NA,12,2,1,7,NA,NA,16,5,1,NA,NA,NA,NA,NA,NA,NA,NA
"275","Lucas Silva Borges","Lucas Silva","https://s.glbimg.com/es/sde/f/2017/04/06/f4598cc08e1804689d22d338ac6f7d9b_FORMATO.png",79701,17,"CRU","mei","Provável",0,4.89,0,0.66,8,"Cruzeiro",NA,13,1,2,7,NA,NA,19,8,1,NA,NA,NA,NA,NA,NA,NA,NA
"276","Ricardo César Dantas da Silva","Ricardo Silva","https://s.glbimg.com/es/sde/f/2017/04/27/e409f5c1c4551cf8457b204abc422a73_FORMATO.png",79334,17,"ATL","zag","Nulo",0,2.94,0,0.28,4,"Atlético-GO",NA,8,NA,2,1,NA,NA,11,5,1,NA,NA,NA,NA,NA,NA,NA,NA
"277","Tiago Pagnussat","Tiago ","https://s.glbimg.com/es/sde/f/2017/07/28/9fb65a9e8f5831d924c08c76337f8967_FORMATO.png",79042,17,"BAH","zag","Provável",2.9,9.8,-0.07,2.65,16,"Bahia",NA,24,1,NA,19,1,5,37,15,3,6,NA,NA,NA,NA,NA,NA,NA
"278","Odair Souza ","Nenén","https://s.glbimg.com/es/sde/f/2017/04/25/cf7dd5cb7c3b2349fc0a5145f894f495_FORMATO.png",79892,17,"CHA","mei","Nulo",0,2.45,0,1.37,7,"Chapecoense",NA,2,2,1,4,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","Jucimar Lima Pacheco","Abuda","https://s.glbimg.com/es/sde/f/2017/04/27/2e749e5bfdd8d0bbc67e5441e8c73ff6_FORMATO.png",79193,17,"ATL","mei","Nulo",0,5.39,0,3.3,1,"Atlético-GO",NA,NA,NA,NA,1,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","Antônio Carlos Cunha Capocasali Júnior","Antônio Carlos ","https://s.glbimg.com/es/sde/f/2017/04/18/5b3fcb4c6c1625d8e38d933619f9e42a_FORMATO.png",79702,17,"PAL","zag","Nulo",0,2.66,0,-0.37,3,"Palmeiras",NA,2,NA,NA,4,NA,NA,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"281","Brenner Marlos Varanda de Oliveira","Brenner","https://s.glbimg.com/es/sde/f/2017/07/21/eba301f5c887ff5cf7a3f94b5f6eb918_FORMATO.png",80080,17,"BOT","ata","Nulo",1,4.25,-0.75,1,1,"Botafogo",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","Nadson da Silva Almeida","Nadson","https://s.glbimg.com/es/sde/f/2017/04/25/9c0263cf980f89da4cca8b6bc120585f_FORMATO.png",80140,17,"CHA","mei","Contundido",0,0.76,0,-0.07,3,"Chapecoense",NA,1,NA,1,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","Helton Brant Aleixo Leite","Helton Leite","https://s.glbimg.com/es/sde/f/2016/05/20/5fd57defcef29c5cd30495ee3eb4e67f_FORMATO.png",79973,17,"BOT","gol","Nulo",0,3.32,0,1,1,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
"284","Fabiano Leissmann","Fabiano","https://s.glbimg.com/es/sde/f/2017/04/18/ccce9b9aad578e5dc82e1d75b816fa25_FORMATO.png",79887,17,"PAL","lat","Nulo",0,5.09,0,1.65,4,"Palmeiras",NA,3,1,2,1,NA,NA,5,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"285","Jadson Alves dos Santos","Jadson","https://s.glbimg.com/es/sde/f/2017/05/02/e17a729351ce9e086c7f6fdaf907c355_FORMATO.png",80129,17,"PON","mei","Provável",0,4.91,0,1.49,11,"Ponte Preta",NA,12,1,3,11,NA,NA,20,14,2,NA,NA,NA,NA,NA,NA,NA,NA
"286","Matheus Mancini","Matheus Mancini","https://s.glbimg.com/es/sde/f/2017/05/19/5bca9708b9e4c88d08f62e3935fe8cb4_FORMATO.png",80124,17,"ATL","zag","Nulo",0,1.25,0,-0.05,4,"Atlético-MG",NA,9,NA,1,2,NA,NA,6,2,2,1,NA,NA,NA,NA,NA,NA,NA
"287","Matheus Caldeira Vidotto de Oliveira","Matheus Vidotto","https://s.glbimg.com/es/sde/f/2017/04/23/0469f80ea84703c3178371ab0fa1dd2f_FORMATO.png",80286,17,"COR","gol","Nulo",0,3,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","Lucas Fonseca da Silva","Lucas Fonseca","https://s.glbimg.com/es/sde/f/2017/07/28/2ee15f7fbeefac55e5b773d1cd8ffa0a_FORMATO.png",80189,17,"BAH","zag","Provável",8.6,6.54,1.57,3.48,13,"Bahia",1,6,1,1,16,NA,NA,22,13,1,5,NA,NA,NA,NA,NA,1,NA
"289","Marcos Junio Lima dos Santos","Marcos Junior","https://s.glbimg.com/es/sde/f/2017/07/25/0ff5aea8f677cff80e0a7a93745453e5_FORMATO.png",80188,17,"FLU","ata","Provável",0,2.55,0,0.34,8,"Fluminense",NA,3,1,1,5,1,2,9,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"290","Cleberson Martins de Souza","Cleberson","https://s.glbimg.com/es/sde/f/2017/04/23/91e18bf15401259ce1466dbccb56d6ae_FORMATO.png",80281,17,"ATL","zag","Nulo",0,2.69,0,-1.2,1,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291","Glaybson Yago Souza Lisboa","Yago Pikachu","https://s.glbimg.com/es/sde/f/2017/04/24/3021726139e41d1a3fe9ada22058c738_FORMATO.png",80196,17,"VAS","lat","Nulo",0,9.41,0,4.2,12,"Vasco",1,9,4,4,12,2,1,29,9,NA,3,NA,NA,NA,NA,NA,NA,NA
"292","Gilberto Moraes Júnior","Gilberto ","https://s.glbimg.com/es/sde/f/2017/07/11/6b5408cf6a95787a4a68b548a6d31752_FORMATO.png",80313,17,"VAS","lat","Provável",7.1,12.13,-0.51,5.33,14,"Vasco",1,18,1,6,20,NA,2,71,46,3,2,1,NA,NA,NA,NA,NA,NA
