"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","FC","FD","FS","FT","PE","RB","SG","DD","GS","A","FF","I","G","PP","GC","CV","DP"
"347","Renan de Oliveira Fonseca","Renan Fonseca","https://s.glbimg.com/es/sde/f/2016/05/20/8a933b2d225a7b56e6267a2148ab68d0_FORMATO.png",72037,32,"BOT","zag","Nulo",0,3.3,0,5,1,"Botafogo",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"348","Diego Renan de Lima Ferreira","Diego Renan","https://s.glbimg.com/es/sde/f/2017/04/24/6cdeb7e2779c671c69473bc599c9eab2_FORMATO.png",68725,32,"CHA","lat","Nulo",0,4.69,0,1.7,7,"Chapecoense",1,5,3,6,NA,17,2,1,NA,NA,1,3,NA,NA,NA,NA,NA,NA
"349","Uillian Correia Granemann","Uillian Correia","https://s.glbimg.com/es/sde/f/2017/04/01/f5509c6e7e2831171a293b2e8b83e1bc_FORMATO.png",72007,32,"VIT","mei","Provável",0,6.18,0,3.24,28,"Vitória",6,51,4,15,1,51,56,NA,NA,NA,NA,14,1,3,NA,NA,NA,NA
"350","João Paulo Mior","João Paulo","https://s.glbimg.com/es/sde/f/2017/04/17/6b2d599609eccc7671f1c4a23739c2d7_FORMATO.png",72168,32,"BOT","mei","Provável",0,3.65,0,2.77,25,"Botafogo",6,44,8,51,1,96,36,NA,NA,NA,4,9,1,1,NA,NA,NA,NA
"351","Bruno Cortês Barbosa","Bruno Cortez","https://s.glbimg.com/es/sde/f/2017/04/23/6917817dc16511add10913a87474f1f7_FORMATO.png",72079,32,"GRE","lat","Nulo",0,10.96,0,3.84,22,"Grêmio",3,29,NA,21,NA,43,27,11,NA,NA,NA,NA,3,1,NA,NA,NA,NA
"352","Jailson Marcelino dos Santos","Jailson","https://s.glbimg.com/es/sde/f/2017/04/18/63a42550ea5f70d0bbc92287dd6ac259_FORMATO.png",72290,32,"PAL","gol","Nulo",0,7.45,0,5.73,4,"Palmeiras",3,NA,NA,1,NA,2,NA,2,6,3,NA,NA,NA,NA,NA,NA,NA,1
"353","Matheus Simonete Bressanelli","Bressan","https://s.glbimg.com/es/sde/f/2017/04/23/06d46a41c53307f20ca424fbe4e9bf64_FORMATO.png",72491,32,"GRE","zag","Provável",0,1.61,0,1.09,10,"Grêmio",4,10,NA,6,NA,23,8,3,NA,NA,NA,1,3,NA,NA,NA,NA,NA
"354","Hernane Vidal Souza","Hernane","https://s.glbimg.com/es/sde/f/2017/07/28/10783cbce0071ae8567021c6e9290249_FORMATO.png",72386,32,"BAH","ata","Nulo",0,7.83,0,1,3,"Bahia",NA,3,NA,6,NA,3,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"355","Airton Tirabassi","Airton ","https://s.glbimg.com/es/sde/f/2017/05/25/444e9d8df7c89d942e244f428e32811c_FORMATO.png",72297,32,"AVA","zag","Nulo",0,1.6,0,2.74,5,"Avaí",NA,5,1,1,NA,6,3,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"356","Cléber Janderson Pereira Reis","Cléber Reis","https://s.glbimg.com/es/sde/f/2017/08/22/c38b2f1c3e2258a438ef5b0dfc958e01_FORMATO.png",72376,32,"COR","zag","Provável",7.1,6.78,0.52,3.29,10,"Coritiba",2,8,2,2,NA,15,16,3,NA,NA,NA,1,1,NA,NA,NA,NA,NA
