"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","FC","FD","FF","FS","PE","RB","SG","DD","GS","G","I","A","PP","CV","FT","GC","DP"
"19","Yan Medeiros Sasse","Yan","https://s.glbimg.com/es/sde/f/2017/04/24/2f02afc14f51ead3d8362b52708edf53_FORMATO.png",96055,20,"COR","mei","Nulo",0,0.79,0,-0.85,2,"Coritiba",1,NA,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Gustavo Costa da Silva Machado","Gustavo Bochecha","https://s.glbimg.com/es/sde/f/2017/05/11/fc43f1baa7f4e4d8e73b07ba4f24137e_FORMATO.png",95798,20,"BOT","mei","Contundido",0,2,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Leonardo Rodrigues dos Santos","Léo Santos","https://s.glbimg.com/es/sde/f/2017/04/23/1d114129100c1552c9d2fac173daf8ea_FORMATO.jpeg",95820,20,"COR","zag","Nulo",0,4.38,0,5,1,"Corinthians",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Márcio Rodrigues Araújo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2017/08/16/497b309e783e3279452314847976a12a_FORMATO.jpeg",38311,20,"FLA","mei","Provável",3.6,9.16,-0.13,3.45,18,"Flamengo",2,21,NA,5,26,32,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Luiz Filipe da Rosa Machado","Machado","https://s.glbimg.com/es/sde/f/2017/04/23/067af9a9fbef9be7febed7aa5e13f102_FORMATO.png",96089,20,"GRE","mei","Nulo",0,2.04,0,1.95,2,"Grêmio",NA,2,NA,NA,1,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"24","Caique da Silva Maria","Caíque","https://s.glbimg.com/es/sde/f/2017/06/16/4d8ec695b7a6792f35e8eb992f9c59ad_FORMATO.png",95831,20,"SAO","lat","Nulo",0,1,0,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Sander Henrique Bortolotto","Sander","https://s.glbimg.com/es/sde/f/2017/06/13/c768f4f096a03a7a8d7642fe55c4ddb2_FORMATO.png",95843,20,"SPO","lat","Nulo",0,9.26,0,5.68,13,"Sport",1,28,1,1,13,43,35,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"26","Geovane Henrique Pereira de Souza","Geovane","https://s.glbimg.com/es/sde/f/2017/04/24/4e836a43a284121c7d2754809098d92c_FORMATO.png",96349,20,"COR","zag","Nulo",0,3,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Daniel Cerântula Fuzato","Daniel Fuzato","https://s.glbimg.com/es/sde/f/2017/04/18/0521fd45c49f6fb1491a64df501d2e8d_FORMATO.png",95936,20,"PAL","gol","Nulo",0,1,0,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Marcos Arouca da Silva","Arouca","https://s.glbimg.com/es/sde/f/2017/04/18/a79e46999e573a44398324ab951f4c7a_FORMATO.png",37718,20,"PAL","mei","Contundido",0,6,0,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
