"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","FC","FD","FF","FS","PE","RB","SG","DD","GS","G","I","A","PP","CV","FT","GC","DP"
"203","Sosthenes José Santos Salles","Neto Berola","https://s.glbimg.com/es/sde/f/2017/04/24/f3039b70ee89382f40b6b09074e46900_FORMATO.png",68807,20,"COR","ata","Provável",0.2,9.36,-0.33,2.68,12,"Coritiba",1,7,2,8,13,20,8,NA,NA,NA,1,4,2,NA,NA,NA,NA,NA
"204","André Luiz Barretto Silva Lima","André Lima","https://s.glbimg.com/es/sde/f/2017/05/28/8c9906d1639eafeb5779494c61890457_FORMATO.png",68893,20,"VIT","ata","Nulo",0,7.1,0,2.65,10,"Vitória",1,16,3,5,9,18,4,NA,NA,NA,2,4,2,NA,NA,NA,NA,NA
"205","Paulo Victor Mileo Vidotti","Paulo Victor","https://s.glbimg.com/es/sde/f/2017/07/19/429e3fc1b0f671fe9b25019c5f735f67_FORMATO.png",68873,20,"GRE","gol","Provável",4,6.08,-0.89,8.2,2,"Grêmio",1,NA,NA,NA,NA,2,NA,1,3,1,NA,NA,NA,NA,NA,NA,NA,1
"206","Welington Pereira Rodrigues","Gum","https://s.glbimg.com/es/sde/f/2017/07/25/4407e04c0f422d9c7c06af9bc6c97fff_FORMATO.png",68887,20,"FLU","zag","Contundido",0,7,0,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","Ramon de Morais Motta ","Ramon","https://s.glbimg.com/es/sde/f/2017/07/27/0d5457a07c57dd1908db4421fa48b276_FORMATO.png",68896,20,"VAS","lat","Provável",5.7,7.97,0.62,4.8,6,"Vasco",NA,7,NA,2,17,21,11,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"208","Anselmo de Moraes","Anselmo","https://s.glbimg.com/es/sde/f/2017/06/06/b2cdf84621178662c029bae611378399_FORMATO.png",68910,20,"SPO","mei","Nulo",3.4,6.19,-0.15,3.78,6,"Sport",2,12,NA,3,5,14,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","Wellington Alves da Silva","Wellington Silva","https://s.glbimg.com/es/sde/f/2017/01/13/890838d7b4008a35572bcd44dfafc6e0_FORMATO.png",68895,20,"FLU","ata","Provável",2.1,9.13,-1.15,3.53,8,"Fluminense",NA,4,1,2,12,19,5,NA,NA,NA,2,4,1,NA,NA,NA,NA,NA
"210","Klever Rodrigo Gomes Rufino","Klever","https://s.glbimg.com/es/sde/f/2017/04/27/76d01b3a27b9f9546d7f9647da5829db_FORMATO.png",68884,20,"ATL","gol","Contundido",0,0.83,0,-3.1,3,"Atlético-GO",NA,NA,NA,NA,NA,1,NA,NA,3,9,NA,NA,NA,NA,NA,NA,NA,NA
"211","Rodrigo Pimpão Viana","Rodrigo Pimpão","https://s.glbimg.com/es/sde/f/2017/04/18/054a14cdfbb6abbdb2c8a8a75f0a9ee1_FORMATO.png",68901,20,"BOT","ata","Provável",0,8.04,0,2.64,17,"Botafogo",3,26,10,7,22,76,19,NA,NA,NA,2,5,3,NA,NA,NA,NA,NA
"212","Thiago Ribeiro Cardoso","Thiago Ribeiro","https://s.glbimg.com/es/sde/f/2017/02/19/4ec7b72d420d51f876c9ea73eab212cf_FORMATO.png",68929,20,"SAN","ata","Nulo",0.4,4.95,-0.04,0.18,8,"Santos",1,10,2,3,5,21,6,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
"213","Leonardo Fabiano da Silva e Silva","Leonardo Silva","https://s.glbimg.com/es/sde/f/2017/04/03/d52533a1acf6457724394d769b43771f_FORMATO.png",68925,20,"ATL","zag","Provável",5.1,9.2,0.66,1.35,7,"Atlético-MG",3,12,NA,1,13,14,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Diego Souza de Andrade","Diego Souza","https://s.glbimg.com/es/sde/f/2016/05/01/4ca75c7b4c6ef9d48c9ffe43f89b8f78_FORMATO.png",68911,20,"SPO","mei","Provável",4.2,16.67,0.78,5.03,13,"Sport",4,22,3,10,36,56,6,NA,NA,NA,6,1,1,NA,NA,3,NA,NA
"215","Welker Marçal de Almeida","Kieza","https://s.glbimg.com/es/sde/f/2017/04/24/25d378570c1b3cbfb2f85427750a6b8c_FORMATO.png",68930,20,"VIT","ata","Contundido",0,9.53,0,2.77,8,"Vitória",1,13,4,3,17,16,2,NA,NA,NA,3,6,NA,1,NA,NA,NA,NA
"216","Ronaldo Luiz Alves","Ronaldo Alves","https://s.glbimg.com/es/sde/f/2016/07/08/b5631b95dc105cd68b154bfaa21ecf74_FORMATO.png",68950,20,"SPO","zag","Provável",9.2,9.53,1.25,4.5,15,"Sport",4,18,4,2,27,36,14,8,NA,NA,1,1,1,NA,NA,NA,NA,NA
"217","Rafael Pires Monteiro","Rafael","https://s.glbimg.com/es/sde/f/2016/04/29/43e8562bfd0ac31a9d9fd5bd5f87aee8_FORMATO.png",68928,20,"CRU","gol","Nulo",-3.6,7.19,-2.81,-3.6,1,"Cruzeiro",NA,NA,NA,NA,NA,2,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"218","Wallace Reis da Silva","Wallace Reis ","https://s.glbimg.com/es/sde/f/2017/07/13/cfd4ab0585b820c82ceaede6f0779b5a_FORMATO.png",68958,20,"VIT","zag","Provável",0,7.74,0,4.02,5,"Vitória",3,6,NA,NA,10,10,8,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"219","Giovanni Augusto Oliveira Cardoso","Giovanni Augusto","https://s.glbimg.com/es/sde/f/2017/04/19/c4d5da0001a31ba757c52ea56bf8cb21_FORMATO.png",68938,20,"COR","mei","Nulo",0,5.16,0,1.4,5,"Corinthians",1,2,NA,1,2,10,4,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"220","Renan Ribeiro","Renan Ribeiro","https://s.glbimg.com/es/sde/f/2016/05/01/443bbaa43b246a9ce7d8a4e682ed4af6_FORMATO.png",68932,20,"SAO","gol","Nulo",-0.5,8.9,0.5,2.06,20,"São Paulo",2,1,NA,NA,1,15,NA,5,27,28,NA,NA,NA,NA,NA,NA,NA,NA
"221","Marcos Gabriel do Nascimento","Marquinhos Gabriel","https://s.glbimg.com/es/sde/f/2017/04/23/9326bc84d0f7eff7d097d6e60ee392c0_FORMATO.png",68954,20,"COR","mei","Nulo",0,8.74,0,3.1,12,"Corinthians",3,9,4,3,17,31,7,NA,NA,NA,2,1,3,NA,NA,NA,NA,NA
"222","Hélio Hermito Zampier Neto","Neto","https://s.glbimg.com/es/sde/f/2016/04/27/f217614f7ad8e77684e58501d147fa3a_FORMATO.png",69008,20,"CHA","zag","Contundido",0,5,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","João Carlos Heidemann","João Carlos","https://s.glbimg.com/es/sde/f/2017/05/02/d7292ead1ddbe03d301309fe8a47b770_FORMATO.png",69010,20,"PON","gol","Nulo",0,5,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","Pablo Felipe Teixeira","Pablo","https://s.glbimg.com/es/sde/f/2017/04/23/3edce5d707460f97a267436370d60be7_FORMATO.png",69138,20,"ATL","ata","Nulo",0,2.12,0,-1.52,11,"Atlético-PR",4,20,2,6,12,40,3,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA
"225","Eduardo Pereira Rodrigues","Dudu","https://s.glbimg.com/es/sde/f/2017/04/18/5268d6ef98c67a25b1dabf90d489a37f_FORMATO.png",68920,20,"PAL","ata","Contundido",0,16.89,0,4.3,10,"Palmeiras",3,10,1,3,45,41,11,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA
"226","João Vitor Lima Gomes","João Vitor","https://s.glbimg.com/es/sde/f/2017/05/02/4b0d7dac70db84093f533231220f3287_FORMATO.png",68987,20,"PON","mei","Contundido",0,5,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","Gustavo dos Santos","Gustavo Santos","https://s.glbimg.com/es/sde/f/2017/04/28/66d8349d86cb0a157df269d3cbb425b6_FORMATO.png",68986,20,"AVA","lat","Nulo",0,1,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Giovanni Aparecido Adriano dos Santos","Giovanni","https://s.glbimg.com/es/sde/f/2017/04/03/54ca82f676684e32e2092814be84c655_FORMATO.png",68979,20,"ATL","gol","Nulo",0,4.47,0,-1.3,1,"Atlético-MG",NA,NA,NA,NA,NA,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"229","Pablo Nascimento Castro","Pablo","https://s.glbimg.com/es/sde/f/2017/04/20/c99a3be1e61944db1aad05f99ed5b954_FORMATO.png",69165,20,"COR","zag","Contundido",0,11.84,0,4.65,13,"Corinthians",2,9,2,6,5,17,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","Paulo Roberto da Silva","Paulo Roberto","https://s.glbimg.com/es/sde/f/2017/04/20/ab90dca3a15edcb4ef4af21626e0d3a9_FORMATO.png",69047,20,"COR","mei","Nulo",0,3.53,0,2.32,5,"Corinthians",NA,3,1,NA,3,15,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"231","Manoel Messias Silva Carvalho","Manoel","https://s.glbimg.com/es/sde/f/2016/04/29/34d00289aba9d71e705b5b7a470861b8_FORMATO.png",69014,20,"CRU","zag","Nulo",0,8.77,0,5.2,1,"Cruzeiro",NA,NA,NA,NA,2,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"232","Leonardo Moreira Morais","Léo","https://s.glbimg.com/es/sde/f/2017/05/17/6b570687f8d47a6998a08f7f27fdd4ac_FORMATO.png",69177,20,"COR","lat","Provável",5.8,5.7,0.22,2.51,8,"Coritiba",2,17,1,NA,15,27,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","Martín Andrés Silva","Martín Silva","https://s.glbimg.com/es/sde/f/2017/04/06/5380df54d3b16b7d46117c5173040d3d_FORMATO.png",69249,20,"VAS","gol","Provável",1,6.72,-1.36,1.41,20,"Vasco",2,NA,NA,NA,2,16,NA,4,26,31,NA,NA,NA,NA,NA,NA,NA,NA
"234","Paulo Sérgio de Oliveira","Paulinho","https://s.glbimg.com/es/sde/f/2017/07/07/b665d8639383dbe3e6bc9401b9dadddb_FORMATO.png",69016,20,"ATL","mei","Provável",-0.7,5.91,-2.58,5.34,8,"Atlético-GO",2,17,2,7,13,26,18,NA,NA,NA,2,1,NA,NA,NA,1,NA,NA
"235","Deivid Willian da Silva","Deivid","https://s.glbimg.com/es/sde/f/2017/04/23/7fa8d8853f5f9b5502dcde923aababee_FORMATO.png",69018,20,"ATL","mei","Nulo",0,5.04,0,0.48,5,"Atlético-PR",2,3,NA,NA,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"236","Roberto Junior Fernández Torres","Gatito Fernández","https://s.glbimg.com/es/sde/f/2017/04/17/f87ed5808d28ef2d0446cae72617f143_FORMATO.png",74061,20,"BOT","gol","Nulo",18,22.89,2.01,6.75,14,"Botafogo",1,NA,NA,NA,3,7,NA,6,26,16,NA,NA,NA,NA,NA,NA,NA,3
"237","Victor Ferraz Macedo","Victor Ferraz","https://s.glbimg.com/es/sde/f/2016/05/01/58576d141c8216fac9dedb1df391d5e8_FORMATO.png",70046,20,"SAN","lat","Provável",5.6,10.1,-0.08,4.05,12,"Santos",2,9,NA,2,10,41,10,6,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"238","Maycon Vinícius Ferreira da Cruz","Nikão","https://s.glbimg.com/es/sde/f/2017/04/23/f0381b648963d11c0a911835d6b060da_FORMATO.png",69705,20,"ATL","mei","Provável",7.7,9.89,1.45,3.07,18,"Atlético-PR",2,19,13,6,32,56,14,NA,NA,NA,2,2,2,NA,NA,1,NA,NA
"239","Lucas Ramón Barrios Arioli","Lucas Barrios","https://s.glbimg.com/es/sde/f/2017/04/23/cfc485340a51d2cf63f5fd033c85b2f1_FORMATO.png",69282,20,"GRE","ata","Nulo",0,9.41,0,3.88,10,"Grêmio",3,15,5,2,13,16,6,NA,NA,NA,4,6,1,NA,NA,NA,NA,NA
"240","Romulo Borges Monteiro","Romulo","https://s.glbimg.com/es/sde/f/2017/04/24/b61c326027e887dd7e7893e82ca94121_FORMATO.png",70009,20,"FLA","mei","Nulo",0,6.06,0,0.6,3,"Flamengo",1,5,1,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","Reinaldo Rueda Rivera","Reinaldo Rueda","https://s.glbimg.com/es/sde/f/2017/08/15/f70ca24058c7afc7bcf48280e01aa139_FORMATO.png",69486,20,"FLA","tec","Provável",0,10.1,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","Sidney Aparecido Ramos da Silva","Sidão","https://s.glbimg.com/es/sde/f/2017/04/25/6b33818b6514572559c1fef9b6ca9686_FORMATO.png",70222,20,"SAO","gol","Provável",0,6.25,0,-2,0,"São Paulo",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","Alan Santos da Silva","Alan Santos","https://s.glbimg.com/es/sde/f/2017/04/24/fbeeb71f969362dfd7489a955a0a5b00_FORMATO.png",70132,20,"COR","mei","Provável",2,4.63,0.08,1.47,12,"Coritiba",2,15,2,3,5,31,19,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"244","Ederson Honorato Campos","Ederson","https://s.glbimg.com/es/sde/f/2017/04/24/219907d77bba093529105f5b79abce53_FORMATO.png",70173,20,"FLA","mei","Contundido",0,4.25,0,0.94,5,"Flamengo",NA,5,1,1,9,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","Tiago Real do Prado","Tiago Real","https://s.glbimg.com/es/sde/f/2017/04/24/80440f6618b79e66630f3d1bd8709562_FORMATO.png",70058,20,"COR","mei","Nulo",0,4.63,0,1.3,11,"Coritiba",2,13,5,2,6,30,7,NA,NA,NA,NA,2,2,NA,NA,1,NA,NA
"246","Vladimir Orlando Cardoso de Araújo Filho","Vladimir","https://s.glbimg.com/es/sde/f/2016/05/01/961c8216a0f294aa3cfbee03eaa996db_FORMATO.png",69040,20,"SAN","gol","Nulo",0,4,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","Marllon Gonçalves Jerônimo Borges","Marllon","https://s.glbimg.com/es/sde/f/2017/05/02/40266a7126e1fd808b4350f90516f3f5_FORMATO.png",70666,20,"PON","zag","Provável",0,12.43,0,4.59,18,"Ponte Preta",2,7,1,3,20,36,26,8,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"248","Fellipe Ramos Ignez Bastos","Fellipe Bastos","https://s.glbimg.com/es/sde/f/2017/04/19/2333e7afbab5775fa04708f8532bdf88_FORMATO.png",70116,20,"COR","mei","Nulo",0,3.53,0,0.7,2,"Corinthians",NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","Mário Rogério Reis Micale ","Rogério Micale","https://s.glbimg.com/es/sde/f/2017/07/24/00470c79ffe3386dcbeb9796e90dfb87_FORMATO.png",70526,20,"ATL","tec","Provável",6.83,9.86,1.4,3.72,4,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","Fábio Luiz Carille de Araújo","Fábio Carille","https://s.glbimg.com/es/sde/f/2017/04/22/b5151c5cf6b267103af7605949496c18_FORMATO.png",70696,20,"COR","tec","Provável",0,12.42,0,4.82,19,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","Luis Manuel Seijas Gunther","Seijas","https://s.glbimg.com/es/sde/f/2017/08/18/0b1e935b70a3d6471d8aa121da9f7140_FORMATO.png",70742,20,"CHA","mei","Provável",0,6.63,0,2.27,16,"Chapecoense",NA,25,2,11,23,42,14,NA,NA,NA,NA,1,2,NA,NA,2,NA,NA
"252","Diogo Barbosa Mendanha","Diogo Barbosa","https://s.glbimg.com/es/sde/f/2017/04/22/9ee14b744ca9f1e250cc299b955bc6e9_FORMATO.png",70916,20,"CRU","lat","Provável",0,13.01,0,4.45,17,"Cruzeiro",4,15,2,3,21,67,29,7,NA,NA,NA,2,2,NA,NA,1,NA,NA
"253","Guilherme Ferreira Pinto","Negueba","https://s.glbimg.com/es/sde/f/2017/06/07/fe68884503980ded30df6a7cb9cdd77b_FORMATO.jpeg",70929,20,"PON","ata","Nulo",0,4.01,0,0.6,4,"Ponte Preta",1,4,NA,NA,4,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","Fillipe Soutto Mayor Nogueira Ferreira","Fillipe Soutto","https://s.glbimg.com/es/sde/f/2017/06/05/17f3216f11db1702707de11a5f0b6854_FORMATO.png",70581,20,"VIT","mei","Nulo",0,3.58,0,2.1,3,"Vitória",NA,1,NA,NA,2,9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","Jackson de Souza","Jackson","https://s.glbimg.com/es/sde/f/2017/07/28/de12cacc448f4add788473ff0d4009bf_FORMATO.png",70934,20,"BAH","zag","Contundido",0,7,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","Leonardo da Silva Vieira","Leo","https://s.glbimg.com/es/sde/f/2017/08/02/b370bcdca91adb4e0f9cfe1f7ce54837_FORMATO.png",71043,20,"ATL","gol","Nulo",0,3,0,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","Roberto Heuchayer Santos de Araújo","Roberto","https://s.glbimg.com/es/sde/f/2017/08/17/2b6d0dac55444a427650e123ca955344_FORMATO.png",71116,20,"CHA","lat","Nulo",0,4.39,0,5.1,1,"Chapecoense",NA,2,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","Pablo Diogo Lopes de Lima","Pablo Diogo","https://s.glbimg.com/es/sde/f/2017/08/01/876c2e59d47193a1d2968b73eed90a34_FORMATO.png",70987,20,"ATL","ata","Nulo",0,1.68,0,-0.4,3,"Atlético-MG",NA,3,NA,NA,NA,7,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"259","Vinícius Goes Barbosa de Souza","Vinícius","https://s.glbimg.com/es/sde/f/2017/06/01/a4f3ac6a4a79eebb1b9a2ec9388773ad_FORMATO.png",71162,20,"BAH","mei","Nulo",0,6.38,0,1.71,14,"Bahia",3,11,3,8,8,28,6,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA
"260","Federico Mancuello","Mancuello","https://s.glbimg.com/es/sde/f/2017/08/16/d34af685ab224e16398ce841287757c3_FORMATO.jpeg",71066,20,"FLA","mei","Provável",0,6.11,0,2.13,6,"Flamengo",2,4,2,2,3,7,5,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"261","Bruno Henrique Corsini","Bruno Henrique","https://s.glbimg.com/es/sde/f/2017/07/15/49e2a38b84972e1e416211e21f0eb681_FORMATO.png",70944,20,"PAL","mei","Dúvida",3.4,10.25,-0.82,4.62,8,"Palmeiras",1,17,1,7,10,12,16,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA
"262","Weverton Pereira da Silva","Weverton","https://s.glbimg.com/es/sde/f/2017/04/23/2773ed93eeec40a1be23186dae64fad2_FORMATO.png",71631,20,"ATL","gol","Provável",-2,3.77,-2.08,3.34,17,"Atlético-PR",1,NA,NA,NA,5,15,1,6,23,20,NA,NA,NA,NA,NA,NA,NA,NA
"263","Luis Oscar González","Lucho González","https://s.glbimg.com/es/sde/f/2017/04/23/3b471798626f6a04ef3427efb99d1c23_FORMATO.png",71479,20,"ATL","mei","Nulo",0,5.64,0,-0.11,12,"Atlético-PR",2,17,1,5,10,42,12,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA
"264","Gustavo Leonardo Cuellar Gallego","Cuéllar","https://s.glbimg.com/es/sde/f/2017/08/16/47b4cc4af08862b4cf6685d475edd618_FORMATO.jpeg",71709,20,"FLA","mei","Nulo",6.6,5.32,0.63,3,12,"Flamengo",2,12,2,NA,7,18,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","Leonardo Cittadini","Léo Cittadini","https://s.glbimg.com/es/sde/f/2017/05/02/6694b4703f10f789b166d7ca4f6f764e_FORMATO.png",70986,20,"SAN","mei","Provável",6.2,3.47,1.32,1.15,4,"Santos",NA,2,1,NA,2,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","Alexander Baumjohann","Baumjohann","https://s.glbimg.com/es/sde/f/2017/07/05/edd3698b18e3e992ba2ea5c7f544ff56_FORMATO.png",71389,20,"COR","mei","Nulo",0,5,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","Elton Junior Melo Ataíde","Elton","https://s.glbimg.com/es/sde/f/2017/05/02/be1eeef6004ddca4490debdfc7a8f6ef_FORMATO.png",71719,20,"PON","mei","Provável",0,5.96,0,2.24,14,"Ponte Preta",NA,23,1,3,14,33,21,NA,NA,NA,1,2,1,NA,1,NA,NA,NA
"268","Andrés Ramiro Escobar Díaz","Manga Escobar","https://s.glbimg.com/es/sde/f/2017/04/24/1ce4d6d602b56cabd2d5b1522af42b71_FORMATO.png",71704,20,"VAS","ata","Nulo",7.5,5.79,1.26,2.35,11,"Vasco",NA,5,2,3,8,11,2,NA,NA,NA,2,2,1,NA,NA,NA,NA,NA
"269","Bruno Medeiros Grassi","Bruno Grassi","https://s.glbimg.com/es/sde/f/2017/04/23/d503f996169e9aafe30487a9921bed97_FORMATO.png",71818,20,"GRE","gol","Nulo",0,4,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","Kelvin Mateus de Oliveira","Kelvin","https://s.glbimg.com/es/sde/f/2017/04/24/6c15e084bbf28f0ec13f00762f49aa9d_FORMATO.png",71549,20,"VAS","ata","Contundido",0,5.03,0,1.72,5,"Vasco",NA,3,3,NA,8,9,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"271","Agenor Detofol","Agenor","https://s.glbimg.com/es/sde/f/2016/07/12/b3b2f4d5febfcebd9c61128f21c52535_FORMATO.png",71724,20,"SPO","gol","Nulo",0,4.57,0,6.05,4,"Sport",NA,NA,NA,NA,NA,6,NA,2,8,4,NA,NA,NA,NA,NA,NA,NA,NA
"272","Gabriel Rybar Blos","Gabriel","https://s.glbimg.com/es/sde/f/2017/04/23/f2550afa5db7011619ab01d7d1032823_FORMATO.png",71572,20,"GRE","zag","Nulo",0,1,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","Wellington do Nascimento Silva","Wellington Silva","https://s.glbimg.com/es/sde/f/2017/07/28/82f8d8d7313084b0b7cfc91245954a24_FORMATO.png",71892,20,"BAH","lat","Contundido",0,7,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","Michel Ferreira dos Santos","Michel ","https://s.glbimg.com/es/sde/f/2017/04/23/555af733f4228e215781ed3d2cd99c56_FORMATO.png",71920,20,"GRE","mei","Nulo",0,10.45,0,5.33,14,"Grêmio",4,36,2,8,16,39,38,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
"275","Fernando Miguel Kaufmann","Fernando Miguel","https://s.glbimg.com/es/sde/f/2017/02/20/5af7107ad71c63b6f670fd21749fc679_FORMATO.png",71571,20,"VIT","gol","Provável",-2.3,9.6,-2.14,2.91,18,"Vitória",2,NA,NA,NA,3,14,NA,5,30,28,NA,NA,NA,NA,NA,NA,NA,NA
"276","Bruno Cortês Barbosa","Bruno Cortez","https://s.glbimg.com/es/sde/f/2017/04/23/6917817dc16511add10913a87474f1f7_FORMATO.png",72079,20,"GRE","lat","Nulo",0,10.95,0,3.8,16,"Grêmio",3,24,NA,NA,12,33,21,8,NA,NA,1,2,NA,NA,NA,NA,NA,NA
"277","Renan de Oliveira Fonseca","Renan Fonseca","https://s.glbimg.com/es/sde/f/2016/05/20/8a933b2d225a7b56e6267a2148ab68d0_FORMATO.png",72037,20,"BOT","zag","Nulo",0,3.3,0,5,1,"Botafogo",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","Jorge Darío Mendoza Torres","Jorge Mendoza","https://s.glbimg.com/es/sde/f/2017/07/14/3819ceac34a816f02b87cc2e9a8c3a91_FORMATO.png",73144,20,"PON","mei","Nulo",0,3,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","Rodrigo Oliveira Lindoso","Rodrigo Lindoso","https://s.glbimg.com/es/sde/f/2017/04/18/57ab5f981f4355a82d3d2f15ed01eb8e_FORMATO.png",72362,20,"BOT","mei","Nulo",0,9.8,0,3.9,15,"Botafogo",2,15,3,2,13,43,30,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA
"280","Fernando Galhardo Borges","Fernandinho","https://s.glbimg.com/es/sde/f/2017/05/15/0d7fcc5d70203442a40e54487804a4f8_FORMATO.png",72150,20,"PON","lat","Nulo",0,5.26,0,2.43,4,"Ponte Preta",1,3,NA,NA,NA,9,2,2,NA,NA,NA,2,NA,NA,NA,1,NA,NA
"281","Paulo Roberto Valoura Júnior","Juninho","https://s.glbimg.com/es/sde/f/2017/07/28/46e83a5bd2ed557124edf9a1e69b6d0c_FORMATO.png",71937,20,"BAH","mei","Nulo",-0.6,10.37,-0.29,3.18,17,"Bahia",1,29,11,12,10,57,20,NA,NA,NA,2,NA,2,NA,NA,1,NA,NA
"282","Jailson Marcelino dos Santos","Jailson","https://s.glbimg.com/es/sde/f/2017/04/18/63a42550ea5f70d0bbc92287dd6ac259_FORMATO.png",72290,20,"PAL","gol","Contundido",0,7.45,0,5.73,4,"Palmeiras",3,NA,NA,NA,1,2,NA,2,6,3,NA,NA,NA,NA,NA,NA,NA,1
"283","Airton Tirabassi","Airton ","https://s.glbimg.com/es/sde/f/2017/05/25/444e9d8df7c89d942e244f428e32811c_FORMATO.png",72297,20,"AVA","zag","Dúvida",0,2.11,0,3.4,2,"Avaí",NA,3,NA,2,NA,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","Uillian Correia Granemann","Uillian Correia","https://s.glbimg.com/es/sde/f/2017/04/01/f5509c6e7e2831171a293b2e8b83e1bc_FORMATO.png",72007,20,"VIT","mei","Provável",3.8,5.57,0.27,3.41,17,"Vitória",3,26,2,8,7,28,30,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA
