"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","FC","FF","FS","I","PE","RB","CV","SG","DD","GS","A","FD","G","PP","FT","DP","GC"
"93","Felipe Melo de Carvalho","Felipe Melo","https://s.glbimg.com/es/sde/f/2017/04/18/d1031b5a0a0783e2fc55c0668ef4d8de_FORMATO.png",38545,11,"PAL","mei","Contundido",0,8.67,0,1.75,4,"Palmeiras",2,8,2,5,NA,6,7,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"94","Douglas dos Santos","Douglas","https://s.glbimg.com/es/sde/f/2017/04/23/fa6eb12f4d4fee6467bb3bb75ccc55ce_FORMATO.png",38738,11,"GRE","mei","Contundido",0,14,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Giovanni Augusto Oliveira Cardoso","Giovanni Augusto","https://s.glbimg.com/es/sde/f/2017/04/19/c4d5da0001a31ba757c52ea56bf8cb21_FORMATO.png",68938,11,"COR","mei","Nulo",0,5.57,0,-0.15,2,"Corinthians",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Cleiton Ribeiro Xavier","Cleiton Xavier","https://s.glbimg.com/es/sde/f/2017/02/18/12b5f4babe911d2c08e5e106d926ef3d_FORMATO.png",38530,11,"VIT","mei","Provável",2.2,6.3,-0.76,2.16,9,"Vitória",NA,9,6,5,NA,20,6,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA
"97","Anderson Luís de Abreu Oliveira","Anderson","https://s.glbimg.com/es/sde/f/2017/04/24/0dc186897635dc55867be6cf89a3666a_FORMATO.png",38852,11,"COR","mei","Dúvida",-0.2,3.76,-1.12,-0.15,2,"Coritiba",1,2,NA,3,NA,5,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"98","Maicon Douglas Sisenando","Maicon","https://s.glbimg.com/es/sde/f/2017/05/31/ef02f85ca8a5590abd7f361e7b0dd858_FORMATO.png",38748,11,"AVA","lat","Nulo",0,4.72,0,-6,1,"Avaí",NA,1,1,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"99","Renato Dirnei Florêncio","Renato","https://s.glbimg.com/es/sde/f/2017/05/02/ce9c1e5d21a2efec50dbdc2870d5a8c9_FORMATO.png",38908,11,"SAN","mei","Provável",0,7.54,0,1.93,9,"Santos",NA,5,1,13,NA,20,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Ricardo de Oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2016/05/01/04f2207e667b88e15a5ccdc893894a1f_FORMATO.png",38910,11,"SAN","ata","Contundido",0,11.4,0,1.25,4,"Santos",1,7,6,5,1,4,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA
"101","Diego Ribas da Cunha","Diego","https://s.glbimg.com/es/sde/f/2017/04/24/98708ecaf48555700b1ca390667c77fb_FORMATO.png",38909,11,"FLA","mei","Provável",14,22.11,2.88,7.17,8,"Flamengo",NA,11,7,20,3,36,9,NA,NA,NA,NA,2,3,4,NA,NA,NA,NA
"102","Rafael Marques Mariano","Rafael Marques","https://s.glbimg.com/es/sde/f/2017/05/16/3246550328efb6a72fe4e85ea0bbff11_FORMATO.png",38957,11,"CRU","ata","Nulo",0,4.04,0,1.18,7,"Cruzeiro",NA,2,5,7,NA,16,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
