"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","FC","FF","FS","I","PE","RB","CV","SG","DD","GS","A","FD","G","PP","FT","DP","GC"
"201","Alejandro Abraham Guerra Morales","Alejandro Guerra","https://s.glbimg.com/es/sde/f/2017/02/19/fa873321a36da270244cf230ac534a50_FORMATO.png",74213,11,"PAL","mei","Nulo",0,15.03,0,4.66,8,"Palmeiras",3,19,4,15,NA,39,6,NA,NA,NA,NA,1,7,4,NA,NA,NA,NA
"202","Edigar Junio Teixeira Lima ","Edigar Junio","https://s.glbimg.com/es/sde/f/2017/02/21/707d81e3f025580fbfbb9ef89e2a6c4c_FORMATO.png",74271,11,"BAH","ata","Contundido",0,9.52,0,2.75,10,"Bahia",NA,14,2,16,1,19,4,NA,NA,NA,NA,NA,5,2,NA,1,NA,NA
"203","Airton Ribeiro Santos","Airton","https://s.glbimg.com/es/sde/f/2016/05/19/53e1bd0759a8f98439752def04457e15_FORMATO.png",61985,11,"BOT","mei","Contundido",0,5.63,0,1.17,3,"Botafogo",NA,3,NA,4,NA,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Edimar Curitiba Fraga","Edimar","https://s.glbimg.com/es/sde/f/2017/04/25/0991c88dd099660fdb7cfc88a4bedab1_FORMATO.png",62024,11,"SAO","lat","Nulo",0,5,0,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","Leandro da Silva","Leandro Silva","https://s.glbimg.com/es/sde/f/2017/04/28/c86a46095a1f0ab0e29d11fbbb7e80a1_FORMATO.png",77529,11,"AVA","lat","Provável",4.7,7.49,0.09,2.1,10,"Avaí",1,12,4,9,1,54,12,1,3,NA,NA,1,3,NA,NA,NA,NA,NA
"206","Jean Raphael Vanderlei Moreira","Jean","https://s.glbimg.com/es/sde/f/2017/04/18/84289863d6f3328bec523c3cfeadb268_FORMATO.png",62047,11,"PAL","lat","Contundido",0,15.59,0,3.97,6,"Palmeiras",NA,3,5,6,1,19,5,NA,2,NA,NA,NA,2,1,1,NA,NA,NA
"207","Fábio Luiz Carille de Araújo","Fábio Carille","https://s.glbimg.com/es/sde/f/2017/04/22/b5151c5cf6b267103af7605949496c18_FORMATO.png",70696,11,"COR","tec","Provável",4.06,11.03,0,4.52,11,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","Yago Fernando da Silva","Yago","https://s.glbimg.com/es/sde/f/2017/05/02/30bd8e94c27dbf6a20661d6027251a81_FORMATO.png",77500,11,"PON","zag","Contundido",0,6,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","Jorge de Moura Xavier","Jorginho","https://s.glbimg.com/es/sde/f/2017/04/28/24064c0ab4f724a2a4252d37f02b7223_FORMATO.png",77544,11,"ATL","mei","Suspenso",-5.2,4.59,-1.51,1.68,10,"Atlético-GO",1,15,2,18,1,38,14,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA
"210","José Paolo Guerrero Gonzales","Paolo Guerrero","https://s.glbimg.com/es/sde/f/2017/04/24/9f5565190d6c37e9959d0747a4ef6ea0_FORMATO.png",75295,11,"FLA","ata","Provável",14.7,14.32,3.19,7.17,7,"Flamengo",2,29,8,20,6,14,9,NA,NA,NA,NA,1,8,4,NA,NA,NA,NA
"211","Jonathan Copete Valencia","Copete","https://s.glbimg.com/es/sde/f/2017/05/02/38284b2eba393aa675069aff35def330_FORMATO.png",77959,11,"SAN","ata","Provável",0,4.61,0,1.18,8,"Santos",2,12,3,8,3,33,4,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA
"212","Bruno Brígido de Oliveira","Bruno Brígido","https://s.glbimg.com/es/sde/f/2017/04/24/9375fdbbdc6ab66a27f8b4860036ebc1_FORMATO.png",77556,11,"COR","gol","Nulo",-2,3.48,-1.52,-2,1,"Coritiba",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","César Bernardo Dutra","César","https://s.glbimg.com/es/sde/f/2017/04/24/8a28cbc657b6535a81d1cbad583afa48_FORMATO.png",78086,11,"FLA","gol","Nulo",0,3,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Thomás Jaguaribe Bedinelli","Thomás","https://s.glbimg.com/es/sde/f/2017/06/13/bac4f7b0e6270fedb590658d950365b2_FORMATO.png",77551,11,"SPO","mei","Nulo",0,7.18,0,3.08,5,"Sport",NA,6,1,9,1,7,4,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
"215","Eugenio Esteban Mena Reveco","Mena","https://s.glbimg.com/es/sde/f/2017/05/01/b7a4044c003473042da5143f01b9924e_FORMATO.png",77967,11,"SPO","lat","Dúvida",0,2.88,0,-6.7,1,"Sport",NA,6,NA,1,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Everaldo Stum","Everaldo","https://s.glbimg.com/es/sde/f/2017/04/27/85ec84d7e2ba8d7f658cb59fefc7d400_FORMATO.png",78117,11,"ATL","ata","Provável",-2.3,8.9,-0.68,4.18,11,"Atlético-GO",NA,14,9,17,3,24,2,NA,NA,NA,NA,1,10,4,2,1,NA,NA
"217","Madson Ferreira dos Santos","Madson","https://s.glbimg.com/es/sde/f/2017/04/06/e6c07b2728a78e64ae8c1ed0d4ce9d6a_FORMATO.png",78077,11,"VAS","lat","Nulo",0,3.02,0,-0.3,1,"Vasco",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Giovanni Aparecido Adriano dos Santos","Giovanni","https://s.glbimg.com/es/sde/f/2017/04/03/54ca82f676684e32e2092814be84c655_FORMATO.png",68979,11,"ATL","gol","Nulo",0,6,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","Miller Alejandro Bolaños Reasco","Miller Bolaños","https://s.glbimg.com/es/sde/f/2016/05/10/e06dcc7c5fd2af9342d95cf318b5f431_FORMATO.png",78371,11,"GRE","ata","Dúvida",0.3,10.99,-3.01,0.3,1,"Grêmio",NA,2,NA,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","Luis Manuel Seijas Gunther","Seijas","https://s.glbimg.com/es/sde/f/2017/05/14/6f1a3086afde752f257e478b7ddadf03_FORMATO.png",70742,11,"CHA","mei","Dúvida",0,7.21,0,3.08,8,"Chapecoense",NA,11,3,12,1,24,11,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA
"221","Marcos Rogério Ricci Lopes","Pará","https://s.glbimg.com/es/sde/f/2017/04/24/44fa9261c93718d8ee74e043fad7adbb_FORMATO.png",62086,11,"FLA","lat","Nulo",4.6,8.93,-0.05,2.67,8,"Flamengo",NA,12,1,5,1,18,3,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA
"222","Gustavo Henrique Vernes","Gustavo Henrique","https://s.glbimg.com/es/sde/f/2017/05/02/ebaacf4dc046774b9b9f3003c35ba254_FORMATO.png",78248,11,"SAN","zag","Contundido",0,6,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Diogo Barbosa Mendanha","Diogo Barbosa","https://s.glbimg.com/es/sde/f/2017/04/22/9ee14b744ca9f1e250cc299b955bc6e9_FORMATO.png",70916,11,"CRU","lat","Provável",0.5,12.04,-2.63,4.78,10,"Cruzeiro",2,11,2,12,NA,43,19,NA,4,NA,NA,1,2,NA,NA,1,NA,NA
"224","Guilherme Ferreira Pinto","Negueba","https://s.glbimg.com/es/sde/f/2017/06/07/fe68884503980ded30df6a7cb9cdd77b_FORMATO.jpeg",70929,11,"PON","ata","Nulo",3.9,4.73,0.76,0.9,3,"Ponte Preta",1,3,NA,3,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","Gustavo dos Santos","Gustavo Santos","https://s.glbimg.com/es/sde/f/2017/04/28/66d8349d86cb0a157df269d3cbb425b6_FORMATO.png",68986,11,"AVA","lat","Nulo",0,1,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Bruno Henrique Corsini","Bruno Henrique","https://s.glbimg.com/es/sde/f/2017/06/22/b1c7b99be2c1d74a2735e6cb49f388ff_FORMATO.png",70944,11,"PAL","mei","Provável",1.4,8.98,-2.02,1.4,1,"Palmeiras",NA,3,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","Douglas Ricardo Grolli","Douglas Grolli","https://s.glbimg.com/es/sde/f/2017/04/24/ef04c0af64af6a9173d17eb922ff55e4_FORMATO.png",78407,11,"CHA","zag","Provável",0.9,6.87,0.34,3.3,3,"Chapecoense",NA,7,1,NA,1,5,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA
"228","Leonardo Cittadini","Léo Cittadini","https://s.glbimg.com/es/sde/f/2017/05/02/6694b4703f10f789b166d7ca4f6f764e_FORMATO.png",70986,11,"SAN","mei","Nulo",0,2.62,0,-0.25,2,"Santos",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","João Vitor Lima Gomes","João Vitor","https://s.glbimg.com/es/sde/f/2017/05/02/4b0d7dac70db84093f533231220f3287_FORMATO.png",68987,11,"PON","mei","Contundido",0,5,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","Jackson de Souza","Jackson","https://s.glbimg.com/es/sde/f/2017/02/21/006f00c308607da2e5625e476d7e701e_FORMATO.png",70934,11,"BAH","zag","Contundido",0,7,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","Renê Rodrigues Martins","Renê","https://s.glbimg.com/es/sde/f/2017/04/24/bff75e6319bfeb83e043d1949b127c6e_FORMATO.png",78445,11,"FLA","lat","Nulo",5.7,6.81,0.02,3.6,6,"Flamengo",NA,9,1,7,NA,17,10,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","João Carlos Heidemann","João Carlos","https://s.glbimg.com/es/sde/f/2017/05/02/d7292ead1ddbe03d301309fe8a47b770_FORMATO.png",69010,11,"PON","gol","Nulo",0,5,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","Régis Ribeiro de Souza","Régis Souza","https://s.glbimg.com/es/sde/f/2017/06/22/f0877c550c7c04d26f2b6c19b1028f8f_FORMATO.png",68995,11,"BAH","lat","Nulo",0,2.15,0,-0.2,3,"Bahia",1,NA,NA,3,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Hélio Hermito Zampier Neto","Neto","https://s.glbimg.com/es/sde/f/2016/04/27/f217614f7ad8e77684e58501d147fa3a_FORMATO.png",69008,11,"CHA","zag","Contundido",0,5,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Federico Mancuello","Mancuello","https://s.glbimg.com/es/sde/f/2017/04/24/8f9b227031fc772ea2210db5d441a2e5_FORMATO.png",71066,11,"FLA","mei","Nulo",0,7.81,0,5.13,3,"Flamengo",NA,3,2,2,1,6,4,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA
"236","Bruno Cortês Barbosa","Bruno Cortez","https://s.glbimg.com/es/sde/f/2017/04/23/6917817dc16511add10913a87474f1f7_FORMATO.png",72079,11,"GRE","lat","Provável",0,10.86,0,5.4,9,"Grêmio",3,13,NA,10,NA,19,14,NA,6,NA,NA,NA,NA,1,NA,NA,NA,NA
"237","Vinícius Goes Barbosa de Souza","Vinícius","https://s.glbimg.com/es/sde/f/2017/06/01/a4f3ac6a4a79eebb1b9a2ec9388773ad_FORMATO.png",71162,11,"BAH","mei","Provável",-1.9,7.03,-0.69,2.54,8,"Bahia",1,6,4,6,NA,20,5,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"238","Alexander Baumjohann","Baumjohann","https://s.glbimg.com/es/sde/f/2017/07/05/edd3698b18e3e992ba2ea5c7f544ff56_FORMATO.png",71389,11,"COR","mei","Nulo",0,5,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","Maicon Pereira Roque","Maicon","https://s.glbimg.com/es/sde/f/2016/05/01/f3000bd2b412a315dad8796d7080a492_FORMATO.png",71227,11,"SAO","zag","Nulo",0,9.9,0,3.42,7,"São Paulo",1,1,2,2,NA,22,8,NA,3,NA,NA,NA,2,NA,NA,NA,NA,NA
"240","Aderbar Melo dos Santos Neto","Santos","https://s.glbimg.com/es/sde/f/2017/04/23/27e1cdc40e6cfe45b59a89f20a9a2b4f_FORMATO.png",69012,11,"ATL","gol","Nulo",0,5.43,0,3.35,2,"Atlético-PR",NA,NA,NA,NA,NA,1,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA
"241","Manoel Messias Silva Carvalho","Manoel","https://s.glbimg.com/es/sde/f/2016/04/29/34d00289aba9d71e705b5b7a470861b8_FORMATO.png",69014,11,"CRU","zag","Nulo",0,10,0,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","Fernando Miguel Kaufmann","Fernando Miguel","https://s.glbimg.com/es/sde/f/2017/02/20/5af7107ad71c63b6f670fd21749fc679_FORMATO.png",71571,11,"VIT","gol","Provável",4.9,11.63,0.33,4.05,11,"Vitória",1,NA,NA,3,NA,10,NA,NA,3,21,15,NA,NA,NA,NA,NA,NA,NA
"243","Kelvin Mateus de Oliveira","Kelvin","https://s.glbimg.com/es/sde/f/2017/04/24/6c15e084bbf28f0ec13f00762f49aa9d_FORMATO.png",71549,11,"VAS","ata","Contundido",0,5.03,0,1.72,5,"Vasco",NA,3,NA,8,2,9,4,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
"244","Luis Oscar González","Lucho González","https://s.glbimg.com/es/sde/f/2017/04/23/3b471798626f6a04ef3427efb99d1c23_FORMATO.png",71479,11,"ATL","mei","Provável",-2,5.63,-0.72,-0.63,7,"Atlético-PR",NA,10,4,5,2,24,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","Paulo Sérgio de Oliveira","Paulinho","https://s.glbimg.com/es/sde/f/2017/07/07/b665d8639383dbe3e6bc9401b9dadddb_FORMATO.png",69016,11,"ATL","mei","Nulo",0,3,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","Deivid Willian da Silva","Deivid","https://s.glbimg.com/es/sde/f/2017/04/23/7fa8d8853f5f9b5502dcde923aababee_FORMATO.png",69018,11,"ATL","mei","Nulo",-0.4,5.04,-0.19,0.48,5,"Atlético-PR",2,3,NA,5,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"247","Vladimir Orlando Cardoso de Araújo Filho","Vladimir","https://s.glbimg.com/es/sde/f/2016/05/01/961c8216a0f294aa3cfbee03eaa996db_FORMATO.png",69040,11,"SAN","gol","Nulo",0,4,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","Gabriel Rybar Blos","Gabriel","https://s.glbimg.com/es/sde/f/2017/04/23/f2550afa5db7011619ab01d7d1032823_FORMATO.png",71572,11,"GRE","zag","Nulo",0,1,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","Paulo Roberto da Silva","Paulo Roberto","https://s.glbimg.com/es/sde/f/2017/04/20/ab90dca3a15edcb4ef4af21626e0d3a9_FORMATO.png",69047,11,"COR","mei","Nulo",0,3.53,0,2.32,5,"Corinthians",NA,3,NA,3,NA,15,3,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA
"250"," Eduardo José Diniz Costa","Eduardo","https://s.glbimg.com/es/sde/f/2017/04/27/2d3afcc034a28fc71b3d6ce56582b860_FORMATO.png",69036,11,"ATL","lat","Provável",-1.1,0.78,0,-0.52,6,"Atlético-GO",1,7,NA,3,NA,14,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","Pablo Felipe Teixeira","Pablo","https://s.glbimg.com/es/sde/f/2017/04/23/3edce5d707460f97a267436370d60be7_FORMATO.png",69138,11,"ATL","ata","Nulo",0,2.65,0,-1.75,6,"Atlético-PR",3,7,3,8,5,21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","Gastón Nicolás Fernández","Gastón Fernández","https://s.glbimg.com/es/sde/f/2017/04/23/a007d48b7e937967df107f0fd412e09a_FORMATO.png",69160,11,"GRE","mei","Nulo",0,4.82,0,1.47,4,"Grêmio",NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"253","Weverton Pereira da Silva","Weverton","https://s.glbimg.com/es/sde/f/2017/04/23/2773ed93eeec40a1be23186dae64fad2_FORMATO.png",71631,11,"ATL","gol","Provável",1,2.25,0.08,1.18,8,"Atlético-PR",1,NA,NA,1,NA,7,NA,NA,2,9,12,NA,NA,NA,NA,NA,NA,NA
"254","Leonardo Moreira Morais","Léo","https://s.glbimg.com/es/sde/f/2017/05/17/6b570687f8d47a6998a08f7f27fdd4ac_FORMATO.png",69177,11,"COR","lat","Dúvida",0,4.55,0.08,0.33,3,"Coritiba",1,6,NA,2,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","Gustavo Leonardo Cuellar Gallego","Cuéllar","https://s.glbimg.com/es/sde/f/2017/04/24/ec9b77bc929663a07ce6d4b21c78ed8e_FORMATO.png",71709,11,"FLA","mei","Provável",9.5,5.1,2.04,2.62,6,"Flamengo",2,9,NA,2,NA,11,15,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"256","Martín Andrés Silva","Martín Silva","https://s.glbimg.com/es/sde/f/2017/04/06/5380df54d3b16b7d46117c5173040d3d_FORMATO.png",69249,11,"VAS","gol","Provável",-6,5.23,-2.14,0.25,11,"Vasco",2,NA,NA,1,NA,6,NA,NA,2,14,22,NA,NA,NA,NA,NA,NA,NA
"257","Elton Junior Melo Ataíde","Elton","https://s.glbimg.com/es/sde/f/2017/05/02/be1eeef6004ddca4490debdfc7a8f6ef_FORMATO.png",71719,11,"PON","mei","Provável",0,5.84,0,1.58,9,"Ponte Preta",NA,12,3,8,1,23,15,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"258","Pablo Nascimento Castro","Pablo","https://s.glbimg.com/es/sde/f/2017/04/20/c99a3be1e61944db1aad05f99ed5b954_FORMATO.png",69165,11,"COR","zag","Provável",4.7,10.94,0.03,3.92,10,"Corinthians",1,8,6,4,NA,16,4,NA,7,NA,NA,NA,2,NA,NA,NA,NA,NA
"259","Bruno Medeiros Grassi","Bruno Grassi","https://s.glbimg.com/es/sde/f/2017/04/23/d503f996169e9aafe30487a9921bed97_FORMATO.png",71818,11,"GRE","gol","Nulo",0,4,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","Agenor Detofol","Agenor","https://s.glbimg.com/es/sde/f/2016/07/12/b3b2f4d5febfcebd9c61128f21c52535_FORMATO.png",71724,11,"SPO","gol","Nulo",0,4,0,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","Lucas Ramón Barrios Arioli","Lucas Barrios","https://s.glbimg.com/es/sde/f/2017/04/23/cfc485340a51d2cf63f5fd033c85b2f1_FORMATO.png",69282,11,"GRE","ata","Provável",0,10.05,0,3.45,6,"Grêmio",2,8,NA,9,5,8,3,NA,NA,NA,NA,1,3,2,NA,NA,NA,NA
"262","Andrés Ramiro Escobar Díaz","Manga Escobar","https://s.glbimg.com/es/sde/f/2017/04/24/1ce4d6d602b56cabd2d5b1522af42b71_FORMATO.png",71704,11,"VAS","ata","Nulo",0,5.27,0,2.92,6,"Vasco",NA,3,3,5,1,6,1,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA
"263","Michel Ferreira dos Santos","Michel ","https://s.glbimg.com/es/sde/f/2017/04/23/555af733f4228e215781ed3d2cd99c56_FORMATO.png",71920,11,"GRE","mei","Provável",0,9.6,0,5.73,9,"Grêmio",1,19,5,11,NA,22,21,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA
"264","Romulo Borges Monteiro","Romulo","https://s.glbimg.com/es/sde/f/2017/04/24/b61c326027e887dd7e7893e82ca94121_FORMATO.png",70009,11,"FLA","mei","Nulo",0,5.89,0,-1.3,1,"Flamengo",1,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","Alan Santos da Silva","Alan Santos","https://s.glbimg.com/es/sde/f/2017/04/24/fbeeb71f969362dfd7489a955a0a5b00_FORMATO.png",70132,11,"COR","mei","Contundido",0,4.8,0,1.91,8,"Coritiba",1,9,1,2,1,23,15,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"266","Ederson Honorato Campos","Ederson","https://s.glbimg.com/es/sde/f/2017/04/24/219907d77bba093529105f5b79abce53_FORMATO.png",70173,11,"FLA","mei","Nulo",0,4.25,0,0.94,5,"Flamengo",NA,5,1,9,NA,8,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"267","Uillian Correia Granemann","Uillian Correia","https://s.glbimg.com/es/sde/f/2017/04/01/f5509c6e7e2831171a293b2e8b83e1bc_FORMATO.png",72007,11,"VIT","mei","Nulo",0,3.62,0,1.59,10,"Vitória",1,16,6,3,NA,16,10,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"268","Diego da Silva Rosa","Diego Rosa","https://s.glbimg.com/es/sde/f/2017/06/21/113421cfc95b13d42d7a61ddfd0b906c_FORMATO.png",71927,11,"ATL","mei","Nulo",0.5,7.32,0.01,1.64,7,"Atlético-GO",NA,7,1,5,1,5,4,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA
"269","Maycon Vinícius Ferreira da Cruz","Nikão","https://s.glbimg.com/es/sde/f/2017/04/23/f0381b648963d11c0a911835d6b060da_FORMATO.png",69705,11,"ATL","mei","Provável",0,10.7,0,3.91,9,"Atlético-PR",1,10,4,14,1,26,6,NA,NA,NA,NA,2,9,1,NA,1,NA,NA
"270","Tiago Real do Prado","Tiago Real","https://s.glbimg.com/es/sde/f/2017/04/24/80440f6618b79e66630f3d1bd8709562_FORMATO.png",70058,11,"COR","mei","Provável",3.1,5.37,0.14,1.49,9,"Coritiba",2,13,1,5,1,25,6,NA,NA,NA,NA,2,5,NA,NA,1,NA,NA
"271","Renan de Oliveira Fonseca","Renan Fonseca","https://s.glbimg.com/es/sde/f/2016/05/20/8a933b2d225a7b56e6267a2148ab68d0_FORMATO.png",72037,11,"BOT","zag","Nulo",0,3,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","Paulo Roberto Valoura Júnior","Juninho","https://s.glbimg.com/es/sde/f/2017/02/21/1185bf0445861de05869b21f919a1d93_FORMATO.png",71937,11,"BAH","mei","Nulo",-0.8,9.9,-0.45,2.18,10,"Bahia",1,20,7,7,NA,35,12,NA,NA,NA,NA,1,7,NA,NA,1,NA,NA
"273","Wellington do Nascimento Silva","Wellington Silva","https://s.glbimg.com/es/sde/f/2017/02/18/3bbde337c0e14ff5863b2fb2a531bf69_FORMATO.png",71892,11,"BAH","lat","Contundido",0,7,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","Fellipe Ramos Ignez Bastos","Fellipe Bastos","https://s.glbimg.com/es/sde/f/2017/04/19/2333e7afbab5775fa04708f8532bdf88_FORMATO.png",70116,11,"COR","mei","Nulo",0,4.25,0,1.4,1,"Corinthians",NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"275","Sidney Aparecido Ramos da Silva","Sidão","https://s.glbimg.com/es/sde/f/2017/04/25/6b33818b6514572559c1fef9b6ca9686_FORMATO.png",70222,11,"SAO","gol","Nulo",0,6.25,0,-2,0,"São Paulo",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","Jorge Amorim de Oliveira Campos","Jorginho","https://s.glbimg.com/es/sde/f/2017/06/01/2d4e9fe5508ff0ceaf617a257b06885b_FORMATO.png",70323,11,"BAH","tec","Provável",4.47,11.58,0.54,3.81,8,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","Marcos de Paula Dutra","Marcos","https://s.glbimg.com/es/sde/f/2017/04/27/f3d654b20ab83c212a2a18dab411b2e0_FORMATO.png",78495,11,"ATL","gol","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","Fábio Farroco Braga","Fábio Braga","https://s.glbimg.com/es/sde/f/2017/05/02/1b7b5c48a104e1244f38059d6b4e63a3_FORMATO.png",78464,11,"PON","mei","Nulo",0,1.74,0,-0.45,2,"Ponte Preta",1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","Arnaldo Manoel de Almeida","Arnaldo","https://s.glbimg.com/es/sde/f/2017/05/19/ff6d87578b92fff5c4d0ff68a60fc859_FORMATO.png",78497,11,"BOT","lat","Provável",-0.5,8.22,-0.58,4.4,10,"Botafogo",2,16,NA,14,NA,31,19,NA,4,NA,NA,1,1,NA,NA,NA,NA,NA
"280","Fernando Galhardo Borges","Fernandinho","https://s.glbimg.com/es/sde/f/2017/05/15/0d7fcc5d70203442a40e54487804a4f8_FORMATO.png",72150,11,"PON","lat","Provável",3.9,5.53,-0.13,4.45,2,"Ponte Preta",NA,1,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281","Willian Souza Arão da Silva","Willian Arão","https://s.glbimg.com/es/sde/f/2017/04/24/afcab1eabef219480495acfdf11be8c3_FORMATO.png",78478,11,"FLA","mei","Nulo",0,8.51,0,2.34,9,"Flamengo",NA,10,1,7,NA,33,14,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA
"282","Jean Mota Oliveira de Sousa","Jean Mota","https://s.glbimg.com/es/sde/f/2017/05/02/6f250e3510eb4a5cf33223d20befd72c_FORMATO.png",78548,11,"SAN","mei","Provável",0,4.41,0,2.66,9,"Santos",NA,4,5,10,NA,25,10,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA
