"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","FC","FD","FF","FS","PE","RB","A","I","CA","SG","DD","GS","FT","G","PP","CV","GC","DP"
"1","Gilson Kleina","Gilson Kleina","https://s.glbimg.com/es/sde/f/2017/04/25/170c293b8b336044ef9d06f703796fcc_FORMATO.png",37306,10,"PON","tec","Provável",1.05,11.74,-0.52,3.92,10,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Luis Antônio Venker de Menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2016/08/09/246730e80d7ef5af15c8b59b8491c289_FORMATO.png",37281,10,"CRU","tec","Provável",8.31,13.05,1.64,3.89,10,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Carlos Alberto Gomes de Jesus","Carlos Alberto","https://s.glbimg.com/es/sde/f/2017/04/23/e6ee0f29664116ad56a6334200f1a86b_FORMATO.png",37652,10,"ATL","mei","Nulo",0,5.72,0,1.55,2,"Atlético-PR",2,1,1,5,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Lins Lima de Britto","Lins","https://s.glbimg.com/es/sde/f/2017/05/02/152a2c73a115dd6eaae434c953a9c05b_FORMATO.png",53669,10,"PON","ata","Provável",-0.8,3.84,-0.16,0.92,8,"Ponte Preta",11,2,2,6,16,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Ebert Willian Amâncio","Betão","https://s.glbimg.com/es/sde/f/2017/04/28/892740eaee3f590710c5572d2e84bbd1_FORMATO.png",37646,10,"AVA","zag","Provável",5,6.69,0.92,2.06,9,"Avaí",6,1,1,11,22,7,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA
"6","Paulo André Cren Benini","Paulo André","https://s.glbimg.com/es/sde/f/2017/04/23/755b6b8cfd82322b66a137677617403d_FORMATO.png",37604,10,"ATL","zag","Nulo",0,4.08,0,0.87,4,"Atlético-PR",4,NA,NA,4,10,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Juan Silveira dos Santos","Juan","https://s.glbimg.com/es/sde/f/2017/04/24/b3a0848ae3a447c87cf7c807185b37a6_FORMATO.png",36540,10,"FLA","zag","Dúvida",0,5.92,0,3.98,5,"Flamengo",4,2,3,4,6,8,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"8","Fábio Deivson Lopes Maciel","Fábio","https://s.glbimg.com/es/sde/f/2017/04/05/8723e1fa0950cb91f4b5c39409f23d85_FORMATO.png",37656,10,"CRU","gol","Provável",10.9,14.19,2.53,4.52,10,"Cruzeiro",1,NA,NA,1,6,NA,NA,NA,NA,4,15,9,NA,NA,NA,NA,NA,NA
"9","José Roberto da Silva Júnior","Zé Roberto","https://s.glbimg.com/es/sde/f/2017/04/18/8397713ec780be3eaf28ae8d848c2736_FORMATO.png",36612,10,"PAL","lat","Nulo",0,7.28,0,1.77,3,"Palmeiras",6,NA,NA,4,6,3,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"10","Rafael Martiniano de Miranda Moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2017/04/03/0262cdf9cadf70eee005c277def421cb_FORMATO.png",37655,10,"ATL","ata","Nulo",-1.8,5.27,-1.81,2.66,8,"Atlético-MG",14,3,5,13,7,2,NA,7,1,NA,NA,NA,1,2,NA,NA,NA,NA
"11","Marcelo Mendonça de Mattos Terra","Marcelo Mattos","https://s.glbimg.com/es/sde/f/2017/04/24/9a29fddd4a0809d8eddbb3392169730b_FORMATO.png",37645,10,"VAS","mei","Contundido",0,4,0,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Michel Fernandes Bastos","Michel Bastos","https://s.glbimg.com/es/sde/f/2017/04/18/fa3a79559d24615c5cf4229992d82324_FORMATO.png",37607,10,"PAL","mei","Contundido",0,5.01,0,0.44,5,"Palmeiras",1,1,5,2,21,5,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Jonathan Cícero Moreira","Jonathan","https://s.glbimg.com/es/sde/f/2017/04/23/2e9071da78a7b84be87644f435c375ea_FORMATO.png",37662,10,"ATL","lat","Provável",0,8.14,0,3.17,8,"Atlético-PR",4,NA,2,8,20,10,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA
"14","Cristian Mark Junio Nascimento Oliveira Baroni","Cristian","https://s.glbimg.com/es/sde/f/2017/04/19/9884b370f7327ae579c283e865aabf79_FORMATO.png",37608,10,"COR","mei","Nulo",0,4,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Alecsandro Barbosa Felisbino","Alecsandro","https://s.glbimg.com/es/sde/f/2017/05/25/b470b28b3b68d95eff43163148c236f8_FORMATO.png",37673,10,"COR","ata","Provável",-4.9,2.17,-0.82,-1.4,6,"Coritiba",11,1,1,4,14,3,NA,4,1,NA,NA,NA,NA,NA,1,NA,NA,NA
"16","Julio Cesar Coelho de Moraes Júnior","Julio Cesar","https://s.glbimg.com/es/sde/f/2017/04/17/1fdd617943f798215323bf53718e1f45_FORMATO.png",37663,10,"VAS","lat","Nulo",0,3,0,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Rodrigo Baldasso da Costa","Rodrigo","https://s.glbimg.com/es/sde/f/2017/06/13/a5cb57a41ef2b2308c98b76ba24b430a_FORMATO.png",37644,10,"PON","zag","Suspenso",-3.4,7.73,-2,2.88,7,"Ponte Preta",5,1,3,11,11,7,NA,1,2,3,NA,NA,NA,NA,NA,1,NA,NA
"18","Marcos Arouca da Silva","Arouca","https://s.glbimg.com/es/sde/f/2017/04/18/a79e46999e573a44398324ab951f4c7a_FORMATO.png",37718,10,"PAL","mei","Contundido",0,6,0,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Rafael Augusto Sobis do Nascimento","Rafael Sobis","https://s.glbimg.com/es/sde/f/2016/07/06/9f448978203e98dc8d4f57f547ed8a44_FORMATO.png",37798,10,"CRU","ata","Provável",11.5,13.03,2.5,6.27,4,"Cruzeiro",6,5,4,6,4,NA,1,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA
"20","Henrique Pacheco de Lima","Henrique","https://s.glbimg.com/es/sde/f/2016/04/29/3ee91a269e77c0defb08f1fee38c0aff_FORMATO.png",37694,10,"CRU","mei","Provável",0,3.77,0,-0.5,6,"Cruzeiro",6,NA,1,4,13,6,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"21","Ferdinando Pereira Leda","Ferdinando","https://s.glbimg.com/es/sde/f/2017/04/28/451b8463a985e60f7a6e4d877e47d26e_FORMATO.png",53731,10,"AVA","mei","Nulo",0,5,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Eduardo Luís Abonizio de Souza","Edu Dracena","https://s.glbimg.com/es/sde/f/2017/04/18/68cf33625460a96d2a432f93ecc21db5_FORMATO.png",37657,10,"PAL","zag","Nulo",0,9.9,0,4.72,5,"Palmeiras",7,1,NA,8,3,5,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"23","Juan Maldonado Jaimez Júnior","Juan","https://s.glbimg.com/es/sde/f/2017/06/07/4171a633f759e859ac04b9293992adf3_FORMATO.png",37705,10,"AVA","mei","Provável",1.7,4.95,0.14,1.96,7,"Avaí",12,2,5,15,25,6,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA
