"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","FC","FD","FF","FS","PE","RB","A","I","CA","SG","DD","GS","FT","G","PP","CV","GC","DP"
"24","Rafael Marques Pinto","Rafael Marques","https://s.glbimg.com/es/sde/f/2017/04/24/b057662177ede29cb7aec5d2426bea3b_FORMATO.png",37623,10,"VAS","zag","Nulo",0,2.12,0,-1.2,2,"Vasco",4,NA,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Leonardo da Silva Moura","Léo Moura","https://s.glbimg.com/es/sde/f/2017/04/23/7277c35fed3ff5f997fbf230b96586e4_FORMATO.png",37701,10,"GRE","lat","Dúvida",0,11.81,0,6.02,4,"Grêmio",2,1,2,6,11,5,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"26","Marcelo Grohe","Marcelo Grohe","https://s.glbimg.com/es/sde/f/2017/04/23/33e584cd67faa2ac529fcd131c75ed09_FORMATO.png",37770,10,"GRE","gol","Nulo",0.7,8.26,-0.68,1.6,9,"Grêmio",NA,NA,NA,NA,2,NA,NA,NA,1,6,2,7,NA,NA,NA,1,NA,NA
"27","Wagner Ferreira dos Santos","Wagner","https://s.glbimg.com/es/sde/f/2017/04/06/359066aa5d28530d44010771094091ab_FORMATO.png",37674,10,"VAS","mei","Nulo",-0.3,4.38,-1.11,-0.55,2,"Vasco",1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Gustavo Franchin Schiavolin","Gustavo","https://s.glbimg.com/es/sde/f/2017/04/28/1a067ab1f5585036fbe91443094ed603_FORMATO.png",37840,10,"AVA","zag","Nulo",0,4.14,0,-0.6,3,"Avaí",2,NA,1,2,4,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Edimo Ferreira Campos","Edinho","https://s.glbimg.com/es/sde/f/2017/04/24/134bd2592921a7ea460e78f357f4d99a_FORMATO.png",37792,10,"COR","mei","Nulo",0,4.51,0,-0.3,1,"Coritiba",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Cícero Santos","Cícero","https://s.glbimg.com/es/sde/f/2017/02/18/6e1bc225f8c1e82f9bea52b09540dd3a_FORMATO.png",37688,10,"SAO","mei","Nulo",0,4.87,0,-0.85,8,"São Paulo",11,NA,3,7,12,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Luis Fabiano Clemente","Luis Fabiano","https://s.glbimg.com/es/sde/f/2017/04/17/37ff07beed4a39ead1876fadd586d068_FORMATO.png",37919,10,"VAS","ata","Suspenso",1.5,14.33,-0.83,7.21,8,"Vasco",13,4,14,17,10,2,2,5,3,NA,NA,NA,NA,5,NA,NA,NA,NA
"32","Roger de Oliveira Bernardo","Roger Bernardo","https://s.glbimg.com/es/sde/f/2017/06/22/c2345aa6df43625e0d6ec0ff375de539_FORMATO.png",37934,10,"ATL","mei","Provável",0.4,6.26,-0.67,1.85,2,"Atlético-MG",4,NA,NA,6,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Mário Lúcio Duarte Costa","Aranha","https://s.glbimg.com/es/sde/f/2017/05/02/803e0f7a5e12a827547f82d97fb403f0_FORMATO.png",37984,10,"PON","gol","Provável",-4,10.13,-2.23,3.88,10,"Ponte Preta",NA,NA,NA,2,4,NA,NA,NA,NA,4,15,13,NA,NA,NA,NA,NA,NA
"34","Willian Roberto Farias","Willian Farias","https://s.glbimg.com/es/sde/f/2017/04/24/15cf98a07f1ca5efaa16bc8321c04658_FORMATO.png",63058,10,"VIT","mei","Provável",-0.6,8.41,-1.36,3.21,8,"Vitória",14,NA,2,5,26,23,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA
"35","Diego Alfredo Lugano Moreno","Lugano","https://s.glbimg.com/es/sde/f/2016/05/01/08944541062646b222c15154448a4d88_FORMATO.png",38062,10,"SAO","zag","Provável",-5.2,2.75,-1.52,-0.23,3,"São Paulo",9,1,3,2,10,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"36","Anderson Pedro Nunes da Silva Campos","Anderson","https://s.glbimg.com/es/sde/f/2017/02/21/25b8eacc6ff420ba06c12861299fc24b_FORMATO.png",38001,10,"BAH","gol","Nulo",0,0.77,0,-2,1,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Maicosuel Reginaldo de Matos","Maicosuel","https://s.glbimg.com/es/sde/f/2017/06/07/709c0e1e568158958ad56b554eba55d3_FORMATO.png",37851,10,"SAO","mei","Contundido",0,6.88,0,2.3,5,"São Paulo",1,3,1,7,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Danilo Gabriel de Andrade","Danilo","https://s.glbimg.com/es/sde/f/2017/04/19/b627c9025ae6426b1e4397a1e4806a3e_FORMATO.png",38067,10,"COR","mei","Contundido",0,5,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Wendel Geraldo Maurício e Silva","Wendel","https://s.glbimg.com/es/sde/f/2017/05/02/4a4ad263fb8caeebedbea1c1bab7d397_FORMATO.png",38021,10,"PON","mei","Nulo",-2,3.71,-0.59,0.74,8,"Ponte Preta",5,NA,2,8,3,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Severino dos Ramos Durval da Silva","Durval","https://s.glbimg.com/es/sde/f/2017/05/01/510c7156c6f1b989be6cdcdfb393eb82_FORMATO.png",38100,10,"SPO","zag","Provável",0,5.94,0,3.38,8,"Sport",5,NA,NA,4,9,9,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"41","Jefferson de Oliveira Galvão","Jefferson","https://s.glbimg.com/es/sde/f/2016/05/20/27326ea71a4a3d4cde252b5498024a60_FORMATO.png",38109,10,"BOT","gol","Nulo",0,9,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Edinaldo Batista Libânio","Grafite","https://s.glbimg.com/es/sde/f/2017/04/23/4fec179a98d9e087859253a2bbf830e4_FORMATO.png",38230,10,"ATL","ata","Nulo",2.8,7.44,0.63,0.58,8,"Atlético-PR",7,4,3,4,17,3,NA,3,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"43","João Alves de Assis Silva","Jô","https://s.glbimg.com/es/sde/f/2017/04/23/013b2879d66c81bb0e92137fdfe045a8_FORMATO.png",38138,10,"COR","ata","Provável",-3.4,11.05,-1.87,4.12,10,"Corinthians",20,4,3,15,22,1,2,11,1,NA,NA,NA,NA,5,NA,NA,NA,NA
"44","Fernando Buttenbender Prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2016/05/01/493488441bb751ad5dbdb042a318599f_FORMATO.png",38140,10,"PAL","gol","Provável",4,16.48,-0.48,5.93,10,"Palmeiras",NA,NA,NA,1,4,NA,NA,NA,NA,3,21,9,NA,NA,NA,NA,NA,NA
"45","Marcos Vicente dos Santos","Marquinhos","https://s.glbimg.com/es/sde/f/2017/04/28/16b2b3c31dc9b2e904ab87a434b26f8b_FORMATO.png",38150,10,"AVA","mei","Nulo",0,2.81,0,-0.09,8,"Avaí",3,4,3,9,33,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"46","Fábio Santos Romeu","Fábio Santos","https://s.glbimg.com/es/sde/f/2017/04/03/513ae4d7abe5f2024ee9a5cfa9c87bd4_FORMATO.png",38229,10,"ATL","lat","Provável",0,1.81,0,0.91,8,"Atlético-MG",11,NA,3,13,30,6,NA,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"47","Frederico Chaves Guedes","Fred","https://s.glbimg.com/es/sde/f/2017/04/03/3c0b9d4407aa9d0eadfb90461cc048e1_FORMATO.png",38162,10,"ATL","ata","Provável",0,15.8,0,3.6,7,"Atlético-MG",14,2,5,18,15,1,1,4,1,NA,NA,NA,1,2,NA,NA,NA,NA
"48","Robson de Souza","Robinho","https://s.glbimg.com/es/sde/f/2017/04/03/d0fe78529c78b3decfed9ab7ea31e79b_FORMATO.png",38246,10,"ATL","ata","Provável",0,14.1,0,2.99,8,"Atlético-MG",7,1,4,10,27,11,1,6,1,NA,NA,NA,NA,1,NA,NA,NA,NA
"49","Roger Rodrigues da Silva","Roger","https://s.glbimg.com/es/sde/f/2017/04/18/6814b99b2a5d61f8e272030ee2784ca0_FORMATO.png",38287,10,"BOT","ata","Provável",0.9,8.53,-1.66,4.59,9,"Botafogo",9,5,7,9,26,6,1,12,1,NA,NA,NA,NA,4,NA,NA,NA,NA
"50","Artur Guilherme Moraes Gusmão","Artur Moraes","https://s.glbimg.com/es/sde/f/2017/04/24/5e85a2f95507d900cd0da5a482163c0d_FORMATO.png",38156,10,"CHA","gol","Nulo",0,6,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Wellington Pereira do Nascimento","Wellington Paulista","https://s.glbimg.com/es/sde/f/2017/04/25/063a393c23a936c42fa8d9c6ee455747_FORMATO.png",38279,10,"CHA","ata","Provável",0.9,10.6,0.18,3.19,10,"Chapecoense",12,7,6,13,19,2,NA,2,2,NA,NA,NA,1,3,NA,NA,NA,NA
"52","Luiz Guilherme da Conceição Silva","Muriqui","https://s.glbimg.com/es/sde/f/2017/04/06/321312e4d04c0676ddf6e5e30503e413_FORMATO.png",38225,10,"VAS","ata","Nulo",0,3.56,0,0.45,2,"Vasco",NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Thiago Neves Augusto","Thiago Neves","https://s.glbimg.com/es/sde/f/2017/02/19/6bb6e70216d205ad23e44268eba27692_FORMATO.png",38277,10,"CRU","mei","Provável",11.7,17.99,-0.29,6.23,7,"Cruzeiro",7,10,6,12,31,6,1,2,1,NA,NA,NA,NA,3,NA,NA,NA,NA
"54","Márcio Rodrigues Araújo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2017/04/24/034006de65f23dc6ad944d4cbe1fd5d4_FORMATO.png",38311,10,"FLA","mei","Provável",4,8.08,0.2,2.25,10,"Flamengo",12,NA,3,15,21,16,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Maicon Thiago Pereira de Souza","Maicon","https://s.glbimg.com/es/sde/f/2017/04/23/2d7990dd22103819070a18092e4a35b7_FORMATO.png",38196,10,"GRE","mei","Provável",0,7.99,0,0.8,6,"Grêmio",3,NA,NA,5,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Fábio Ferreira da Silva","Fábio Ferreira","https://s.glbimg.com/es/sde/f/2017/05/02/dfab84ee22e942e61a82ff8910b56353_FORMATO.png",38425,10,"PON","zag","Nulo",0,5,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Thiago Heleno Henrique Ferreira","Thiago Heleno","https://s.glbimg.com/es/sde/f/2017/04/23/1f11c20ef0f3dc5415e347a5080e0877_FORMATO.png",38394,10,"ATL","zag","Provável",2.1,8.65,-0.2,3.42,8,"Atlético-PR",8,NA,2,5,17,8,NA,NA,2,3,NA,NA,NA,1,NA,NA,NA,NA
"58","Jadson Rodrigues da Silva","Jadson","https://s.glbimg.com/es/sde/f/2017/04/23/74a0bb24699753dd991412e8c67a1623_FORMATO.png",38315,10,"COR","mei","Provável",8.5,10.68,2.12,1.88,9,"Corinthians",7,3,6,2,47,4,1,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"59","Vinícius Pacheco dos Santos","Vinícius Pacheco","https://s.glbimg.com/es/sde/f/2017/04/28/c75c0312049c7182d2608025b1772f10_FORMATO.png",38400,10,"AVA","mei","Nulo",0,2.8,0,-0.15,2,"Avaí",1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Eder Luis de Oliveira","Eder Luis","https://s.glbimg.com/es/sde/f/2017/04/27/a624683a1be2238af9bf43179557bd20_FORMATO.png",38508,10,"VAS","ata","Nulo",0,3,0,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Edílson Mendes Guimarães","Edílson","https://s.glbimg.com/es/sde/f/2017/04/23/01562d5599dfea4ea49171288751df8a_FORMATO.png",38523,10,"GRE","lat","Suspenso",2.5,10.88,0.11,4.11,7,"Grêmio",13,NA,1,4,14,9,NA,1,3,4,NA,NA,NA,1,NA,NA,NA,NA
"62","Rafael da Silva Francisco","Rafinha","https://s.glbimg.com/es/sde/f/2017/04/22/b38b67b4598e604b5f9219b7e65d47d7_FORMATO.png",38421,10,"CRU","mei","Nulo",0,5.96,0,1.41,7,"Cruzeiro",8,NA,1,14,19,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Diego Cavalieri","Diego Cavalieri","https://s.glbimg.com/es/sde/f/2016/04/29/218be31082641b6814a593a00e28a095_FORMATO.png",38431,10,"FLU","gol","Nulo",0,3.91,0,-1,3,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,NA,NA,NA,NA,NA,NA
"64","Lucas Pierre Santos Oliveira","Pierre","https://s.glbimg.com/es/sde/f/2016/04/29/ec27531ace1e093fa1db50938eb9132b_FORMATO.png",38440,10,"FLU","mei","Contundido",0,3.54,0,0,1,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Cleiton Ribeiro Xavier","Cleiton Xavier","https://s.glbimg.com/es/sde/f/2017/02/18/12b5f4babe911d2c08e5e106d926ef3d_FORMATO.png",38530,10,"VIT","mei","Nulo",0,7.06,0,2.15,8,"Vitória",9,2,5,5,16,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Douglas dos Santos","Douglas","https://s.glbimg.com/es/sde/f/2017/04/23/fa6eb12f4d4fee6467bb3bb75ccc55ce_FORMATO.png",38738,10,"GRE","mei","Contundido",0,14,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Felipe Melo de Carvalho","Felipe Melo","https://s.glbimg.com/es/sde/f/2017/04/18/d1031b5a0a0783e2fc55c0668ef4d8de_FORMATO.png",38545,10,"PAL","mei","Contundido",0,8.67,0,1.75,4,"Palmeiras",8,1,2,5,6,7,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Moisés Lima Magalhães","Moisés","https://s.glbimg.com/es/sde/f/2017/04/18/a2b616905dc5f0c3eddcfafd4814e2d9_FORMATO.png",63158,10,"PAL","mei","Contundido",0,10,0,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Rafael Marques Mariano","Rafael Marques","https://s.glbimg.com/es/sde/f/2017/05/16/3246550328efb6a72fe4e85ea0bbff11_FORMATO.png",38957,10,"CRU","ata","Nulo",0,4.04,0.06,1.18,7,"Cruzeiro",2,2,5,7,16,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","André Luiz Tavares","Andrezinho","https://s.glbimg.com/es/sde/f/2017/04/27/6dc513717c37f2d182e388d21a117216_FORMATO.png",38768,10,"VAS","mei","Nulo",0,5.59,0,0.9,2,"Vasco",1,NA,NA,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Renato Dirnei Florêncio","Renato","https://s.glbimg.com/es/sde/f/2017/05/02/ce9c1e5d21a2efec50dbdc2870d5a8c9_FORMATO.png",38908,10,"SAN","mei","Provável",5.8,7.54,1.29,1.93,9,"Santos",5,NA,1,13,20,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Diego Ribas da Cunha","Diego","https://s.glbimg.com/es/sde/f/2017/04/24/98708ecaf48555700b1ca390667c77fb_FORMATO.png",38909,10,"FLA","mei","Provável",-1.8,19.23,-3.6,6.2,7,"Flamengo",8,1,5,18,31,6,2,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
"73","Maicon Douglas Sisenando","Maicon","https://s.glbimg.com/es/sde/f/2017/05/31/ef02f85ca8a5590abd7f361e7b0dd858_FORMATO.png",38748,10,"AVA","lat","Nulo",0,4.72,0,-6,1,"Avaí",1,NA,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"74","Anderson Luís de Abreu Oliveira","Anderson","https://s.glbimg.com/es/sde/f/2017/04/24/0dc186897635dc55867be6cf89a3666a_FORMATO.png",38852,10,"COR","mei","Contundido",0,4.88,0,-0.1,1,"Coritiba",NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Jonas Jessué da Silva Júnior","Jonas","https://s.glbimg.com/es/sde/f/2017/04/17/da28ba844b13dd322862abfcda7e77b7_FORMATO.png",39152,10,"BOT","lat","Contundido",0,6,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","José Renato da Silva Júnior","Renato","https://s.glbimg.com/es/sde/f/2017/01/13/7ab26ced537354a115324343754e8570_FORMATO.png",39572,10,"FLU","lat","Nulo",-1,3.75,-1.6,2.28,5,"Fluminense",4,1,5,7,9,3,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"77","Abel Carlos da Silva Braga","Abel Braga","https://s.glbimg.com/es/sde/f/2017/05/31/4e771d1c183057eb5fe8015ff7755b0c_FORMATO.png",40006,10,"FLU","tec","Provável",2.61,11.95,-0.75,3.49,9,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Vagner Carmo Mancini","Vagner Mancini","https://s.glbimg.com/es/sde/f/2017/04/24/07606c5e9762a644cb0fd98ccc70fb84_FORMATO.png",39850,10,"CHA","tec","Provável",0.02,8.16,-0.37,2.8,10,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Kleber Giacomace de Souza Freitas","Kleber","https://s.glbimg.com/es/sde/f/2017/04/24/c96c8c2ada9b85eb506293c4caec64db_FORMATO.png",40179,10,"COR","ata","Suspenso",0,10.49,0,1.84,7,"Coritiba",21,9,6,17,23,3,1,5,1,NA,NA,NA,NA,1,NA,1,NA,NA
"80","Alexandro Silva de Souza","Dudu Cearense","https://s.glbimg.com/es/sde/f/2016/06/28/2b7b2415b00931bc7ebe03b683cd03be_FORMATO.jpeg",38928,10,"BOT","mei","Nulo",0,3.34,0,-0.14,5,"Botafogo",4,NA,NA,1,2,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Levir Culpi","Levir Culpi","https://s.glbimg.com/es/sde/f/2017/06/14/136e0a7f3e7fc28586ac419c9c08efd2_FORMATO.png",40025,10,"SAN","tec","Provável",2.11,9.56,-0.41,4.78,4,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
