"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name"
"11","Wendell Maksinczuk Ortega","wendell","Wendell","https://s.glbimg.com/es/sde/f/2020/02/27/f22d57268e40f2e45144a79165d888e7_FORMATO.png",78738,1,373,"gol","Nulo",0,1,0,0,0,"Atlético-GO"
"12","Vagner da Silva Júnior","vagner-junior","Vagner Júnior","https://s.glbimg.com/es/sde/f/2020/02/27/243095a721659adb2e71b276f70a89f4_FORMATO.png",105520,1,373,"ata","Nulo",0,2,0,0,0,"Atlético-GO"
"13","Lucas da Cruz Oliveira","oliveira","Oliveira","https://s.glbimg.com/es/sde/f/2020/02/27/12b3b5d05927082246dce985879c54cb_FORMATO.png",94514,1,373,"zag","Provável",0,3,0,0,0,"Atlético-GO"
"14","Luis Eduardo Marques Dos Santos","dudu","Dudu","https://s.glbimg.com/es/sde/f/2020/02/27/94657541c8cae30d9fa105e9c6215055_FORMATO.png",97133,1,373,"lat","Nulo",0,4,0,0,0,"Atlético-GO"
"15","Nicolas Vichiatto da Silva","nicolas","Nicolas","https://s.glbimg.com/es/sde/f/2020/02/27/7f5642f8b7524479c49deb8ff60b5bdb_FORMATO.png",95127,1,373,"lat","Provável",0,4,0,0,0,"Atlético-GO"
"16","Lucas Pereira Ribeiro de Souza","lucas-pereira","Lucas Pereira","https://s.glbimg.com/es/sde/f/2020/02/27/7accab459be3ca0353d8cfe1819fcd5c_FORMATO.png",100100,1,373,"gol","Nulo",0,2,0,0,0,"Atlético-GO"
"17","Ricardo Santos Silva","ricardo","Ricardo","https://s.glbimg.com/es/sde/f/2020/02/27/fbb1ac4e273c8b199f61a3feff3d1d9b_FORMATO.png",105519,1,373,"mei","Nulo",0,2,0,0,0,"Atlético-GO"
"18","Gilvan Souza Correa","gilvan","Gilvan","https://s.glbimg.com/es/sde/f/2020/02/27/73ad0548535f59edf7dd6d9d1224dc21_FORMATO.png",82773,1,373,"zag","Provável",0,4,0,0,0,"Atlético-GO"
"19","Leonardo Cittadini","leo-cittadini","Léo Cittadini","https://s.glbimg.com/es/sde/f/2019/03/30/475167cdad7e826c64f4a0a999f8aef9_FORMATO.png",70986,1,293,"mei","Provável",0,8,0,0,0,"Athlético-PR"
"20","Henry Vaca Urquiza","vaca","Vaca","https://s.glbimg.com/es/sde/f/2020/03/03/49c4df4b898d3ab3f8b1ae29282b06a4_FORMATO.png",98992,1,373,"mei","Nulo",0,3,0,0,0,"Atlético-GO"
