"player_slug","player_id","player_nickname","player_team","player_position","price_cartoletas","score_mean","score_no_cleansheets_mean","diff_home_away_s","n_games","score_mean_home","score_mean_away","shots_x_mean","fouls_mean","DS_mean","PI_mean","A_mean","I_mean","FS_mean","FF_mean","G_mean","DD_mean","status","price_diff","last_points"
"sidcley",86764,"Sidcley","264","lat",8.2,6.16666666666667,4.5,-0.521862492842996,3,2.5,4.1,0,1,4.33333333333333,6.66666666666667,0,0.666666666666667,3.33333333333333,0,0,0,"Provável",-0.73,2.5
"boschilia",86841,"Boschilia","285","mei",5.11,2.5,2.5,1.09398915629616,3,6.7,0.4,0.666666666666667,0.666666666666667,2,4.66666666666667,0,0,1,0,0,0,"Provável",-1.94,-2.6
"nathan",87009,"Nathan","282","mei",10.94,3.2,3.2,1.2371658847009,2,10.2,3.2,0,2,5,3,0,1,0,0,0,0,"Dúvida",3.55,10.2
"zeca",87192,"Zeca","265","lat",4.61,3.33333333333333,0,0.23492878586775,3,4.5,-2.6,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,"Nulo",-1.24,-2.6
"guilherme-arana",87228,"Guilherme Arana","282","lat",17.18,6.25,2.5,0.23492878586775,4,4.9,7.8,1,1.75,2.25,12.25,0.25,0,0,0.25,0,0,"Provável",-0.15,4.5
"soteldo",87258,"Soteldo","277","ata",6.04,2.625,2.625,0.0303906024324136,4,0.3,-0.8,1.5,0.25,0,8.5,0,0.25,1.25,1,0.25,0,"Provável",-1.35,0.4
"willian-maranhao",87262,"Willian Maranhão","373","mei",3.17,1.9,1.9,0,2,1.9,0,0,0,2,1,0,1,1,0,0,0,"Nulo",-0.63,-0.3
"carlinhos",87273,"Carlinhos","267","mei",4.5,5,5,0,1,0,5,0,0,0,0,1,0,0,0,0,0,"Nulo",0.5,5
"kannemann",87342,"Kannemann","284","zag",10.56,5.13333333333333,0.133333333333333,-0.501408674499462,3,4.8,1.3,0.333333333333333,3.66666666666667,1.66666666666667,3,0,0,1.66666666666667,0.333333333333333,0,0,"Provável",-0.9,1.3
"gabriel",87393,"Gabriel","282","zag",7.83,2.8,-2.2,0,1,0,2.8,0,3,1,2,0,0,0,0,0,0,"Provável",-0.17,2.8
"thaciano",87470,"Thaciano","284","mei",6.29,3.2,3.2,-2.73087487394463,4,0.3,12.7,1.25,1,0.75,2,0,0,0.5,0.75,0.25,0,"Provável",-0.25,0
"tiago-orobo",87477,"Tiago Orobó","356","ata",2.39,-0.7,-0.7,0,1,-0.7,0,0,1,0,2,0,0,0,0,0,0,"Nulo",-1.61,-0.7
"vitor-bueno",87552,"Vitor Bueno","276","mei",7.31,1.9,1.9,0,1,1.9,0,3,2,1,10,0,0,4,3,0,0,"Dúvida",-1.69,1.9
"yago-felipe",87747,"Yago Felipe","266","mei",2.94,0.1,0.1,-0.440047219468861,3,-0.7,0.5,0.666666666666667,2.33333333333333,0.333333333333333,6,0,0,2,0.666666666666667,0,0,"Nulo",-0.38,0
"arrascaeta",87863,"Arrascaeta","262","mei",17.85,6.5,6.5,0.95081242789143,4,4.3,-1.3,2.75,0.25,2.25,9.5,0,0,0.75,1.25,0.25,0,"Provável",-3.19,-0.2
"matheus-vargas",87929,"Matheus Vargas","373","mei",2.93,0.5,0.5,-0.276416672720592,2,0.5,0.9,0,1,0,0,0,0,2,0,0,0,"Nulo",-0.25,0.9
"gustavo-scarpa",87999,"Gustavo Scarpa","275","mei",6.11,-1.1,-1.1,0,2,0,-1.1,1,2,1,4,0,0,0,1,0,0,"Nulo",-0.8,1.1
"douglas-baggio",88072,"Douglas Baggio","290","ata",4.02,3.96666666666667,3.96666666666667,-1.17638467983607,3,0,4.8,0.666666666666667,1.33333333333333,3.66666666666667,3.33333333333333,0,0,1,0,0,0,"Nulo",-0.45,0
"junior-alonso",88312,"Júnior Alonso","282","zag",10.9,5.75,2,0.705366607769025,4,5.1,5.7,0.75,1,2.25,3.5,0,0,0,0.75,0,0,"Provável",-0.43,2.7
"gabriel-dias",88368,"Gabriel Dias","356","lat",5.88,3.83333333333333,2.16666666666667,0.582643697707823,3,9.7,0.9,0.333333333333333,0.333333333333333,2,1,0,0,0.333333333333333,0.333333333333333,0,0,"Nulo",-1.68,-1
"aderlan",88423,"Aderlan","Bragantino","lat",10.7,4.65,4.65,0,4,0,0,0.5,2.25,6,8.5,0,0,0.25,0.25,0,0,"Provável",1.26,6.3
"marlon",88427,"Marlon","356","mei",3.55,0.9,0.9,0,1,0.9,0,0,0,1,1,0,0,0,0,0,0,"Contundido",-0.45,0.9
"leandro-carvalho",88669,"Leandro Carvalho","354","ata",5.78,6.6,6.6,0,2,6.6,0,1,1,2,6,1,0,2,0,0,0,"Provável",-0.84,0.8
"barreto",89224,"Barreto","Bragantino","mei",4.02,0.9,0.9,0,1,0,0,0,2,2,1,0,0,0,0,0,0,"Nulo",-0.98,0.9
"iago-maidana",89226,"Iago Maidana","292","zag",4.97,3,4.26666666666667,-1.03320795143134,3,-2.5,-0.3,1.66666666666667,2.33333333333333,1.66666666666667,9.66666666666667,0,0,2,1.33333333333333,0.333333333333333,0,"Provável",-2.06,-2.5
"gerson",89256,"Gerson","262","mei",10.99,3.525,3.525,-0.419593401125328,4,4.3,5.4,0.75,2.25,3.5,4.5,0,0,2.75,0.75,0,0,"Provável",0.52,3.9
"joao-pedro",89273,"João Pedro ","265","lat",4.26,-0.8,-0.8,0,1,0,-0.8,0,2,1,8,0,0,0,0,0,0,"Nulo",-1.74,-0.8
"matheus-sales",89285,"Matheus Sales","294","mei",2.97,-0.1,-0.1,0,1,0,-0.1,0,0,0,1,0,0,0,0,0,0,"Nulo",-1.03,-0.1
"igor-rabello",89493,"Igor Rabello","282","zag",13.99,10.5,5.5,0,2,0,10.5,0,0,5,5,0,0,2,0,0,0,"Nulo",0.58,7.9
"gustavo-ferrareis",89815,"Gustavo Ferrareis","373","mei",10.08,15.8,15.8,0,2,15.8,0,2,1,2,10,1,1,4,1,1,0,"Provável",0.11,5.1
"dodi",89883,"Dodi","266","mei",10.37,4.975,4.975,0.623551334394891,4,8.3,4.3,1.25,1,4.5,3.75,0,0,1.25,1,0,0,"Provável",0.65,4.8
"bruno-pacheco",90061,"Bruno Pacheco","354","lat",6.49,2,2,-0.174147581002923,3,3.1,3,0,2.33333333333333,3.33333333333333,10,0,0,1.66666666666667,0,0,0,"Provável",0.52,3.1
"yago-rocha",90118,"Yago Rocha","290","lat",3.06,1.9,1.9,0,1,0,1.9,1,0,1,3,0,0,0,0,0,0,"Dúvida",0.06,1.9
"bruno-henrique",90285,"Bruno Henrique","262","ata",13.52,3.05,3.05,-0.603677766217131,4,2.1,4.1,1.5,3,1.25,3.5,0.25,1,3.25,0.75,0,0,"Provável",-0.3,3.3
"david",90309,"David","356","ata",3.05,0.5,0.5,-0.276416672720592,4,0.2,0.6,1,2.5,1.25,3,0,0.5,0.5,1,0,0,"Provável",-0.01,1
"moises",90444,"Moisés","285","lat",10.81,5.175,1.425,-1.23774613486667,4,3,8.1,1.5,3.25,3.5,12.25,0,0.5,0,1,0,0,"Provável",0.59,4.4
"yuri-lima",90569,"Yuri Lima","266","mei",1.02,-1.33333333333333,-1.33333333333333,-0.0309708525981875,3,-0.8,-1.6,0,2,0.666666666666667,1.66666666666667,0,0,0.333333333333333,0,0,0,"Provável",0.28,1.1
"leo-sena",90572,"Léo Sena","282","mei",6.21,0.8,0.8,0,1,0.8,0,0,1,1,2,0,0,1,0,0,0,"Nulo",-1.79,0.8
"luiz-fernando",90715,"Luiz Fernando ","263","ata",6.81,0.5,0.5,1.93259570838105,2,10.9,0.5,0,0,0,0,0,0,1,0,0,0,"Dúvida",2.93,10.9
"fabricio-bruno",90768,"Fabrício Bruno","Bragantino","zag",2.44,-0.733333333333333,-0.733333333333333,0,3,0,0,0,1.33333333333333,0.666666666666667,4,0,0,0.333333333333333,0,0,0,"Dúvida",0.69,3.4
"klaus",90846,"Klaus","354","zag",4.13,-0.3,-0.3,0,1,0,-0.3,0,1,0,3,0,0,1,0,0,0,"Provável",-1.87,-0.3
"carlos-eduardo",90917,"Carlos Eduardo","293","ata",4.81,1.95,1.95,1.1758044296703,4,7,0.3,0.25,0.5,0,1.75,0,0,0.75,0,0.25,0,"Nulo",0.1,1.2
"jean",90933,"Jean","373","gol",6.85,12.2666666666667,8.93333333333333,3.22118626402367,3,16.1,-5.6,0,0,0,10.6666666666667,0,0,0,0,0,2.66666666666667,"Provável",-2.52,-5.6
"flavio",91102,"Flávio","265","mei",7.14,6.1,6.1,0,1,6.1,0,1,3,6,6,0,0,2,0,0,0,"Provável",1.14,6.1
"pepe",91201,"Pepê","284","ata",13.22,5.175,5.175,-1.38092286327141,4,3,8.8,2.25,0.5,1.25,5.25,0.25,0,2.5,1.25,0,0,"Nulo",1.92,10.3
"eder",91203,"Éder ","373","zag",3.9,4.2,0.866666666666667,0.112205875806548,3,6.1,-0.4,0,0.666666666666667,0.666666666666667,3,0,0,1.66666666666667,0,0,0,"Provável",-0.38,-0.4
"rodrigues",91251,"Rodrigues","284","zag",1.61,0.3,0.3,0,1,0,0.3,0,0,1,7,0,0,0,0,0,0,"Nulo",-0.39,0.3
