,atletas.slug,atletas.pontos_num,atletas.clube_id,atletas.posicao_id,atletas.apelido_abreviado,atletas.nome,atletas.media_num,atletas.variacao_num,atletas.atleta_id,atletas.status_id,atletas.clube.id.full.name,atletas.preco_num,atletas.jogos_num,atletas.rodada_id,atletas.entrou_em_campo,atletas.foto,atletas.apelido,DS,FC,FD,FF,FS,I,SG,CA,A,FT,G,CV,PC,PS,DE,GS,DP,V,PP,GC
75,gabriel,4.1,2305,4,Gabriel,Gabriel Santana Pinto,2.74,0.54,73515,7,MIR,5.72,11,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,Gabriel,3.0,1.0,4.0,2.0,8.0,5.0,,1.0,,,2.0,,,1.0,,,,,,
76,rincon,0.2,277,4,Rincón,Tomás Eduardo Rincón Hernández,1.38,-0.27,74187,3,SAN,3.61,8,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,Rincón,9.0,18.0,,5.0,4.0,,,3.0,,,,,,,,,,,,
77,carrillo,0.2,264,4,Carrillo,André Martín Carrillo Díaz,3.01,-1.03,77485,7,COR,6.02,12,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,Carrillo,18.0,15.0,1.0,4.0,9.0,2.0,,,1.0,,,,,,,,,,,
78,cedric-soares,8.5,276,2,C. Soares,Cédric Ricardo Alves Soares,2.64,1.3,77656,7,SAO,7.37,13,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Cédric Soares,12.0,6.0,,2.0,5.0,,2.0,1.0,1.0,,,,,,,,,,,
79,sergio-oliveira,0.0,292,4,S. Oliveira,Sérgio Miguel Relvas de Oliveira,4.6,0.0,77664,7,SPT,8.59,8,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Sérgio Oliveira,14.0,12.0,3.0,6.0,6.0,,,3.0,,1.0,1.0,,,,,,,,,
80,romarinho,0.0,287,5,Romarinho,Romário Ricardo da Silva,0.0,0.0,77738,6,VIT,7.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Romarinho,,,,,,,,,,,,,,,,,,,,
81,joao-schmidt,0.0,277,4,J. Schmidt,João Felipe Schmidt Urbano,2.37,0.0,77777,2,SAN,4.59,9,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,João Schmidt,15.0,15.0,1.0,4.0,4.0,1.0,,3.0,,,,,,,,,,,,
82,everaldo,0.1,266,5,Everaldo,Everaldo Stum,1.58,-0.36,78117,2,FLU,3.38,13,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Everaldo,2.0,14.0,5.0,6.0,8.0,1.0,,1.0,,,1.0,,,,,,,,,
83,gustavo-henrique,0.0,264,3,G. Henrique,Gustavo Henrique Vernes,3.35,0.0,78248,6,COR,7.11,4,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,Gustavo Henrique,7.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,
84,rene,0.5,266,2,Renê,Renê Rodrigues Martins,6.37,-0.45,78445,7,FLU,8.88,10,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Renê,25.0,8.0,,2.0,8.0,,3.0,,,,1.0,,,,,,,,,
85,claudio-tencati,2.6,286,6,C. Tencati,Cláudio Tencati,4.34,-0.93,78450,7,JUV,7.12,5,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Cláudio Tencati,,,,,,,,,,,,,,,,,,1.0,,
86,willian-arao,0.0,277,4,W. Arão,Willian Souza Arão da Silva,-0.3,0.0,78478,2,SAN,7.19,1,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,Willian Arão,,1.0,,,,,,,,,,,,,,,,,,
87,cleber-xavier,3.18,277,6,C. Xavier,Cleber Marcio Serpa Xavier,5.08,-0.72,78479,7,SAN,9.93,8,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,Cleber Xavier,,,,,,,,,,,,,,,,,,3.0,,
88,gabriel,0.0,280,4,Gabriel,Gabriel Girotto Franco,3.77,0.0,78605,7,RBB,6.06,13,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,Gabriel,25.0,20.0,1.0,4.0,16.0,,,3.0,,,1.0,,,,,,,,,
89,reinaldo,15.0,2305,2,Reinaldo,Reinaldo Manoel da Silva,7.84,2.18,78850,7,MIR,11.34,13,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,Reinaldo,11.0,9.0,4.0,4.0,10.0,,3.0,2.0,2.0,,7.0,,,,,,,,1.0,
90,richard,0.0,354,1,Richard,Richard de Oliveira Costa,0.0,0.0,78851,6,CEA,5.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Richard,,,,,,,,,,,,,,,,,,,,
91,thiago-santos,0.0,266,3,T. Santos,Thiago dos Santos,5.15,0.0,78855,6,FLU,7.89,4,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Thiago Santos,4.0,3.0,,,1.0,,3.0,,,,,,,,,,,,,
92,alex-muralha,0.0,2305,1,A. Muralha,Alex Roberto Santana Rafael,2.37,0.0,79066,6,MIR,3.34,6,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,Alex Muralha,,,,,1.0,,,2.0,,,,,,,19.0,9.0,,,,
93,bruno-ferreira,2.9,354,1,B. Ferreira,Bruno Ferreira Ventura Diniz - de Lins,3.57,0.24,79266,7,CEA,5.93,6,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Bruno Ferreira,,1.0,,,1.0,,2.0,1.0,,,,,,,14.0,6.0,,,,
94,roger-machado,8.16,285,6,R. Machado,Roger Machado Marques,5.28,0.3,79437,7,INT,10.28,14,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Roger Machado,,,,,,,,,,,,,,,,,,4.0,,
95,cano,0.0,266,5,Cano,Germán Ezequiel Cano,2.9,0.0,79631,2,FLU,8.26,7,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Cano,1.0,4.0,1.0,10.0,8.0,2.0,,1.0,,,1.0,,,,,,,,,
96,lucas-silva,0.5,283,4,L. Silva,Lucas Silva Borges,2.28,-0.21,79701,2,CRU,4.77,14,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,Lucas Silva,7.0,22.0,1.0,3.0,11.0,,,2.0,2.0,1.0,1.0,,,,,,,,,
97,antonio-carlos,0.0,292,3,A. Carlos,Antônio Carlos Cunha Capocasali Júnior,1.37,0.0,79702,6,SPT,3.81,3,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Antônio Carlos,3.0,3.0,,,1.0,,,,,,,,,,,,,,,
98,ze-roberto,0.0,292,5,Z. Roberto,José Roberto Assunção de Araújo Filho,0.0,0.0,80076,6,SPT,6.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Zé Roberto,,,,,,,,,,,,,,,,,,,,
99,jadson,2.8,286,4,Jadson,Jadson Alves dos Santos,3.58,-0.31,80129,7,JUV,6.12,12,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Jadson,22.0,17.0,3.0,2.0,20.0,2.0,,4.0,1.0,,,,1.0,,,,,,,
100,yago-pikachu,0.0,356,4,Y. Pikachu,Glaybson Yago Souza Lisboa,3.33,-2.37,80196,6,FOR,5.92,12,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Yago Pikachu,7.0,4.0,3.0,3.0,10.0,3.0,,,,1.0,2.0,,,1.0,,,,,,
101,rafa-silva,0.0,2305,5,R. Silva,Rafael da Silva,0.0,0.0,80225,6,MIR,4.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,Rafa Silva,,,,,,,,,,,,,,,,,,,,
102,luciano,20.3,276,5,Luciano,Luciano da Rocha Neves,6.91,0.83,80287,7,SAO,12.1,12,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Luciano,14.0,11.0,9.0,15.0,19.0,1.0,,3.0,2.0,,3.0,,,2.0,,,,,,
103,gilberto,0.2,265,2,Gilberto,Gilberto Moraes Júnior,3.79,-0.51,80313,6,BAH,7.06,12,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Gilberto,15.0,10.0,1.0,3.0,5.0,1.0,3.0,3.0,,,1.0,,,,,,,,,
104,wendell,19.3,276,2,Wendell,Wendell Nascimento Borges,5.24,3.33,80570,6,SAO,11.84,8,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Wendell,12.0,9.0,,2.0,10.0,,3.0,,1.0,,,,,,,,,,,
105,lucas-lima,3.5,292,4,L. Lima,Lucas Rafael Araújo Lima,2.62,0.16,80583,7,SPT,5.67,12,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Lucas Lima,9.0,16.0,7.0,1.0,18.0,5.0,,5.0,2.0,,,,,,,,,,,
106,jair,0.0,267,4,Jair,Jair Rodrigues Júnior,2.02,0.0,81091,6,VAS,4.89,6,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,Jair,8.0,9.0,,1.0,8.0,,,2.0,,,,,,,,,,,,
107,lucas-mugni,0.0,354,4,L. Mugni,Lucas Andrés Mugni,4.19,0.0,81121,7,CEA,6.45,10,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Lucas Mugni,15.0,16.0,1.0,5.0,8.0,1.0,,3.0,2.0,,1.0,,,,,,,,,
108,mayke,0.0,275,2,Mayke,Mayke Rocha de Oliveira,3.4,0.0,81150,6,PAL,8.36,3,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,Mayke,5.0,10.0,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,
109,goncalo-paciencia,0.0,292,5,G. Paciência,Gonçalo Mendes Paciência,0.87,0.0,81401,7,SPT,6.3,3,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Gonçalo Paciência,,1.0,,3.0,1.0,,,,,,,,,,,,,,,
110,alisson,-0.4,276,4,Alisson,Alisson Euler de Freitas Castro,1.6,-0.23,81845,7,SAO,4.32,13,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Alisson,6.0,13.0,4.0,3.0,15.0,,,4.0,1.0,,,,,,,,,,,
111,joao-ricardo,0.0,356,1,J. Ricardo,João Ricardo Riedi,4.75,0.0,81881,5,FOR,8.76,11,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,João Ricardo,,,,,,,4.0,,,,,,,,41.0,18.0,,,,1.0
112,willian-oliveira,0.0,287,4,W. Oliveira,Willian Osmar de Oliveira Silva,2.28,0.0,81952,7,VIT,4.49,6,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Willian Oliveira,8.0,9.0,1.0,4.0,6.0,,,3.0,,,,,,,,,,,,
113,chico-kim,0.0,2305,4,C. Kim,Francisco Hyun-Sol Kim,3.85,0.22,82407,6,MIR,6.21,4,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,Chico Kim,7.0,1.0,1.0,,6.0,,,,,,,,,1.0,,,,,,
114,ze-rafael,-0.4,277,4,Z. Rafael,José Rafael Vivian,4.03,-1.22,82455,7,SAN,7.21,7,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,Zé Rafael,16.0,8.0,,2.0,12.0,,,1.0,,,,,,,,,,,,
115,otavio,0.0,266,4,Otávio,Otávio Henrique Passos Santos,0.0,0.0,82463,6,FLU,7.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Otávio,,,,,,,,,,,,,,,,,,,,
116,luiz-araujo,3.2,262,5,L. Araújo,Luiz de Araújo Guimarães Neto,5.96,-0.11,82627,7,FLA,9.4,13,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,Luiz Araújo,22.0,9.0,4.0,8.0,8.0,1.0,,,1.0,1.0,3.0,,,,,,,,,
117,tinga,0.0,356,2,Tinga,Guilherme de Jesus da Silva,4.9,0.0,82628,6,FOR,8.39,6,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Tinga,4.0,4.0,,2.0,2.0,,3.0,1.0,,,1.0,,,,,,,,,
118,marcelo-hermes,2.7,286,2,M. Hermes,Marcelo Gazella Hermes,4.45,0.01,82639,7,JUV,6.03,2,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Marcelo Hermes,2.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,
119,lucas-ramon,8.8,2305,2,L. Ramon,Lucas Ramon Batista Silva,6.04,1.08,82775,3,MIR,9.43,12,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,Lucas Ramon,25.0,15.0,4.0,1.0,16.0,1.0,3.0,3.0,1.0,,1.0,,,1.0,,,,,,
120,rafael-thyere,3.1,292,3,R. Thyere,Rafael Thyere de Albuquerque Marques,3.75,0.14,83048,7,SPT,6.37,2,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Rafael Thyere,2.0,2.0,,2.0,1.0,,,,,1.0,,,,,,,,,,
121,alan-benitez,0.0,285,2,A. Benítez,Alan Max Benítez Domínguez,5.0,0.0,83251,6,INT,7.37,1,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Alan Benítez,,,,,,,1.0,,,,,,,,,,,,,
122,gabriel,20.4,283,5,Gabriel,Gabriel Barbosa Almeida,4.26,3.32,83257,6,CRU,9.74,12,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,Gabriel,3.0,2.0,4.0,4.0,5.0,4.0,,1.0,2.0,,4.0,,,,,,,,1.0,
123,leo-pereira,3.7,262,3,L. Pereira,Leonardo Pereira,4.74,0.1,83528,7,FLA,9.18,13,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,Léo Pereira,6.0,6.0,1.0,1.0,3.0,,9.0,1.0,,,1.0,,1.0,,,,,,,
124,neris,0.0,287,3,Neris,Hueglo dos Santos Neris,0.0,0.0,83786,6,VIT,3.37,3,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Neris,1.0,7.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,
125,tiquinho-soares,0.0,277,5,T. Soares,Francisco das Chagas Soares dos Santos Meireles,3.4,0.0,84042,6,SAN,8.83,11,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,Tiquinho Soares,6.0,17.0,4.0,8.0,13.0,2.0,,2.0,2.0,,1.0,,,,,,,,,
126,ruan-carneiro,0.0,286,1,R. Carneiro,Eudes Ruan de Souza Carneiro,0.0,0.0,84094,6,JUV,1.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Ruan Carneiro,,,,,,,,,,,,,,,,,,,,
127,jemerson,0.0,284,3,Jemerson,Jemerson de Jesus Nascimento,3.2,0.0,84263,6,GRE,4.77,9,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Jemerson,11.0,14.0,1.0,1.0,3.0,,1.0,3.0,,1.0,1.0,,,,,,,,,
128,fernando-sobral,0.5,354,4,F. Sobral,Fernando Pereira do Nascimento,1.82,0.02,84428,7,CEA,4.45,11,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Fernando Sobral,15.0,15.0,,2.0,9.0,1.0,,4.0,,,,,,,,,,,,
129,romarinho,0.5,292,5,Romarinho,José Romário Silva de Souza,0.92,-0.28,84523,6,SPT,2.79,6,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Romarinho,,,2.0,2.0,3.0,,,,,,,,,,,,,,,
130,lucas-romero,0.9,283,4,L. Romero,Lucas Daniel Romero,5.21,-0.93,84558,7,CRU,7.9,14,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,Lucas Romero,33.0,16.0,1.0,4.0,20.0,1.0,,4.0,2.0,,1.0,,,,,,,,,
131,lucas-evangelista,13.3,275,4,L. Evangelista,Lucas Evangelista Santana de Oliveira,3.68,1.6,84674,7,PAL,8.03,9,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,Lucas Evangelista,9.0,8.0,2.0,2.0,10.0,,,,1.0,,1.0,,,,,,,,,
132,jorginho,1.2,262,4,Jorginho,Jorge Luiz Frello Filho,0.93,-0.97,84735,7,FLA,9.24,3,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,Jorginho,3.0,4.0,,,1.0,,,1.0,,,,,,,,,,,,
133,varela,4.7,262,2,Varela,Guillermo Varela Olivera,6.11,0.47,84816,7,FLA,8.77,9,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,Varela,6.0,2.0,1.0,,3.0,1.0,7.0,,2.0,,,,1.0,,,,,,,
134,luan-peres,0.2,277,3,L. Peres,Luan Peres Petroni,2.24,-0.67,84847,7,SAN,4.88,7,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,Luan Peres,3.0,10.0,1.0,,4.0,,3.0,4.0,,,,,,,,,,,,
135,marcos-felipe,0.3,265,1,M. Felipe,Marcos Felipe de Freitas Monteiro,4.35,-0.29,85004,6,BAH,7.14,11,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Marcos Felipe,,,,,3.0,,4.0,,,,,,1.0,,28.0,9.0,,,,
136,oscar-romero,0.0,285,4,O. Romero,Óscar David Romero Villamayor,1.57,0.0,85034,6,INT,4.71,8,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Óscar Romero,2.0,1.0,1.0,4.0,5.0,,,1.0,1.0,,,,1.0,,,,,,,
137,memphis-depay,1.7,264,5,M. Depay,Memphis Depay,6.33,-0.14,85048,7,COR,14.43,10,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,Memphis Depay,5.0,8.0,7.0,6.0,14.0,,,3.0,3.0,2.0,3.0,,,,,,,,1.0,
138,vinicius-silvestre,0.0,356,1,V. Silvestre,Vinicius Silvestre da Costa,0.0,0.0,85083,6,FOR,5.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Vinicius Silvestre,,,,,,,,,,,,,,,,,,,,
139,danielzinho,0.6,2305,4,Danielzinho,Daniel de Oliveira Sertanejo,3.02,-0.02,85403,7,MIR,5.03,13,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,Danielzinho,13.0,17.0,3.0,4.0,22.0,,,2.0,1.0,1.0,,,,1.0,,,,,,
140,joao-paulo,0.0,277,1,J. Paulo,João Paulo Silva Martins,-1.0,0.0,85425,6,SAN,6.45,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,João Paulo,,,,,,,,2.0,,,,,,,,,,,,
141,alex-santana,0.1,284,4,A. Santana,Alex Paulo Menezes Santana,0.7,-0.71,85465,6,GRE,3.6,5,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Alex Santana,1.0,5.0,,2.0,8.0,1.0,,2.0,,,,,,,,,,,,
142,ricardo-ryller,0.0,287,4,R. Ryller,Ricardo Ryller Ribeiro Lino Silva,1.26,0.0,85856,7,VIT,2.69,12,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Ricardo Ryller,13.0,25.0,3.0,,5.0,,,3.0,,,,,,,,,,,,
143,aylon,0.0,354,5,Aylon,Aylon Darwin Tavella,2.77,-0.48,85930,6,CEA,4.24,7,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Aylon,4.0,9.0,1.0,3.0,9.0,,,,,,1.0,,,,,,,,,
144,hyoran,0.0,292,4,Hyoran,Hyoran Kaue Dalmoro,0.0,0.0,85931,6,SPT,5.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Hyoran,,,,,,,,,,,,,,,,,,,,
145,bolasie,3.7,283,5,Bolasie,Yannick Bolasie,1.07,0.41,86292,6,CRU,4.14,8,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,Bolasie,3.0,7.0,1.0,,2.0,1.0,,1.0,1.0,,,,,,,,,,,
146,victor-luis,0.0,267,2,V. Luis,Victor Luis Chuab Zamblauskas,1.7,0.0,86410,6,VAS,4.24,1,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,Victor Luis,,,1.0,,1.0,,,,,,,,,,,,,,,
147,keno,0.0,266,5,Keno,Marcos da Silva França,1.8,0.0,86485,6,FLU,5.72,5,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Keno,1.0,2.0,2.0,4.0,5.0,,,,,,,,,,,,,,,
148,jandrei,0.0,276,1,Jandrei,Jandrei Chitolina Carniel,0.0,0.0,86508,6,SAO,5.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Jandrei,,,,,,,,,,,,,,,,,,,,
149,richardson,0.0,354,4,Richardson,Richardson Fernandes dos Santos,0.0,0.0,86536,6,CEA,3.62,1,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Richardson,,,,,,,,,,,,,,,,,,,,
150,tche-tche,-0.9,267,4,T. Tchê,Danilo das Neves Pinheiro,1.15,-0.78,86686,6,VAS,3.55,11,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,Tchê Tchê,2.0,5.0,1.0,2.0,17.0,1.0,,,,,,,,,,,,,,
151,richard,0.0,285,4,Richard,Richard Cândido Coelho,0.0,0.0,86711,6,INT,4.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Richard,,,,,,,,,,,,,,,,,,,,
152,everton,0.8,262,5,Everton,Everton Sousa Soares,2.41,-0.1,86757,6,FLA,7.27,14,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,Everton,7.0,7.0,4.0,9.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,
153,matheus-rossetto,0.0,356,4,M. Rossetto,Matheus Rossetto,1.27,0.0,86766,6,FOR,3.71,6,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Matheus Rossetto,5.0,3.0,,,2.0,,,,,,,,,,,,,,,
