,atletas.slug,atletas.pontos_num,atletas.clube_id,atletas.posicao_id,atletas.apelido_abreviado,atletas.nome,atletas.media_num,atletas.variacao_num,atletas.atleta_id,atletas.status_id,atletas.clube.id.full.name,atletas.preco_num,atletas.jogos_num,atletas.rodada_id,atletas.entrou_em_campo,atletas.foto,atletas.apelido,DS,FC,FD,FF,FS,I,SG,CA,A,FT,G,CV,PC,PS,DE,GS,DP,V,PP,GC
17,david-luiz,0.0,356,3,D. Luiz,David Luiz Moreira Marinho,3.18,0.0,52827,5,FOR,7.34,6,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,David Luiz,5.0,6.0,1.0,4.0,2.0,,2.0,2.0,,,,,,,,,,,,
18,leo-gamalho,0.0,2305,5,L. Gamalho,Leonardo Gamalho de Souza,0.0,0.0,53865,6,MIR,4.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,Léo Gamalho,,,,,,,,,,,,,,,,,,,,
19,alex-teixeira,0.0,267,5,A. Teixeira,Alex Teixeira Santos,0.66,0.0,60793,6,VAS,2.47,8,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,Alex Teixeira,3.0,2.0,2.0,,,,,1.0,,,,,,,,,,,,
20,gilberto,1.3,286,5,Gilberto,Gilberto Oliveira Souza Júnior,2.48,-1.8,61188,7,JUV,4.47,10,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Gilberto,,12.0,2.0,4.0,8.0,2.0,,2.0,1.0,,2.0,,,,,,,,,
21,alex-sandro,0.0,262,2,A. Sandro,Alex Sandro Lobo Silva,5.05,0.0,61987,6,FLA,10.75,10,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,Alex Sandro,11.0,20.0,,2.0,9.0,1.0,7.0,1.0,,,,,,,,,,,,
22,ganso,0.0,266,4,Ganso,Paulo Henrique Chagas de Lima,1.69,0.0,62977,6,FLU,6.62,7,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Ganso,5.0,1.0,,2.0,8.0,,,1.0,,,,,,,,,,,,
23,neymar,3.2,277,4,Neymar,Neymar da Silva Santos Júnior,3.23,-1.49,63007,7,SAN,14.88,6,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,Neymar,,9.0,4.0,3.0,22.0,1.0,,1.0,,,1.0,1.0,,,,,,,,
24,marcos-rocha,0.0,275,2,M. Rocha,Marcos Luis Rocha Aquino,0.0,0.0,63013,6,PAL,7.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,Marcos Rocha,,,,,,,,,,,,,,,,,,,,
25,alan-ruschel,0.0,286,2,A. Ruschel,Alan Luciano Ruschel,2.89,-0.77,63110,6,JUV,5.43,10,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Alan Ruschel,10.0,8.0,,,17.0,2.0,2.0,2.0,,,,,,,,,,,,
26,edenilson,0.7,284,4,Edenílson,Edenílson Andrade dos Santos,2.05,-0.69,63289,6,GRE,4.89,9,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Edenílson,4.0,6.0,,1.0,9.0,,,4.0,1.0,,1.0,,,,,,,,,
