,atletas.status_id,atletas.pontos_num,atletas.atleta_id,atletas.variacao_num,atletas.foto,atletas.apelido,atletas.posicao_id,atletas.jogos_num,atletas.clube.id.full.name,atletas.nome,atletas.preco_num,atletas.minimo_para_valorizar,atletas.entrou_em_campo,atletas.media_num,atletas.slug,atletas.apelido_abreviado,atletas.clube_id,atletas.rodada_id,DS,FC,FD,FF,FS,G,CA,I,DE,DP,GS,SG,A,FT,V,PS,PC,CV,PP,GC
0,7,5.46,37281,-0.59,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Mano Menezes,6,4,GRE,Luis Antônio Venker de Menezes,9.85,,True,5.25,mano-menezes,M. Menezes,284,8,,,,,,,,,,,,,,,1.0,,,,,
1,7,5.83,37457,-0.45,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Léo Condé,6,7,CEA,Leonardo Rodrigues Condé,8.08,,True,6.22,leo-conde,L. Condé,354,8,,,,,,,,,,,,,,,2.0,,,,,
2,7,-0.4,37656,-1.05,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Fábio,1,8,FLU,Fábio Deivson Lopes Maciel,8.84,,True,3.57,fabio,Fábio,266,8,,,,,,,,,22.0,,10.0,2.0,,,,,,,,
3,7,1.5,37715,-1.25,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Thiago Silva,3,4,FLU,Thiago Emiliano da Silva,9.94,,True,2.38,thiago-silva,T. Silva,266,8,1.0,1.0,1.0,2.0,1.0,,,,,,,1.0,,,,,,,,
4,6,0.0,38398,-0.77,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Renato Augusto,4,1,FLU,Renato Soares de Oliveira Augusto,6.23,,True,0.0,renato-augusto,R. Augusto,266,8,,,,,,,,,,,,,,,,,,,,
5,5,0.0,38913,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Nenê,4,3,JUV,Anderson Luis de Carvalho - Luiz,4.16,,False,1.07,nene,Nenê,286,8,,,1.0,,4.0,,,,,,,,,,,,,,,
6,7,8.3,39148,-1.08,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Hulk,5,7,CAM,Givanildo Vieira de Souza,15.71,,True,5.75,hulk,Hulk,282,8,2.0,8.0,10.0,7.0,15.0,1.0,3.0,5.0,,,,,2.0,,,,,,,
7,7,3.5,39656,-0.11,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Alan Franco,4,4,CAM,Alan Steven Franco Palma,5.58,,True,2.02,alan-franco,A. Franco,282,8,5.0,4.0,,1.0,2.0,,,,,,,,,,,,,,,
8,7,2.55,40990,-0.91,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,Dorival Júnior,6,2,COR,Dorival Silvestre Júnior,11.03,,True,5.21,dorival-junior,D. Júnior,264,8,,,,,,,,,,,,,,,1.0,,,,,
9,7,4.03,41929,-0.64,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Renato Gaúcho,6,7,FLU,Renato Portaluppi,9.68,,True,5.56,renato-gaucho,R. Gaúcho,266,8,,,,,,,,,,,,,,,4.0,,,,,
10,7,3.8,42222,0.43,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Osvaldo,5,4,VIT,Osvaldo Lourenço Filho,3.96,,True,1.25,osvaldo,Osvaldo,287,8,1.0,,1.0,1.0,3.0,,,,,,,,,,,,,,,
11,7,10.2,42234,1.14,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,Cássio,1,8,CRU,Cássio Roberto Ramos,10.57,,True,6.5,cassio,Cássio,283,8,,,,,,,2.0,,30.0,1.0,7.0,3.0,,,,,,,,
