,atletas.posicao_id,atletas.apelido,atletas.variacao_num,atletas.preco_num,atletas.rodada_id,atletas.jogos_num,atletas.media_num,atletas.nome,atletas.clube.id.full.name,atletas.status_id,atletas.entrou_em_campo,atletas.slug,atletas.atleta_id,atletas.apelido_abreviado,atletas.clube_id,atletas.foto,atletas.pontos_num,CA,DS,FC,FF,FS,G,I,FD,SG,A,PS,FT,V,CV,DE,DP,GS,PC,PP,GC
47,4,Bruno Henrique,0.0,5.71,23,16,2.53,Bruno Henrique Corsini,INT,6,False,bruno-henrique,70944,B. Henrique,285,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,0.0,,20.0,28.0,8.0,8.0,1.0,,3.0,,,,,,1.0,,,,,,
48,4,Thiago Mendes,0.0,4.96,23,3,0.2,Thiago Henrique Mendes Ribeiro,VAS,6,False,thiago-mendes,71123,T. Mendes,267,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,0.0,1.0,1.0,3.0,,2.0,,,,,,,,,,,,,,,
49,4,Vina,-0.48,6.61,23,2,2.95,Vinícius Goes Barbosa de Souza,CEA,6,True,vina,71162,Vina,354,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,1.5,,2.0,1.0,,4.0,,,1.0,,,,,,,,,,,,
50,4,Luiz Gustavo,0.0,10.73,23,1,9.6,Luiz Gustavo Dias,SAO,5,False,luiz-gustavo,71536,L. Gustavo,276,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,0.0,,4.0,4.0,1.0,2.0,,,,,,,1.0,,,,,,,,
51,1,Fernando Miguel,0.0,7.02,23,6,6.18,Fernando Miguel Kaufmann,CEA,6,False,fernando-miguel,71571,F. Miguel,354,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,0.0,,,,,6.0,,,,3.0,,,,,,17.0,,3.0,,,
52,1,Weverton,0.01,7.98,23,20,4.43,Weverton Pereira da Silva,PAL,7,True,weverton,71631,Weverton,275,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,1.6,2.0,,,,8.0,,,,8.0,,,,,,42.0,1.0,15.0,,,
53,2,Raúl Cáceres,-0.36,2.73,23,9,2.23,Raúl Alejandro Cáceres Bogado,VIT,6,True,raul-caceres,71680,R. Cáceres,287,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,-1.9,4.0,4.0,10.0,2.0,2.0,,1.0,3.0,2.0,1.0,,,,,,,,,,
54,3,Gustavo Gómez,0.44,9.21,23,17,4.86,Gustavo Raúl Gómez Portillo,PAL,7,True,gustavo-gomez,71684,G. Gómez,275,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,3.6,5.0,25.0,21.0,5.0,8.0,1.0,7.0,1.0,7.0,1.0,,,,,,,,,,
55,2,Santiago Arias,0.27,6.72,23,10,3.68,Santiago Arias Naranjo,BAH,7,True,santiago-arias,71701,S. Arias,265,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,4.8,2.0,12.0,4.0,2.0,6.0,,,2.0,3.0,,,,,,,,,,,
56,4,Cuéllar,-0.55,6.61,23,6,4.1,Gustavo Leonardo Cuellar Gallego,GRE,7,True,cuellar,71709,Cuéllar,284,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,4.0,1.0,16.0,8.0,,8.0,,,,,,,,,,,,,,,
57,1,Tiago Volpi,-0.62,7.42,23,21,4.16,Tiago Luis Volpi,GRE,7,True,tiago-volpi,72018,T. Volpi,284,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,5.5,2.0,,,,5.0,1.0,,,4.0,,,,,,66.0,,26.0,1.0,,
58,1,Thomazella,0.0,2.0,23,0,0.0,Carlos Eduardo Lecciolle Thomazella,MIR,6,False,thomazella,72279,Thomazella,2305,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,0.0,,,,,,,,,,,,,,,,,,,,
