,atletas.apelido_abreviado,atletas.preco_num,atletas.atleta_id,atletas.clube_id,atletas.nome,atletas.status_id,atletas.entrou_em_campo,atletas.apelido,atletas.foto,atletas.media_num,atletas.slug,atletas.posicao_id,atletas.rodada_id,atletas.pontos_num,atletas.clube.id.full.name,atletas.jogos_num,atletas.variacao_num,CA,DS,FC,FD,FF,FS,G,I,SG,A,DE,GS,PS,FT,V,CV,DP,PC,PP,GC
56,Cuéllar,6.01,71709,284,Gustavo Leonardo Cuellar Gallego,6,True,Cuéllar,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,2.74,cuellar,4,34,5.0,GRE,13,0.86,2.0,23.0,13.0,,,14.0,,,,,,,,,,,,,,
57,T. Volpi,7.92,72018,284,Tiago Luis Volpi,7,True,Tiago Volpi,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,4.31,tiago-volpi,1,34,7.6,GRE,27,0.15,2.0,,,,,9.0,1.0,,5.0,,89.0,34.0,,,,,,1.0,,
58,Thomazella,2.0,72279,2305,Carlos Eduardo Lecciolle Thomazella,6,False,Thomazella,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,0.0,thomazella,1,34,0.0,MIR,0,0.0,,,,,,,,,,,,,,,,,,,,
59,Everson,8.91,72294,282,Everson Felipe Marques Pires,6,False,Everson,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,4.75,everson,1,34,0.0,CAM,29,0.0,7.0,,,,,7.0,,,11.0,,90.0,31.0,,,,,,,,
60,L. Otávio,4.0,72359,354,Luiz Otávio Anacleto Leandro,5,False,Luiz Otávio,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,0.0,luiz-otavio,3,34,0.0,CEA,0,0.0,,,,,,,,,,,,,,,,,,,,
61,F. Diniz,9.34,72391,267,Fernando Diniz Silva,7,True,Fernando Diniz,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,5.33,fernando-diniz,6,34,1.11,VAS,24,-0.25,,,,,,,,,,,,,,,9.0,,,,,
62,Bernard,3.17,72460,282,Bernard Anício Caldeira Duarte,6,False,Bernard,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,1.0,bernard,4,34,0.0,CAM,22,0.0,3.0,14.0,15.0,1.0,5.0,7.0,,1.0,,,,,,,,,,,,
63,A. Telles,10.48,72493,263,Alex Nicolao Telles,3,False,Alex Telles,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,5.8,alex-telles,2,34,0.0,BOT,21,0.0,2.0,8.0,18.0,3.0,8.0,11.0,3.0,1.0,13.0,2.0,,,,1.0,,,,,,
64,P. Henrique,7.35,72583,354,Pedro Henrique Konzen Medina da Silva,7,True,Pedro Henrique,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,4.24,pedro-henrique,5,34,0.7,CEA,24,-0.38,6.0,22.0,27.0,8.0,12.0,25.0,4.0,10.0,,3.0,,,,2.0,,,,1.0,,
65,V. Hugo,7.57,72605,282,Vitor Hugo Franchescoli de Souza,6,False,Vitor Hugo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,4.85,vitor-hugo,3,34,0.0,CAM,15,0.0,2.0,20.0,8.0,,4.0,2.0,1.0,1.0,7.0,,,,,1.0,,1.0,,,,
66,W. Ángel,2.85,72801,286,Wílker José Ángel Romero,5,False,Wilker Ángel,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,1.51,wilker-angel,3,34,0.0,JUV,17,0.0,5.0,5.0,26.0,4.0,3.0,4.0,1.0,2.0,3.0,,,,,,,,,1.0,,
67,Mercado,6.22,72951,285,Gabriel Iván Mercado,7,True,Mercado,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,2.98,mercado,3,34,5.2,INT,9,0.79,2.0,8.0,9.0,1.0,1.0,5.0,,,2.0,1.0,,,,,,,,,,
68,D. Borges,5.23,73318,2305,Daniel Fortunato Borges,6,False,Daniel Borges,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,4.49,daniel-borges,2,34,0.0,MIR,15,0.0,3.0,9.0,14.0,2.0,4.0,9.0,2.0,,5.0,2.0,,,,,,,,,,
69,S. Xavier,9.27,73384,266,Samuel Xavier Brito,7,True,Samuel Xavier,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,5.38,samuel-xavier,2,34,2.5,FLU,23,-0.32,4.0,22.0,30.0,1.0,5.0,23.0,4.0,,10.0,1.0,,,,,,,,,,
70,Gabriel,5.46,73515,2305,Gabriel Santana Pinto,7,True,Gabriel,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,3.06,gabriel,4,34,1.0,MIR,22,-1.38,2.0,5.0,8.0,7.0,7.0,26.0,4.0,7.0,,1.0,,,1.0,,,,,,,
71,G. Marques,4.72,73781,2305,Guilherme Costa Marques,6,True,Guilherme Marques,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,2.73,guilherme-marques,4,34,1.2,MIR,9,-0.44,1.0,9.0,8.0,,3.0,8.0,1.0,,,,,,,,,,,,,
72,Rincón,3.28,74187,277,Tomás Eduardo Rincón Hernández,6,False,Rincón,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,1.27,rincon,4,34,0.0,SAN,16,0.0,4.0,17.0,24.0,,7.0,7.0,,,,,,,,,,1.0,,,,
73,Carrillo,5.79,77485,264,André Martín Carrillo Díaz,6,True,Carrillo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,2.47,carrillo,4,34,2.0,COR,19,0.25,3.0,22.0,27.0,1.0,6.0,13.0,1.0,2.0,,1.0,,,,,,,,,,
