,atletas.rodada_id,atletas.jogos_num,atletas.atleta_id,atletas.entrou_em_campo,atletas.nome,atletas.status_id,atletas.preco_num,atletas.slug,atletas.media_num,atletas.clube_id,atletas.pontos_num,atletas.apelido_abreviado,atletas.variacao_num,atletas.posicao_id,atletas.clube.id.full.name,atletas.foto,atletas.apelido,A,CA,DS,FC,FD,FF,FS,G,I,PS,SG,DE,GS,FT,CV,V,DP,PP,PC,GC
0,36,29,37281,False,Luis Antônio Venker de Menezes,6,9.63,mano-menezes,5.26,284,0.0,M. Menezes,0.0,6,GRE,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Mano Menezes,,,,,,,,,,,,,,,,9.0,,,,
1,36,33,37457,True,Leonardo Rodrigues Condé,7,8.21,leo-conde,5.1,354,3.35,L. Condé,-0.01,6,CEA,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Léo Condé,,,,,,,,,,,,,,,,10.0,,,,
2,36,34,37656,True,Fábio Deivson Lopes Maciel,7,8.9,fabio,4.13,266,6.3,Fábio,-0.21,1,FLU,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Fábio,,1.0,,,,,4.0,,,,14.0,76.0,36.0,,,,1.0,,,
3,36,22,37715,True,Thiago Emiliano da Silva,7,8.59,thiago-silva,3.78,266,4.7,T. Silva,0.49,3,FLU,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Thiago Silva,,1.0,7.0,9.0,3.0,5.0,6.0,1.0,,,11.0,,,1.0,,,,,,
4,36,21,38913,True,Anderson Luis de Carvalho - Luiz,7,4.73,nene,2.89,286,2.8,Nenê,0.14,4,JUV,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Nenê,3.0,3.0,4.0,10.0,8.0,6.0,30.0,2.0,1.0,,,,,,,,,,,
5,36,26,39148,False,Givanildo Vieira de Souza,6,15.25,hulk,5.69,282,0.0,Hulk,0.0,5,CAM,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Hulk,5.0,9.0,8.0,33.0,20.0,32.0,60.0,6.0,8.0,,,,,1.0,,,,,,
6,36,25,39656,False,Alan Steven Franco Palma,5,5.12,alan-franco,2.43,282,0.0,A. Franco,0.0,4,CAM,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Alan Franco,,3.0,36.0,35.0,,5.0,17.0,1.0,,,,,,,,,,,,
7,36,4,39850,False,Vagner Carmo Mancini,6,8.93,vagner-mancini,4.57,280,0.0,V. Mancini,0.0,6,RBB,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,Vagner Mancini,,,,,,,,,,,,,,,,2.0,,,,
8,36,30,40990,True,Dorival Silvestre Júnior,7,9.95,dorival-junior,5.17,264,4.3,D. Júnior,0.14,6,COR,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,Dorival Júnior,,,,,,,,,,,,,,,,10.0,,,,
9,36,2,42135,False,Willian Borges da Silva,6,9.58,willian,3.7,284,0.0,Willian,0.0,4,GRE,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Willian,1.0,,1.0,2.0,,,3.0,,,,,,,,,,,,,
10,36,26,42222,False,Osvaldo Lourenço Filho,6,3.52,osvaldo,1.71,287,0.0,Osvaldo,0.0,5,VIT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Osvaldo,2.0,3.0,9.0,6.0,6.0,8.0,19.0,,4.0,,,,,1.0,,,,,,
11,36,34,42234,True,Cássio Roberto Ramos,7,9.73,cassio,5.64,283,2.9,Cássio,-0.39,1,CRU,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,Cássio,,4.0,,,,,9.0,,,,15.0,103.0,25.0,,,,1.0,,,
12,36,9,42500,False,Fagner Conserva Lemos,6,8.51,fagner,6.1,283,0.0,Fagner,0.0,2,CRU,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,Fagner,,1.0,20.0,11.0,,1.0,7.0,,1.0,,5.0,,,,,,,,,
13,36,27,51413,True,Walter Leandro Capeloza Artune,7,9.79,walter,6.39,2305,-0.7,Walter,-1.32,1,MIR,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,Walter,,4.0,,,,,4.0,,,,10.0,102.0,22.0,,,,2.0,,,
14,36,28,51772,True,Everton Augusto de Barros Ribeiro,7,7.49,everton-ribeiro,3.86,265,1.8,E. Ribeiro,-0.27,4,BAH,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Everton Ribeiro,3.0,3.0,34.0,20.0,5.0,9.0,44.0,2.0,,,,,,1.0,1.0,,,,,
15,36,21,61188,False,Gilberto Oliveira Souza Júnior,5,4.05,gilberto,2.05,286,0.0,Gilberto,0.0,5,JUV,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Gilberto,2.0,5.0,6.0,23.0,9.0,7.0,16.0,2.0,4.0,,,,,,,,,1.0,,
16,36,19,61987,False,Alex Sandro Lobo Silva,6,9.83,alex-sandro,4.0,262,0.0,A. Sandro,0.0,2,FLA,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,Alex Sandro,,4.0,16.0,39.0,2.0,3.0,16.0,,1.0,,11.0,,,,,,,,,
17,36,15,62977,True,Paulo Henrique Chagas de Lima,6,5.61,ganso,1.2,266,1.5,Ganso,0.12,4,FLU,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Ganso,,2.0,8.0,6.0,,2.0,16.0,,,,,,,,,,,,,
18,36,17,63007,True,Neymar da Silva Santos Júnior,7,16.46,neymar,6.36,277,19.1,Neymar,0.64,4,SAN,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,Neymar,2.0,5.0,4.0,17.0,15.0,17.0,58.0,5.0,4.0,,,,,2.0,1.0,,,,1.0,
19,36,5,63008,True,Rafael Toloi,6,8.53,rafael-toloi,4.68,276,0.0,R. Tolói,-1.67,3,SAO,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Rafael Tolói,,,12.0,2.0,,,2.0,,,,1.0,,,,,,,,,
20,36,9,63013,False,Marcos Luis Rocha Aquino,6,10.23,marcos-rocha,6.46,284,0.0,M. Rocha,0.0,2,GRE,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Marcos Rocha,,,25.0,5.0,1.0,,12.0,,1.0,,3.0,,,,,,,,,
21,36,17,63110,False,Alan Luciano Ruschel,6,4.68,alan-ruschel,2.07,286,0.0,A. Ruschel,0.0,2,JUV,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Alan Ruschel,,4.0,16.0,14.0,1.0,,25.0,,3.0,,2.0,,,,1.0,,,,1.0,
22,36,26,63289,False,Edenílson Andrade dos Santos,6,4.81,edenilson,2.42,284,0.0,Edenílson,0.0,4,GRE,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Edenílson,1.0,6.0,13.0,17.0,3.0,7.0,31.0,3.0,1.0,1.0,,,,,,,,,,
23,36,28,68685,True,Alan Patrick Lourenço,7,12.35,alan-patrick,6.13,285,0.5,A. Patrick,-1.95,4,INT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Alan Patrick,6.0,5.0,21.0,24.0,8.0,10.0,40.0,10.0,5.0,,,,,3.0,,,,1.0,,
24,36,27,68708,True,Carlos Eduardo de Oliveira Alves,5,3.2,eduardo,1.26,283,0.8,Eduardo,0.12,4,CRU,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,Eduardo,,1.0,15.0,22.0,2.0,5.0,14.0,1.0,1.0,1.0,,,,,1.0,,,,,
25,36,3,68806,False,Norberto Murara Neto,5,7.25,neto,2.03,263,0.0,Neto,0.0,1,BOT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Neto,,,,,,,,,,,,7.0,3.0,,,,,,,
26,36,6,68811,False,Oscar dos Santos Emboaba Júnior,5,11.39,oscar,1.67,276,0.0,Oscar,0.0,4,SAO,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Oscar,,1.0,5.0,3.0,2.0,,4.0,,,,,,,,,,,,,
27,36,1,68872,False,Marcelo Lomba do Nascimento,6,7.63,marcelo-lomba,3.2,275,0.0,M. Lomba,0.0,1,PAL,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,Marcelo Lomba,,,,,,,,,,,,4.0,2.0,,,,,,,
28,36,27,68899,True,Philippe Coutinho Correia,7,9.96,philippe-coutinho,4.4,267,7.7,P. Coutinho,0.92,4,VAS,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,Philippe Coutinho,3.0,3.0,14.0,18.0,17.0,20.0,38.0,4.0,3.0,1.0,,,,2.0,1.0,,,,,
29,36,15,68920,False,Eduardo Pereira Rodrigues,6,7.68,dudu,2.45,282,0.0,Dudu,0.0,5,CAM,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Dudu,1.0,,6.0,6.0,1.0,6.0,16.0,1.0,3.0,,,,,1.0,,,,,,
30,36,32,68928,False,Rafael Pires Monteiro,3,9.48,rafael,4.71,276,0.0,Rafael,0.0,1,SAO,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Rafael,,3.0,1.0,,,,6.0,,,,10.0,105.0,37.0,,,,,,,
31,36,16,68952,False,Mário Sérgio Santos Costa,6,6.63,marinho,3.02,356,0.0,Marinho,0.0,5,FOR,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Marinho,2.0,2.0,11.0,24.0,5.0,13.0,22.0,1.0,13.0,,,,,,1.0,,,,,
32,36,24,68991,False,Lucas Pacheco Affini,6,7.96,lucas-sasha,5.38,356,0.0,L. Sasha,0.0,4,FOR,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Lucas Sasha,,2.0,78.0,43.0,6.0,4.0,19.0,1.0,1.0,,,,,,,,,,1.0,
33,36,29,68996,True,Willian José da Silva,7,8.72,willian-jose,5.21,265,7.0,W. José,0.68,5,BAH,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Willian José,6.0,3.0,5.0,11.0,10.0,13.0,17.0,10.0,2.0,,,,,3.0,,,,,,
34,36,5,69014,False,Manoel Messias Silva Carvalho,6,5.3,manoel,2.46,266,0.0,Manoel,0.0,3,FLU,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Manoel,,,,1.0,,2.0,2.0,,,,2.0,,,,,,,,,
35,36,0,69051,False,Danilo Fernandes Batista,6,3.55,danilo-fernandes,-1.0,265,0.0,D. Fernandes,0.0,1,BAH,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Danilo Fernandes,,1.0,,,,,,,,,,,,,,,,,,
36,36,19,69138,True,Pablo Felipe Teixeira,7,5.26,pablo,2.43,292,0.0,Pablo,-1.53,5,SPT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Pablo,1.0,1.0,8.0,15.0,2.0,10.0,18.0,2.0,7.0,,,,,,,,,,,
37,36,18,69140,True,Allan Marques Loureiro,6,3.22,allan,1.33,263,0.4,Allan,-0.02,4,BOT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Allan,,7.0,21.0,25.0,1.0,1.0,10.0,,,,,,,,,,,,,
