,atletas.rodada_id,atletas.jogos_num,atletas.atleta_id,atletas.entrou_em_campo,atletas.nome,atletas.status_id,atletas.preco_num,atletas.slug,atletas.media_num,atletas.clube_id,atletas.pontos_num,atletas.apelido_abreviado,atletas.variacao_num,atletas.posicao_id,atletas.clube.id.full.name,atletas.foto,atletas.apelido,A,CA,DS,FC,FD,FF,FS,G,I,PS,SG,DE,GS,FT,CV,V,DP,PP,PC,GC
38,36,18,69783,False,Danilo Luiz da Silva,6,11.02,danilo,3.41,262,0.0,Danilo,0.0,3,FLA,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,Danilo,,2.0,11.0,15.0,2.0,2.0,5.0,1.0,,,8.0,,,,1.0,,,,,
39,36,10,70164,False,Lucas Rodrigues Moura da Silva,5,6.13,lucas-moura,3.52,276,0.0,L. Moura,0.0,4,SAO,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Lucas Moura,,,6.0,5.0,2.0,6.0,11.0,2.0,1.0,,,,,,,,,,1.0,
40,36,0,70221,False,Bruno Uvini Bortolança,6,4.0,bruno-uvini,0.0,287,0.0,B. Uvini,0.0,3,VIT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Bruno Uvini,,,,,,,,,,,,,,,,,,,,
41,36,29,70360,False,Eduardo Colcenti Antunes,6,7.43,eduardo-sasha,4.05,280,0.0,E. Sasha,0.0,5,RBB,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,Eduardo Sasha,2.0,7.0,10.0,10.0,21.0,14.0,31.0,6.0,3.0,,,,,2.0,1.0,,,,,
42,36,21,70449,True,Gabriel Vasconcelos Ferreira,7,6.11,gabriel,4.2,292,3.5,Gabriel,0.77,1,SPT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Gabriel,,2.0,,,,,3.0,,,,3.0,85.0,37.0,,,,,,,
43,36,27,70592,False,Felipe Anderson Pereira Gomes,6,8.05,felipe-anderson,4.92,275,0.0,F. Anderson,0.0,4,PAL,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,Felipe Anderson,2.0,,51.0,12.0,6.0,10.0,16.0,3.0,2.0,,,,,1.0,,,,,,
44,36,21,70666,False,Marllon Gonçalves Jerônimo Borges,6,6.99,marllon,3.48,354,0.0,Marllon,0.0,3,CEA,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Marllon,,3.0,14.0,13.0,,4.0,10.0,2.0,,,7.0,,,,,,,,,
45,36,10,70800,False,Jorge Sampaoli,6,10.91,jorge-sampaoli,5.68,282,0.0,J. Sampaoli,0.0,6,CAM,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Jorge Sampaoli,,,,,,,,,,,,,,,,4.0,,,,
46,36,13,70916,False,Diogo Barbosa Mendanha,6,7.43,diogo-barbosa,3.87,356,0.0,D. Barbosa,0.0,2,FOR,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Diogo Barbosa,,2.0,15.0,6.0,,4.0,11.0,1.0,,,3.0,,,,,,,,,
47,36,26,70944,True,Bruno Henrique Corsini,6,5.69,bruno-henrique,2.59,285,0.7,B. Henrique,-0.27,4,INT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Bruno Henrique,,1.0,31.0,37.0,3.0,11.0,14.0,2.0,,1.0,,,,,1.0,,,,,
48,36,6,71123,True,Thiago Henrique Mendes Ribeiro,7,4.07,thiago-mendes,0.63,267,2.0,T. Mendes,0.02,4,VAS,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,Thiago Mendes,,1.0,3.0,4.0,,,3.0,,,,,,,,,,,,,
49,36,13,71162,True,Vinícius Goes Barbosa de Souza,6,4.44,vina,1.73,354,0.0,Vina,0.05,4,CEA,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Vina,1.0,2.0,4.0,8.0,6.0,7.0,6.0,,,,,,,1.0,1.0,,,,,
50,36,10,71536,True,Luiz Gustavo Dias,7,8.14,luiz-gustavo,3.36,276,5.0,L. Gustavo,0.51,4,SAO,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Luiz Gustavo,,,13.0,15.0,1.0,3.0,8.0,1.0,,,,,,1.0,,,,,,
51,36,6,71571,False,Fernando Miguel Kaufmann,6,7.02,fernando-miguel,6.18,354,0.0,F. Miguel,0.0,1,CEA,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Fernando Miguel,,,,,,,6.0,,,,3.0,17.0,3.0,,,,,,,
52,36,25,71631,False,Weverton Pereira da Silva,6,7.96,weverton,4.36,275,0.0,Weverton,0.0,1,PAL,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,Weverton,,2.0,,,,,10.0,,,,9.0,57.0,20.0,,,,1.0,,,
53,36,17,71680,True,Raúl Alejandro Cáceres Bogado,7,4.7,raul-caceres,3.72,287,5.0,R. Cáceres,-0.5,2,VIT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Raúl Cáceres,2.0,6.0,10.0,21.0,5.0,3.0,5.0,2.0,3.0,,5.0,,,,,,,,1.0,
54,36,25,71684,False,Gustavo Raúl Gómez Portillo,6,9.58,gustavo-gomez,4.93,275,0.0,G. Gómez,0.0,3,PAL,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,Gustavo Gómez,1.0,8.0,33.0,33.0,2.0,9.0,14.0,2.0,10.0,,11.0,,,,,,,,,
55,36,18,71701,False,Santiago Arias Naranjo,6,7.1,santiago-arias,3.19,265,0.0,S. Arias,0.0,2,BAH,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Santiago Arias,,3.0,19.0,8.0,3.0,4.0,19.0,,1.0,,4.0,,,,,,,,2.0,
56,36,14,71709,False,Gustavo Leonardo Cuellar Gallego,6,6.33,cuellar,3.01,284,0.0,Cuéllar,0.0,4,GRE,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Cuéllar,,2.0,26.0,13.0,1.0,1.0,14.0,,,,,,,,,,,,,
57,36,28,72018,False,Tiago Luis Volpi,6,7.17,tiago-volpi,4.23,284,0.0,T. Volpi,0.0,1,GRE,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Tiago Volpi,,2.0,,,,,9.0,1.0,,,5.0,93.0,37.0,,,,,,1.0,
58,36,0,72279,False,Carlos Eduardo Lecciolle Thomazella,6,2.0,thomazella,0.0,2305,0.0,Thomazella,0.0,1,MIR,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,Thomazella,,,,,,,,,,,,,,,,,,,,
59,36,29,72294,False,Everson Felipe Marques Pires,6,8.91,everson,4.75,282,0.0,Everson,0.0,1,CAM,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Everson,,7.0,,,,,7.0,,,,11.0,90.0,31.0,,,,,,,
60,36,0,72359,False,Luiz Otávio Anacleto Leandro,5,4.0,luiz-otavio,0.0,354,0.0,L. Otávio,0.0,3,CEA,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Luiz Otávio,,,,,,,,,,,,,,,,,,,,
61,36,26,72391,True,Fernando Diniz Silva,7,10.33,fernando-diniz,5.35,267,9.74,F. Diniz,1.07,6,VAS,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,Fernando Diniz,,,,,,,,,,,,,,,,10.0,,,,
62,36,22,72460,False,Bernard Anício Caldeira Duarte,6,3.17,bernard,1.0,282,0.0,Bernard,0.0,4,CAM,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Bernard,,3.0,14.0,15.0,1.0,5.0,7.0,,1.0,,,,,,,,,,,
63,36,21,72493,False,Alex Nicolao Telles,6,10.48,alex-telles,5.8,263,0.0,A. Telles,0.0,2,BOT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Alex Telles,2.0,2.0,8.0,18.0,3.0,8.0,11.0,3.0,1.0,,13.0,,,1.0,,,,,,
64,36,25,72583,False,Pedro Henrique Konzen Medina da Silva,6,7.19,pedro-henrique,4.09,354,0.0,P. Henrique,0.0,5,CEA,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Pedro Henrique,3.0,6.0,22.0,27.0,8.0,12.0,26.0,4.0,11.0,,,,,2.0,,,,,1.0,
65,36,15,72605,False,Vitor Hugo Franchescoli de Souza,6,7.57,vitor-hugo,4.85,282,0.0,V. Hugo,0.0,3,CAM,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Vitor Hugo,,2.0,20.0,8.0,,4.0,2.0,1.0,1.0,,7.0,,,1.0,1.0,,,,,
66,36,17,72801,False,Wílker José Ángel Romero,5,2.85,wilker-angel,1.51,286,0.0,W. Ángel,0.0,3,JUV,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Wilker Ángel,,5.0,5.0,26.0,4.0,3.0,4.0,1.0,2.0,,3.0,,,,,,,,1.0,
67,36,11,72951,True,Gabriel Iván Mercado,7,6.62,mercado,3.26,285,7.9,Mercado,1.03,3,INT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Mercado,1.0,2.0,13.0,12.0,2.0,2.0,6.0,,,,2.0,,,,,,,,,
68,36,15,73318,False,Daniel Fortunato Borges,6,5.23,daniel-borges,4.49,2305,0.0,D. Borges,0.0,2,MIR,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,Daniel Borges,2.0,3.0,9.0,14.0,2.0,4.0,9.0,2.0,,,5.0,,,,,,,,,
69,36,25,73384,True,Samuel Xavier Brito,7,9.81,samuel-xavier,5.57,266,6.7,S. Xavier,-0.3,2,FLU,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Samuel Xavier,1.0,4.0,24.0,31.0,2.0,5.0,26.0,4.0,,,12.0,,,,,,,,,
70,36,24,73515,True,Gabriel Santana Pinto,7,5.38,gabriel,3.14,2305,0.4,Gabriel,-1.03,4,MIR,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,Gabriel,2.0,2.0,6.0,8.0,8.0,7.0,27.0,4.0,8.0,1.0,,,,,,,,,,
71,36,9,73781,False,Guilherme Costa Marques,6,4.72,guilherme-marques,2.73,2305,0.0,G. Marques,0.0,4,MIR,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,Guilherme Marques,,1.0,9.0,8.0,,3.0,8.0,1.0,,,,,,,,,,,,
72,36,16,74187,False,Tomás Eduardo Rincón Hernández,6,3.28,rincon,1.27,277,0.0,Rincón,0.0,4,SAN,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,Rincón,,4.0,17.0,24.0,,7.0,7.0,,,,,,,,1.0,,,,,
73,36,21,77485,True,André Martín Carrillo Díaz,7,5.73,carrillo,2.36,264,2.9,Carrillo,0.35,4,COR,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,Carrillo,1.0,3.0,24.0,30.0,1.0,6.0,14.0,1.0,2.0,,,,,,,,,,,
74,36,24,77656,False,Cédric Ricardo Alves Soares,6,6.96,cedric-soares,3.38,276,0.0,C. Soares,0.0,2,SAO,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Cédric Soares,3.0,2.0,23.0,15.0,,5.0,8.0,,,,6.0,,,,,,,,,
