,atletas.apelido,atletas.apelido_abreviado,atletas.entrou_em_campo,atletas.slug,atletas.clube_id,atletas.preco_num,atletas.rodada_id,atletas.variacao_num,atletas.media_num,atletas.status_id,atletas.jogos_num,atletas.pontos_num,atletas.nome,atletas.clube.id.full.name,atletas.atleta_id,atletas.minimo_para_valorizar,atletas.posicao_id,atletas.foto,A,CA,DS,FC,FD,FF,FS,I,G,FT,DE,GS,V,CV,PS,SG,DP,PC,PP,GC
74,Daniel Borges,D. Borges,True,daniel-borges,2305,3.83,9,-0.28,3.66,6,5,0.0,Daniel Fortunato Borges,MIR,73318,,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,,2.0,3.0,5.0,,1.0,1.0,,2.0,,,,,,,,,,,
75,Samuel Xavier,S. Xavier,True,samuel-xavier,266,7.98,9,-0.77,3.83,7,8,-1.4,Samuel Xavier Brito,FLU,73384,,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,,2.0,7.0,11.0,1.0,1.0,11.0,,1.0,,,,,,,2.0,,,,
76,Gabriel,Gabriel,True,gabriel,2305,5.87,9,-0.93,3.59,7,7,1.3,Gabriel Santana Pinto,MIR,73515,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,,1.0,3.0,1.0,1.0,2.0,5.0,4.0,2.0,,,,,,1.0,,,,,
77,Rincón,Rincón,True,rincon,277,5.21,9,1.11,2.3,7,4,7.1,Tomás Eduardo Rincón Hernández,SAN,74187,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,,2.0,6.0,10.0,,4.0,4.0,,,,,,,,,,,,,
78,Carrillo,Carrillo,True,carrillo,264,6.53,9,0.98,2.6,7,8,5.8,André Martín Carrillo Díaz,COR,77485,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,,,12.0,12.0,1.0,3.0,6.0,2.0,,,,,,,,,,,,
79,Cédric Soares,C. Soares,True,cedric-soares,276,6.66,9,-0.43,2.4,2,7,0.0,Cédric Ricardo Alves Soares,SAO,77656,,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,1.0,1.0,5.0,4.0,,,3.0,,,,,,,,,1.0,,,,
80,Sérgio Oliveira,S. Oliveira,True,sergio-oliveira,292,8.64,9,-0.55,5.22,6,6,0.5,Sérgio Miguel Relvas de Oliveira,SPT,77664,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,,2.0,12.0,10.0,2.0,3.0,5.0,,1.0,1.0,,,,,,,,,,
81,João Schmidt,J. Schmidt,False,joao-schmidt,277,5.97,9,0.0,3.23,5,7,0.0,João Felipe Schmidt Urbano,SAN,77777,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,,2.0,15.0,14.0,1.0,4.0,4.0,1.0,,,,,,,,,,,,
82,Everaldo,Everaldo,True,everaldo,266,3.92,9,0.3,1.9,7,9,2.7,Everaldo Stum,FLU,78117,,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,,,2.0,9.0,3.0,4.0,4.0,,1.0,,,,,,,,,,,
83,Gustavo Henrique,G. Henrique,False,gustavo-henrique,264,7.25,9,0.0,3.33,5,3,0.0,Gustavo Henrique Vernes,COR,78248,,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,,,6.0,1.0,,1.0,1.0,,,,,,,,,,,,,
84,Renê,Renê,False,rene,266,9.69,9,0.0,7.42,6,6,0.0,Renê Rodrigues Martins,FLU,78445,,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,,,17.0,6.0,,1.0,4.0,,1.0,,,,,,,2.0,,,,
85,Cláudio Tencati,C. Tencati,True,claudio-tencati,286,6.93,9,0.87,3.78,7,1,3.78,Cláudio Tencati,JUV,78450,,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,,,,,,,,,,,,,,,,,,,,
86,Cleber Xavier,C. Xavier,True,cleber-xavier,277,10.34,9,-0.81,4.14,7,3,2.73,Cleber Marcio Serpa Xavier,SAN,78479,,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,,,,,,,,,,,,,,,,,,,,
87,Gabriel,Gabriel,True,gabriel,280,7.04,9,1.42,4.46,7,8,8.7,Gabriel Girotto Franco,RBB,78605,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,,2.0,18.0,14.0,,3.0,9.0,,1.0,,,,,,,,,,,
88,Reinaldo,Reinaldo,True,reinaldo,2305,8.92,9,1.06,5.76,7,9,9.3,Reinaldo Manoel da Silva,MIR,78850,,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,2.0,2.0,8.0,7.0,3.0,1.0,3.0,,4.0,,,,,,,,,,1.0,
89,Richard,Richard,False,richard,354,5.0,9,0.0,0.0,6,0,0.0,Richard de Oliveira Costa,CEA,78851,,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,,,,,,,,,,,,,,,,,,,,
90,Thiago Santos,T. Santos,False,thiago-santos,266,5.93,9,0.0,3.4,6,3,0.0,Thiago dos Santos,FLU,78855,,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,,,,1.0,,,1.0,,,,,,,,,2.0,,,,
91,Alex Muralha,A. Muralha,False,alex-muralha,2305,3.34,9,0.0,2.37,6,6,0.0,Alex Roberto Santana Rafael,MIR,79066,,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,,2.0,,,,,1.0,,,,19.0,9.0,,,,,,,,
92,Bruno Ferreira,B. Ferreira,False,bruno-ferreira,354,5.49,9,0.0,4.4,6,3,0.0,Bruno Ferreira Ventura Diniz - de Lins,CEA,79266,,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,,1.0,,1.0,,,1.0,,,,10.0,4.0,,,,1.0,,,,
93,Roger Machado,R. Machado,True,roger-machado,285,9.88,9,0.27,5.26,7,9,5.07,Roger Machado Marques,INT,79437,,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,,,,,,,,,,,,,2.0,,,,,,,
94,Cano,Cano,False,cano,266,8.41,9,0.0,3.17,5,6,0.0,Germán Ezequiel Cano,FLU,79631,,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,,1.0,1.0,4.0,1.0,9.0,7.0,2.0,1.0,,,,,,,,,,,
95,Lucas Silva,L. Silva,True,lucas-silva,283,5.34,9,0.45,2.46,7,8,4.1,Lucas Silva Borges,CRU,79701,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,2.0,1.0,5.0,17.0,1.0,2.0,5.0,,,1.0,,,,,,,,,,
96,Antônio Carlos,A. Carlos,True,antonio-carlos,292,3.38,9,-0.62,-0.6,7,1,-0.6,Antônio Carlos Cunha Capocasali Júnior,SPT,79702,,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,,,,2.0,,,,,,,,,,,,,,,,
97,Zé Roberto,Z. Roberto,False,ze-roberto,292,6.0,9,0.0,0.0,6,0,0.0,José Roberto Assunção de Araújo Filho,SPT,80076,,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,,,,,,,,,,,,,,,,,,,,
98,Jadson,Jadson,True,jadson,286,5.9,9,-0.24,3.74,7,9,0.9,Jadson Alves dos Santos,JUV,80129,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,1.0,2.0,17.0,11.0,2.0,1.0,13.0,2.0,,,,,,,,,,1.0,,
99,Yago Pikachu,Y. Pikachu,True,yago-pikachu,356,5.8,9,0.09,2.39,7,8,2.7,Glaybson Yago Souza Lisboa,FOR,80196,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,,,6.0,3.0,3.0,1.0,8.0,3.0,,1.0,,,,,,,,,,
100,Rafa Silva,R. Silva,False,rafa-silva,2305,4.0,9,0.0,0.0,6,0,0.0,Rafael da Silva,MIR,80225,,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,,,,,,,,,,,,,,,,,,,,
101,Luciano,Luciano,True,luciano,276,7.81,9,1.12,2.2,7,7,6.8,Luciano da Rocha Neves,SAO,80287,,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,,1.0,3.0,5.0,3.0,6.0,6.0,,,,,,,,2.0,,,,,
102,Gilberto,Gilberto,True,gilberto,265,8.12,9,-0.32,4.97,7,7,3.7,Gilberto Moraes Júnior,BAH,80313,,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,,2.0,11.0,7.0,1.0,1.0,5.0,1.0,1.0,,,,,,,2.0,,,,
103,Pol Fernández,P. Fernández,True,pol-fernandez,356,6.32,9,0.24,2.37,2,6,2.3,Guillermo Matías Fernández,FOR,80544,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,2.0,1.0,3.0,6.0,1.0,1.0,1.0,,,,,,,,,,,,,
104,Wendell,Wendell,False,wendell,276,9.05,9,0.0,3.7,6,5,0.0,Wendell Nascimento Borges,SAO,80570,,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,,,4.0,5.0,,,8.0,,,,,,,,,2.0,,,,
105,Lucas Lima,L. Lima,True,lucas-lima,292,6.26,9,-0.09,3.35,7,8,4.6,Lucas Rafael Araújo Lima,SPT,80583,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,2.0,3.0,6.0,13.0,7.0,1.0,12.0,5.0,,,,,,,,,,,,
106,Jair,Jair,False,jair,267,5.5,9,0.0,2.32,6,5,0.0,Jair Rodrigues Júnior,VAS,81091,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,,2.0,8.0,8.0,,,8.0,,,,,,,,,,,,,
107,Lucas Mugni,L. Mugni,True,lucas-mugni,354,8.74,9,2.36,5.73,6,7,12.4,Lucas Andrés Mugni,CEA,81121,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,2.0,2.0,14.0,13.0,1.0,3.0,7.0,1.0,1.0,,,,,,,,,,,
108,Mayke,Mayke,False,mayke,275,9.38,9,0.0,8.1,6,1,0.0,Mayke Rocha de Oliveira,PAL,81150,,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,,1.0,3.0,3.0,,,1.0,,,,,,,,,1.0,,,,
109,Gonçalo Paciência,G. Paciência,False,goncalo-paciencia,292,7.13,9,0.0,1.3,5,2,0.0,Gonçalo Mendes Paciência,SPT,81401,,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,,,,1.0,,3.0,1.0,,,,,,,,,,,,,
110,Alisson,Alisson,True,alisson,276,4.79,9,0.14,1.36,7,8,2.5,Alisson Euler de Freitas Castro,SAO,81845,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,,2.0,4.0,8.0,2.0,3.0,9.0,,,,,,,,,,,,,
111,João Ricardo,J. Ricardo,True,joao-ricardo,356,10.31,9,-0.63,5.88,7,8,2.2,João Ricardo Riedi,FOR,81881,,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,,,,,,,,,,,27.0,8.0,,,,4.0,,,,
112,Willian Oliveira,W. Oliveira,False,willian-oliveira,287,3.73,9,0.0,1.07,5,3,0.0,Willian Osmar de Oliveira Silva,VIT,81952,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,,1.0,1.0,2.0,,1.0,5.0,,,,,,,,,,,,,
113,Chico Kim,C. Kim,False,chico-kim,2305,5.34,9,0.0,5.9,6,1,0.0,Francisco Hyun-Sol Kim,MIR,82407,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,,,3.0,1.0,1.0,,1.0,,,,,,,,,,,,,
114,Zé Rafael,Z. Rafael,True,ze-rafael,277,7.79,9,0.67,2.5,6,2,5.0,José Rafael Vivian,SAN,82455,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,,1.0,4.0,,,,,,,,,,,,,,,,,
115,Otávio,Otávio,False,otavio,266,7.0,9,0.0,0.0,5,0,0.0,Otávio Henrique Passos Santos,FLU,82463,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,,,,,,,,,,,,,,,,,,,,
116,Luiz Araújo,L. Araújo,True,luiz-araujo,262,8.08,9,-0.98,4.11,7,8,2.6,Luiz de Araújo Guimarães Neto,FLA,82627,,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,1.0,,12.0,5.0,2.0,5.0,4.0,1.0,,1.0,,,,,,,,,,
117,Tinga,Tinga,False,tinga,356,9.62,9,0.0,6.6,6,4,0.0,Guilherme de Jesus da Silva,FOR,82628,,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,,1.0,3.0,2.0,,,1.0,,1.0,,,,,,,3.0,,,,
118,Wellington Rato,W. Rato,True,wellington-rato,287,6.2,9,-0.92,2.66,7,5,-0.3,Wellington Soares da Silva,VIT,82766,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,,,1.0,3.0,2.0,1.0,3.0,,1.0,,,,,,,,,,,
119,Lucas Ramon,L. Ramon,True,lucas-ramon,2305,7.69,9,-0.44,5.04,7,8,2.0,Lucas Ramon Batista Silva,MIR,82775,,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,1.0,1.0,16.0,8.0,,1.0,12.0,1.0,1.0,,,,,,,,,,,
120,Rafael Thyere,R. Thyere,False,rafael-thyere,292,5.0,9,0.0,0.0,6,0,0.0,Rafael Thyere de Albuquerque Marques,SPT,83048,,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,,,,,,,,,,,,,,,,,,,,
121,Recalde,Recalde,False,recalde,354,3.0,9,0.0,0.0,6,0,0.0,Jorge Eduardo Recalde Ramírez,CEA,83252,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,,,,,,,,,,,,,,,,,,,,
122,Gabriel,Gabriel,True,gabriel,283,6.39,9,-0.54,2.55,6,7,0.0,Gabriel Barbosa Almeida,CRU,83257,,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,,,,1.0,2.0,3.0,3.0,2.0,2.0,,,,,,,,,,1.0,
123,Julio Furch,J. Furch,False,julio-furch,277,4.0,9,0.0,0.0,6,0,0.0,Julio César Furch,SAN,83276,,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,,,,,,,,,,,,,,,,,,,,
124,Léo Pereira,L. Pereira,True,leo-pereira,262,9.19,9,0.12,4.51,7,9,5.0,Leonardo Pereira,FLA,83528,,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,,,2.0,4.0,,1.0,2.0,,1.0,,,,,,,6.0,,1.0,,
125,Neris,Neris,False,neris,287,3.37,9,0.0,0.0,6,3,0.0,Hueglo dos Santos Neris,VIT,83786,,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,,1.0,1.0,7.0,1.0,,1.0,1.0,,,,,,,,,,,,
126,Clayson,Clayson,False,clayson,2305,5.42,9,0.0,1.72,6,6,0.0,Clayson Henrique da Silva Vieira,MIR,83817,,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,1.0,2.0,1.0,4.0,2.0,1.0,8.0,2.0,,,,,,,,,,,,
127,Tiquinho Soares,T. Soares,True,tiquinho-soares,277,8.54,9,-0.15,3.42,7,9,2.5,Francisco das Chagas Soares dos Santos Meireles,SAN,84042,,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,1.0,2.0,6.0,16.0,3.0,7.0,13.0,1.0,1.0,,,,,,,,,,,
128,Ruan Carneiro,R. Carneiro,False,ruan-carneiro,286,1.0,9,0.0,0.0,6,0,0.0,Eudes Ruan de Souza Carneiro,JUV,84094,,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,,,,,,,,,,,,,,,,,,,,
129,Jemerson,Jemerson,True,jemerson,284,4.77,9,-0.68,3.2,3,9,-1.6,Jemerson de Jesus Nascimento,GRE,84263,,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,,3.0,11.0,14.0,1.0,1.0,3.0,,1.0,1.0,,,,,,1.0,,,,
130,Fernando Sobral,F. Sobral,False,fernando-sobral,354,4.46,9,0.0,2.06,6,7,0.0,Fernando Pereira do Nascimento,CEA,84428,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,,3.0,10.0,8.0,,1.0,8.0,,,,,,,,,,,,,
131,Romarinho,Romarinho,True,romarinho,292,3.31,9,-0.6,0.97,6,3,0.0,José Romário Silva de Souza,SPT,84523,,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,,,,,2.0,,1.0,,,,,,,,,,,,,
132,Lucas Romero,L. Romero,True,lucas-romero,283,8.5,9,0.2,5.6,7,8,6.7,Lucas Daniel Romero,CRU,84558,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,1.0,3.0,21.0,9.0,,2.0,9.0,1.0,1.0,,,,,,,,,,,
133,Lucas Evangelista,L. Evangelista,True,lucas-evangelista,275,6.06,9,0.23,2.02,7,6,3.5,Lucas Evangelista Santana de Oliveira,PAL,84674,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,,,5.0,3.0,1.0,1.0,7.0,,,,,,,,,,,,,
134,Varela,Varela,True,varela,262,7.57,9,-0.21,5.23,7,4,5.0,Guillermo Varela Olivera,FLA,84816,,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,,,4.0,,,,,1.0,,,,,,,,3.0,,,,
135,Luan Peres,L. Peres,True,luan-peres,277,5.64,9,-0.58,2.3,7,3,1.6,Luan Peres Petroni,SAN,84847,,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,,2.0,2.0,6.0,1.0,,3.0,,,,,,,,,1.0,,,,
136,Marcos Felipe,M. Felipe,True,marcos-felipe,265,8.71,9,1.08,6.0,7,6,8.1,Marcos Felipe de Freitas Monteiro,BAH,85004,,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,,,,,,,,,,,20.0,5.0,,,,3.0,,,,
137,Óscar Romero,Ã. Romero,True,oscar-romero,285,5.03,9,0.05,1.8,6,7,1.2,Óscar David Romero Villamayor,INT,85034,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,1.0,1.0,2.0,1.0,1.0,4.0,5.0,,,,,,,,,,,1.0,,
138,Memphis Depay,M. Depay,False,memphis-depay,264,15.69,9,0.0,8.42,6,7,0.0,Memphis Depay,COR,85048,,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,3.0,2.0,4.0,4.0,4.0,6.0,11.0,,3.0,2.0,,,,,,,,,1.0,
139,Danielzinho,Danielzinho,True,danielzinho,2305,5.53,9,0.25,3.59,7,9,3.0,Daniel de Oliveira Sertanejo,MIR,85403,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,1.0,1.0,11.0,11.0,1.0,3.0,15.0,,,1.0,,,,,1.0,,,,,
140,João Paulo,J. Paulo,False,joao-paulo,277,6.45,9,0.26,-1.0,6,0,-1.0,João Paulo Silva Martins,SAN,85425,,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,,2.0,,,,,,,,,,,,,,,,,,
141,Alex Santana,A. Santana,False,alex-santana,264,4.28,9,0.0,0.4,6,3,0.0,Alex Paulo Menezes Santana,COR,85465,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,,,,2.0,,1.0,2.0,,,,,,,,,,,,,
142,Ricardo Ryller,R. Ryller,True,ricardo-ryller,287,2.67,9,0.13,0.94,7,9,1.5,Ricardo Ryller Ribeiro Lino Silva,VIT,85856,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,,1.0,7.0,18.0,2.0,,4.0,,,,,,,,,,,,,
143,Aylon,Aylon,False,aylon,354,4.89,9,0.0,4.05,6,4,0.0,Aylon Darwin Tavella,CEA,85930,,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,,,4.0,6.0,1.0,1.0,4.0,,1.0,,,,,,,,,,,
144,Hyoran,Hyoran,False,hyoran,292,5.0,9,0.0,0.0,6,0,0.0,Hyoran Kaue Dalmoro,SPT,85931,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,,,,,,,,,,,,,,,,,,,,
145,Bolasie,Bolasie,True,bolasie,283,4.32,9,-0.3,0.35,6,4,1.2,Yannick Bolasie,CRU,86292,,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,,,1.0,2.0,,,1.0,,,,,,,,,,,,,
146,Victor Luis,V. Luis,False,victor-luis,267,4.24,9,0.0,1.7,6,1,0.0,Victor Luis Chuab Zamblauskas,VAS,86410,,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,,,,,1.0,,1.0,,,,,,,,,,,,,
147,Keno,Keno,False,keno,266,6.01,9,0.0,1.95,7,4,0.0,Marcos da Silva França,FLU,86485,,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,,,1.0,2.0,1.0,4.0,5.0,,,,,,,,,,,,,
148,Jandrei,Jandrei,False,jandrei,276,5.0,9,0.0,0.0,6,0,0.0,Jandrei Chitolina Carniel,SAO,86508,,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,,,,,,,,,,,,,,,,,,,,
149,Richardson,Richardson,False,richardson,354,4.0,9,0.0,0.0,5,0,0.0,Richardson Fernandes dos Santos,CEA,86536,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,,,,,,,,,,,,,,,,,,,,
150,Tchê Tchê,T. Tchê,True,tche-tche,267,3.99,9,0.03,0.83,7,6,1.0,Danilo das Neves Pinheiro,VAS,86686,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,,,1.0,,,,7.0,,,,,,,,,,,,,
151,Everton,Everton,True,everton,262,8.19,9,-0.29,3.48,7,9,0.4,Everton Sousa Soares,FLA,86757,,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,1.0,,7.0,4.0,3.0,7.0,,1.0,1.0,,,,,,,,,,,
152,Matheus Rossetto,M. Rossetto,True,matheus-rossetto,356,3.71,9,-0.28,1.27,7,6,0.0,Matheus Rossetto,FOR,86766,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,,,5.0,3.0,,,2.0,,,,,,,,,,,,,
