,atletas.preco_num,atletas.clube.id.full.name,atletas.rodada_id,atletas.slug,atletas.entrou_em_campo,atletas.media_num,atletas.status_id,atletas.foto,atletas.posicao_id,atletas.pontos_num,atletas.clube_id,atletas.nome,atletas.variacao_num,atletas.jogos_num,atletas.apelido,atletas.apelido_abreviado,atletas.atleta_id,FS,FT,I,DS,FC,FD,FF,DE,GS,SG,A,CA,G,PS,V,CV,DP,PP,PC,GC
188,5.14,VAS,38,david,True,1.95,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,5,2.0,267,David Correa da Fonseca,-0.08,22,David,David,90309,4.0,,2.0,9.0,13.0,2.0,4.0,,,,3.0,2.0,2.0,,,1.0,,,,
189,4.76,FOR,38,matheus-pereira,False,2.57,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,4,0.0,356,Matheus Pereira da Silva,0.0,16,Matheus Pereira,M. Pereira,90370,7.0,,,14.0,18.0,3.0,3.0,,,,3.0,4.0,1.0,,,1.0,,,,
190,2.76,BAH,38,rezende,False,1.33,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,4,0.0,265,Júlio César de Rezende Miranda,0.0,10,Rezende,Rezende,90449,8.0,,,8.0,9.0,,,,,,,,,,,,,,,
191,8.13,GRE,38,arthur-melo,False,3.71,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,4,0.0,284,Arthur Henrique Ramos de Oliveira Melo,0.0,12,Arthur Melo,A. Melo,90532,37.0,,1.0,20.0,17.0,4.0,3.0,,,,,3.0,,,,1.0,,,,
192,4.23,JUV,38,caique,True,2.32,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,4,2.1,286,Caique de Jesus Gonçalves,0.43,26,Caíque,Caíque,90588,36.0,,,42.0,51.0,,1.0,,,,1.0,10.0,,,,,,,1.0,
193,6.74,MIR,38,chico-da-costa,False,3.03,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,5,0.0,2305,Francisco da Costa Aragão,0.0,19,Chico da Costa,C. Costa,90608,16.0,1.0,10.0,3.0,13.0,2.0,8.0,,,,,2.0,5.0,,,,,,,
194,8.89,VIT,38,matheuzinho,True,3.99,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,4,1.5,287,Matheus Martins Fogaça de Paulo,-1.34,27,Matheuzinho,Matheuzinho,90703,55.0,,2.0,25.0,15.0,13.0,4.0,,,,1.0,5.0,4.0,,,1.0,,,,
195,8.28,CRU,38,fabricio-bruno,False,4.89,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,3,0.0,283,Fabrício Bruno Soares de Faria,0.0,33,Fabrício Bruno,F. Bruno,90768,19.0,,,37.0,25.0,4.0,8.0,,,16.0,,8.0,3.0,,,1.0,,,,
196,6.14,MIR,38,carlos-eduardo,False,3.06,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,5,0.0,2305,Carlos Eduardo Ferreira de Souza,0.0,23,Carlos Eduardo,C. Eduardo,90917,24.0,,5.0,12.0,15.0,6.0,4.0,,,,4.0,2.0,2.0,1.0,,,,,,
197,4.77,VIT,38,ze-marcos,True,2.68,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,3,8.5,287,José Marcos Alves Luis,0.36,27,Zé Marcos,Z. Marcos,90943,19.0,,2.0,15.0,24.0,,1.0,,,9.0,,6.0,1.0,,,,,,,
198,6.93,BAH,38,ronaldo,True,4.9,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,1,2.4,265,Ronaldo de Oliveira Strada,-1.04,26,Ronaldo,Ronaldo,91101,6.0,,,,,,,78.0,34.0,8.0,1.0,1.0,,,,,2.0,,1.0,
199,5.28,CEA,38,fernandinho,True,2.98,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,5,1.1,354,Fernando José Marques Maciel,0.0,20,Fernandinho,Fernandinho,91130,22.0,1.0,6.0,24.0,18.0,6.0,8.0,,,,1.0,3.0,,,,,,,,
200,8.62,BOT,38,kaio,False,4.88,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,3,0.0,263,Kaio Fernando da Silva Pantaleão,0.0,9,Kaio,Kaio,91158,10.0,,1.0,10.0,8.0,2.0,5.0,,,4.0,,,,,,,,,,
201,2.76,CEA,38,eder,False,0.93,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,3,0.0,354,Éder Ferreira Graminho,0.0,3,Éder,Éder,91203,1.0,,,,3.0,2.0,1.0,,,,,,,,,,,,,
202,5.93,FLA,38,erick-pulgar,False,2.07,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,4,0.0,262,Erick Antonio Pulgar Farfán,0.0,15,Erick Pulgar,E. Pulgar,91473,9.0,,,17.0,21.0,3.0,1.0,,,,,5.0,1.0,,,,,,,
203,4.93,JUV,38,rodrigo-sam,True,3.19,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,3,3.9,286,Rodrigo Eduardo da Silva,-0.07,16,Rodrigo Sam,R. Sam,91509,20.0,,6.0,26.0,30.0,3.0,5.0,,,2.0,,7.0,,1.0,,,,,,
204,8.25,SAO,38,arboleda,True,5.15,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,3,-0.7,276,Robert Abel Arboleda Escobar,-0.91,24,Arboleda,Arboleda,91573,14.0,,4.0,37.0,21.0,,8.0,,,8.0,,4.0,3.0,1.0,,,,,,
205,10.33,CAM,38,rony,True,4.6,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,5,7.0,282,Ronielson da Silva Barbosa,-1.37,29,Rony,Rony,91607,49.0,1.0,18.0,22.0,41.0,19.0,15.0,,,,3.0,4.0,5.0,1.0,,,,,,
206,3.0,JUV,38,dudu-vieira,False,0.0,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,4,0.0,286,Carlos Eduardo de Souza Vieira,0.0,0,Dudu Vieira,D. Vieira,91627,,,,,,,,,,,,,,,,,,,,
207,7.53,SPT,38,igor-carius,True,4.26,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,2,2.5,292,Igor Aquino da Silva,-0.19,25,Igor Cariús,I. Cariús,91639,26.0,,6.0,41.0,25.0,7.0,7.0,,,5.0,,2.0,1.0,,,,,,2.0,1.0
208,8.49,GRE,38,marlon,True,5.34,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,2,7.4,284,Marlon Rodrigues Xavier,0.41,29,Marlon,Marlon,91706,37.0,,1.0,62.0,28.0,5.0,6.0,,,6.0,2.0,6.0,1.0,,,,,,1.0,
209,5.39,BAH,38,david-duarte,False,3.31,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,3,0.0,265,David de Duarte Macedo,0.0,25,David Duarte,D. Duarte,91772,8.0,1.0,2.0,11.0,20.0,3.0,10.0,,,9.0,1.0,4.0,1.0,,,,,,,
210,6.17,SPT,38,caique-franca,True,4.24,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,1,1.2,292,Caíque França Godoy,-2.35,15,Caíque França,C. França,91808,1.0,,,2.0,,,,57.0,29.0,2.0,,2.0,,,,,1.0,,,
211,7.15,SAN,38,ze-ivaldo,True,4.12,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,3,6.2,277,José Ivaldo Almeida Silva,-0.48,20,Zé Ivaldo,Z. Ivaldo,91866,16.0,,3.0,29.0,22.0,1.0,11.0,,,6.0,,6.0,1.0,,,1.0,,,1.0,
212,6.87,GRE,38,pavon,True,3.32,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,5,14.4,284,Cristian David Pavón,1.74,25,Pavón,Pavón,91908,16.0,,3.0,23.0,12.0,9.0,14.0,,,,6.0,7.0,,,,,,,,
213,3.28,JUV,38,giovanny,True,1.8,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,5,0.7,286,Giovanny Bariani Marques,0.04,19,Giovanny,Giovanny,92085,15.0,1.0,4.0,5.0,7.0,3.0,9.0,,,,2.0,2.0,,,,,,,,
214,8.87,CAM,38,lyanco,False,5.08,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,3,0.0,282,Lyanco Evangelista Silveira Neves Vojnovic,0.0,15,Lyanco,Lyanco,92087,19.0,,2.0,32.0,25.0,3.0,6.0,,,6.0,,5.0,,,,2.0,,,1.0,
215,11.13,BOT,38,arthur-cabral,True,4.07,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,5,9.0,263,Arthur Mendonça Cabral,0.91,20,Arthur Cabral,A. Cabral,92171,26.0,1.0,5.0,9.0,28.0,9.0,16.0,,,,1.0,1.0,4.0,1.0,,,,,,
216,10.68,VIT,38,jair-ventura,True,6.07,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,6,9.27,287,Jair Ventura,0.09,12,Jair Ventura,J. Ventura,92180,,,,,,,,,,,,,,,7.0,,,,,
217,4.19,INT,38,juninho,True,2.54,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,3,0.0,285,José Carlos Ferreira Júnior,-0.02,20,Juninho,Juninho,92182,11.0,,,21.0,15.0,3.0,6.0,,,3.0,,5.0,,,,,,,,
218,4.75,GRE,38,rodrigo-ely,False,0.6,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,3,0.0,284,Rodrigo Ely,0.0,2,Rodrigo Ely,R. Ely,92237,,,,1.0,1.0,,,,,,,,,,,,,,,
219,6.72,COR,38,andre-ramalho,False,3.86,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,3,0.0,264,André Ramalho Silva,0.0,21,André Ramalho,A. Ramalho,92440,10.0,,,28.0,19.0,2.0,9.0,,,7.0,,4.0,,,,,,,1.0,
220,8.55,VIT,38,renato-kayzer,True,4.32,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,5,1.8,287,Renato Kayzer de Souza,-0.43,28,Renato Kayzer,R. Kayzer,92696,52.0,1.0,17.0,9.0,37.0,7.0,17.0,,,,,3.0,9.0,,,,,,,
221,5.41,FOR,38,deyverson,True,2.76,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,5,1.4,356,Deyverson Brum Silva,0.24,22,Deyverson,Deyverson,92708,22.0,2.0,5.0,7.0,13.0,5.0,13.0,,,,,3.0,3.0,,,,,,,
222,4.51,PAL,38,bruno-rodrigues,True,1.73,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,5,1.7,275,Bruno Rafael Rodrigues do Nascimento,0.1,6,Bruno Rodrigues,B. Rodrigues,92811,2.0,,1.0,,3.0,2.0,,,,,,,1.0,,,,,,,
223,9.5,INT,38,borre,True,3.98,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,5,1.4,285,Rafael Santos Borré Maury,-0.25,29,Borré,Borré,92854,20.0,1.0,12.0,28.0,37.0,10.0,21.0,,,,2.0,3.0,5.0,,,1.0,,,,
224,3.64,INT,38,ronaldo,False,1.78,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,4,0.0,285,Ronaldo da Silva Souza Guerrero,0.0,15,Ronaldo,Ronaldo,92981,3.0,,2.0,23.0,21.0,2.0,2.0,,,,,4.0,,,,1.0,,,,
225,5.28,CEA,38,rafael-ramos,True,3.54,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,2,3.0,354,Rafael António Figueiredo Ramos,0.1,20,Rafael Ramos,R. Ramos,93236,6.0,,,28.0,21.0,1.0,5.0,,,6.0,,3.0,,,,,,,,
226,7.74,SAN,38,joao-basso,False,4.42,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,3,0.0,277,João Othávio Basso,0.0,6,João Basso,J. Basso,93372,6.0,,,7.0,10.0,,,,,2.0,,2.0,1.0,,,,,,,
227,7.38,VIT,38,cantalapiedra,True,5.13,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,5,3.0,287,Aitor Cantalapiedra Fernández,0.03,17,Cantalapiedra,Cantalapiedra,93411,13.0,2.0,3.0,15.0,5.0,8.0,8.0,,,,3.0,1.0,3.0,,,,,,,
228,4.66,CRU,38,wanderson,False,1.91,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,5,0.0,283,Wanderson Maciel Sousa Campos,0.0,27,Wanderson,Wanderson,93478,15.0,1.0,6.0,11.0,26.0,10.0,16.0,,,,2.0,2.0,,,,,,,,
229,13.47,VAS,38,paulo-henrique,False,7.82,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,2,0.0,267,Paulo Henrique de Oliveira Alves,0.0,26,Paulo Henrique,P. Henrique,93716,24.0,2.0,1.0,80.0,49.0,8.0,6.0,,,6.0,8.0,8.0,1.0,,,1.0,,,1.0,
230,4.97,BOT,38,marlon-freitas,True,1.92,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,4,2.7,263,Marlon Rodrigues Freitas,0.28,31,Marlon Freitas,M. Freitas,93790,9.0,,,27.0,39.0,6.0,14.0,,,,3.0,7.0,,,,,,,,
231,3.0,CEA,38,keiller,False,0.0,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,1,0.0,354,Keiller da Silva Nunes,0.0,0,Keiller,Keiller,93834,,,,,,,,,,,,,,,,,,,,
232,6.51,RBB,38,cleiton,True,3.97,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,1,-2.7,280,Cleiton Schwengber,-1.19,31,Cleiton,Cleiton,93882,9.0,,,,,,,105.0,47.0,7.0,,6.0,,,,,,,,
233,6.87,SPT,38,matheusinho,True,3.88,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,4,1.3,292,Matheus Leonardo Sales Cardoso,-0.44,22,Matheusinho,Matheusinho,93886,29.0,,2.0,21.0,16.0,4.0,9.0,,,,4.0,1.0,2.0,,,1.0,,,,
234,8.12,FOR,38,breno-lopes,True,4.69,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,5,8.7,356,Breno Henrique Vasconcelos Lopes,1.1,27,Breno Lopes,B. Lopes,93988,45.0,1.0,20.0,13.0,12.0,11.0,19.0,,,,3.0,4.0,6.0,,,,,,,
235,4.21,RBB,38,matheus-fernandes,True,2.16,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,4,-0.3,280,Matheus Fernandes Siqueira,-0.38,18,Matheus Fernandes,M. Fernandes,94067,4.0,,,22.0,19.0,1.0,4.0,,,,,3.0,1.0,,,,,,,
236,4.22,COR,38,maycon,False,2.25,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,4,0.0,264,Maycon de Andrade Barberan,0.0,25,Maycon,Maycon,94154,6.0,,,21.0,14.0,1.0,6.0,,,,,4.0,3.0,,,,,,,
237,11.82,SAN,38,guilherme,True,6.27,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,5,20.2,277,Guilherme Augusto Vieira dos Santos,1.41,31,Guilherme,Guilherme,94207,58.0,1.0,13.0,41.0,15.0,17.0,25.0,,,,7.0,1.0,4.0,,,,,,,
238,3.45,JUV,38,matheus-babi,True,1.67,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,5,0.7,286,Matheus Barcelos da Silva,-0.12,18,Matheus Babi,M. Babi,94444,14.0,,5.0,7.0,16.0,1.0,6.0,,,,,4.0,2.0,,,,,,,
239,9.63,PAL,38,raphael-veiga,False,2.62,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,4,0.0,275,Raphael Cavalcante Veiga,0.0,21,Raphael Veiga,R. Veiga,94509,27.0,,,12.0,19.0,5.0,8.0,,,,2.0,2.0,1.0,1.0,,,,,,
240,3.74,VAS,38,lucas-oliveira,True,1.66,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,3,0.5,267,Lucas da Cruz Oliveira,-0.41,7,Lucas Oliveira,L. Oliveira,94514,1.0,,,2.0,3.0,,,,,2.0,,1.0,,,,,,,,
241,17.97,FLA,38,pedro,False,7.74,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,5,0.0,262,Pedro Guilherme Abreu dos Santos,0.0,21,Pedro,Pedro,94583,16.0,1.0,2.0,10.0,14.0,14.0,4.0,,,,6.0,3.0,12.0,2.0,,,,1.0,,
242,4.83,JUV,38,lucas-fernandes,False,2.15,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,4,0.0,286,Lucas Fernandes da Silva,0.0,6,Lucas Fernandes,L. Fernandes,94931,3.0,,1.0,6.0,5.0,2.0,2.0,,,,,,,,,,,,,
243,10.33,RBB,38,juninho-capixaba,True,6.01,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,2,2.7,280,Luis Antônio da Rocha Júnior,-0.05,21,Juninho Capixaba,J. Capixaba,94968,40.0,,2.0,40.0,31.0,6.0,11.0,,,7.0,,3.0,1.0,,,,,,,
244,2.96,BOT,38,gabriel-bahia,True,1.3,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,3,0.0,263,Gabriel Henrique Feitosa da Silva,-0.6,4,Gabriel Bahia,G. Bahia,95106,1.0,,,3.0,2.0,,1.0,,,,,,,,,,,,,
245,5.96,CEA,38,nicolas,False,3.44,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,2,0.0,354,Nicolas Vecchiato da Silva - Vichiatto / Vechiatto,0.0,12,Nicolas,Nicolas,95127,7.0,,,12.0,9.0,1.0,3.0,,,4.0,,1.0,,,,,,,,
246,8.64,JUV,38,gabriel-taliari,True,4.71,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,5,5.7,286,Gabriel Pereira Taliari,0.58,32,Gabriel Taliari,G. Taliari,95131,66.0,2.0,9.0,23.0,56.0,8.0,20.0,,,,4.0,7.0,7.0,,,,,,,
247,1.87,JUV,38,giraldo,False,0.28,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,4,0.0,286,Daniel Eduardo Giraldo Cárdenas,0.0,14,Giraldo,Giraldo,95354,3.0,,1.0,6.0,17.0,,2.0,,,,,3.0,,,,,,,,
248,4.84,SPT,38,rivera,False,2.63,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,4,0.0,292,Christian Hernando Rivera Cuéllar,0.0,30,Rivera,Rivera,95357,31.0,,3.0,61.0,69.0,,1.0,,,,,8.0,,,,,,,,
249,8.77,SAN,38,igor-vinicius,True,4.68,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,2,15.0,277,Igor Vinícius de Souza,0.8,22,Igor Vinícius,I. Vinícius,95466,20.0,,,43.0,26.0,3.0,3.0,,,5.0,2.0,5.0,,,,,,,,
250,6.38,COR,38,raniele,True,4.15,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,4,2.7,264,Raniele Almeida Melo,0.2,30,Raniele,Raniele,95556,50.0,,,56.0,36.0,5.0,8.0,,,,1.0,7.0,2.0,,,,,,,
251,5.0,FOR,38,marcelo-benevenuto,False,0.0,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,3,0.0,356,Marcelo da Conceição Benevenuto Malaquias,0.0,0,Marcelo Benevenuto,M. Benevenuto,95638,,,,,,,,,,,,,,,,,,,,
252,2.13,SPT,38,lucas-kal,True,0.13,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,4,0.5,292,Lucas Kal Schenfeld Prigioli,-0.05,11,Lucas Kal,L. Kal,95662,2.0,,,3.0,9.0,,2.0,,,,,,,,,,,,,1.0
253,8.73,BOT,38,artur,True,4.38,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,5,3.8,263,Artur Victor Guimarães,0.2,25,Artur,Artur,95799,25.0,2.0,2.0,16.0,15.0,8.0,16.0,,,,4.0,3.0,4.0,,,,,,,
254,1.23,VAS,38,daniel-fuzato,True,-1.27,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,1,-2.4,267,Daniel Cerântula Fuzato,-0.81,3,Daniel Fuzato,D. Fuzato,95936,,,,,,,,4.0,9.0,,,,,,,,,,,
255,4.41,FLU,38,lima,False,1.98,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,4,0.0,266,Vinícius Moreira de Lima,0.0,26,Lima,Lima,96340,30.0,1.0,1.0,6.0,19.0,4.0,9.0,,,,1.0,3.0,2.0,,,,,,,
256,3.87,COR,38,charles,True,1.75,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,4,6.1,264,Charles Rigon Mattos,0.79,17,Charles,Charles,96342,4.0,,4.0,21.0,21.0,1.0,,,,,,2.0,1.0,,,1.0,,,1.0,
257,7.96,BOT,38,joaquin-correa,False,3.01,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,5,0.0,263,Carlos Joaquín Correa,0.0,18,Joaquín Correa,J. Correa,96353,20.0,1.0,2.0,11.0,13.0,7.0,7.0,,,,,2.0,2.0,1.0,,,,,,
258,14.85,CRU,38,matheus-pereira,False,7.03,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,4,0.0,283,Matheus Fellipe Costa Pereira,0.0,34,Matheus Pereira,M. Pereira,96610,111.0,2.0,7.0,42.0,36.0,21.0,21.0,,,,7.0,7.0,7.0,,,,,,,
259,2.22,FLA,38,allan,False,0.56,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,4,0.0,262,Allan Rodrigues de Souza,0.0,13,Allan,Allan,96652,7.0,,,5.0,19.0,2.0,2.0,,,,,2.0,,,,,,,,
260,4.54,SAO,38,rigoni,True,2.06,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,5,3.2,276,Emiliano Ariel Rigoni,0.48,10,Rigoni,Rigoni,96684,3.0,1.0,7.0,2.0,8.0,2.0,6.0,,,,1.0,1.0,1.0,,,1.0,,,,
261,6.25,CAM,38,saravia,True,3.42,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,2,4.7,282,Renzo Saravia,-0.02,13,Saravia,Saravia,96725,5.0,,,8.0,16.0,,2.0,,,7.0,,2.0,,,,,,,,
262,5.82,VIT,38,camutanga,True,3.46,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,3,5.2,287,Cleidson Andrade da Souza Silva,0.12,13,Camutanga,Camutanga,96793,6.0,,1.0,15.0,16.0,2.0,5.0,,,5.0,,7.0,,,,,,,,
