,atletas.foto,atletas.status_id,atletas.apelido,atletas.nome,atletas.clube_id,atletas.variacao_num,atletas.posicao_id,atletas.jogos_num,atletas.rodada_id,atletas.clube.id.full.name,atletas.apelido_abreviado,atletas.pontos_num,atletas.entrou_em_campo,atletas.preco_num,atletas.media_num,atletas.atleta_id,atletas.slug,CA,CV,DS,FC,FD,FF,FS,FT,G,I,PC,A,SG,PS,DE,DP,GS,V,GC,PP
29,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,5,Oscar,Oscar dos Santos Emboaba Júnior,276,0.0,4,6,17,SAO,Oscar,0.0,False,11.39,1.67,68811,oscar,1.0,,5.0,3.0,2.0,,4.0,,,,,,,,,,,,,
30,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,6,Marcelo Lomba,Marcelo Lomba do Nascimento,275,0.0,1,0,17,PAL,M. Lomba,0.0,False,7.0,0.0,68872,marcelo-lomba,,,,,,,,,,,,,,,,,,,,
31,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,6,Philippe Coutinho,Philippe Coutinho Correia,267,0.0,4,9,17,VAS,P. Coutinho,0.0,False,9.37,3.15,68899,philippe-coutinho,,1.0,1.0,8.0,10.0,9.0,16.0,,,,,1.0,,,,,,,,
32,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,3,Dudu,Eduardo Pereira Rodrigues,282,0.0,5,7,17,CAM,Dudu,0.0,False,8.39,2.57,68920,dudu,,,4.0,5.0,,,11.0,,1.0,,,,,,,,,,,
33,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,6,Gil,Carlos Gilberto do Nascimento Silva,277,0.0,3,6,17,SAN,Gil,0.0,False,5.03,2.08,68923,gil,3.0,,7.0,7.0,,2.0,1.0,,,,,,1.0,,,,,,,
34,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,7,Rafael,Rafael Pires Monteiro,276,-0.96,1,16,17,SAO,Rafael,-1.0,True,8.97,4.17,68928,rafael,2.0,,1.0,,,,5.0,,,,,,4.0,,49.0,,19.0,,,
35,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,7,Marinho,Mário Sérgio Santos Costa,356,-0.71,5,10,17,FOR,Marinho,4.6,True,7.26,3.67,68952,marinho,1.0,1.0,6.0,19.0,5.0,8.0,16.0,,1.0,10.0,,2.0,,,,,,,,
36,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,6,Lucas Sasha,Lucas Pacheco Affini,356,0.82,4,10,17,FOR,L. Sasha,7.7,True,9.11,6.49,68991,lucas-sasha,1.0,,42.0,16.0,2.0,1.0,9.0,,,,,,,,,,,,,
37,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,7,Willian José,Willian José da Silva,265,0.02,5,12,17,BAH,W. José,1.2,True,6.86,2.9,68996,willian-jose,2.0,,,3.0,5.0,4.0,3.0,2.0,2.0,,,1.0,,,,,,,,
38,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,7,Manoel,Manoel Messias Silva Carvalho,266,0.1,3,1,17,FLU,Manoel,1.3,True,5.1,1.3,69014,manoel,,,,,,1.0,1.0,,,,,,,,,,,,,
39,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,6,Danilo Fernandes,Danilo Fernandes Batista,265,0.0,1,0,17,BAH,D. Fernandes,0.0,False,4.0,0.0,69051,danilo-fernandes,,,,,,,,,,,,,,,,,,,,
40,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,5,Pablo,Pablo Felipe Teixeira,292,0.0,5,7,17,SPT,Pablo,0.0,False,6.43,3.27,69138,pablo,1.0,,5.0,8.0,2.0,5.0,10.0,,1.0,6.0,,,,,,,,,,
41,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,6,Allan,Allan Marques Loureiro,263,1.82,4,7,17,BOT,Allan,8.8,True,4.66,1.79,69140,allan,2.0,,9.0,14.0,1.0,,8.0,,,,,,,,,,,,,
42,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,5,Danilo,Danilo Luiz da Silva,262,0.0,3,6,17,FLA,Danilo,0.0,False,14.33,6.63,69783,danilo,,,4.0,8.0,1.0,,4.0,,1.0,,,,5.0,,,,,,,
43,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,5,Lucas Moura,Lucas Rodrigues Moura da Silva,276,0.0,4,0,17,SAO,L. Moura,0.0,False,5.0,0.0,70164,lucas-moura,,,,,,,,,,,,,,,,,,,,
44,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,7,Gustavo,Luiz Gustavo de Almeida Pinto,286,0.31,1,10,17,JUV,Gustavo,3.5,True,4.92,3.09,70216,gustavo,1.0,,1.0,,,,,,,,,,1.0,,31.0,1.0,22.0,,,
45,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,6,Bruno Uvini,Bruno Uvini Bortolança,287,0.0,3,0,17,VIT,B. Uvini,0.0,False,4.0,0.0,70221,bruno-uvini,,,,,,,,,,,,,,,,,,,,
46,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,7,Eduardo Sasha,Eduardo Colcenti Antunes,280,-0.43,5,16,17,RBB,E. Sasha,0.0,True,7.85,4.13,70360,eduardo-sasha,3.0,,6.0,4.0,10.0,11.0,17.0,1.0,3.0,1.0,,1.0,,,,,,,,
47,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,6,Gabriel,Gabriel Vasconcelos Ferreira,292,-0.3,1,4,17,SPT,Gabriel,1.9,True,3.4,1.3,70449,gabriel,,,,,,,1.0,,,,,,,,9.0,,7.0,,,
48,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,6,Felipe Anderson,Felipe Anderson Pereira Gomes,275,0.0,4,11,17,PAL,F. Anderson,0.0,False,6.84,3.29,70592,felipe-anderson,,,17.0,9.0,3.0,5.0,6.0,1.0,,1.0,,,,,,,,,,
49,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,7,Marllon,Marllon Gonçalves Jerônimo Borges,354,0.0,3,13,17,CEA,Marllon,0.0,False,7.3,4.14,70666,marllon,1.0,,8.0,9.0,,2.0,6.0,,2.0,,,,5.0,,,,,,,
50,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,7,Fábio Carille,Fábio Luiz Carille de Araújo,287,-0.43,6,10,17,VIT,F. Carille,4.06,True,8.75,5.23,70696,fabio-carille,,,,,,,,,,,,,,,,,,3.0,,
51,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,6,Enner Valencia,Enner Remberto Valencia Lastra,285,0.0,5,11,17,INT,E. Valencia,0.0,False,5.57,1.86,70788,enner-valencia,1.0,,1.0,13.0,4.0,5.0,9.0,1.0,1.0,3.0,,,,,,,,,,
52,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,7,Diogo Barbosa,Diogo Barbosa Mendanha,356,-0.38,2,8,17,FOR,D. Barbosa,3.0,True,8.06,4.36,70916,diogo-barbosa,1.0,,9.0,3.0,,1.0,9.0,,1.0,,,,2.0,,,,,,,
53,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,7,Bruno Henrique,Bruno Henrique Corsini,285,-0.86,4,13,17,INT,B. Henrique,-0.3,True,6.22,3.05,70944,bruno-henrique,,1.0,19.0,26.0,3.0,8.0,8.0,,1.0,,,,,,,,,,,
54,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,6,Thiago Mendes,Thiago Henrique Mendes Ribeiro,267,-0.89,4,1,17,VAS,T. Mendes,-0.8,True,6.11,-0.8,71123,thiago-mendes,1.0,,,1.0,,,1.0,,,,,,,,,,,,,
55,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,5,Luiz Gustavo,Luiz Gustavo Dias,276,0.0,4,1,17,SAO,L. Gustavo,0.0,False,10.73,9.6,71536,luiz-gustavo,,,4.0,4.0,,1.0,2.0,1.0,,,,,,,,,,,,
56,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,6,Fernando Miguel,Fernando Miguel Kaufmann,354,0.0,1,6,17,CEA,F. Miguel,0.0,False,7.02,6.18,71571,fernando-miguel,,,,,,,6.0,,,,,,3.0,,17.0,,3.0,,,
57,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,7,Weverton,Weverton Pereira da Silva,275,1.45,1,15,17,PAL,Weverton,8.9,True,9.07,4.4,71631,weverton,1.0,,,,,,6.0,,,,,,6.0,,30.0,1.0,12.0,,,
58,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,7,Raúl Cáceres,Raúl Alejandro Cáceres Bogado,287,-0.53,2,7,17,VIT,R. Cáceres,3.3,True,3.91,3.33,71680,raul-caceres,2.0,,4.0,6.0,3.0,2.0,2.0,,,1.0,,1.0,2.0,,,,,,,
59,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,7,Gustavo Gómez,Gustavo Raúl Gómez Portillo,275,0.82,3,12,17,PAL,G. Gómez,5.5,True,9.22,3.99,71684,gustavo-gomez,3.0,,15.0,15.0,1.0,4.0,8.0,,,5.0,,,5.0,,,,,,,
60,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,6,Santiago Arias,Santiago Arias Naranjo,265,1.21,2,6,17,BAH,S. Arias,10.7,True,7.38,3.32,71701,santiago-arias,1.0,,5.0,,2.0,,2.0,,,,,,2.0,,,,,,,
61,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,5,Cuéllar,Gustavo Leonardo Cuellar Gallego,284,0.0,4,2,17,GRE,Cuéllar,0.0,False,6.52,3.1,71709,cuellar,,,4.0,1.0,,,1.0,,,,,,,,,,,,,
62,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,7,Tiago Volpi,Tiago Luis Volpi,284,-0.67,1,15,17,GRE,T. Volpi,1.6,True,6.86,3.73,72018,tiago-volpi,2.0,,,,,,5.0,,,,1.0,,3.0,,48.0,,21.0,,,
63,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,6,Thomazella,Carlos Eduardo Lecciolle Thomazella,2305,0.0,1,0,17,MIR,Thomazella,0.0,False,2.0,0.0,72279,thomazella,,,,,,,,,,,,,,,,,,,,
64,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,7,Everson,Everson Felipe Marques Pires,282,0.17,1,14,17,CAM,Everson,4.5,True,10.12,5.26,72294,everson,4.0,,,,,,4.0,,,,,,7.0,,42.0,,14.0,,,
65,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,5,Luiz Otávio,Luiz Otávio Anacleto Leandro,354,0.0,3,0,17,CEA,L. Otávio,0.0,False,4.0,0.0,72359,luiz-otavio,,,,,,,,,,,,,,,,,,,,
66,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,7,Fernando Diniz,Fernando Diniz Silva,267,-0.08,6,7,17,VAS,F. Diniz,4.01,True,9.41,4.69,72391,fernando-diniz,,,,,,,,,,,,,,,,,,2.0,,
67,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,6,Bernard,Bernard Anício Caldeira Duarte,282,-0.04,4,12,17,CAM,Bernard,0.0,True,3.62,0.82,72460,bernard,1.0,,7.0,6.0,,1.0,3.0,,,1.0,,,,,,,,,,
68,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,7,Alex Telles,Alex Nicolao Telles,263,-1.33,2,13,17,BOT,A. Telles,0.0,True,9.76,5.24,72493,alex-telles,1.0,,7.0,13.0,2.0,4.0,8.0,,1.0,1.0,,,9.0,,,,,,,
69,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,7,Pedro Henrique,Pedro Henrique Konzen Medina da Silva,354,-0.52,5,10,17,CEA,P. Henrique,1.3,True,7.1,3.49,72583,pedro-henrique,4.0,,11.0,17.0,5.0,8.0,11.0,1.0,1.0,4.0,1.0,,,,,,,,,
70,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,6,Vitor Hugo,Vitor Hugo Franchescoli de Souza,282,0.0,3,5,17,CAM,V. Hugo,0.0,False,8.15,5.92,72605,vitor-hugo,,,5.0,,,2.0,1.0,,,,,,4.0,,,,,,,
71,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,7,Wilker Ángel,Wílker José Ángel Romero,286,-0.07,3,9,17,JUV,W. Ángel,1.2,True,2.77,0.83,72801,wilker-angel,2.0,,4.0,11.0,,1.0,2.0,,,,,,1.0,,,,,,,
72,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,6,Mercado,Gabriel Iván Mercado,285,0.0,3,0,17,INT,Mercado,0.0,False,6.0,0.0,72951,mercado,,,,,,,,,,,,,,,,,,,,
73,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,6,Daniel Borges,Daniel Fortunato Borges,2305,0.0,2,7,17,MIR,D. Borges,0.0,False,5.11,4.14,73318,daniel-borges,2.0,,3.0,6.0,,1.0,3.0,,2.0,,,,2.0,,,,,,,
74,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,7,Samuel Xavier,Samuel Xavier Brito,266,1.1,2,12,17,FLU,S. Xavier,8.9,True,9.71,4.61,73384,samuel-xavier,2.0,,10.0,16.0,1.0,3.0,15.0,,2.0,,,1.0,3.0,,,,,,,
75,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,7,Gabriel,Gabriel Santana Pinto,2305,0.06,4,13,17,MIR,Gabriel,0.2,True,4.96,2.25,73515,gabriel,2.0,,3.0,4.0,4.0,2.0,10.0,,2.0,5.0,,,,1.0,,,,,,
