,atletas.atleta_id,atletas.pontos_num,atletas.media_num,atletas.nome,atletas.jogos_num,atletas.status_id,atletas.rodada_id,atletas.apelido,atletas.entrou_em_campo,atletas.clube.id.full.name,atletas.preco_num,atletas.posicao_id,atletas.foto,atletas.apelido_abreviado,atletas.clube_id,atletas.variacao_num,atletas.slug,CA,DS,FC,FD,FF,FS,G,I,SG,DE,GS,PC,DP,FT,A,CV,PS,V,PP,GC
0,37281,3.37,5.45,Luis Antônio Venker de Menezes,9,6,13,Mano Menezes,True,GRE,9.57,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,M. Menezes,284,-0.33,mano-menezes,,,,,,,,,,,,,,,,,,3.0,,
1,37457,7.5,6.23,Leonardo Rodrigues Condé,10,7,13,Léo Condé,True,CEA,8.77,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,L. Condé,354,0.81,leo-conde,,,,,,,,,,,,,,,,,,4.0,,
2,37656,0.0,3.36,Fábio Deivson Lopes Maciel,11,7,13,Fábio,False,FLU,9.71,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Fábio,266,0.0,fabio,1.0,,,,,,,,3.0,27.0,12.0,,,,,,,,,
3,37715,0.0,2.22,Thiago Emiliano da Silva,7,7,13,Thiago Silva,False,FLU,8.87,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,T. Silva,266,0.0,thiago-silva,,1.0,1.0,1.0,2.0,3.0,,,2.0,,,,,,,,,,,
4,38913,1.0,1.57,Anderson Luis de Carvalho - Luiz,7,6,13,Nenê,True,JUV,3.69,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Nenê,286,-0.31,nene,,2.0,1.0,1.0,2.0,11.0,,,,,,,,,,,,,,
5,39148,11.0,5.5,Givanildo Vieira de Souza,12,6,13,Hulk,True,CAM,15.2,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Hulk,282,1.14,hulk,3.0,4.0,12.0,11.0,15.0,26.0,2.0,6.0,,,,,,1.0,2.0,,,,,
6,39656,1.2,1.87,Alan Steven Franco Palma,9,6,13,Alan Franco,True,CAM,4.7,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,A. Franco,282,-0.18,alan-franco,1.0,11.0,10.0,,1.0,7.0,,,,,,,,,,,,,,
7,40990,3.66,5.11,Dorival Silvestre Júnior,7,7,13,Dorival Júnior,True,COR,10.23,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,D. Júnior,264,-0.16,dorival-junior,,,,,,,,,,,,,,,,,,2.0,,
8,41929,0.0,5.75,Renato Portaluppi,10,7,13,Renato Gaúcho,False,FLU,10.66,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,R. Gaúcho,266,0.0,renato-gaucho,,,,,,,,,,,,,,,,,,6.0,,
9,42222,0.0,1.78,Osvaldo Lourenço Filho,8,2,13,Osvaldo,True,VIT,3.62,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Osvaldo,287,-0.23,osvaldo,1.0,2.0,3.0,2.0,3.0,7.0,,2.0,,,,,,,1.0,,,,,
