,atletas.clube.id.full.name,atletas.pontos_num,atletas.nome,atletas.status_id,atletas.jogos_num,atletas.atleta_id,atletas.apelido_abreviado,atletas.apelido,atletas.variacao_num,atletas.posicao_id,atletas.slug,atletas.minimo_para_valorizar,atletas.clube_id,atletas.rodada_id,atletas.foto,atletas.preco_num,atletas.media_num,atletas.entrou_em_campo,CA,FC,FF,G,I,DS,FS,FD,DE,GS,A,FT,CV,PS,DP,SG,V,PC,PP,GC
0,GRE,6.85,Luis Antônio Venker de Menezes,7,6,37281,M. Menezes,Mano Menezes,0.8,6,mano-menezes,,284,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,9.74,4.98,True,,,,,,,,,,,,,,,,,2.0,,,
1,CEA,0.0,Leonardo Rodrigues Condé,6,8,37457,L. Condé,Léo Condé,0.0,6,leo-conde,,354,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,8.81,6.5,False,,,,,,,,,,,,,,,,,3.0,,,
2,FLU,-0.7,Fábio Deivson Lopes Maciel,7,10,37656,Fábio,Fábio,-0.25,1,fabio,,266,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,8.22,2.68,True,1.0,,,,,,,,23.0,12.0,,,,,,2.0,,,,
3,FLU,0.5,Thiago Emiliano da Silva,7,6,37715,T. Silva,Thiago Silva,-0.34,3,thiago-silva,,266,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,8.34,1.67,True,,1.0,2.0,,,1.0,2.0,1.0,,,,,,,,1.0,,,,
4,JUV,1.8,Anderson Luis de Carvalho - Luiz,6,5,38913,Nenê,Nenê,-0.21,4,nene,,286,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,3.82,1.4,True,,1.0,2.0,,,1.0,6.0,1.0,,,,,,,,,,,,
5,CAM,7.6,Givanildo Vieira de Souza,7,9,39148,Hulk,Hulk,0.93,5,hulk,,282,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,15.29,5.36,True,3.0,11.0,10.0,1.0,5.0,4.0,22.0,10.0,,,2.0,,,,,,,,,
6,CAM,5.7,Alan Steven Franco Palma,7,6,39656,A. Franco,Alan Franco,0.88,4,alan-franco,,282,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,5.77,2.45,True,,7.0,1.0,,,10.0,2.0,,,,,,,,,,,,,
7,COR,4.86,Dorival Silvestre Júnior,7,4,40990,D. Júnior,Dorival Júnior,-0.55,6,dorival-junior,,264,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,11.19,5.66,True,,,,,,,,,,,,,,,,,2.0,,,
8,FLU,4.75,Renato Portaluppi,7,9,41929,R. Gaúcho,Renato Gaúcho,0.23,6,renato-gaucho,,266,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,9.76,5.2,True,,,,,,,,,,,,,,,,,5.0,,,
9,VIT,2.1,Osvaldo Lourenço Filho,7,6,42222,Osvaldo,Osvaldo,-0.48,5,osvaldo,,287,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,4.19,2.25,True,1.0,2.0,3.0,,2.0,2.0,5.0,2.0,,,1.0,,,,,,,,,
10,CRU,6.3,Cássio Roberto Ramos,7,10,42234,Cássio,Cássio,-0.19,1,cassio,,283,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,10.59,6.72,True,2.0,,,,,,,,34.0,7.0,,,,,1.0,5.0,,,,
11,CAM,4.99,Alexi Stival,7,10,42411,Cuca,Cuca,-0.04,6,cuca,,282,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,10.1,5.82,True,,,,,,,,,,,,,,,,,3.0,,,
12,CRU,0.0,Fagner Conserva Lemos,6,6,42500,Fagner,Fagner,0.0,2,fagner,,283,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,9.39,6.67,False,1.0,9.0,1.0,,1.0,14.0,4.0,,,,,,,,,4.0,,,,
13,MIR,0.0,David Braz de Oliveira Filho,6,0,50317,D. Braz,David Braz,0.0,3,david-braz,,2305,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,5.0,0.0,False,,,,,,,,,,,,,,,,,,,,
14,FOR,0.0,Christian Chagas Tarouco,6,3,50353,Titi,Titi,0.0,3,titi,,356,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,6.28,4.6,False,,4.0,,,,5.0,1.0,,,,,,1.0,,,2.0,,,,
15,MIR,8.9,Walter Leandro Capeloza Artune,7,4,51413,Walter,Walter,0.51,1,walter,,2305,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,9.87,7.53,True,1.0,,,,,,,,17.0,3.0,,,,,1.0,1.0,,,,
16,BAH,-1.0,Everton Augusto de Barros Ribeiro,7,9,51772,E. Ribeiro,Everton Ribeiro,-0.84,4,everton-ribeiro,,265,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,7.19,3.32,True,2.0,7.0,,1.0,,13.0,14.0,2.0,,,,,1.0,,,,,,,
17,INT,0.0,Fernando Francisco Reges,6,5,52271,Fernando,Fernando,0.0,4,fernando,,285,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,6.54,3.3,False,,2.0,,,,8.0,3.0,3.0,,,,,,,,,,,,
18,FOR,0.0,David Luiz Moreira Marinho,6,5,52827,D. Luiz,David Luiz,0.0,3,david-luiz,,356,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,7.23,3.34,False,1.0,4.0,3.0,,,4.0,1.0,,,,,,,,,2.0,,,,
19,MIR,0.0,Leonardo Gamalho de Souza,6,0,53865,L. Gamalho,Léo Gamalho,0.0,5,leo-gamalho,,2305,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,4.0,0.0,False,,,,,,,,,,,,,,,,,,,,
20,VAS,0.0,Alex Teixeira Santos,6,5,60793,A. Teixeira,Alex Teixeira,0.0,5,alex-teixeira,,267,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,2.76,0.82,False,1.0,2.0,,,,3.0,,1.0,,,,,,,,,,,,
21,JUV,-0.6,Gilberto Oliveira Souza Júnior,7,7,61188,Gilberto,Gilberto,-0.25,5,gilberto,,286,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,3.57,1.1,True,2.0,9.0,2.0,,1.0,,7.0,2.0,,,1.0,,,,,,,,,
22,FLA,6.1,Alex Sandro Lobo Silva,7,8,61987,A. Sandro,Alex Sandro,-0.03,2,alex-sandro,,262,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,11.03,4.98,True,,19.0,2.0,,1.0,10.0,8.0,,,,,,,,,5.0,,,,
23,FLU,5.5,Paulo Henrique Chagas de Lima,6,6,62977,Ganso,Ganso,0.62,4,ganso,,266,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,7.7,1.97,True,1.0,1.0,2.0,,,5.0,8.0,,,,,,,,,,,,,
24,SAN,2.4,Neymar da Silva Santos Júnior,6,3,63007,Neymar,Neymar,-1.18,4,neymar,,277,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,18.54,1.83,True,1.0,3.0,,,,,10.0,2.0,,,,,,,,,,,,
25,PAL,0.0,Marcos Luis Rocha Aquino,6,0,63013,M. Rocha,Marcos Rocha,0.0,2,marcos-rocha,,275,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,7.0,0.0,False,,,,,,,,,,,,,,,,,,,,
26,JUV,3.2,Alan Luciano Ruschel,7,7,63110,A. Ruschel,Alan Ruschel,0.19,2,alan-ruschel,,286,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,6.05,3.23,True,1.0,6.0,,,1.0,9.0,14.0,,,,,,,,,1.0,,,,
27,GRE,0.0,Edenílson Andrade dos Santos,5,7,63289,Edenílson,Edenílson,0.0,4,edenilson,,284,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,4.97,1.75,False,3.0,5.0,1.0,1.0,,3.0,7.0,,,,,,,,,,,,,
28,INT,0.0,Alan Patrick Lourenço,6,7,68685,A. Patrick,Alan Patrick,0.0,4,alan-patrick,,285,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,14.04,7.05,False,2.0,3.0,2.0,2.0,,5.0,7.0,3.0,,,4.0,,,,,,,,,
29,CRU,0.0,Carlos Eduardo de Oliveira Alves,6,8,68708,Eduardo,Eduardo,-0.04,4,eduardo,,283,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,3.13,0.26,True,,2.0,,,,,1.0,1.0,,,,,,1.0,,,,,,
30,SAO,0.5,Oscar dos Santos Emboaba Júnior,7,3,68811,Oscar,Oscar,-2.19,4,oscar,,276,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,15.36,2.1,True,1.0,2.0,,,,3.0,2.0,2.0,,,,,,,,,,,,
31,PAL,0.0,Marcelo Lomba do Nascimento,6,0,68872,M. Lomba,Marcelo Lomba,0.0,1,marcelo-lomba,,275,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,7.0,0.0,False,,,,,,,,,,,,,,,,,,,,
32,VAS,0.0,Philippe Coutinho Correia,3,6,68899,P. Coutinho,Philippe Coutinho,0.0,4,philippe-coutinho,,267,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,9.57,3.07,False,,5.0,8.0,,,1.0,8.0,5.0,,,1.0,,1.0,,,,,,,
33,CAM,0.0,Eduardo Pereira Rodrigues,6,5,68920,Dudu,Dudu,0.0,5,dudu,,282,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,9.15,3.26,False,,4.0,,1.0,,4.0,7.0,,,,,,,,,,,,,
34,SAN,0.0,Carlos Gilberto do Nascimento Silva,6,6,68923,Gil,Gil,0.0,3,gil,,277,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,5.06,2.25,False,2.0,7.0,2.0,,,7.0,1.0,,,,,,,,,1.0,,,,
35,SAO,-0.2,Rafael Pires Monteiro,7,9,68928,Rafael,Rafael,-0.41,1,rafael,,276,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,9.12,3.63,True,2.0,,,,,,5.0,,24.0,9.0,,,,,,2.0,,,,
36,FOR,0.0,Mário Sérgio Santos Costa,6,5,68952,Marinho,Marinho,0.0,5,marinho,,356,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,5.62,2.08,False,,8.0,1.0,,5.0,1.0,8.0,,,,2.0,,1.0,,,,,,,
37,FOR,0.0,Lucas Pacheco Affini,5,7,68991,L. Sasha,Lucas Sasha,0.0,4,lucas-sasha,,356,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,8.3,6.71,False,,13.0,,,,30.0,7.0,2.0,,,,,,,,,,,,
38,BAH,0.0,Willian José da Silva,6,8,68996,W. José,Willian José,-0.23,5,willian-jose,,265,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,6.01,1.31,True,,2.0,3.0,,,,3.0,1.0,,,,2.0,,,,,,,,
39,FLU,0.0,Manoel Messias Silva Carvalho,6,0,69014,Manoel,Manoel,0.0,3,manoel,,266,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,5.0,0.0,False,,,,,,,,,,,,,,,,,,,,
40,BAH,0.0,Danilo Fernandes Batista,6,0,69051,D. Fernandes,Danilo Fernandes,0.0,1,danilo-fernandes,,265,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,4.0,0.0,False,,,,,,,,,,,,,,,,,,,,
41,SPT,1.6,Pablo Felipe Teixeira,7,6,69138,Pablo,Pablo,-0.62,5,pablo,,292,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,6.64,3.5,True,1.0,6.0,4.0,1.0,6.0,5.0,9.0,1.0,,,,,,,,,,,,
42,BOT,0.0,Allan Marques Loureiro,6,3,69140,Allan,Allan,0.0,4,allan,,263,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,3.31,-0.1,False,1.0,6.0,,,,1.0,2.0,,,,,,,,,,,,,
43,FLA,4.7,Danilo Luiz da Silva,6,3,69783,Danilo,Danilo,-0.6,3,danilo,,262,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,16.59,9.1,True,,4.0,,1.0,,3.0,2.0,,,,,,,,,3.0,,,,
44,SAO,0.0,Lucas Rodrigues Moura da Silva,5,0,70164,L. Moura,Lucas Moura,0.0,4,lucas-moura,,276,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,5.0,0.0,False,,,,,,,,,,,,,,,,,,,,
45,JUV,0.6,Luiz Gustavo de Almeida Pinto,7,6,70216,Gustavo,Gustavo,-0.71,1,gustavo,,286,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,4.07,2.6,True,1.0,,,,,1.0,,,17.0,14.0,,,,,1.0,,,,,
46,VIT,0.0,Bruno Uvini Bortolança,6,0,70221,B. Uvini,Bruno Uvini,0.0,3,bruno-uvini,,287,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,4.0,0.0,False,,,,,,,,,,,,,,,,,,,,
47,RBB,0.8,Eduardo Colcenti Antunes,6,10,70360,E. Sasha,Eduardo Sasha,-0.48,5,eduardo-sasha,,280,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,8.49,5.08,True,1.0,3.0,9.0,2.0,1.0,4.0,12.0,8.0,,,1.0,1.0,,,,,,,,
48,VIT,0.0,Gabriel Vasconcelos Ferreira,6,1,70449,Gabriel,Gabriel,0.0,1,gabriel,,287,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,3.66,1.1,False,,,,,,,1.0,,2.0,2.0,,,,,,,,,,
49,PAL,0.0,Felipe Anderson Pereira Gomes,6,8,70592,F. Anderson,Felipe Anderson,0.0,4,felipe-anderson,,275,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,6.7,2.86,False,,8.0,5.0,,1.0,9.0,5.0,2.0,,,,1.0,,,,,,,,
50,CEA,0.0,Marllon Gonçalves Jerônimo Borges,6,8,70666,Marllon,Marllon,0.0,3,marllon,,354,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,8.28,5.56,False,,5.0,,2.0,,5.0,5.0,,,,,,,,,4.0,,,,
51,INT,0.0,Enner Remberto Valencia Lastra,5,7,70788,E. Valencia,Enner Valencia,0.0,5,enner-valencia,,285,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,6.63,2.84,False,,10.0,3.0,1.0,3.0,1.0,7.0,4.0,,,,1.0,,,,,,,,
52,FOR,1.5,Diogo Barbosa Mendanha,7,5,70916,D. Barbosa,Diogo Barbosa,-0.81,2,diogo-barbosa,,356,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,8.22,5.1,True,,1.0,1.0,1.0,,3.0,5.0,,,,,,,,,2.0,,,,
53,INT,0.0,Bruno Henrique Corsini,6,7,70944,B. Henrique,Bruno Henrique,0.0,4,bruno-henrique,,285,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,6.8,2.5,False,,16.0,3.0,1.0,,8.0,1.0,2.0,,,,,1.0,,,,,,,
54,JUV,0.0,Jean Carlos Vicente,6,6,70958,J. Carlos,Jean Carlos,0.0,4,jean-carlos,,286,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,3.74,1.08,False,1.0,3.0,3.0,,2.0,3.0,1.0,1.0,,,,,,,,,,,,
55,VAS,0.0,Florent Dimitri Payet,6,3,70984,Payet,Payet,0.0,4,payet,,267,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,8.7,5.23,False,,2.0,1.0,,,2.0,5.0,,,,2.0,,,,,,,,,
56,SAO,0.0,Luiz Gustavo Dias,6,1,71536,L. Gustavo,Luiz Gustavo,0.0,4,luiz-gustavo,,276,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,10.73,9.6,False,,4.0,1.0,,,4.0,2.0,,,,,1.0,,,,,,,,
57,CEA,0.0,Fernando Miguel Kaufmann,6,5,71571,F. Miguel,Fernando Miguel,0.0,1,fernando-miguel,,354,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,7.95,6.74,False,,,,,,,5.0,,14.0,2.0,,,,,,3.0,,,,
58,PAL,-0.2,Weverton Pereira da Silva,7,10,71631,Weverton,Weverton,-0.32,1,weverton,,275,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,8.8,6.05,True,1.0,,,,,,6.0,,25.0,6.0,,,,,1.0,5.0,,,,
59,VIT,0.0,Raúl Alejandro Cáceres Bogado,5,2,71680,R. Cáceres,Raúl Cáceres,0.0,2,raul-caceres,,287,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,1.72,-0.95,False,1.0,3.0,,,,,,,,,,,,,,,,,,
60,PAL,-0.1,Gustavo Raúl Gómez Portillo,7,8,71684,G. Gómez,Gustavo Gómez,-0.89,3,gustavo-gomez,,275,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,8.67,3.99,True,3.0,9.0,3.0,,5.0,8.0,5.0,1.0,,,,,,,,4.0,,,,
61,BAH,0.0,Santiago Arias Naranjo,6,3,71701,S. Arias,Santiago Arias,-0.57,2,santiago-arias,,265,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,5.81,0.4,True,1.0,,,,,,2.0,1.0,,,,,,,,,,,,
62,GRE,0.0,Gustavo Leonardo Cuellar Gallego,5,2,71709,Cuéllar,Cuéllar,0.0,4,cuellar,,284,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,6.52,3.1,False,,1.0,,,,4.0,1.0,,,,,,,,,,,,,
63,GRE,9.4,Tiago Luis Volpi,7,10,72018,T. Volpi,Tiago Volpi,1.44,1,tiago-volpi,,284,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,7.54,3.32,True,2.0,,,,,,5.0,,29.0,14.0,,,,,,2.0,,1.0,,
64,MIR,0.0,Carlos Eduardo Lecciolle Thomazella,6,0,72279,Thomazella,Thomazella,0.0,1,thomazella,,2305,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,2.0,0.0,False,,,,,,,,,,,,,,,,,,,,
65,CAM,5.0,Everson Felipe Marques Pires,7,10,72294,Everson,Everson,-0.54,1,everson,,282,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,10.06,5.12,True,1.0,,,,,,4.0,,27.0,10.0,,,,,,5.0,,,,
66,CEA,0.0,Luiz Otávio Anacleto Leandro,6,0,72359,L. Otávio,Luiz Otávio,0.0,3,luiz-otavio,,354,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,4.0,0.0,False,,,,,,,,,,,,,,,,,,,,
67,VAS,3.96,Fernando Diniz Silva,7,2,72391,F. Diniz,Fernando Diniz,-0.2,6,fernando-diniz,,267,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,10.68,6.6,True,,,,,,,,,,,,,,,,,1.0,,,
68,CAM,-0.1,Bernard Anício Caldeira Duarte,7,9,72460,Bernard,Bernard,-0.26,4,bernard,,282,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,3.88,0.96,True,1.0,5.0,1.0,,1.0,6.0,3.0,,,,,,,,,,,,,
69,BOT,0.0,Alex Nicolao Telles,6,8,72493,A. Telles,Alex Telles,0.0,2,alex-telles,,263,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,10.73,5.53,False,,11.0,2.0,1.0,,5.0,6.0,2.0,,,,,,,,5.0,,,,
70,CEA,0.0,Pedro Henrique Konzen Medina da Silva,6,5,72583,P. Henrique,Pedro Henrique,0.0,5,pedro-henrique,,354,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,7.69,4.68,False,1.0,9.0,4.0,1.0,2.0,5.0,6.0,3.0,,,,1.0,,,,,,1.0,,
71,CAM,0.0,Vitor Hugo Franchescoli de Souza,6,3,72605,V. Hugo,Vitor Hugo,0.0,3,vitor-hugo,,282,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,7.74,5.53,False,,,2.0,,,3.0,1.0,,,,,,,,,2.0,,,,
72,JUV,0.0,Wílker José Ángel Romero,6,5,72801,W. Ángel,Wilker Ángel,0.0,3,wilker-angel,,286,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,2.16,-0.24,False,2.0,5.0,1.0,,,1.0,,,,,,,,,,,,,,
