,atletas.apelido,atletas.rodada_id,atletas.variacao_num,atletas.nome,atletas.minimo_para_valorizar,atletas.posicao_id,atletas.clube_id,atletas.media_num,atletas.pontos_num,atletas.clube.id.full.name,atletas.jogos_num,atletas.preco_num,atletas.atleta_id,atletas.slug,atletas.apelido_abreviado,atletas.status_id,atletas.foto,atletas.entrou_em_campo,CA,DS,FC,FF,FS,SG,DE,DP,GS,FD,G,I,A,V,CV,FT,PP,PS,PC,GC
0,Léo Condé,5,0.15,Leonardo Rodrigues Condé,,6,354,5.59,3.28,CEA,4,6.99,37457,leo-conde,L. Condé,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,True,,,,,,,,,,,,,,1.0,,,,,,
1,Fábio,5,-1.31,Fábio Deivson Lopes Maciel,,1,266,4.06,1.6,FLU,5,9.85,37656,fabio,Fábio,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,True,,,,,,2.0,11.0,,4.0,,,,,,,,,,,
2,Thiago Silva,5,0.0,Thiago Emiliano da Silva,,3,266,2.67,0.0,FLU,3,11.19,37715,thiago-silva,T. Silva,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,False,,,1.0,2.0,1.0,1.0,,,,1.0,,,,,,,,,,
3,Renato Augusto,5,0.0,Renato Soares de Oliveira Augusto,,4,266,0.0,0.0,FLU,0,7.0,38398,renato-augusto,R. Augusto,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
4,Nenê,5,-0.27,Anderson Luis de Carvalho - Luiz,,4,286,0.75,0.5,JUV,2,4.26,38913,nene,Nenê,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,True,,,,,3.0,,,,,,,,,,,,,,,
5,Hulk,5,-1.28,Givanildo Vieira de Souza,,5,282,3.2,1.8,CAM,5,14.4,39148,hulk,Hulk,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,True,2.0,,3.0,6.0,12.0,,,,,7.0,,3.0,,,,,,,,
6,Alan Franco,5,0.0,Alan Steven Franco Palma,,4,282,0.95,0.0,CAM,2,5.46,39656,alan-franco,A. Franco,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,False,,1.0,2.0,,2.0,,,,,,,,,,,,,,,
7,Renato Gaúcho,5,-0.55,Renato Portaluppi,,6,266,6.13,3.63,FLU,4,10.2,41929,renato-gaucho,R. Gaúcho,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,True,,,,,,,,,,,,,,3.0,,,,,,
8,Osvaldo,5,-0.5,Osvaldo Lourenço Filho,,5,287,0.4,0.0,VIT,3,3.53,42222,osvaldo,Osvaldo,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,True,,,,,,,,,,1.0,,,,,,,,,,
9,Cássio,5,0.29,Cássio Roberto Ramos,,1,283,5.48,6.8,CRU,5,9.49,42234,cassio,Cássio,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,True,2.0,,,,,1.0,18.0,1.0,6.0,,,,,,,,,,,
