,atletas.apelido,atletas.rodada_id,atletas.variacao_num,atletas.nome,atletas.minimo_para_valorizar,atletas.posicao_id,atletas.clube_id,atletas.media_num,atletas.pontos_num,atletas.clube.id.full.name,atletas.jogos_num,atletas.preco_num,atletas.atleta_id,atletas.slug,atletas.apelido_abreviado,atletas.status_id,atletas.foto,atletas.entrou_em_campo,CA,DS,FC,FF,FS,SG,DE,DP,GS,FD,G,I,A,V,CV,FT,PP,PS,PC,GC
10,Cuca,5,0.81,Alexi Stival,,6,282,5.3,7.99,CAM,5,9.94,42411,cuca,Cuca,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,True,,,,,,,,,,,,,,1.0,,,,,,
11,Fagner,5,0.0,Fagner Conserva Lemos,,2,283,5.35,0.0,CRU,2,7.51,42500,fagner,Fagner,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,False,1.0,5.0,4.0,,1.0,1.0,,,,,,1.0,,,,,,,,
12,David Braz,5,0.0,David Braz de Oliveira Filho,,3,2305,0.0,0.0,MIR,0,5.0,50317,david-braz,D. Braz,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
13,Titi,5,0.0,Christian Chagas Tarouco,,3,356,5.45,0.0,FOR,2,5.88,50353,titi,Titi,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,False,,4.0,2.0,,1.0,1.0,,,,,,,,,,,,,,
14,Walter,5,0.0,Walter Leandro Capeloza Artune,,1,2305,0.0,0.0,MIR,0,6.0,51413,walter,Walter,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
15,Everton Ribeiro,5,0.92,Everton Augusto de Barros Ribeiro,,4,265,3.25,8.7,BAH,4,8.86,51772,everton-ribeiro,E. Ribeiro,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,True,1.0,5.0,5.0,,6.0,,,,,,1.0,,,,1.0,,,,,
16,Fernando,5,1.7,Fernando Francisco Reges,,4,285,3.63,9.4,INT,4,7.76,52271,fernando,Fernando,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,True,,7.0,2.0,,2.0,,,,,3.0,,,,,,,,,,
17,David Luiz,5,-0.8,David Luiz Moreira Marinho,,3,356,3.34,0.2,FOR,5,7.23,52827,david-luiz,D. Luiz,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,True,1.0,4.0,4.0,3.0,1.0,2.0,,,,,,,,,,,,,,
18,Léo Gamalho,5,0.0,Leonardo Gamalho de Souza,,5,2305,0.0,0.0,MIR,0,4.0,53865,leo-gamalho,L. Gamalho,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
19,Alex Teixeira,5,-0.05,Alex Teixeira Santos,,5,267,1.37,1.5,VAS,3,3.65,60793,alex-teixeira,A. Teixeira,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,True,1.0,3.0,2.0,,,,,,,1.0,,,,,,,,,,
20,Souza,5,0.0,Josef de Souza Dias,,3,267,0.0,0.0,VAS,0,4.0,60803,souza,Souza,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
21,Gilberto,5,-0.68,Gilberto Oliveira Souza Júnior,,5,286,-0.7,-0.6,JUV,2,4.23,61188,gilberto,Gilberto,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,True,1.0,,3.0,,1.0,,,,,,,,,,,,,,,
22,Alex Sandro,5,0.0,Alex Sandro Lobo Silva,,2,262,4.92,0.0,FLA,4,11.31,61987,alex-sandro,A. Sandro,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,False,,7.0,12.0,1.0,4.0,2.0,,,,,,,,,,,,,,
23,Ganso,5,-0.8,Paulo Henrique Chagas de Lima,,4,266,0.67,0.7,FLU,3,8.45,62977,ganso,Ganso,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,True,,,1.0,1.0,3.0,,,,,,,,,,,,,,,
24,Neymar,5,0.0,Neymar da Silva Santos Júnior,,4,277,1.55,0.0,SAN,2,19.72,63007,neymar,Neymar,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,False,1.0,,2.0,,7.0,,,,,1.0,,,,,,,,,,
25,Marcos Rocha,5,0.0,Marcos Luis Rocha Aquino,,2,275,0.0,0.0,PAL,0,7.0,63013,marcos-rocha,M. Rocha,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
26,Alan Ruschel,5,0.0,Alan Luciano Ruschel,,2,286,5.55,0.0,JUV,2,6.58,63110,alan-ruschel,A. Ruschel,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,False,,4.0,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,
27,Edenílson,5,-0.34,Edenílson Andrade dos Santos,,4,284,1.52,0.5,GRE,5,4.84,63289,edenilson,Edenílson,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,True,2.0,,4.0,1.0,4.0,,,,,,1.0,,,,,,,,,
28,Alan Patrick,5,0.17,Alan Patrick Lourenço,,4,285,5.97,8.2,INT,4,14.81,68685,alan-patrick,A. Patrick,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,True,2.0,4.0,3.0,2.0,4.0,,,,,1.0,2.0,,,,,,,,,
29,Eduardo,5,-0.11,Carlos Eduardo de Oliveira Alves,,4,283,0.35,1.7,CRU,4,4.29,68708,eduardo,Eduardo,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,True,,,1.0,,1.0,,,,,1.0,,,,,,,,,,
30,Oscar,5,0.0,Oscar dos Santos Emboaba Júnior,,4,276,0.0,0.0,SAO,0,20.0,68811,oscar,Oscar,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
31,Marcelo Lomba,5,0.0,Marcelo Lomba do Nascimento,,1,275,0.0,0.0,PAL,0,7.0,68872,marcelo-lomba,M. Lomba,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
32,Philippe Coutinho,5,-1.44,Philippe Coutinho Correia,,4,267,3.83,1.0,VAS,3,11.79,68899,philippe-coutinho,P. Coutinho,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,True,,,2.0,4.0,3.0,,,,,2.0,,,1.0,,,,,,,
33,Dudu,5,-0.83,Eduardo Pereira Rodrigues,,5,283,3.26,0.2,CRU,5,9.15,68920,dudu,Dudu,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,True,,4.0,4.0,,7.0,,,,,,1.0,,,,,,,,,
34,Gil,5,0.09,Carlos Gilberto do Nascimento Silva,,3,277,2.3,5.0,SAN,5,5.48,68923,gil,Gil,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,True,2.0,6.0,6.0,1.0,1.0,1.0,,,,,,,,,,,,,,
35,Rafael,5,-1.28,Rafael Pires Monteiro,,1,276,5.72,0.6,SAO,5,10.67,68928,rafael,Rafael,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,True,1.0,,,,3.0,2.0,17.0,,4.0,,,,,,,,,,,
36,Marinho,5,0.0,Mário Sérgio Santos Costa,,5,356,2.27,0.0,FOR,3,6.85,68952,marinho,Marinho,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,False,,,5.0,1.0,6.0,,,,,,,5.0,1.0,,,,,,,
37,Lucas Sasha,5,1.19,Lucas Pacheco Affini,,4,356,7.3,8.3,FOR,4,8.15,68991,lucas-sasha,L. Sasha,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,True,,19.0,10.0,,5.0,,,,,1.0,,,,,,,,,,
38,Willian José,5,0.0,Willian José da Silva,,5,265,1.0,0.0,BAH,3,7.79,68996,willian-jose,W. José,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,False,,,,1.0,2.0,,,,,1.0,,,,,,,,,,
39,Manoel,5,0.0,Manoel Messias Silva Carvalho,,3,266,0.0,0.0,FLU,0,5.0,69014,manoel,Manoel,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
40,Danilo Fernandes,5,0.0,Danilo Fernandes Batista,,1,265,0.0,0.0,BAH,0,4.0,69051,danilo-fernandes,D. Fernandes,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
41,Pablo,5,0.0,Pablo Felipe Teixeira,,5,292,1.2,0.0,SPT,3,5.98,69138,pablo,Pablo,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,False,1.0,1.0,3.0,1.0,7.0,,,,,,,3.0,,,,,,,,
42,Allan,5,0.0,Allan Marques Loureiro,,4,263,0.0,0.0,BOT,0,5.0,69140,allan,Allan,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
43,Danilo,5,0.0,Danilo Luiz da Silva,,3,262,17.1,0.0,FLA,1,17.63,69783,danilo,Danilo,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,False,,3.0,3.0,,1.0,1.0,,,,,1.0,,,,,,,,,
44,Lucas Moura,5,0.0,Lucas Rodrigues Moura da Silva,,4,276,0.0,0.0,SAO,0,5.0,70164,lucas-moura,L. Moura,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
45,Gustavo,5,0.3,Luiz Gustavo de Almeida Pinto,,1,286,1.93,3.2,JUV,3,4.04,70216,gustavo,Gustavo,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,True,,,,,,,6.0,1.0,9.0,,,,,,,,,,,
46,Bruno Uvini,5,0.0,Bruno Uvini Bortolança,,3,287,0.0,0.0,VIT,0,4.0,70221,bruno-uvini,B. Uvini,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
47,Eduardo Sasha,5,1.5,Eduardo Colcenti Antunes,,5,280,5.82,11.3,RBB,5,9.68,70360,eduardo-sasha,E. Sasha,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,True,,1.0,2.0,4.0,6.0,,,,,5.0,1.0,,1.0,,,1.0,,,,
48,Gabriel,5,0.0,Gabriel Vasconcelos Ferreira,,1,287,1.1,0.0,VIT,1,3.66,70449,gabriel,Gabriel,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,False,,,,,1.0,,2.0,,2.0,,,,,,,,,,,
49,Felipe Anderson,5,0.57,Felipe Anderson Pereira Gomes,,4,275,3.0,5.7,PAL,5,7.0,70592,felipe-anderson,F. Anderson,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,True,,8.0,6.0,1.0,2.0,,,,,,,,,,,1.0,,,,
50,Marllon,5,-0.68,Marllon Gonçalves Jerônimo Borges,,3,354,4.15,-0.6,CEA,4,6.65,70666,marllon,Marllon,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,True,,3.0,3.0,,,1.0,,,,,1.0,,,,,,,,,
51,Fábio Carille,5,-0.02,Fábio Luiz Carille de Araújo,,6,267,5.76,5.26,VAS,4,8.8,70696,fabio-carille,F. Carille,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,True,,,,,,,,,,,,,,2.0,,,,,,
52,Enner Valencia,5,-0.65,Enner Remberto Valencia Lastra,,5,285,3.32,1.5,INT,5,7.12,70788,enner-valencia,E. Valencia,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,True,,,9.0,3.0,5.0,,,,,3.0,1.0,2.0,,,,1.0,,,,
53,Diogo Barbosa,5,-1.33,Diogo Barbosa Mendanha,,2,356,6.33,0.0,FOR,3,8.51,70916,diogo-barbosa,D. Barbosa,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,True,,2.0,1.0,1.0,5.0,1.0,,,,,1.0,,,,,,,,,
54,Bruno Henrique,5,-0.56,Bruno Henrique Corsini,,4,285,3.4,0.9,INT,4,7.24,70944,bruno-henrique,B. Henrique,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,True,,5.0,8.0,,1.0,,,,,,1.0,,,,,,,,,
55,Jean Carlos,5,0.52,Jean Carlos Vicente,,4,286,1.7,3.9,JUV,3,5.4,70958,jean-carlos,J. Carlos,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,True,,2.0,2.0,2.0,,,,,,1.0,,1.0,,,,,,,,
56,Payet,5,0.0,Florent Dimitri Payet,,4,267,5.23,0.0,VAS,3,8.7,70984,payet,Payet,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,False,,2.0,2.0,1.0,5.0,,,,,,,,2.0,,,,,,,
57,Luiz Gustavo,5,0.0,Luiz Gustavo Dias,,4,276,9.6,0.0,SAO,1,10.73,71536,luiz-gustavo,L. Gustavo,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,False,,4.0,4.0,1.0,2.0,,,,,,,,,,,1.0,,,,
58,Fernando Miguel,5,0.99,Fernando Miguel Kaufmann,,1,354,3.4,3.4,CEA,1,3.99,71571,fernando-miguel,F. Miguel,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,True,,,,,1.0,,3.0,,1.0,,,,,,,,,,,
59,Weverton,5,0.89,Weverton Pereira da Silva,,1,275,7.68,9.1,PAL,5,10.0,71631,weverton,Weverton,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,True,1.0,,,,5.0,3.0,13.0,1.0,2.0,,,,,,,,,,,
60,Raúl Cáceres,5,0.0,Raúl Alejandro Cáceres Bogado,,2,287,-1.9,0.0,VIT,1,1.89,71680,raul-caceres,R. Cáceres,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,False,1.0,,3.0,,,,,,,,,,,,,,,,,
61,Gustavo Gómez,5,-0.28,Gustavo Raúl Gómez Portillo,,3,275,4.03,3.7,PAL,3,10.45,71684,gustavo-gomez,G. Gómez,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,True,2.0,2.0,3.0,,2.0,2.0,,,,1.0,,2.0,,,,,,,,
62,Santiago Arias,5,0.0,Santiago Arias Naranjo,,2,265,0.6,0.0,BAH,2,6.38,71701,santiago-arias,S. Arias,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,False,1.0,,,,2.0,,,,,1.0,,,,,,,,,,
63,Cuéllar,5,0.0,Gustavo Leonardo Cuellar Gallego,,4,284,0.0,0.0,GRE,0,6.0,71709,cuellar,Cuéllar,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
64,Tiago Volpi,5,0.93,Tiago Luis Volpi,,1,284,2.22,5.2,GRE,5,6.67,72018,tiago-volpi,T. Volpi,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,True,1.0,,,,2.0,,17.0,,10.0,,,,,,,,,,1.0,
65,Thomazella,5,0.0,Carlos Eduardo Lecciolle Thomazella,,1,2305,0.0,0.0,MIR,0,2.0,72279,thomazella,Thomazella,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
66,Everson,5,0.73,Everson Felipe Marques Pires,,1,282,4.44,7.6,CAM,5,10.1,72294,everson,Everson,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,True,,,,,,2.0,14.0,,6.0,,,,,,,,,,,
67,Luiz Otávio,5,0.0,Luiz Otávio Anacleto Leandro,,3,354,0.0,0.0,CEA,0,4.0,72359,luiz-otavio,L. Otávio,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
68,Bernard,5,-0.78,Bernard Anício Caldeira Duarte,,4,282,1.34,0.0,CAM,5,4.5,72460,bernard,Bernard,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,True,1.0,5.0,1.0,,1.0,,,,,,,,,,,,,,,
69,Alex Telles,5,-0.88,Alex Nicolao Telles,,2,263,3.82,1.2,BOT,4,9.92,72493,alex-telles,A. Telles,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,True,,3.0,9.0,1.0,3.0,2.0,,,,1.0,,,,,,,,,,
70,Pedro Henrique,5,-0.24,Pedro Henrique Konzen Medina da Silva,,5,354,1.3,1.3,CEA,1,6.76,72583,pedro-henrique,P. Henrique,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,True,,1.0,,1.0,,,,,,,,,,,,,,,1.0,
71,Vitor Hugo,5,0.0,Vitor Hugo Franchescoli de Souza,,3,282,0.0,0.0,CAM,0,5.0,72605,vitor-hugo,V. Hugo,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
72,Wilker Ángel,5,-0.67,Wílker José Ángel Romero,,3,286,-0.55,-0.8,JUV,2,3.55,72801,wilker-angel,W. Ángel,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,True,1.0,,3.0,1.0,,,,,,,,,,,,,,,,
73,Mercado,5,0.0,Gabriel Iván Mercado,,3,285,0.0,0.0,INT,0,6.0,72951,mercado,Mercado,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
74,Daniel Borges,5,0.0,Daniel Fortunato Borges,,2,2305,5.77,0.0,MIR,3,5.5,73318,daniel-borges,D. Borges,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,False,1.0,2.0,4.0,,1.0,,,,,,2.0,,,,,,,,,
75,Samuel Xavier,5,-1.08,Samuel Xavier Brito,,2,266,6.05,0.2,FLU,4,9.71,73384,samuel-xavier,S. Xavier,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,True,,3.0,5.0,,4.0,2.0,,,,1.0,1.0,,,,,,,,,
76,Gabriel,5,0.0,Gabriel Santana Pinto,,4,2305,4.7,0.0,MIR,3,6.22,73515,gabriel,Gabriel,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,False,,2.0,,,2.0,,,,,1.0,1.0,1.0,,,,,,1.0,,
77,Rincón,5,0.0,Tomás Eduardo Rincón Hernández,,4,277,2.3,0.0,SAN,1,5.19,74187,rincon,Rincón,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,False,,1.0,,1.0,,,,,,,,,,,,,,,,
78,Carrillo,5,-0.2,André Martín Carrillo Díaz,,4,264,2.1,2.2,COR,4,6.5,77485,carrillo,Carrillo,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,True,,6.0,8.0,1.0,2.0,,,,,,,,,,,,,,,
