,atletas.slug,atletas.media_num,atletas.entrou_em_campo,atletas.preco_num,atletas.foto,atletas.status_id,atletas.atleta_id,atletas.clube_id,atletas.rodada_id,atletas.apelido,atletas.jogos_num,atletas.nome,atletas.pontos_num,atletas.variacao_num,atletas.clube.id.full.name,atletas.apelido_abreviado,atletas.posicao_id,V,A,CA,DS,FC,FD,FF,FS,G,I,PS,SG,FT,CV,DE,DP,GS,PP,PC,GC
17,neymar,4.78,False,13.81,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,5,63007,277,26,Neymar,13,Neymar da Silva Santos Júnior,0.0,0.0,SAN,Neymar,4,,,4.0,3.0,15.0,9.0,9.0,49.0,3.0,2.0,,,1.0,1.0,,,,,,
18,rafael-toloi,5.63,False,9.37,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,6,63008,276,26,Rafael Tolói,3,Rafael Toloi,0.0,0.0,SAO,R. Tolói,3,,,,8.0,2.0,,,1.0,,,,1.0,,,,,,,,
19,marcos-rocha,6.86,False,9.81,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,7,63013,284,26,Marcos Rocha,5,Marcos Luis Rocha Aquino,0.0,0.0,GRE,M. Rocha,2,,,,17.0,3.0,1.0,,7.0,,,,1.0,,,,,,,,
20,alan-ruschel,2.4,False,5.29,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,3,63110,286,26,Alan Ruschel,13,Alan Luciano Ruschel,0.0,0.0,JUV,A. Ruschel,2,,,2.0,11.0,10.0,,,20.0,,3.0,,2.0,,,,,,,,
21,edenilson,2.73,True,5.99,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,7,63289,284,26,Edenílson,18,Edenílson Andrade dos Santos,8.2,0.91,GRE,Edenílson,4,,1.0,4.0,9.0,11.0,2.0,3.0,19.0,3.0,1.0,,,,,,,,,,
22,alan-patrick,6.92,True,13.18,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,7,68685,285,26,Alan Patrick,19,Alan Patrick Lourenço,1.3,-1.4,INT,A. Patrick,4,,5.0,3.0,15.0,16.0,6.0,7.0,26.0,8.0,2.0,,,2.0,,,,,1.0,,
23,eduardo,1.49,True,3.41,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,6,68708,283,26,Eduardo,19,Carlos Eduardo de Oliveira Alves,0.5,-0.02,CRU,Eduardo,4,,,1.0,11.0,9.0,2.0,4.0,8.0,1.0,1.0,1.0,,,1.0,,,,,,
24,neto,2.03,False,7.25,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,5,68806,263,26,Neto,3,Norberto Murara Neto,0.0,0.0,BOT,Neto,1,,,,,,,,,,,,,,,7.0,,3.0,,,
25,oscar,1.67,False,11.39,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,6,68811,276,26,Oscar,6,Oscar dos Santos Emboaba Júnior,0.0,0.0,SAO,Oscar,4,,,1.0,5.0,3.0,2.0,,4.0,,,,,,,,,,,,
26,marcelo-lomba,3.2,False,7.63,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,6,68872,275,26,Marcelo Lomba,1,Marcelo Lomba do Nascimento,0.0,0.0,PAL,M. Lomba,1,,,,,,,,,,,,,,,4.0,,2.0,,,
