,atletas.slug,atletas.media_num,atletas.entrou_em_campo,atletas.preco_num,atletas.foto,atletas.status_id,atletas.atleta_id,atletas.clube_id,atletas.rodada_id,atletas.apelido,atletas.jogos_num,atletas.nome,atletas.pontos_num,atletas.variacao_num,atletas.clube.id.full.name,atletas.apelido_abreviado,atletas.posicao_id,V,A,CA,DS,FC,FD,FF,FS,G,I,PS,SG,FT,CV,DE,DP,GS,PP,PC,GC
196,ronaldo,5.24,True,7.17,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,7,91101,265,26,Ronaldo,14,Ronaldo de Oliveira Strada,5.8,-0.9,BAH,Ronaldo,1,,1.0,,,,,,3.0,,,,4.0,,,40.0,2.0,18.0,,1.0,
197,fernandinho,2.91,False,5.13,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,6,91130,354,26,Fernandinho,8,Fernando José Marques Maciel,0.0,0.0,CEA,Fernandinho,5,,1.0,2.0,9.0,5.0,2.0,4.0,6.0,,3.0,,,,,,,,,,
198,kaio,4.88,True,8.62,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,2,91158,263,26,Kaio,9,Kaio Fernando da Silva Pantaleão,-0.4,-1.28,BOT,Kaio,3,,,,10.0,8.0,2.0,5.0,10.0,,1.0,,4.0,,,,,,,,
199,eder,0.8,False,2.82,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,6,91203,354,26,Éder,2,Éder Ferreira Graminho,0.0,0.0,CEA,Éder,3,,,,,3.0,1.0,1.0,1.0,,,,,,,,,,,,
200,erick-pulgar,2.89,False,6.34,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,6,91473,262,26,Erick Pulgar,9,Erick Antonio Pulgar Farfán,0.0,0.0,FLA,E. Pulgar,4,,,2.0,12.0,13.0,2.0,,7.0,1.0,,,,,,,,,,,
201,rodrigo-sam,1.63,False,3.42,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,6,91509,286,26,Rodrigo Sam,6,Rodrigo Eduardo da Silva,0.0,0.0,JUV,R. Sam,3,,,2.0,8.0,11.0,,1.0,5.0,,2.0,,,,,,,,,,
202,arboleda,5.5,False,8.58,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,7,91573,276,26,Arboleda,15,Robert Abel Arboleda Escobar,0.0,0.0,SAO,Arboleda,3,,,3.0,21.0,11.0,,6.0,7.0,3.0,2.0,,5.0,,,,,,,,
203,rony,4.21,False,10.89,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,7,91607,282,26,Rony,22,Ronielson da Silva Barbosa,0.0,0.0,CAM,Rony,5,,1.0,3.0,17.0,36.0,17.0,12.0,39.0,3.0,15.0,1.0,,1.0,,,,,,,
204,dudu-vieira,0.0,False,3.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,6,91627,286,26,Dudu Vieira,0,Carlos Eduardo de Souza Vieira,0.0,0.0,JUV,D. Vieira,4,,,,,,,,,,,,,,,,,,,,
205,igor-carius,4.97,False,8.29,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,6,91639,292,26,Igor Cariús,16,Igor Aquino da Silva,0.0,0.0,SPT,I. Cariús,2,,,1.0,31.0,17.0,5.0,4.0,19.0,,5.0,,5.0,,,,,,,1.0,1.0
206,marlon,5.15,True,7.77,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,7,91706,284,26,Marlon,19,Marlon Rodrigues Xavier,3.5,0.33,GRE,Marlon,2,,2.0,4.0,43.0,17.0,2.0,2.0,17.0,,,,4.0,,,,,,,,
207,david-duarte,3.02,False,4.73,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,6,91772,265,26,David Duarte,17,David de Duarte Macedo,0.0,0.0,BAH,D. Duarte,3,,,3.0,8.0,12.0,2.0,6.0,8.0,,1.0,,7.0,,,,,,,,
208,caique-franca,3.52,False,6.53,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,6,91808,292,26,Caíque França,12,Caíque França Godoy,0.0,0.0,SPT,C. França,1,,,2.0,2.0,,,,1.0,,,,2.0,,,39.0,,20.0,,,
209,ze-ivaldo,3.88,False,5.92,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,6,91866,277,26,Zé Ivaldo,14,José Ivaldo Almeida Silva,0.0,0.0,SAN,Z. Ivaldo,3,,,4.0,20.0,14.0,,11.0,10.0,1.0,3.0,,3.0,,1.0,,,,,1.0,
210,pavon,2.67,True,5.61,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,7,91908,284,26,Pavón,15,Cristian David Pavón,6.7,0.71,GRE,Pavón,5,,2.0,4.0,13.0,7.0,5.0,8.0,9.0,,1.0,,,,,,,,,,
211,ramon-diaz,4.4,True,8.65,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,7,92075,285,26,Ramón Díaz,6,Ramón Ángel Díaz,4.41,0.11,INT,R. Díaz,6,1.0,,,,,,,,,,,,,,,,,,,
212,giovanny,1.72,False,3.2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,6,92085,286,26,Giovanny,10,Giovanny Bariani Marques,0.0,0.0,JUV,Giovanny,5,,1.0,,3.0,4.0,,5.0,10.0,,1.0,,,,,,,,,,
213,lyanco,5.08,False,8.87,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,3,92087,282,26,Lyanco,15,Lyanco Evangelista Silveira Neves Vojnovic,0.0,0.0,CAM,Lyanco,3,,,5.0,32.0,25.0,3.0,6.0,19.0,,2.0,,6.0,,2.0,,,,,1.0,
214,arthur-cabral,5.9,True,12.11,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,7,92171,263,26,Arthur Cabral,10,Arthur Mendonça Cabral,1.9,-0.1,BOT,A. Cabral,5,,1.0,,6.0,17.0,6.0,9.0,16.0,3.0,3.0,1.0,,1.0,,,,,,,
215,jair-ventura,5.02,True,10.58,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,7,92180,287,26,Jair Ventura,2,Jair Ventura,7.1,0.91,VIT,J. Ventura,6,1.0,,,,,,,,,,,,,,,,,,,
216,juninho,2.37,True,4.75,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,6,92182,285,26,Juninho,12,José Carlos Ferreira Júnior,5.6,1.04,INT,Juninho,3,,,3.0,16.0,9.0,2.0,6.0,6.0,,,,,,,,,,,,
217,rodrigo-ely,0.6,False,4.75,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,5,92237,284,26,Rodrigo Ely,2,Rodrigo Ely,0.0,0.0,GRE,R. Ely,3,,,,1.0,1.0,,,,,,,,,,,,,,,
218,andre-ramalho,3.6,False,6.21,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,5,92440,264,26,André Ramalho,18,André Ramalho Silva,0.0,0.0,COR,A. Ramalho,3,,,4.0,23.0,19.0,1.0,7.0,8.0,,,,6.0,,,,,,,1.0,
219,renato-kayzer,4.75,True,8.73,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,7,92696,287,26,Renato Kayzer,19,Renato Kayzer de Souza,-0.5,-0.33,VIT,R. Kayzer,5,,,2.0,7.0,28.0,6.0,11.0,33.0,7.0,13.0,,,1.0,,,,,,,
220,daniel-paulista,4.96,True,8.34,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,7,92702,292,26,Daniel Paulista,13,Daniel Pollo Barioni,5.54,0.41,SPT,D. Paulista,6,2.0,,,,,,,,,,,,,,,,,,,
221,deyverson,3.05,True,5.88,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,7,92708,356,26,Deyverson,17,Deyverson Brum Silva,3.0,-0.35,FOR,Deyverson,5,,,1.0,6.0,12.0,4.0,13.0,21.0,2.0,3.0,,,2.0,,,,,,,
222,bruno-rodrigues,0.6,True,5.19,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,6,92811,275,26,Bruno Rodrigues,2,Bruno Rafael Rodrigues do Nascimento,0.0,-0.67,PAL,B. Rodrigues,5,,,,,,1.0,,,,,,,,,,,,,,
223,borre,3.54,True,10.03,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,7,92854,285,26,Borré,19,Rafael Santos Borré Maury,3.4,0.39,INT,Borré,5,,1.0,2.0,13.0,27.0,5.0,12.0,12.0,4.0,5.0,,,1.0,1.0,,,,,,
224,ronaldo,1.91,False,3.76,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,6,92981,285,26,Ronaldo,12,Ronaldo da Silva Souza Guerrero,0.0,0.0,INT,Ronaldo,4,,,3.0,20.0,20.0,2.0,2.0,2.0,,2.0,,,,1.0,,,,,,
225,rafael-ramos,3.95,False,6.06,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,6,93236,354,26,Rafael Ramos,14,Rafael António Figueiredo Ramos,0.0,0.0,CEA,R. Ramos,2,,,2.0,21.0,17.0,1.0,4.0,3.0,,,,5.0,,,,,,,,
226,joao-basso,4.42,False,7.74,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,6,93372,277,26,João Basso,6,João Othávio Basso,0.0,0.0,SAN,J. Basso,3,,,2.0,7.0,10.0,,,6.0,1.0,,,2.0,,,,,,,,
227,cantalapiedra,4.34,True,6.11,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,7,93411,287,26,Cantalapiedra,7,Aitor Cantalapiedra Fernández,0.5,-1.93,VIT,Cantalapiedra,5,,1.0,1.0,6.0,4.0,4.0,3.0,7.0,1.0,1.0,,,,,,,,,,
228,wanderson,2.02,False,4.76,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,2,93478,283,26,Wanderson,24,Wanderson Maciel Sousa Campos,0.0,0.0,CRU,Wanderson,5,,2.0,2.0,10.0,25.0,9.0,16.0,14.0,,6.0,,,1.0,,,,,,,
229,paulo-henrique,8.03,True,12.65,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,7,93716,267,26,Paulo Henrique,18,Paulo Henrique de Oliveira Alves,2.5,-3.1,VAS,P. Henrique,2,,4.0,7.0,61.0,40.0,6.0,4.0,16.0,1.0,1.0,,4.0,2.0,,,,,,,
230,marlon-freitas,2.24,True,5.58,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,7,93790,263,26,Marlon Freitas,21,Marlon Rodrigues Freitas,4.2,0.37,BOT,M. Freitas,4,,3.0,4.0,18.0,21.0,4.0,9.0,7.0,,,,,,,,,,,,
231,keiller,0.0,False,3.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,6,93834,354,26,Keiller,0,Keiller da Silva Nunes,0.0,0.0,CEA,Keiller,1,,,,,,,,,,,,,,,,,,,,
232,cleiton,4.18,True,7.44,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,7,93882,280,26,Cleiton,23,Cleiton Schwengber,3.2,-0.18,RBB,Cleiton,1,,,5.0,,,,,7.0,,,,5.0,,,82.0,,34.0,,,
233,matheusinho,5.1,True,7.69,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,7,93886,292,26,Matheusinho,12,Matheus Leonardo Sales Cardoso,2.3,-0.38,SPT,Matheusinho,4,,2.0,1.0,13.0,7.0,4.0,8.0,15.0,2.0,1.0,,,,,,,,,,
234,breno-lopes,3.72,True,6.65,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,7,93988,356,26,Breno Lopes,17,Breno Henrique Vasconcelos Lopes,1.6,0.0,FOR,B. Lopes,5,,,2.0,3.0,8.0,5.0,12.0,27.0,4.0,10.0,,,1.0,,,,,,,
235,matheus-fernandes,1.58,False,4.18,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,6,94067,280,26,Matheus Fernandes,12,Matheus Fernandes Siqueira,0.0,0.0,RBB,M. Fernandes,4,,,2.0,14.0,9.0,,2.0,2.0,,,,,,,,,,,,
236,maycon,1.79,True,3.45,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,7,94154,264,26,Maycon,17,Maycon de Andrade Barberan,-1.0,-0.26,COR,Maycon,4,,,1.0,14.0,9.0,,4.0,4.0,1.0,,,,,,,,,,,
237,guilherme,6.87,True,10.5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,7,94207,277,26,Guilherme,19,Guilherme Augusto Vieira dos Santos,7.6,0.18,SAN,Guilherme,5,,2.0,,30.0,10.0,11.0,21.0,35.0,4.0,10.0,,,,,,,,,,
238,matheus-babi,1.86,False,3.87,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,6,94444,286,26,Matheus Babi,14,Matheus Barcelos da Silva,0.0,0.0,JUV,M. Babi,5,,,4.0,7.0,14.0,,4.0,10.0,2.0,4.0,,,,,,,,,,
239,raphael-veiga,3.1,True,11.19,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,7,94509,275,26,Raphael Veiga,13,Raphael Cavalcante Veiga,3.0,-0.94,PAL,R. Veiga,4,,1.0,,7.0,10.0,3.0,4.0,24.0,1.0,,1.0,,,,,,,,,
240,lucas-oliveira,1.85,True,4.15,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,7,94514,267,26,Lucas Oliveira,6,Lucas da Cruz Oliveira,2.4,-0.28,VAS,L. Oliveira,3,,,1.0,2.0,3.0,,,,,,,2.0,,,,,,,,
241,pedro,7.26,True,15.63,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,6,94583,262,26,Pedro,18,Pedro Guilherme Abreu dos Santos,-0.3,-0.74,FLA,Pedro,5,,4.0,3.0,8.0,10.0,14.0,4.0,10.0,10.0,1.0,1.0,,1.0,,,,,1.0,,
242,lucas-fernandes,2.28,False,5.05,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,6,94931,286,26,Lucas Fernandes,4,Lucas Fernandes da Silva,0.0,0.0,JUV,L. Fernandes,4,,,,4.0,4.0,1.0,2.0,3.0,,,,,,,,,,,,
243,juninho-capixaba,7.66,True,10.91,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,6,94968,280,26,Juninho Capixaba,13,Luis Antônio da Rocha Júnior,0.5,-0.66,RBB,J. Capixaba,2,,,1.0,29.0,17.0,4.0,7.0,28.0,1.0,1.0,,6.0,,,,,,,,
244,gabriel-bahia,1.25,True,3.22,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,6,95106,263,26,Gabriel Bahia,2,Gabriel Henrique Feitosa da Silva,0.0,-0.47,BOT,G. Bahia,3,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,
245,nicolas,3.48,False,6.33,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,6,95127,354,26,Nicolas,10,Nicolas Vecchiato da Silva - Vichiatto / Vechiatto,0.0,0.0,CEA,Nicolas,2,,,1.0,11.0,9.0,1.0,3.0,7.0,,,,3.0,,,,,,,,
246,gabriel-taliari,3.95,False,7.47,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,7,95131,286,26,Gabriel Taliari,21,Gabriel Pereira Taliari,0.0,0.0,JUV,G. Taliari,5,,2.0,3.0,17.0,29.0,5.0,10.0,31.0,3.0,3.0,,,2.0,,,,,,,
247,giraldo,0.3,False,1.83,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,6,95354,286,26,Giraldo,13,Daniel Eduardo Giraldo Cárdenas,0.0,0.0,JUV,Giraldo,4,,,3.0,6.0,17.0,,2.0,3.0,,1.0,,,,,,,,,,
248,rivera,2.79,True,5.14,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,7,95357,292,26,Rivera,22,Christian Hernando Rivera Cuéllar,4.8,0.64,SPT,Rivera,4,,,5.0,46.0,53.0,,,27.0,,3.0,,,,,,,,,,
249,igor-vinicius,2.7,True,6.01,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,6,95466,277,26,Igor Vinícius,12,Igor Vinícius de Souza,0.7,-0.05,SAN,I. Vinícius,2,,,4.0,14.0,14.0,3.0,3.0,7.0,,,,2.0,,,,,,,,
250,raniele,3.51,True,6.26,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,7,95556,264,26,Raniele,21,Raniele Almeida Melo,5.2,0.26,COR,Raniele,4,,1.0,5.0,37.0,25.0,4.0,5.0,34.0,,,,,,,,,,,,
251,marcelo-benevenuto,0.0,False,5.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,6,95638,356,26,Marcelo Benevenuto,0,Marcelo da Conceição Benevenuto Malaquias,0.0,0.0,FOR,M. Benevenuto,3,,,,,,,,,,,,,,,,,,,,
252,lucas-kal,-0.3,False,3.84,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,6,95662,292,26,Lucas Kal,2,Lucas Kal Schenfeld Prigioli,0.0,0.0,SPT,L. Kal,4,,,,,2.0,,,,,,,,,,,,,,,
253,artur,4.25,True,8.38,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,6,95799,263,26,Artur,17,Artur Victor Guimarães,-0.3,-0.43,BOT,Artur,5,,4.0,1.0,9.0,11.0,6.0,11.0,16.0,2.0,1.0,,,1.0,,,,,,,
254,daniel-fuzato,-0.7,False,2.04,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,6,95936,267,26,Daniel Fuzato,2,Daniel Cerântula Fuzato,0.0,0.0,VAS,D. Fuzato,1,,,,,,,,,,,,,,,2.0,,4.0,,,
255,lima,2.3,True,5.12,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,6,96340,266,26,Lima,18,Vinícius Moreira de Lima,2.7,-0.66,FLU,Lima,4,,,2.0,5.0,13.0,4.0,7.0,21.0,2.0,1.0,,,1.0,,,,,,,
256,charles,1.49,False,2.96,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,6,96342,264,26,Charles,11,Charles Rigon Mattos,0.0,0.0,COR,Charles,4,,,2.0,15.0,17.0,1.0,,2.0,,2.0,,,,,,,,,1.0,
257,joaquin-correa,1.77,False,7.56,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,6,96353,263,26,Joaquín Correa,11,Carlos Joaquín Correa,0.0,0.0,BOT,J. Correa,5,,,1.0,5.0,5.0,5.0,4.0,11.0,,2.0,,,,,,,,,,
258,matheus-pereira,7.49,True,14.73,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,7,96610,283,26,Matheus Pereira,24,Matheus Fellipe Costa Pereira,6.2,-0.03,CRU,M. Pereira,4,,6.0,5.0,34.0,27.0,15.0,18.0,74.0,5.0,5.0,,,1.0,,,,,,,
259,allan,0.56,False,2.22,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,6,96652,262,26,Allan,13,Allan Rodrigues de Souza,0.0,0.0,FLA,Allan,4,,,2.0,5.0,19.0,2.0,2.0,7.0,,,,,,,,,,,,
260,rigoni,1.97,True,5.25,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,3,96684,276,26,Rigoni,3,Emiliano Ariel Rigoni,1.7,-0.11,SAO,Rigoni,5,,1.0,1.0,,5.0,2.0,1.0,1.0,,3.0,,,1.0,1.0,,,,,,
261,saravia,3.48,False,6.02,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,6,96725,282,26,Saravia,8,Renzo Saravia,0.0,0.0,CAM,Saravia,2,,,1.0,6.0,11.0,,2.0,3.0,,,,4.0,,,,,,,,
262,camutanga,2.98,True,5.49,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,7,96793,287,26,Camutanga,5,Cleidson Andrade da Souza Silva,5.0,0.86,VIT,Camutanga,3,,,2.0,4.0,5.0,1.0,1.0,1.0,,1.0,,2.0,,,,,,,,
263,carlinhos,2.02,False,4.71,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,6,96831,287,26,Carlinhos,4,Carlos Moisés de Lima,0.0,0.0,VIT,Carlinhos,5,,,2.0,1.0,8.0,,4.0,,1.0,2.0,,,,,,,,,,
264,emerson-royal,5.82,False,10.09,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,6,96870,262,26,Emerson Royal,6,Emerson Aparecido Leite de Souza Júnior,0.0,0.0,FLA,E. Royal,2,,,,12.0,8.0,,1.0,11.0,1.0,,,1.0,,,,,,,,
265,guruceaga,0.0,False,4.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,6,96874,286,26,Guruceaga,0,Gastón Guruceaga Fagúndez,0.0,0.0,JUV,Guruceaga,1,,,,,,,,,,,,,,,,,,,,
266,carlos-cuesta,6.17,False,10.72,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,5,97095,267,26,Carlos Cuesta,3,Carlos Eccehomo Cuesta Figueroa,0.0,0.0,VAS,C. Cuesta,3,,,1.0,4.0,4.0,1.0,,1.0,1.0,,,1.0,,,,,,,,
267,villasanti,3.93,False,9.45,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,5,97145,284,26,Villasanti,15,Mathías Adalberto Villasanti Rolón,0.0,0.0,GRE,Villasanti,4,,,5.0,42.0,24.0,,4.0,10.0,,,,,,,,,,,,
268,alesson,4.48,True,7.41,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,7,97321,2305,26,Alesson,12,Alesson dos Santos Batista,10.1,1.4,MIR,Alesson,5,,3.0,1.0,9.0,14.0,,4.0,8.0,3.0,6.0,,,,,,,,,,
269,rogerio-ceni,5.52,True,9.08,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,7,97341,265,26,Rogério Ceni,24,Rogério Mücke Ceni,3.77,-0.49,BAH,R. Ceni,6,11.0,,,,,,,,,,,,,,,,,,,
270,joao-victor,3.01,True,3.69,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,7,97460,2305,26,João Victor,20,João Victor Carroll Santana,3.5,0.24,MIR,J. Victor,3,,1.0,5.0,15.0,15.0,1.0,3.0,11.0,1.0,1.0,,5.0,1.0,1.0,,,,,,
271,marcal,6.16,False,9.66,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,2,97468,263,26,Marçal,9,Fernando Marçal de Oliveira,0.0,0.0,BOT,Marçal,2,,,3.0,15.0,13.0,,1.0,4.0,2.0,,,4.0,,,,,,,,
272,shaylon,1.07,False,5.02,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,6,97520,2305,26,Shaylon,3,Shaylon Kallyson Cardozo - Cardoso,0.0,0.0,MIR,Shaylon,4,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
