,atletas.pontos_num,atletas.clube_id,atletas.posicao_id,atletas.media_num,atletas.entrou_em_campo,atletas.atleta_id,atletas.preco_num,atletas.foto,atletas.apelido_abreviado,atletas.status_id,atletas.slug,atletas.rodada_id,atletas.clube.id.full.name,atletas.variacao_num,atletas.nome,atletas.jogos_num,atletas.apelido,CA,DS,FC,FF,FS,G,I,A,FD,PS,FT,SG,V,CV,DE,DP,GS,PC,PP,GC
155,0.6,284,3,2.93,True,87342,5.32,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Kannemann,7,kannemann,22,GRE,-1.15,Walter Kannemann,10,Kannemann,5.0,11.0,15.0,1.0,5.0,,,,,1.0,1.0,3.0,,,,,,,,
156,0.0,277,4,2.16,False,87470,5.1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,Thaciano,6,thaciano,22,SAN,0.0,Thaciano Mickael da Silva,11,Thaciano,,7.0,2.0,3.0,6.0,1.0,7.0,,1.0,,,,,,,,,,,
157,4.4,2305,4,3.21,True,87742,4.87,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,N. Moura,7,neto-moura,22,MIR,-0.01,Antônio Francisco Moura Neto,18,Neto Moura,4.0,41.0,21.0,2.0,12.0,,,,,,,,,,,,,1.0,,
158,0.0,2305,4,2.07,False,87747,4.31,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,Y. Felipe,6,yago-felipe,22,MIR,0.0,Yago Felipe da Costa Rocha,13,Yago Felipe,1.0,9.0,8.0,3.0,19.0,,,1.0,,,,,,,,,,,,
159,0.0,263,3,0.0,False,87808,3.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,P. Sampaio,6,philipe-sampaio,22,BOT,0.0,Philipe Sampaio Azevedo,0,Philipe Sampaio,,,,,,,,,,,,,,,,,,,,
160,0.0,267,3,1.93,False,87853,5.2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,M. Lemos,6,mauricio-lemos,22,VAS,0.0,Paolo Mauricio Lemos Merladett,4,Mauricio Lemos,,2.0,1.0,,,,,,,,,1.0,,,,,,,,
161,9.0,262,4,10.05,True,87863,18.98,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,Arrascaeta,7,arrascaeta,22,FLA,-1.22,Giorgian Daniel de Arrascaeta Benedetti,19,Arrascaeta,1.0,10.0,9.0,13.0,30.0,12.0,2.0,10.0,3.0,2.0,1.0,,,,,,,,,
162,0.0,284,3,6.33,False,87887,8.94,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Balbuena,5,balbuena,22,GRE,0.0,Fabián Cornelio Balbuena González,3,Balbuena,,3.0,,,3.0,1.0,,,,,,1.0,,,,,,,,
163,6.1,282,4,3.82,True,87999,10.27,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,G. Scarpa,7,gustavo-scarpa,22,CAM,0.53,Gustavo Henrique Furtado Scarpa,20,Gustavo Scarpa,2.0,13.0,14.0,15.0,27.0,2.0,3.0,1.0,9.0,,2.0,,,,,,,,,
164,8.0,292,3,4.26,True,88087,7.74,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,R. Menezes,7,ramon-menezes,22,SPT,0.93,Ramon Menezes Roma,8,Ramon Menezes,,9.0,8.0,2.0,2.0,1.0,,,2.0,,,2.0,,,,,,,,
