,atletas.slug,atletas.preco_num,atletas.foto,atletas.clube.id.full.name,atletas.atleta_id,atletas.status_id,atletas.apelido_abreviado,atletas.pontos_num,atletas.apelido,atletas.clube_id,atletas.minimo_para_valorizar,atletas.entrou_em_campo,atletas.jogos_num,atletas.media_num,atletas.nome,atletas.rodada_id,atletas.posicao_id,atletas.variacao_num,A,DS,FC,FD,FF,FS,V,I,CA,SG,DE,GS,G,CV,PP,PC,FT,DP,PS,GC
77,gabriel,5.14,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,MIR,73515,6,Gabriel,2.7,Gabriel,2305,,True,1,2.7,Gabriel Santana Pinto,2,4,0.14,,1.0,,1.0,,,,,,,,,,,,,,,,
78,rincon,5.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,SAN,74187,6,Rincón,0.0,Rincón,277,,False,0,0.0,Tomás Eduardo Rincón Hernández,2,4,0.0,,,,,,,,,,,,,,,,,,,,
79,carrillo,7.96,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,COR,77485,7,Carrillo,3.6,Carrillo,264,,True,1,3.6,André Martín Carrillo Díaz,2,4,-0.04,,3.0,3.0,,,,,,,,,,,,,,,,,
80,cedric-soares,9.18,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,SAO,77656,7,C. Soares,7.0,Cédric Soares,276,,True,1,7.0,Cédric Ricardo Alves Soares,2,2,1.18,,1.0,,,,1.0,,,,1.0,,,,,,,,,,
81,sergio-oliveira,9.12,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,SPT,77664,7,S. Oliveira,7.7,Sérgio Oliveira,292,,True,2,6.35,Sérgio Miguel Relvas de Oliveira,2,4,0.83,,6.0,6.0,1.0,1.0,3.0,,,1.0,,,,,,,,1.0,,,
82,joao-schmidt,5.21,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,SAN,77777,7,J. Schmidt,0.6,João Schmidt,277,,True,2,1.75,João Felipe Schmidt Urbano,2,4,-0.71,,3.0,5.0,,,3.0,,,1.0,,,,,,,,,,,
83,everaldo,3.9,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,FLU,78117,6,Everaldo,-0.9,Everaldo,266,,True,2,-0.6,Everaldo Stum,2,5,-0.9,,,4.0,,,,,,,,,,,,,,,,,
84,gustavo-henrique,7.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,COR,78248,7,G. Henrique,0.0,Gustavo Henrique,264,,False,0,0.0,Gustavo Henrique Vernes,2,3,0.0,,,,,,,,,,,,,,,,,,,,
85,rene,6.29,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,FLU,78445,7,Renê,2.4,Renê,266,,True,2,3.7,Renê Rodrigues Martins,2,2,-0.37,,5.0,2.0,,,1.0,,,,,,,,,,,,,,
86,gabriel,5.42,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,RBB,78605,7,Gabriel,5.3,Gabriel,280,,True,2,3.5,Gabriel Girotto Franco,2,4,0.74,,5.0,5.0,,,2.0,,,,,,,,,,,,,,
87,reinaldo,5.49,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,MIR,78850,7,Reinaldo,1.2,Reinaldo,2305,,True,2,-1.45,Reinaldo Manoel da Silva,2,2,-0.43,,1.0,2.0,1.0,,,,,1.0,,,,,,1.0,,,,,
88,richard,5.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,CEA,78851,6,Richard,0.0,Richard,354,,False,0,0.0,Richard de Oliveira Costa,2,1,0.0,,,,,,,,,,,,,,,,,,,,
89,thiago-santos,5.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,FLU,78855,6,T. Santos,0.0,Thiago Santos,266,,False,0,0.0,Thiago dos Santos,2,3,0.0,,,,,,,,,,,,,,,,,,,,
90,alex-muralha,1.97,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,MIR,79066,7,A. Muralha,1.6,Alex Muralha,2305,,True,2,-0.2,Alex Roberto Santana Rafael,2,1,0.22,,,,,,,,,,,2.0,3.0,,,,,,,,
91,bruno-ferreira,6.92,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,CEA,79266,7,B. Ferreira,8.6,Bruno Ferreira,354,,True,2,7.45,Bruno Ferreira Ventura Diniz - de Lins,2,1,1.44,,,1.0,,,1.0,,,,1.0,9.0,2.0,,,,,,,,
92,roger-machado,11.12,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,INT,79437,7,R. Machado,10.62,Roger Machado,285,,True,2,7.47,Roger Machado Marques,2,6,1.43,,,,,,,1.0,,,,,,,,,,,,,
93,cano,9.87,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,FLU,79631,7,Cano,-0.3,Cano,266,,True,2,1.25,Germán Ezequiel Cano,2,5,-1.74,,,1.0,,3.0,1.0,,1.0,,,,,,,,,,,,
94,lucas-silva,4.98,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,CRU,79701,6,L. Silva,0.0,Lucas Silva,283,,False,1,0.2,Lucas Silva Borges,2,4,0.0,,,1.0,,,1.0,,,,,,,,,,,,,,
95,antonio-carlos,4.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,SPT,79702,6,A. Carlos,0.0,Antônio Carlos,292,,False,0,0.0,Antônio Carlos Cunha Capocasali Júnior,2,3,0.0,,,,,,,,,,,,,,,,,,,,
96,ze-roberto,6.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,SPT,80076,6,Z. Roberto,0.0,Zé Roberto,292,,False,0,0.0,José Roberto Assunção de Araújo Filho,2,5,0.0,,,,,,,,,,,,,,,,,,,,
97,jadson,4.79,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,JUV,80129,7,Jadson,2.0,Jadson,286,,True,2,1.05,Jadson Alves dos Santos,2,4,-0.15,,2.0,3.0,,,2.0,,,1.0,,,,,,,,,,,
98,yago-pikachu,7.65,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,FOR,80196,7,Y. Pikachu,4.4,Yago Pikachu,356,,True,2,4.9,Glaybson Yago Souza Lisboa,2,4,0.03,,5.0,,1.0,1.0,1.0,,2.0,,,,,,,,,,,,
99,rafa-silva,4.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,MIR,80225,3,R. Silva,0.0,Rafa Silva,2305,,False,0,0.0,Rafael da Silva,2,5,0.0,,,,,,,,,,,,,,,,,,,,
100,luciano,9.87,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,SAO,80287,7,Luciano,3.7,Luciano,276,,True,2,2.6,Luciano da Rocha Neves,2,5,-0.47,,1.0,,1.0,,3.0,,,,,,,,,,,,,1.0,
101,gilberto,8.64,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,BAH,80313,6,Gilberto,6.5,Gilberto,265,,True,2,7.95,Gilberto Moraes Júnior,2,2,0.44,,5.0,2.0,,,2.0,,,,,,,1.0,,,,,,,
102,pol-fernandez,6.88,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,FOR,80544,7,P. Fernández,-1.3,Pol Fernández,356,,True,2,2.15,Guillermo Matías Fernández,2,4,-1.63,1.0,1.0,4.0,,,,,,1.0,,,,,,,,,,,
103,wendell,11.87,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,SAO,80570,6,Wendell,7.2,Wendell,276,,True,2,7.45,Wendell Nascimento Borges,2,2,0.18,,2.0,2.0,,,5.0,,,,2.0,,,,,,,,,,
104,lucas-lima,6.49,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,SPT,80583,7,L. Lima,5.4,Lucas Lima,292,,True,2,2.9,Lucas Rafael Araújo Lima,2,4,0.63,1.0,,5.0,,1.0,7.0,,,2.0,,,,,,,,,,,
105,jair,6.48,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,VAS,81091,6,Jair,6.1,Jair,267,,True,2,2.9,Jair Rodrigues Júnior,2,4,0.86,,4.0,4.0,,,4.0,,,1.0,,,,,,,,,,,
106,lucas-mugni,6.05,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,CEA,81121,7,L. Mugni,2.3,Lucas Mugni,354,,True,2,4.5,Lucas Andrés Mugni,2,4,-0.39,1.0,2.0,2.0,,2.0,,,,,,,,,,,,,,,
107,mayke,9.38,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,PAL,81150,5,Mayke,0.0,Mayke,275,,False,1,8.1,Mayke Rocha de Oliveira,2,2,0.0,,3.0,3.0,,,1.0,,,1.0,1.0,,,,,,,,,,
108,goncalo-paciencia,8.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,SPT,81401,6,G. Paciência,0.0,Gonçalo Paciência,292,,False,0,0.0,Gonçalo Mendes Paciência,2,5,0.0,,,,,,,,,,,,,,,,,,,,
109,alisson,6.27,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,SAO,81845,7,Alisson,0.9,Alisson,276,,True,2,1.15,Alisson Euler de Freitas Castro,2,4,-0.76,,,3.0,1.0,,4.0,,,,,,,,,,,,,,
110,joao-ricardo,10.66,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,FOR,81881,7,J. Ricardo,4.2,João Ricardo,356,,True,2,5.25,João Ricardo Riedi,2,1,-0.54,,,,,,,,,,1.0,5.0,1.0,,,,,,,,
111,willian-oliveira,4.74,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,VIT,81952,6,W. Oliveira,3.7,Willian Oliveira,287,,True,2,2.25,Willian Osmar de Oliveira Silva,2,4,0.37,,1.0,1.0,,1.0,5.0,,,,,,,,,,,,,,
112,chico-kim,5.34,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,MIR,82407,7,C. Kim,0.0,Chico Kim,2305,,False,1,5.9,Francisco Hyun-Sol Kim,2,4,0.0,,3.0,1.0,1.0,,1.0,,,,,,,,,,,,,,
113,otavio,7.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,FLU,82463,5,Otávio,0.0,Otávio,266,,False,0,0.0,Otávio Henrique Passos Santos,2,4,0.0,,,,,,,,,,,,,,,,,,,,
114,luiz-araujo,9.85,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,FLA,82627,6,L. Araújo,7.7,Luiz Araújo,262,,True,2,6.4,Luiz de Araújo Guimarães Neto,2,5,0.7,1.0,3.0,,1.0,2.0,1.0,,,,,,,,,,,,,,
115,tinga,9.99,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,FOR,82628,6,Tinga,0.0,Tinga,356,,False,1,14.5,Guilherme de Jesus da Silva,2,2,0.0,,1.0,,,,,,,,1.0,,,1.0,,,,,,,
116,wellington-rato,8.06,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,VIT,82766,6,W. Rato,8.0,Wellington Rato,287,,True,2,4.5,Wellington Soares da Silva,2,4,1.17,,,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,
117,lucas-ramon,8.59,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,MIR,82775,7,L. Ramon,11.0,Lucas Ramon,2305,,True,2,11.7,Lucas Ramon Batista Silva,2,2,1.79,,9.0,3.0,,1.0,4.0,,,,,,,1.0,,,,,,,
118,rafael-thyere,5.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,SPT,83048,6,R. Thyere,0.0,Rafael Thyere,292,,False,0,0.0,Rafael Thyere de Albuquerque Marques,2,3,0.0,,,,,,,,,,,,,,,,,,,,
119,recalde,3.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,CEA,83252,6,Recalde,0.0,Recalde,354,,False,0,0.0,Jorge Eduardo Recalde Ramírez,2,4,0.0,,,,,,,,,,,,,,,,,,,,
120,gabriel,8.38,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,CRU,83257,7,Gabriel,0.9,Gabriel,283,,True,2,4.85,Gabriel Barbosa Almeida,2,5,-1.25,,,1.0,,2.0,1.0,,1.0,,,,,1.0,,,,,,,
121,julio-furch,4.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,SAN,83276,6,J. Furch,0.0,Julio Furch,277,,False,0,0.0,Julio César Furch,2,5,0.0,,,,,,,,,,,,,,,,,,,,
122,leo-pereira,9.37,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,FLA,83528,7,L. Pereira,0.0,Léo Pereira,262,,True,2,4.1,Leonardo Pereira,2,3,-1.68,,,1.0,,,1.0,,,,,,,1.0,,,,,,,
123,neris,4.47,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,VIT,83786,6,Neris,0.0,Neris,287,,False,1,1.1,Hueglo dos Santos Neris,2,3,0.0,,1.0,2.0,1.0,,,,,1.0,,,,,,,,,,,
124,clayson,7.38,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,MIR,83817,7,Clayson,-0.5,Clayson,2305,,True,2,4.3,Clayson Henrique da Silva Vieira,2,5,-1.53,1.0,1.0,4.0,1.0,1.0,5.0,,2.0,1.0,,,,,,,,,,,
125,tiquinho-soares,11.04,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,SAN,84042,7,T. Soares,5.0,Tiquinho Soares,277,,True,2,4.7,Francisco das Chagas Soares dos Santos Meireles,2,5,-0.32,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
126,ruan-carneiro,1.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,JUV,84094,6,R. Carneiro,0.0,Ruan Carneiro,286,,False,0,0.0,Eudes Ruan de Souza Carneiro,2,1,0.0,,,,,,,,,,,,,,,,,,,,
127,jemerson,3.87,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,GRE,84263,7,Jemerson,-1.2,Jemerson,284,,True,2,-0.65,Jemerson de Jesus Nascimento,2,3,-1.0,,1.0,6.0,,,,,,1.0,,,,,,,,,,,
128,fernando-sobral,5.69,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,CEA,84428,7,F. Sobral,2.4,Fernando Sobral,354,,True,2,2.65,Fernando Pereira do Nascimento,2,4,-0.23,,4.0,4.0,,,3.0,,,1.0,,,,,,,,,,,
129,romarinho,4.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,SPT,84523,6,Romarinho,0.0,Romarinho,292,,False,0,0.0,José Romário Silva de Souza,2,5,0.0,,,,,,,,,,,,,,,,,,,,
130,lucas-romero,7.21,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,CRU,84558,7,L. Romero,6.5,Lucas Romero,283,,True,2,4.2,Lucas Daniel Romero,2,4,0.82,,6.0,2.0,,,2.0,,,1.0,,,,,,,,,,,
131,lucas-evangelista,7.41,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,PAL,84674,7,L. Evangelista,1.2,Lucas Evangelista,275,,True,2,3.15,Lucas Evangelista Santana de Oliveira,2,4,-0.92,,2.0,3.0,1.0,,6.0,,,,,,,,,,,,,,
132,varela,5.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,FLA,84816,6,Varela,0.0,Varela,262,,False,0,0.0,Guillermo Varela Olivera,2,2,0.0,,,,,,,,,,,,,,,,,,,,
133,luan-peres,6.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,SAN,84847,6,L. Peres,0.0,Luan Peres,277,,False,0,0.0,Luan Peres Petroni,2,3,0.0,,,,,,,,,,,,,,,,,,,,
134,marcos-felipe,6.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,BAH,85004,6,M. Felipe,0.0,Marcos Felipe,265,,False,0,0.0,Marcos Felipe de Freitas Monteiro,2,1,0.0,,,,,,,,,,,,,,,,,,,,
135,oscar-romero,7.15,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,INT,85034,6,Ã. Romero,6.0,Óscar Romero,285,,True,1,6.0,Óscar David Romero Villamayor,2,4,1.15,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,
136,memphis-depay,19.93,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,COR,85048,7,M. Depay,18.4,Memphis Depay,264,,True,1,18.4,Memphis Depay,2,5,3.93,1.0,2.0,1.0,1.0,,3.0,,,,,,,1.0,,,,,,,
137,danielzinho,5.31,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,MIR,85403,7,Danielzinho,6.5,Danielzinho,2305,,True,2,5.8,Daniel de Oliveira Sertanejo,2,4,1.07,,3.0,4.0,1.0,2.0,3.0,,,,,,,,,,,1.0,,1.0,
138,joao-paulo,7.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,SAN,85425,6,J. Paulo,0.0,João Paulo,277,,False,0,0.0,João Paulo Silva Martins,2,1,0.0,,,,,,,,,,,,,,,,,,,,
139,alex-santana,5.33,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,COR,85465,6,A. Santana,0.0,Alex Santana,264,,False,1,1.2,Alex Paulo Menezes Santana,2,4,0.0,,,2.0,,1.0,2.0,,,,,,,,,,,,,,
140,ricardo-ryller,2.97,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,VIT,85856,7,R. Ryller,1.2,Ricardo Ryller,287,,True,2,0.3,Ricardo Ryller Ribeiro Lino Silva,2,4,-0.09,,1.0,3.0,,,2.0,,,1.0,,,,,,,,,,,
141,aylon,2.87,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,CEA,85930,6,Aylon,0.5,Aylon,354,,True,2,0.1,Aylon Darwin Tavella,2,5,-0.3,,,1.0,,,1.0,,,,,,,,,,,,,,
142,hyoran,5.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,SPT,85931,6,Hyoran,0.0,Hyoran,292,,False,0,0.0,Hyoran Kaue Dalmoro,2,4,0.0,,,,,,,,,,,,,,,,,,,,
143,bolasie,5.62,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,CRU,86292,6,Bolasie,0.0,Bolasie,283,,False,1,-0.3,Yannick Bolasie,2,5,0.0,,,1.0,,,,,,,,,,,,,,,,,
144,victor-luis,4.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,VAS,86410,6,V. Luis,0.0,Victor Luis,267,,False,0,0.0,Victor Luis Chuab Zamblauskas,2,2,0.0,,,,,,,,,,,,,,,,,,,,
145,keno,7.25,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,FLU,86485,6,Keno,3.5,Keno,266,,True,2,2.95,Marcos da Silva França,2,5,-0.13,,1.0,1.0,,4.0,3.0,,,,,,,,,,,,,,
146,jandrei,5.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,SAO,86508,6,Jandrei,0.0,Jandrei,276,,False,0,0.0,Jandrei Chitolina Carniel,2,1,0.0,,,,,,,,,,,,,,,,,,,,
147,richardson,4.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,CEA,86536,5,Richardson,0.0,Richardson,354,,False,0,0.0,Richardson Fernandes dos Santos,2,4,0.0,,,,,,,,,,,,,,,,,,,,
148,tche-tche,5.2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,VAS,86686,6,T. Tchê,0.5,Tchê Tchê,267,,True,2,0.5,Danilo das Neves Pinheiro,2,4,-0.7,,,,,,2.0,,,,,,,,,,,,,,
149,everton,9.21,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,FLA,86757,7,Everton,0.2,Everton,262,,True,2,0.1,Everton Sousa Soares,2,5,-1.42,,,2.0,,1.0,,,,,,,,,,,,,,,
150,matheus-rossetto,5.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,FOR,86766,6,M. Rossetto,0.0,Matheus Rossetto,356,,False,0,0.0,Matheus Rossetto,2,4,0.0,,,,,,,,,,,,,,,,,,,,
151,danilo-barbosa,6.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,BOT,86777,6,D. Barbosa,0.0,Danilo Barbosa,263,,False,0,0.0,Danilo Barbosa da Silva,2,4,0.0,,,,,,,,,,,,,,,,,,,,
152,reginaldo,4.21,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,JUV,86820,6,Reginaldo,0.0,Reginaldo,286,,False,1,5.0,Reginaldo Lopes de Jesus,2,2,0.0,,,,,,,,,,1.0,,,,,,,,,,
153,jose-welison,4.76,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,FOR,86859,6,J. Welison,2.0,José Welison,356,,True,2,1.0,José Welison da Silva,2,4,-0.15,,1.0,,,,1.0,,,,,,,,,,,,,,
154,luiz-otavio,4.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,MIR,86863,6,L. Otávio,0.0,Luiz Otávio,2305,,False,0,0.0,Luiz Otávio da Silva Santos,2,3,0.0,,,,,,,,,,,,,,,,,,,,
155,leo-jardim,8.08,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,VAS,87008,7,L. Jardim,-1.7,Léo Jardim,267,,True,2,-0.7,Leonardo César Jardim,2,1,-1.84,,,,,,,,,,,2.0,4.0,,,,,,,,
156,nathan,4.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,GRE,87009,6,Nathan,0.0,Nathan,284,,False,0,0.0,Nathan Allan de Souza,2,4,0.0,,,,,,,,,,,,,,,,,,,,
157,pedro-henrique,7.07,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,RBB,87225,7,P. Henrique,3.2,Pedro Henrique,280,,True,2,3.85,Pedro Henrique Ribeiro Gonçalves,2,3,-0.23,,4.0,2.0,,1.0,3.0,,,,,,,,,,,,,,
158,guilherme-arana,11.34,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,CAM,87228,7,G. Arana,7.7,Guilherme Arana,282,,True,2,5.3,Guilherme Antonio Arana Lopes,2,2,0.51,,3.0,2.0,1.0,,1.0,,,,1.0,,,,,,,,,,
