,atletas.slug,atletas.preco_num,atletas.foto,atletas.clube.id.full.name,atletas.atleta_id,atletas.status_id,atletas.apelido_abreviado,atletas.pontos_num,atletas.apelido,atletas.clube_id,atletas.minimo_para_valorizar,atletas.entrou_em_campo,atletas.jogos_num,atletas.media_num,atletas.nome,atletas.rodada_id,atletas.posicao_id,atletas.variacao_num,A,DS,FC,FD,FF,FS,V,I,CA,SG,DE,GS,G,CV,PP,PC,FT,DP,PS,GC
18,leo-gamalho,4.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,MIR,53865,6,L. Gamalho,0.0,Léo Gamalho,2305,,False,0,0.0,Leonardo Gamalho de Souza,2,5,0.0,,,,,,,,,,,,,,,,,,,,
19,alex-teixeira,3.77,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,VAS,60793,6,A. Teixeira,1.2,Alex Teixeira,267,,True,1,1.2,Alex Teixeira Santos,2,5,-0.23,,,,1.0,,,,,,,,,,,,,,,,
20,souza,4.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,VAS,60803,6,Souza,0.0,Souza,267,,False,0,0.0,Josef de Souza Dias,2,3,0.0,,,,,,,,,,,,,,,,,,,,
21,gilberto,6.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,JUV,61188,5,Gilberto,0.0,Gilberto,286,,False,0,0.0,Gilberto Oliveira Souza Júnior,2,5,0.0,,,,,,,,,,,,,,,,,,,,
22,alex-sandro,12.14,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,FLA,61987,7,A. Sandro,2.1,Alex Sandro,262,,True,2,5.3,Alex Sandro Lobo Silva,2,2,-1.47,,6.0,4.0,,1.0,4.0,,,,,,,,,,,,,,
23,ganso,10.48,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,FLU,62977,6,Ganso,1.3,Ganso,266,,True,1,1.3,Paulo Henrique Chagas de Lima,2,4,-1.52,,,,,1.0,1.0,,,,,,,,,,,,,,
24,neymar,25.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,SAN,63007,2,Neymar,0.0,Neymar,277,,False,0,0.0,Neymar da Silva Santos Júnior,2,4,0.0,,,,,,,,,,,,,,,,,,,,
25,marcos-rocha,7.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,PAL,63013,5,M. Rocha,0.0,Marcos Rocha,275,,False,0,0.0,Marcos Luis Rocha Aquino,2,2,0.0,,,,,,,,,,,,,,,,,,,,
26,alan-ruschel,6.58,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,JUV,63110,7,A. Ruschel,6.4,Alan Ruschel,286,,True,2,5.55,Alan Luciano Ruschel,2,2,0.84,,4.0,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,
27,edenilson,6.69,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,GRE,63289,6,Edenílson,1.0,Edenílson,284,,True,2,4.35,Edenílson Andrade dos Santos,2,4,-0.92,,,2.0,,1.0,1.0,,,,,,,1.0,,,,,,,
