,atletas.apelido_abreviado,atletas.preco_num,atletas.status_id,atletas.foto,atletas.apelido,atletas.rodada_id,atletas.posicao_id,atletas.slug,atletas.clube.id.full.name,atletas.variacao_num,atletas.atleta_id,atletas.clube_id,atletas.pontos_num,atletas.media_num,atletas.jogos_num,atletas.entrou_em_campo,atletas.nome,CA,DS,FC,FD,FS,SG,FF,A,G,I,PC,V,FT,DE,DP,GS,CV,PS,PP,GC
22,A. Ruschel,5.24,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Alan Ruschel,20,2,alan-ruschel,JUV,0.0,63110,286,0.0,2.63,11,False,Alan Luciano Ruschel,2.0,10.0,8.0,,17.0,2.0,,,,2.0,,,,,,,,,,
23,Edenílson,6.0,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Edenílson,20,4,edenilson,GRE,0.71,63289,284,8.5,2.61,13,True,Edenílson Andrade dos Santos,4.0,7.0,8.0,,15.0,,2.0,1.0,2.0,1.0,,,,,,,,,,
24,A. Patrick,14.02,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Alan Patrick,20,4,alan-patrick,INT,0.0,68685,285,0.0,6.64,13,False,Alan Patrick Lourenço,3.0,11.0,12.0,5.0,16.0,,3.0,5.0,4.0,1.0,,,1.0,,,,,,,
25,Eduardo,3.88,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,Eduardo,20,4,eduardo,CRU,0.43,68708,283,3.3,1.61,16,True,Carlos Eduardo de Oliveira Alves,1.0,10.0,9.0,2.0,6.0,,4.0,,1.0,1.0,,,,,,,1.0,1.0,,
26,Neto,8.0,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Neto,20,1,neto,BOT,0.0,68806,263,0.0,0.0,0,False,Norberto Murara Neto,,,,,,,,,,,,,,,,,,,,
27,Oscar,11.39,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Oscar,20,4,oscar,SAO,0.0,68811,276,0.0,1.67,6,False,Oscar dos Santos Emboaba Júnior,1.0,5.0,3.0,2.0,4.0,,,,,,,,,,,,,,,
28,M. Lomba,7.63,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,Marcelo Lomba,20,1,marcelo-lomba,PAL,0.0,68872,275,0.0,3.2,1,False,Marcelo Lomba do Nascimento,,,,,,,,,,,,,,4.0,,2.0,,,,
29,P. Coutinho,11.68,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,Philippe Coutinho,20,4,philippe-coutinho,VAS,2.14,68899,267,17.9,4.62,12,True,Philippe Coutinho Correia,,4.0,9.0,13.0,19.0,,10.0,1.0,2.0,1.0,,,,,,,1.0,1.0,,
30,Dudu,8.39,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Dudu,20,5,dudu,CAM,0.0,68920,282,0.0,2.57,7,False,Eduardo Pereira Rodrigues,,4.0,5.0,,11.0,,,,1.0,,,,,,,,,,,
31,Gil,4.94,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,Gil,20,3,gil,SAN,0.0,68923,277,0.0,1.93,8,False,Carlos Gilberto do Nascimento Silva,3.0,9.0,7.0,,1.0,1.0,2.0,,,,,,,,,,,,,
32,Rafael,9.73,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Rafael,20,1,rafael,SAO,0.0,68928,276,0.0,4.22,18,False,Rafael Pires Monteiro,2.0,1.0,,,5.0,5.0,,,,,,,,53.0,,20.0,,,,
33,Marinho,7.01,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Marinho,20,5,marinho,FOR,0.0,68952,356,0.0,3.63,11,False,Mário Sérgio Santos Costa,1.0,8.0,21.0,5.0,18.0,,8.0,2.0,1.0,12.0,,,,,,,1.0,,,
34,L. Sasha,8.12,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Lucas Sasha,20,4,lucas-sasha,FOR,-0.4,68991,356,2.6,5.69,13,True,Lucas Pacheco Affini,1.0,48.0,19.0,2.0,11.0,,1.0,,,,,,,,,,,,,
35,W. José,8.57,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Willian José,20,5,willian-jose,BAH,1.02,68996,265,12.7,3.74,15,True,Willian José da Silva,2.0,1.0,5.0,5.0,6.0,,5.0,3.0,3.0,,,,2.0,,,,,,,
36,Manoel,5.13,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Manoel,20,3,manoel,FLU,-1.06,69014,266,0.0,2.37,3,True,Manoel Messias Silva Carvalho,,,,,1.0,1.0,2.0,,,,,,,,,,,,,
37,D. Fernandes,4.0,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Danilo Fernandes,20,1,danilo-fernandes,BAH,0.0,69051,265,0.0,0.0,0,False,Danilo Fernandes Batista,,,,,,,,,,,,,,,,,,,,
38,Pablo,5.94,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Pablo,20,5,pablo,SPT,0.02,69138,292,1.2,2.64,9,True,Pablo Felipe Teixeira,1.0,6.0,10.0,2.0,10.0,,5.0,,1.0,6.0,,,,,,,,,,
39,Allan,4.47,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Allan,20,4,allan,BOT,-0.11,69140,263,4.2,2.51,9,True,Allan Marques Loureiro,3.0,17.0,17.0,1.0,8.0,,,,,,,,,,,,,,,
40,Danilo,12.99,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,Danilo,20,3,danilo,FLA,-1.34,69783,262,0.0,5.68,7,True,Danilo Luiz da Silva,,4.0,8.0,1.0,4.0,5.0,,,1.0,,,,,,,,,,,
41,L. Moura,7.77,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Lucas Moura,20,4,lucas-moura,SAO,3.04,70164,276,12.4,6.45,2,True,Lucas Rodrigues Moura da Silva,,3.0,2.0,,2.0,,,,1.0,,,,,,,,,,,
42,Gustavo,4.92,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Gustavo,20,1,gustavo,JUV,0.0,70216,286,0.0,3.09,10,False,Luiz Gustavo de Almeida Pinto,1.0,1.0,,,,1.0,,,,,,,,31.0,1.0,22.0,,,,
43,B. Uvini,4.0,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Bruno Uvini,20,3,bruno-uvini,VIT,0.0,70221,287,0.0,0.0,0,False,Bruno Uvini Bortolança,,,,,,,,,,,,,,,,,,,,
44,E. Sasha,7.93,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,Eduardo Sasha,20,5,eduardo-sasha,RBB,0.54,70360,280,3.5,3.77,18,True,Eduardo Colcenti Antunes,3.0,7.0,5.0,12.0,18.0,,12.0,1.0,3.0,1.0,,,1.0,,,,1.0,,,
45,Gabriel,5.45,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Gabriel,20,1,gabriel,SPT,-0.67,70449,292,4.5,4.3,7,True,Gabriel Vasconcelos Ferreira,,,,,1.0,2.0,,,,,,,,22.0,,9.0,,,,
46,F. Anderson,8.6,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,Felipe Anderson,20,4,felipe-anderson,PAL,2.09,70592,275,15.4,4.18,13,True,Felipe Anderson Pereira Gomes,,24.0,10.0,3.0,6.0,,5.0,,1.0,2.0,,,1.0,,,,,,,
47,Marllon,7.35,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Marllon,20,3,marllon,CEA,0.0,70666,354,0.0,3.88,15,False,Marllon Gonçalves Jerônimo Borges,2.0,12.0,11.0,,6.0,5.0,2.0,,2.0,,,,,,,,,,,
48,F. Carille,8.56,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Fábio Carille,20,6,fabio-carille,VIT,0.26,70696,287,4.55,4.92,13,True,Fábio Luiz Carille de Araújo,,,,,,,,,,,,3.0,,,,,,,,
49,E. Valencia,5.16,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Enner Valencia,20,5,enner-valencia,INT,-0.65,70788,285,-1.6,1.57,13,True,Enner Remberto Valencia Lastra,3.0,2.0,15.0,4.0,11.0,,5.0,,1.0,3.0,,,1.0,,,,,,,
50,D. Barbosa,7.58,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Diogo Barbosa,20,2,diogo-barbosa,FOR,0.0,70916,356,0.0,4.01,9,False,Diogo Barbosa Mendanha,1.0,10.0,4.0,,9.0,2.0,1.0,,1.0,,,,,,,,,,,
51,B. Henrique,5.89,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Bruno Henrique,20,4,bruno-henrique,INT,-0.39,70944,285,-0.3,2.72,15,True,Bruno Henrique Corsini,,20.0,27.0,3.0,8.0,,8.0,,1.0,,,,,,,,1.0,,,
52,T. Mendes,4.96,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,Thiago Mendes,20,4,thiago-mendes,VAS,-0.96,71123,267,-0.3,0.2,3,True,Thiago Henrique Mendes Ribeiro,1.0,1.0,3.0,,2.0,,,,,,,,,,,,,,,
53,Vina,6.0,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Vina,20,4,vina,CEA,0.0,71162,354,0.0,0.0,0,False,Vinícius Goes Barbosa de Souza,,,,,,,,,,,,,,,,,,,,
54,L. Gustavo,10.73,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Luiz Gustavo,20,4,luiz-gustavo,SAO,0.0,71536,276,0.0,9.6,1,False,Luiz Gustavo Dias,,4.0,4.0,,2.0,,1.0,,,,,,1.0,,,,,,,
55,F. Miguel,7.02,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Fernando Miguel,20,1,fernando-miguel,CEA,0.0,71571,354,0.0,6.18,6,False,Fernando Miguel Kaufmann,,,,,6.0,3.0,,,,,,,,17.0,,3.0,,,,
56,Weverton,9.58,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,Weverton,20,1,weverton,PAL,1.67,71631,275,12.8,4.67,17,True,Weverton Pereira da Silva,2.0,,,,6.0,7.0,,,,,,,,38.0,1.0,13.0,,,,
57,R. Cáceres,3.09,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Raúl Cáceres,20,2,raul-caceres,VIT,0.0,71680,287,0.0,2.75,8,False,Raúl Alejandro Cáceres Bogado,3.0,4.0,7.0,3.0,2.0,2.0,2.0,1.0,,1.0,,,,,,,,,,
58,G. Gómez,9.67,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,Gustavo Gómez,20,3,gustavo-gomez,PAL,0.06,71684,275,7.9,4.58,14,True,Gustavo Raúl Gómez Portillo,3.0,22.0,15.0,1.0,8.0,6.0,5.0,,,6.0,,,,,,,,,,
59,S. Arias,6.05,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Santiago Arias,20,2,santiago-arias,BAH,-1.33,71701,265,1.6,3.07,7,True,Santiago Arias Naranjo,2.0,7.0,3.0,2.0,3.0,2.0,,,,,,,,,,,,,,
60,Cuéllar,6.48,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Cuéllar,20,4,cuellar,GRE,-0.04,71709,284,4.0,3.4,3,True,Gustavo Leonardo Cuellar Gallego,,6.0,1.0,,3.0,,,,,,,,,,,,,,,
61,T. Volpi,6.48,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Tiago Volpi,20,1,tiago-volpi,GRE,-0.24,72018,284,1.6,3.3,18,True,Tiago Luis Volpi,2.0,,,,5.0,3.0,,,,,1.0,,,53.0,,24.0,,,,
62,Thomazella,2.0,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,Thomazella,20,1,thomazella,MIR,0.0,72279,2305,0.0,0.0,0,False,Carlos Eduardo Lecciolle Thomazella,,,,,,,,,,,,,,,,,,,,
63,Everson,8.71,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Everson,20,1,everson,CAM,-0.84,72294,282,-1.7,4.5,17,True,Everson Felipe Marques Pires,4.0,,,,4.0,7.0,,,,,,,,48.0,,19.0,,,,
64,L. Otávio,4.0,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Luiz Otávio,20,3,luiz-otavio,CEA,0.0,72359,354,0.0,0.0,0,False,Luiz Otávio Anacleto Leandro,,,,,,,,,,,,,,,,,,,,
65,F. Diniz,10.62,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,Fernando Diniz,20,6,fernando-diniz,VAS,1.41,72391,267,12.48,5.37,10,True,Fernando Diniz Silva,,,,,,,,,,,,3.0,,,,,,,,
66,Bernard,3.46,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Bernard,20,4,bernard,CAM,0.0,72460,282,0.0,0.81,14,False,Bernard Anício Caldeira Duarte,1.0,8.0,6.0,,3.0,,1.0,,,1.0,,,,,,,,,,
67,A. Telles,10.06,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Alex Telles,20,2,alex-telles,BOT,-1.67,72493,263,2.8,5.46,16,True,Alex Nicolao Telles,1.0,8.0,15.0,2.0,10.0,10.0,7.0,2.0,1.0,1.0,,,,,,,,,,
68,P. Henrique,7.28,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Pedro Henrique,20,5,pedro-henrique,CEA,0.0,72583,354,0.0,3.48,11,False,Pedro Henrique Konzen Medina da Silva,4.0,12.0,17.0,6.0,11.0,,9.0,,1.0,5.0,1.0,,1.0,,,,,,,
69,V. Hugo,8.15,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Vitor Hugo,20,3,vitor-hugo,CAM,0.0,72605,282,0.0,5.92,5,False,Vitor Hugo Franchescoli de Souza,,5.0,,,1.0,4.0,2.0,,,,,,,,,,,,,
70,W. Ángel,2.78,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Wilker Ángel,20,3,wilker-angel,JUV,-1.38,72801,286,-0.9,1.42,11,True,Wílker José Ángel Romero,4.0,5.0,17.0,1.0,3.0,1.0,2.0,,1.0,1.0,,,,,,,,,,
71,Mercado,6.6,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Mercado,20,3,mercado,INT,0.0,72951,285,0.0,2.9,1,False,Gabriel Iván Mercado,,2.0,2.0,,1.0,,,,,,,,,,,,,,,
72,D. Borges,4.38,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,Daniel Borges,20,2,daniel-borges,MIR,0.0,73318,2305,0.0,3.72,8,False,Daniel Fortunato Borges,2.0,3.0,6.0,,3.0,2.0,2.0,,2.0,,,,,,,,,,,
73,S. Xavier,8.3,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Samuel Xavier,20,2,samuel-xavier,FLU,-0.87,73384,266,0.2,4.32,14,True,Samuel Xavier Brito,3.0,10.0,17.0,1.0,18.0,4.0,3.0,1.0,2.0,,,,,,,,,,,
74,Gabriel,6.44,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,Gabriel,20,4,gabriel,MIR,0.0,73515,2305,0.0,3.07,15,False,Gabriel Santana Pinto,2.0,3.0,5.0,4.0,15.0,,4.0,1.0,3.0,5.0,,,,,,,,1.0,,
75,Rincón,3.01,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,Rincón,20,4,rincon,SAN,0.13,74187,277,0.0,0.71,11,True,Tomás Eduardo Rincón Hernández,4.0,10.0,22.0,,5.0,,5.0,,,,,,,,,,1.0,,,
76,Carrillo,6.96,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,Carrillo,20,4,carrillo,COR,0.0,77485,264,0.0,3.06,15,False,André Martín Carrillo Díaz,1.0,19.0,18.0,1.0,12.0,,5.0,1.0,1.0,2.0,,,,,,,,,,
