,atletas.apelido_abreviado,atletas.preco_num,atletas.status_id,atletas.foto,atletas.apelido,atletas.rodada_id,atletas.posicao_id,atletas.slug,atletas.clube.id.full.name,atletas.variacao_num,atletas.atleta_id,atletas.clube_id,atletas.pontos_num,atletas.media_num,atletas.jogos_num,atletas.entrou_em_campo,atletas.nome,CA,DS,FC,FD,FS,SG,FF,A,G,I,PC,V,FT,DE,DP,GS,CV,PS,PP,GC
0,M. Menezes,9.69,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Mano Menezes,20,6,mano-menezes,GRE,0.57,37281,284,7.06,4.92,14,True,Luis Antônio Venker de Menezes,,,,,,,,,,,,4.0,,,,,,,,
1,L. Condé,8.61,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Léo Condé,20,6,leo-conde,CEA,0.63,37457,354,7.56,5.32,17,True,Leonardo Rodrigues Condé,,,,,,,,,,,,6.0,,,,,,,,
2,Fábio,8.84,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Fábio,20,1,fabio,FLU,0.36,37656,266,5.5,3.48,18,True,Fábio Deivson Lopes Maciel,1.0,,,,2.0,4.0,,,,,,,,46.0,1.0,24.0,,,,
3,T. Silva,8.44,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Thiago Silva,20,3,thiago-silva,FLU,0.0,37715,266,0.0,2.31,12,False,Thiago Emiliano da Silva,,3.0,5.0,2.0,4.0,3.0,3.0,,,,,,1.0,,,,,,,
4,Nenê,6.18,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Nenê,20,4,nene,JUV,1.86,38913,286,14.7,3.12,10,True,Anderson Luis de Carvalho - Luiz,,2.0,2.0,2.0,12.0,,3.0,2.0,1.0,,,,,,,,,,,
5,Hulk,14.38,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Hulk,20,5,hulk,CAM,0.18,39148,282,5.3,5.89,16,True,Givanildo Vieira de Souza,6.0,6.0,19.0,12.0,34.0,,20.0,3.0,4.0,6.0,,,1.0,,,,,,,
6,A. Franco,4.23,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Alan Franco,20,4,alan-franco,CAM,-0.31,39656,282,-0.1,1.65,14,True,Alan Steven Franco Palma,1.0,16.0,17.0,,9.0,,1.0,,,,,,,,,,,,,
7,D. Júnior,10.16,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,Dorival Júnior,20,6,dorival-junior,COR,0.23,40990,264,5.52,4.94,14,True,Dorival Silvestre Júnior,,,,,,,,,,,,3.0,,,,,,,,
8,R. Gaúcho,9.82,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Renato Gaúcho,20,6,renato-gaucho,FLU,0.08,41929,266,6.04,5.16,17,True,Renato Portaluppi,,,,,,,,,,,,8.0,,,,,,,,
9,Osvaldo,4.09,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Osvaldo,20,5,osvaldo,VIT,0.12,42222,287,2.3,2.24,14,True,Osvaldo Lourenço Filho,3.0,7.0,6.0,6.0,12.0,,6.0,1.0,,3.0,,,1.0,,,,,,,
10,Cássio,9.71,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,Cássio,20,1,cassio,CRU,0.44,42234,283,2.9,5.63,19,True,Cássio Roberto Ramos,3.0,,,,1.0,9.0,,,,,,,,55.0,1.0,14.0,,,,
11,Cuca,9.79,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Cuca,20,6,cuca,CAM,-0.34,42411,282,3.06,5.62,18,True,Alexi Stival,,,,,,,,,,,,6.0,,,,,,,,
12,Fagner,8.51,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,Fagner,20,2,fagner,CRU,0.0,42500,283,0.0,6.1,9,False,Fagner Conserva Lemos,1.0,20.0,11.0,,7.0,5.0,1.0,,,1.0,,,,,,,,,,
13,Walter,9.73,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,Walter,20,1,walter,MIR,-0.96,51413,2305,1.6,6.75,12,True,Walter Leandro Capeloza Artune,2.0,,,,2.0,4.0,,,,,,,,50.0,1.0,10.0,,,,
14,E. Ribeiro,8.53,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Everton Ribeiro,20,4,everton-ribeiro,BAH,0.0,51772,265,0.0,4.03,16,False,Everton Augusto de Barros Ribeiro,3.0,24.0,17.0,4.0,23.0,,5.0,,2.0,,,,1.0,,,,1.0,,,
15,A. Teixeira,2.47,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,Alex Teixeira,20,5,alex-teixeira,VAS,0.0,60793,267,0.0,0.66,8,False,Alex Teixeira Santos,1.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,
16,Gilberto,4.15,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Gilberto,20,5,gilberto,JUV,0.0,61188,286,0.0,2.56,13,False,Gilberto Oliveira Souza Júnior,4.0,3.0,16.0,7.0,11.0,,4.0,1.0,2.0,4.0,,,,,,,,,,
17,A. Sandro,9.86,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,Alex Sandro,20,2,alex-sandro,FLA,0.0,61987,262,0.0,4.46,12,False,Alex Sandro Lobo Silva,1.0,12.0,25.0,1.0,11.0,7.0,3.0,,,1.0,,,,,,,,,,
18,Ganso,6.02,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Ganso,20,4,ganso,FLU,0.09,62977,266,1.7,1.38,12,True,Paulo Henrique Chagas de Lima,1.0,7.0,4.0,,13.0,,2.0,,,,,,,,,,,,,
19,Neymar,14.2,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,Neymar,20,4,neymar,SAN,-0.72,63007,277,1.0,5.02,11,True,Neymar da Silva Santos Júnior,3.0,2.0,15.0,8.0,40.0,,8.0,,3.0,2.0,,,1.0,,,,1.0,,,
20,R. Tolói,7.0,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Rafael Tolói,20,3,rafael-toloi,SAO,0.0,63008,276,0.0,0.0,0,False,Rafael Toloi,,,,,,,,,,,,,,,,,,,,
21,M. Rocha,7.4,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Marcos Rocha,20,2,marcos-rocha,GRE,0.0,63013,284,0.0,2.6,1,False,Marcos Luis Rocha Aquino,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
