,atletas.atleta_id,atletas.jogos_num,atletas.preco_num,atletas.status_id,atletas.clube.id.full.name,atletas.rodada_id,atletas.slug,atletas.entrou_em_campo,atletas.nome,atletas.apelido,atletas.media_num,atletas.foto,atletas.apelido_abreviado,atletas.variacao_num,atletas.posicao_id,atletas.clube_id,atletas.pontos_num,A,CA,DS,FC,FD,FF,FS,G,I,SG,FT,PS,DE,GS,PC,V,DP,CV,PP,GC
17,61188,12,5.81,7,JUV,18,gilberto,True,Gilberto Oliveira Souza Júnior,Gilberto,2.91,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Gilberto,1.58,5,286,10.0,1.0,3.0,3.0,14.0,7.0,4.0,11.0,2.0,4.0,,,,,,,,,,,
18,61987,11,10.19,2,FLA,18,alex-sandro,True,Alex Sandro Lobo Silva,Alex Sandro,4.75,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,A. Sandro,-0.56,2,262,1.7,,1.0,12.0,21.0,,2.0,10.0,,1.0,7.0,,,,,,,,,,
19,62977,10,6.31,7,FLU,18,ganso,True,Paulo Henrique Chagas de Lima,Ganso,1.46,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Ganso,-0.16,4,266,1.5,,1.0,7.0,2.0,,2.0,8.0,,,,,,,,,,,,,
20,63007,9,17.39,7,SAN,18,neymar,True,Neymar da Silva Santos Júnior,Neymar,5.66,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,Neymar,2.89,4,277,20.3,,2.0,2.0,14.0,8.0,6.0,32.0,3.0,2.0,,1.0,,,,,,,1.0,,
21,63013,1,7.4,6,PAL,18,marcos-rocha,True,Marcos Luis Rocha Aquino,Marcos Rocha,2.6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,M. Rocha,0.4,2,275,2.6,,,1.0,2.0,1.0,,1.0,,,,,,,,,,,,,
22,63110,10,5.43,6,JUV,18,alan-ruschel,False,Alan Luciano Ruschel,Alan Ruschel,2.89,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,A. Ruschel,0.0,2,286,0.0,,2.0,10.0,8.0,,,17.0,,2.0,2.0,,,,,,,,,,
23,63289,11,4.66,2,GRE,18,edenilson,True,Edenílson Andrade dos Santos,Edenílson,1.88,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Edenílson,-0.38,4,284,0.3,1.0,4.0,5.0,8.0,,1.0,12.0,1.0,1.0,,,,,,,,,,,
24,68685,12,13.73,7,INT,18,alan-patrick,False,Alan Patrick Lourenço,Alan Patrick,6.56,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,A. Patrick,0.0,4,285,0.0,5.0,3.0,11.0,9.0,5.0,3.0,15.0,3.0,1.0,,1.0,,,,,,,,,
25,68708,15,3.45,6,CRU,18,eduardo,True,Carlos Eduardo de Oliveira Alves,Eduardo,1.5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,Eduardo,-0.98,4,283,0.0,,1.0,9.0,9.0,2.0,3.0,4.0,1.0,1.0,,,1.0,,,,,,1.0,,
26,68811,6,11.39,5,SAO,18,oscar,False,Oscar dos Santos Emboaba Júnior,Oscar,1.67,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Oscar,0.0,4,276,0.0,,1.0,5.0,3.0,2.0,,4.0,,,,,,,,,,,,,
27,68872,1,7.63,6,PAL,18,marcelo-lomba,True,Marcelo Lomba do Nascimento,Marcelo Lomba,3.2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,M. Lomba,0.63,1,275,3.2,,,,,,,,,,,,,4.0,2.0,,,,,,
28,68899,10,9.37,2,VAS,18,philippe-coutinho,True,Philippe Coutinho Correia,Philippe Coutinho,3.21,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,P. Coutinho,0.0,4,267,3.7,1.0,,2.0,8.0,11.0,9.0,18.0,,,,,,,,,,,1.0,,
29,68920,7,8.39,3,CAM,18,dudu,False,Eduardo Pereira Rodrigues,Dudu,2.57,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Dudu,0.0,5,282,0.0,,,4.0,5.0,,,11.0,1.0,,,,,,,,,,,,
30,68923,7,4.58,7,SAN,18,gil,True,Carlos Gilberto do Nascimento Silva,Gil,1.78,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,Gil,-0.45,3,277,0.0,,3.0,7.0,7.0,,2.0,1.0,,,1.0,,,,,,,,,,
31,68928,17,9.32,7,SAO,18,rafael,True,Rafael Pires Monteiro,Rafael,4.1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Rafael,0.35,1,276,2.9,,2.0,1.0,,,,5.0,,,4.0,,,52.0,20.0,,,,,,
32,68952,11,7.01,7,FOR,18,marinho,True,Mário Sérgio Santos Costa,Marinho,3.63,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Marinho,-0.25,5,356,3.2,2.0,1.0,8.0,21.0,5.0,8.0,18.0,1.0,12.0,,,,,,,,,1.0,,
33,68991,11,8.12,7,FOR,18,lucas-sasha,True,Lucas Pacheco Affini,Lucas Sasha,6.04,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,L. Sasha,-0.99,4,356,1.5,,1.0,43.0,16.0,2.0,1.0,9.0,,,,,,,,,,,,,
34,68996,13,6.71,2,BAH,18,willian-jose,True,Willian José da Silva,Willian José,2.78,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,W. José,-0.15,5,265,1.3,1.0,2.0,,3.0,5.0,5.0,4.0,2.0,,,2.0,,,,,,,,,
35,69014,2,6.19,7,FLU,18,manoel,True,Manoel Messias Silva Carvalho,Manoel,3.55,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Manoel,1.09,3,266,5.8,,,,,,2.0,1.0,,,1.0,,,,,,,,,,
36,69051,0,4.0,6,BAH,18,danilo-fernandes,False,Danilo Fernandes Batista,Danilo Fernandes,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,D. Fernandes,0.0,1,265,0.0,,,,,,,,,,,,,,,,,,,,
37,69138,7,6.43,6,SPT,18,pablo,False,Pablo Felipe Teixeira,Pablo,3.27,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Pablo,0.0,5,292,0.0,,1.0,5.0,8.0,2.0,5.0,10.0,1.0,6.0,,,,,,,,,,,
