,atletas.apelido,atletas.entrou_em_campo,atletas.rodada_id,atletas.posicao_id,atletas.apelido_abreviado,atletas.atleta_id,atletas.clube_id,atletas.preco_num,atletas.media_num,atletas.foto,atletas.jogos_num,atletas.variacao_num,atletas.nome,atletas.pontos_num,atletas.status_id,atletas.slug,atletas.clube.id.full.name,CA,DS,FC,FF,FS,I,SG,A,FD,G,PS,DE,GS,FT,V,CV,DP,PP,PC,GC
20,Marcos Rocha,False,31,2,M. Rocha,63013,284,9.61,6.43,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,7,0.0,Marcos Luis Rocha Aquino,0.0,5,marcos-rocha,GRE,,21.0,4.0,,7.0,,2.0,,1.0,,,,,,,,,,,
21,Alan Ruschel,True,31,2,A. Ruschel,63110,286,5.57,2.25,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,16,0.86,Alan Luciano Ruschel,5.7,6,alan-ruschel,JUV,3.0,16.0,13.0,,24.0,3.0,2.0,,1.0,,,,,,,1.0,,,1.0,
22,Edenílson,True,31,4,Edenílson,63289,284,5.04,2.57,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,23,0.01,Edenílson Andrade dos Santos,1.7,7,edenilson,GRE,5.0,12.0,14.0,5.0,26.0,1.0,,1.0,3.0,3.0,1.0,,,,,,,,,
23,Alan Patrick,True,31,4,A. Patrick,68685,285,12.84,6.26,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,23,0.3,Alan Patrick Lourenço,2.7,7,alan-patrick,INT,5.0,17.0,20.0,8.0,32.0,4.0,,5.0,7.0,9.0,,,,2.0,,,,1.0,,
24,Eduardo,True,31,4,Eduardo,68708,283,3.74,1.39,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,24,0.57,Carlos Eduardo de Oliveira Alves,4.2,6,eduardo,CRU,1.0,15.0,19.0,4.0,12.0,1.0,,,2.0,1.0,1.0,,,,,1.0,,,,
25,Neto,False,31,1,Neto,68806,263,7.25,2.03,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,3,0.0,Norberto Murara Neto,0.0,5,neto,BOT,,,,,,,,,,,,7.0,3.0,,,,,,,
26,Oscar,False,31,4,Oscar,68811,276,11.39,1.67,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,6,0.0,Oscar dos Santos Emboaba Júnior,0.0,6,oscar,SAO,1.0,5.0,3.0,,4.0,,,,2.0,,,,,,,,,,,
27,Marcelo Lomba,False,31,1,M. Lomba,68872,275,7.63,3.2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,1,0.0,Marcelo Lomba do Nascimento,0.0,6,marcelo-lomba,PAL,,,,,,,,,,,,4.0,2.0,,,,,,,
28,Philippe Coutinho,True,31,4,P. Coutinho,68899,267,9.49,4.67,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,23,-0.03,Philippe Coutinho Correia,2.0,7,philippe-coutinho,VAS,1.0,9.0,15.0,19.0,34.0,1.0,,3.0,16.0,4.0,1.0,,,1.0,,1.0,,,,
29,Dudu,True,31,5,Dudu,68920,282,7.39,2.29,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,13,-0.86,Eduardo Pereira Rodrigues,0.0,7,dudu,CAM,,4.0,6.0,2.0,14.0,2.0,,1.0,1.0,1.0,,,,1.0,,,,,,
30,Rafael,True,31,1,Rafael,68928,276,11.38,5.39,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,28,1.06,Rafael Pires Monteiro,15.4,7,rafael,SAO,2.0,1.0,,,6.0,,10.0,,,,,99.0,30.0,,,,,,,
31,Marinho,False,31,5,Marinho,68952,356,6.63,3.02,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,16,0.0,Mário Sérgio Santos Costa,0.0,6,marinho,FOR,2.0,11.0,24.0,13.0,22.0,13.0,,2.0,5.0,1.0,,,,,,1.0,,,,
32,Lucas Sasha,True,31,4,L. Sasha,68991,356,8.69,5.72,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,22,-0.02,Lucas Pacheco Affini,4.7,7,lucas-sasha,FOR,2.0,76.0,42.0,4.0,18.0,1.0,,,6.0,1.0,,,,,,,,,1.0,
33,Willian José,True,31,5,W. José,68996,265,9.7,4.75,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,24,2.42,Willian José da Silva,17.4,7,willian-jose,BAH,3.0,1.0,9.0,8.0,12.0,2.0,,5.0,9.0,8.0,,,,2.0,,,,,,
34,Manoel,False,31,3,Manoel,69014,266,5.3,2.46,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,5,0.0,Manoel Messias Silva Carvalho,0.0,6,manoel,FLU,,,1.0,2.0,2.0,,2.0,,,,,,,,,,,,,
35,Danilo Fernandes,False,31,1,D. Fernandes,69051,265,3.55,-1.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,0,-0.45,Danilo Fernandes Batista,-1.0,6,danilo-fernandes,BAH,1.0,,,,,,,,,,,,,,,,,,,
36,Pablo,True,31,5,Pablo,69138,292,5.07,1.89,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,15,-0.24,Pablo Felipe Teixeira,0.0,6,pablo,SPT,1.0,6.0,10.0,7.0,16.0,6.0,,,2.0,1.0,,,,,,,,,,
37,Allan,False,31,4,Allan,69140,263,3.13,1.47,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,16,0.0,Allan Marques Loureiro,0.0,6,allan,BOT,6.0,20.0,23.0,1.0,9.0,,,,1.0,,,,,,,,,,,
38,Danilo,True,31,3,Danilo,69783,262,11.67,3.8,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,14,0.39,Danilo Luiz da Silva,5.9,7,danilo,FLA,1.0,8.0,14.0,2.0,5.0,,7.0,,2.0,1.0,,,,,,1.0,,,,
39,Lucas Moura,True,31,4,L. Moura,70164,276,7.13,4.04,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,8,1.0,Lucas Rodrigues Moura da Silva,7.6,7,lucas-moura,SAO,,6.0,4.0,4.0,8.0,1.0,,,2.0,2.0,,,,,,,,,1.0,
40,Bruno Uvini,False,31,3,B. Uvini,70221,287,4.0,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,0,0.0,Bruno Uvini Bortolança,0.0,6,bruno-uvini,VIT,,,,,,,,,,,,,,,,,,,,
41,Eduardo Sasha,True,31,5,E. Sasha,70360,280,8.18,4.06,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,27,0.21,Eduardo Colcenti Antunes,4.9,7,eduardo-sasha,RBB,5.0,9.0,8.0,14.0,29.0,3.0,,2.0,21.0,5.0,,,,2.0,,1.0,,,,
42,Gabriel,True,31,1,Gabriel,70449,292,6.72,4.78,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,18,0.62,Gabriel Vasconcelos Ferreira,6.4,7,gabriel,SPT,2.0,,,,2.0,,3.0,,,,,77.0,28.0,,,,,,,
43,Felipe Anderson,True,31,4,F. Anderson,70592,275,8.8,5.24,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,24,1.26,Felipe Anderson Pereira Gomes,10.3,7,felipe-anderson,PAL,,47.0,12.0,9.0,15.0,2.0,,2.0,6.0,3.0,,,,1.0,,,,,,
44,Marllon,True,31,3,Marllon,70666,354,6.99,3.48,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,21,0.12,Marllon Gonçalves Jerônimo Borges,3.7,3,marllon,CEA,3.0,14.0,13.0,4.0,10.0,,7.0,,,2.0,,,,,,,,,,
45,Jorge Sampaoli,True,31,6,J. Sampaoli,70800,282,10.05,4.81,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,8,-0.23,Jorge Sampaoli,5.48,7,jorge-sampaoli,CAM,,,,,,,,,,,,,,,2.0,,,,,
46,Diogo Barbosa,True,31,2,D. Barbosa,70916,356,7.41,3.95,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,13,-0.15,Diogo Barbosa Mendanha,0.8,6,diogo-barbosa,FOR,1.0,15.0,6.0,4.0,11.0,,3.0,,,1.0,,,,,,,,,,
47,Bruno Henrique,False,31,4,B. Henrique,70944,285,5.96,2.82,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,23,0.0,Bruno Henrique Corsini,0.0,6,bruno-henrique,INT,1.0,30.0,34.0,9.0,13.0,,,,3.0,2.0,1.0,,,,,1.0,,,,
48,Thiago Mendes,False,31,4,T. Mendes,71123,267,4.96,0.2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,3,0.0,Thiago Henrique Mendes Ribeiro,0.0,6,thiago-mendes,VAS,1.0,1.0,3.0,,2.0,,,,,,,,,,,,,,,
49,Vina,True,31,4,Vina,71162,354,5.53,2.19,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,10,0.55,Vinícius Goes Barbosa de Souza,5.8,7,vina,CEA,1.0,2.0,6.0,5.0,5.0,,,1.0,6.0,,,,,1.0,,,,,,
50,Luiz Gustavo,True,31,4,L. Gustavo,71536,276,9.22,4.04,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,5,0.65,Luiz Gustavo Dias,8.0,6,luiz-gustavo,SAO,,6.0,7.0,1.0,3.0,,,,,1.0,,,,1.0,,,,,,
51,Fernando Miguel,False,31,1,F. Miguel,71571,354,7.02,6.18,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,6,0.0,Fernando Miguel Kaufmann,0.0,6,fernando-miguel,CEA,,,,,6.0,,3.0,,,,,17.0,3.0,,,,,,,
52,Weverton,False,31,1,Weverton,71631,275,7.96,4.36,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,25,0.0,Weverton Pereira da Silva,0.0,5,weverton,PAL,2.0,,,,10.0,,9.0,,,,,57.0,20.0,,,,1.0,,,
53,Raúl Cáceres,False,31,2,R. Cáceres,71680,287,4.54,3.25,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,15,0.0,Raúl Alejandro Cáceres Bogado,0.0,6,raul-caceres,VIT,6.0,8.0,20.0,2.0,3.0,3.0,4.0,1.0,5.0,2.0,,,,,,,,,1.0,
54,Gustavo Gómez,False,31,3,G. Gómez,71684,275,9.35,5.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,22,0.0,Gustavo Raúl Gómez Portillo,0.0,7,gustavo-gomez,PAL,8.0,31.0,27.0,7.0,13.0,9.0,9.0,1.0,2.0,2.0,,,,,,,,,,
55,Santiago Arias,True,31,2,S. Arias,71701,265,5.9,2.87,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,15,0.24,Santiago Arias Naranjo,2.2,7,santiago-arias,BAH,3.0,15.0,8.0,3.0,14.0,1.0,3.0,,3.0,,,,,,,,,,2.0,
56,Cuéllar,True,31,4,Cuéllar,71709,284,5.63,2.85,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,11,-0.14,Gustavo Leonardo Cuellar Gallego,1.5,6,cuellar,GRE,1.0,20.0,12.0,,12.0,,,,,,,,,,,,,,,
57,Tiago Volpi,True,31,1,T. Volpi,72018,284,6.75,3.98,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,24,-0.41,Tiago Luis Volpi,0.6,7,tiago-volpi,GRE,2.0,,,,8.0,,4.0,,,1.0,,75.0,31.0,,,,,,1.0,
58,Thomazella,False,31,1,Thomazella,72279,2305,2.0,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,0,0.0,Carlos Eduardo Lecciolle Thomazella,0.0,6,thomazella,MIR,,,,,,,,,,,,,,,,,,,,
59,Everson,True,31,1,Everson,72294,282,10.49,4.75,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,27,0.25,Everson Felipe Marques Pires,13.1,7,everson,CAM,7.0,,,,7.0,,10.0,,,,,85.0,29.0,,,,,,,
60,Luiz Otávio,False,31,3,L. Otávio,72359,354,4.0,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,0,0.0,Luiz Otávio Anacleto Leandro,0.0,5,luiz-otavio,CEA,,,,,,,,,,,,,,,,,,,,
61,Fernando Diniz,True,31,6,F. Diniz,72391,267,9.76,5.82,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,21,-0.79,Fernando Diniz Silva,3.12,7,fernando-diniz,VAS,,,,,,,,,,,,,,,9.0,,,,,
62,Bernard,True,31,4,Bernard,72460,282,3.5,1.1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,21,-0.25,Bernard Anício Caldeira Duarte,1.0,7,bernard,CAM,2.0,14.0,13.0,5.0,6.0,1.0,,,1.0,,,,,,,,,,,
63,Alex Telles,True,31,2,A. Telles,72493,263,10.15,5.38,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,19,0.13,Alex Nicolao Telles,4.2,2,alex-telles,BOT,2.0,8.0,17.0,7.0,11.0,1.0,11.0,2.0,2.0,2.0,,,,1.0,,,,,,
64,Pedro Henrique,True,31,5,P. Henrique,72583,354,7.73,4.54,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,21,0.39,Pedro Henrique Konzen Medina da Silva,3.1,6,pedro-henrique,CEA,5.0,22.0,22.0,10.0,20.0,8.0,,2.0,8.0,4.0,,,,2.0,,,,,1.0,
65,Vitor Hugo,True,31,3,V. Hugo,72605,282,7.97,5.13,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,14,-0.4,Vitor Hugo Franchescoli de Souza,3.2,3,vitor-hugo,CAM,2.0,20.0,7.0,3.0,1.0,1.0,7.0,,,1.0,,,,1.0,,1.0,,,,
66,Wilker Ángel,True,31,3,W. Ángel,72801,286,2.8,1.42,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,15,-0.18,Wílker José Ángel Romero,-0.4,6,wilker-angel,JUV,5.0,5.0,24.0,3.0,4.0,2.0,2.0,,4.0,1.0,,,,,,,,,1.0,
67,Mercado,True,31,3,Mercado,72951,285,6.12,3.06,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,7,0.44,Gabriel Iván Mercado,4.2,3,mercado,INT,2.0,8.0,7.0,1.0,3.0,,2.0,,1.0,,,,,,,,,,,
68,Daniel Borges,True,31,2,D. Borges,73318,2305,6.28,4.8,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,14,0.27,Daniel Fortunato Borges,8.0,7,daniel-borges,MIR,2.0,8.0,13.0,4.0,9.0,,5.0,2.0,2.0,2.0,,,,,,,,,,
69,Samuel Xavier,False,31,2,S. Xavier,73384,266,10.69,5.32,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,20,0.0,Samuel Xavier Brito,0.0,7,samuel-xavier,FLU,3.0,16.0,23.0,4.0,22.0,,8.0,1.0,1.0,4.0,,,,,,,,,,
70,Gabriel,False,31,4,Gabriel,73515,2305,5.22,2.7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,19,0.0,Gabriel Santana Pinto,0.0,5,gabriel,MIR,2.0,4.0,6.0,6.0,18.0,6.0,,1.0,5.0,3.0,1.0,,,,,,,,,
71,Guilherme Marques,True,31,4,G. Marques,73781,2305,4.61,2.72,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,7,-1.2,Guilherme Costa Marques,0.9,7,guilherme-marques,MIR,1.0,6.0,7.0,2.0,7.0,,,,,1.0,,,,,,,,,,
72,Rincón,False,31,4,Rincón,74187,277,3.28,1.27,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,16,0.0,Tomás Eduardo Rincón Hernández,0.0,6,rincon,SAN,4.0,17.0,24.0,7.0,7.0,,,,,,,,,,,1.0,,,,
73,Carrillo,True,31,4,Carrillo,77485,264,5.43,2.65,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,17,-0.46,André Martín Carrillo Díaz,-1.6,7,carrillo,COR,2.0,20.0,24.0,5.0,13.0,2.0,,1.0,1.0,1.0,,,,,,,,,,
