,atletas.preco_num,atletas.foto,atletas.media_num,atletas.posicao_id,atletas.slug,atletas.atleta_id,atletas.clube_id,atletas.jogos_num,atletas.nome,atletas.entrou_em_campo,atletas.apelido,atletas.apelido_abreviado,atletas.clube.id.full.name,atletas.pontos_num,atletas.variacao_num,atletas.rodada_id,atletas.status_id,CA,DS,FC,FD,FF,FS,G,I,SG,A,PS,DE,GS,FT,CV,V,DP,PC,PP,GC
16,9.09,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,3.91,2,alex-sandro,61987,262,18,Alex Sandro Lobo Silva,False,Alex Sandro,A. Sandro,FLA,0.0,0.0,33,6,4.0,16.0,37.0,1.0,3.0,16.0,,1.0,10.0,,,,,,,,,,,
17,5.49,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,1.18,4,ganso,62977,266,14,Paulo Henrique Chagas de Lima,False,Ganso,Ganso,FLU,0.0,0.0,33,6,2.0,7.0,6.0,,2.0,16.0,,,,,,,,,,,,,,
18,13.67,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,4.88,4,neymar,63007,277,15,Neymar da Silva Santos Júnior,True,Neymar,Neymar,SAN,1.9,-1.11,33,7,5.0,3.0,16.0,12.0,10.0,55.0,3.0,3.0,,1.0,,,,1.0,1.0,,,,,
19,9.37,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,5.63,3,rafael-toloi,63008,276,3,Rafael Toloi,False,Rafael Tolói,R. Tolói,SAO,0.0,0.0,33,6,,8.0,2.0,,,1.0,,,1.0,,,,,,,,,,,
20,9.61,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,6.43,2,marcos-rocha,63013,284,7,Marcos Luis Rocha Aquino,False,Marcos Rocha,M. Rocha,GRE,0.0,0.0,33,5,,21.0,4.0,1.0,,7.0,,,2.0,,,,,,,,,,,
21,5.57,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,2.25,2,alan-ruschel,63110,286,16,Alan Luciano Ruschel,False,Alan Ruschel,A. Ruschel,JUV,0.0,0.0,33,6,3.0,16.0,13.0,1.0,,24.0,,3.0,2.0,,,,,,1.0,,,1.0,,
22,4.92,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,2.5,4,edenilson,63289,284,25,Edenílson Andrade dos Santos,True,Edenílson,Edenílson,GRE,1.2,-0.16,33,3,6.0,13.0,17.0,3.0,7.0,30.0,3.0,1.0,,1.0,1.0,,,,,,,,,
23,12.52,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,5.94,4,alan-patrick,68685,285,25,Alan Patrick Lourenço,True,Alan Patrick,A. Patrick,INT,2.0,-0.23,33,7,5.0,19.0,22.0,7.0,10.0,33.0,9.0,5.0,,5.0,,,,2.0,,,,,1.0,
24,3.08,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,1.28,4,eduardo,68708,283,26,Carlos Eduardo de Oliveira Alves,True,Eduardo,Eduardo,CRU,-0.4,-0.18,33,7,1.0,15.0,22.0,2.0,4.0,14.0,1.0,1.0,,,1.0,,,,1.0,,,,,
25,7.25,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,2.03,1,neto,68806,263,3,Norberto Murara Neto,False,Neto,Neto,BOT,0.0,0.0,33,5,,,,,,,,,,,,7.0,3.0,,,,,,,
26,11.39,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,1.67,4,oscar,68811,276,6,Oscar dos Santos Emboaba Júnior,False,Oscar,Oscar,SAO,0.0,0.0,33,6,1.0,5.0,3.0,2.0,,4.0,,,,,,,,,,,,,,
27,7.63,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,3.2,1,marcelo-lomba,68872,275,1,Marcelo Lomba do Nascimento,False,Marcelo Lomba,M. Lomba,PAL,0.0,0.0,33,6,,,,,,,,,,,,4.0,2.0,,,,,,,
28,9.59,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,4.44,4,philippe-coutinho,68899,267,25,Philippe Coutinho Correia,True,Philippe Coutinho,P. Coutinho,VAS,4.0,0.48,33,7,2.0,12.0,17.0,16.0,20.0,34.0,4.0,1.0,,3.0,1.0,,,1.0,1.0,,,,,
29,7.68,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,2.45,5,dudu,68920,282,15,Eduardo Pereira Rodrigues,True,Dudu,Dudu,CAM,2.8,-0.28,33,6,,6.0,6.0,1.0,6.0,16.0,1.0,3.0,,1.0,,,,1.0,,,,,,
