,atletas.preco_num,atletas.foto,atletas.media_num,atletas.posicao_id,atletas.slug,atletas.atleta_id,atletas.clube_id,atletas.jogos_num,atletas.nome,atletas.entrou_em_campo,atletas.apelido,atletas.apelido_abreviado,atletas.clube.id.full.name,atletas.pontos_num,atletas.variacao_num,atletas.rodada_id,atletas.status_id,CA,DS,FC,FD,FF,FS,G,I,SG,A,PS,DE,GS,FT,CV,V,DP,PC,PP,GC
180,9.07,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,5.13,4,lucho-acosta,89837,266,10,Luciano Federico Acosta,True,Lucho Acosta,L. Acosta,FLU,3.2,-0.9,33,7,3.0,12.0,13.0,5.0,3.0,16.0,2.0,2.0,,1.0,,,,1.0,,,,,,
181,5.78,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,-0.77,5,calleri,89840,276,3,Jonathan Calleri,False,Calleri,Calleri,SAO,0.0,0.0,33,6,,1.0,2.0,1.0,2.0,2.0,,,,,,,,,1.0,,,,1.0,
182,5.78,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,2.19,4,cristaldo,89846,284,24,Franco Cristaldo,True,Cristaldo,Cristaldo,GRE,1.0,-0.06,33,7,1.0,14.0,5.0,4.0,8.0,26.0,,1.0,,2.0,,,,,,,,,,
183,3.76,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,1.67,4,dodi,89883,284,26,Douglas Moreira Fagundes,True,Dodi,Dodi,GRE,0.0,-0.05,33,7,7.0,31.0,34.0,,3.0,34.0,,,,,,,,,1.0,,,2.0,,
184,8.42,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,5.14,2,bruno-pacheco,90061,356,12,Bruno de Jesus Pacheco,True,Bruno Pacheco,B. Pacheco,FOR,1.2,-0.8,33,7,3.0,17.0,10.0,,1.0,21.0,1.0,1.0,3.0,1.0,,,,1.0,,,,,,
185,7.56,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,3.16,5,bruno-henrique,90285,262,27,Bruno Henrique Pinto,True,Bruno Henrique,B. Henrique,FLA,13.3,-0.22,33,7,6.0,16.0,42.0,11.0,14.0,31.0,5.0,11.0,,,1.0,,,,,,,,,
186,4.29,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,1.54,5,juninho,90307,262,13,Olávio Vieira dos Santos Júnior,False,Juninho,Juninho,FLA,0.0,0.0,33,6,,5.0,7.0,3.0,4.0,4.0,,2.0,,,,,,2.0,,,,,,
187,5.09,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,2.28,5,david,90309,267,18,David Correa da Fonseca,False,David,David,VAS,0.0,0.0,33,6,2.0,6.0,10.0,2.0,3.0,3.0,2.0,2.0,,3.0,,,,,,,,,,
188,5.59,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,2.67,4,matheus-pereira,90370,356,14,Matheus Pereira da Silva,True,Matheus Pereira,M. Pereira,FOR,6.6,0.96,33,6,3.0,11.0,17.0,3.0,3.0,6.0,1.0,,,3.0,,,,,1.0,,,,,
189,2.76,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,1.33,4,rezende,90449,265,10,Júlio César de Rezende Miranda,False,Rezende,Rezende,BAH,0.0,0.0,33,6,,8.0,9.0,,,8.0,,,,,,,,,,,,,,
190,8.76,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,3.94,4,arthur-melo,90532,284,10,Arthur Henrique Ramos de Oliveira Melo,True,Arthur Melo,A. Melo,GRE,4.9,-0.11,33,7,1.0,18.0,14.0,3.0,2.0,31.0,,1.0,,,,,,,1.0,,,,,
191,4.47,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,2.27,4,caique,90588,286,22,Caique de Jesus Gonçalves,True,Caíque,Caíque,JUV,4.0,0.18,33,2,8.0,37.0,44.0,,1.0,32.0,,,,,,,,,,,,1.0,,
192,6.9,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,3.39,5,chico-da-costa,90608,2305,16,Francisco da Costa Aragão,True,Chico da Costa,C. Costa,MIR,0.5,-0.16,33,6,2.0,2.0,10.0,1.0,7.0,14.0,5.0,7.0,,,,,,1.0,,,,,,
193,9.07,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,3.91,4,matheuzinho,90703,287,24,Matheus Martins Fogaça de Paulo,True,Matheuzinho,Matheuzinho,VIT,2.0,-0.9,33,6,4.0,21.0,15.0,13.0,4.0,53.0,3.0,2.0,,1.0,,,,,1.0,,,,,
194,10.01,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,5.22,3,fabricio-bruno,90768,283,29,Fabrício Bruno Soares de Faria,True,Fabrício Bruno,F. Bruno,CRU,13.4,0.04,33,6,7.0,34.0,22.0,3.0,7.0,18.0,3.0,,15.0,,,,,,1.0,,,,,
195,4.21,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,2.75,5,carlos-eduardo,90917,2305,19,Carlos Eduardo Ferreira de Souza,True,Carlos Eduardo,C. Eduardo,MIR,0.0,-0.09,33,6,2.0,10.0,11.0,5.0,4.0,19.0,1.0,2.0,,3.0,1.0,,,,,,,,,
196,4.2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,2.3,3,ze-marcos,90943,287,25,José Marcos Alves Luis,True,Zé Marcos,Z. Marcos,VIT,5.6,0.9,33,6,6.0,12.0,24.0,,1.0,18.0,1.0,2.0,7.0,,,,,,,,,,,
197,6.95,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,4.86,1,ronaldo,91101,265,21,Ronaldo de Oliveira Strada,True,Ronaldo,Ronaldo,BAH,3.2,0.15,33,7,1.0,,,,,5.0,,,6.0,1.0,,62.0,28.0,,,,2.0,1.0,,
198,5.75,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,3.34,5,fernandinho,91130,354,15,Fernando José Marques Maciel,True,Fernandinho,Fernandinho,CEA,2.9,0.31,33,6,2.0,20.0,14.0,4.0,6.0,18.0,,3.0,,1.0,,,,1.0,,,,,,
199,8.62,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,4.88,3,kaio,91158,263,9,Kaio Fernando da Silva Pantaleão,False,Kaio,Kaio,BOT,0.0,0.0,33,5,,10.0,8.0,2.0,5.0,10.0,,1.0,4.0,,,,,,,,,,,
200,2.82,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,0.8,3,eder,91203,354,2,Éder Ferreira Graminho,False,Éder,Éder,CEA,0.0,0.0,33,6,,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,
201,5.59,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,2.01,4,erick-pulgar,91473,262,13,Erick Antonio Pulgar Farfán,True,Erick Pulgar,E. Pulgar,FLA,-0.6,-0.35,33,7,4.0,14.0,19.0,2.0,,9.0,1.0,,,,,,,,,,,,,
202,4.26,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,2.88,3,rodrigo-sam,91509,286,12,Rodrigo Eduardo da Silva,True,Rodrigo Sam,R. Sam,JUV,0.2,-0.61,33,3,5.0,16.0,21.0,2.0,3.0,13.0,,4.0,2.0,,1.0,,,,,,,,,
203,8.74,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,5.41,3,arboleda,91573,276,22,Robert Abel Arboleda Escobar,True,Arboleda,Arboleda,SAO,1.5,-0.37,33,7,4.0,37.0,18.0,,8.0,13.0,3.0,3.0,7.0,,1.0,,,,,,,,,
204,11.7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,4.51,5,rony,91607,282,28,Ronielson da Silva Barbosa,True,Rony,Rony,CAM,17.3,1.78,33,6,4.0,21.0,39.0,18.0,15.0,49.0,5.0,17.0,,2.0,1.0,,,1.0,,,,,,
205,3.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,0.0,4,dudu-vieira,91627,286,0,Carlos Eduardo de Souza Vieira,False,Dudu Vieira,D. Vieira,JUV,0.0,0.0,33,6,,,,,,,,,,,,,,,,,,,,
206,7.67,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,4.51,2,igor-carius,91639,292,22,Igor Aquino da Silva,False,Igor Cariús,I. Cariús,SPT,0.0,0.0,33,6,2.0,38.0,25.0,6.0,5.0,24.0,1.0,5.0,5.0,,,,,,,,,1.0,,1.0
207,9.2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,5.24,2,marlon,91706,284,25,Marlon Rodrigues Xavier,True,Marlon,Marlon,GRE,13.5,1.67,33,7,5.0,53.0,21.0,5.0,6.0,30.0,1.0,1.0,4.0,2.0,,,,,,,,1.0,,
208,5.71,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,3.35,3,david-duarte,91772,265,24,David de Duarte Macedo,True,David Duarte,D. Duarte,BAH,5.1,0.61,33,7,4.0,10.0,20.0,3.0,9.0,8.0,1.0,2.0,9.0,1.0,,,,1.0,,,,,,
209,6.53,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,3.52,1,caique-franca,91808,292,12,Caíque França Godoy,False,Caíque França,C. França,SPT,0.0,0.0,33,6,2.0,2.0,,,,1.0,,,2.0,,,39.0,20.0,,,,,,,
210,5.98,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,3.53,3,ze-ivaldo,91866,277,16,José Ivaldo Almeida Silva,True,Zé Ivaldo,Z. Ivaldo,SAN,-0.8,-0.66,33,6,5.0,21.0,15.0,,11.0,14.0,1.0,3.0,3.0,,,,,,1.0,,,1.0,,
211,4.69,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,2.35,5,pavon,91908,284,21,Cristian David Pavón,False,Pavón,Pavón,GRE,0.0,0.0,33,6,6.0,18.0,10.0,7.0,10.0,11.0,,2.0,,2.0,,,,,,,,,,
212,9.24,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,5.11,6,ramon-diaz,92075,285,13,Ramón Ángel Díaz,True,Ramón Díaz,R. Díaz,INT,5.37,0.43,33,7,,,,,,,,,,,,,,,,3.0,,,,
213,3.89,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,1.9,5,giovanny,92085,286,15,Giovanny Bariani Marques,True,Giovanny,Giovanny,JUV,4.9,0.66,33,6,2.0,3.0,7.0,2.0,8.0,13.0,,2.0,,2.0,,,,1.0,,,,,,
214,8.87,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,5.08,3,lyanco,92087,282,15,Lyanco Evangelista Silveira Neves Vojnovic,False,Lyanco,Lyanco,CAM,0.0,0.0,33,6,5.0,32.0,25.0,3.0,6.0,19.0,,2.0,6.0,,,,,,2.0,,,1.0,,
215,10.79,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,4.19,5,arthur-cabral,92171,263,16,Arthur Mendonça Cabral,True,Arthur Cabral,A. Cabral,BOT,2.8,0.06,33,6,,8.0,25.0,8.0,11.0,23.0,3.0,4.0,,1.0,1.0,,,1.0,,,,,,
216,9.72,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,5.25,6,jair-ventura,92180,287,9,Jair Ventura,True,Jair Ventura,J. Ventura,VIT,4.63,-0.5,33,6,,,,,,,,,,,,,,,,4.0,,,,
217,4.9,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,3.02,3,juninho,92182,285,17,José Carlos Ferreira Júnior,False,Juninho,Juninho,INT,0.0,0.0,33,7,5.0,21.0,13.0,3.0,6.0,11.0,,,3.0,,,,,,,,,,,
218,4.75,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,0.6,3,rodrigo-ely,92237,284,2,Rodrigo Ely,False,Rodrigo Ely,R. Ely,GRE,0.0,0.0,33,5,,1.0,1.0,,,,,,,,,,,,,,,,,
219,6.6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,3.75,3,andre-ramalho,92440,264,20,André Ramalho Silva,True,André Ramalho,A. Ramalho,COR,5.3,0.12,33,6,4.0,24.0,19.0,2.0,9.0,10.0,,,7.0,,,,,,,,,1.0,,
220,8.58,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,4.21,5,renato-kayzer,92696,287,25,Renato Kayzer de Souza,True,Renato Kayzer,R. Kayzer,VIT,1.6,-0.1,33,6,3.0,9.0,35.0,6.0,13.0,44.0,8.0,16.0,,,,,,1.0,,,,,,
221,5.27,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,2.69,5,deyverson,92708,356,19,Deyverson Brum Silva,True,Deyverson,Deyverson,FOR,0.0,-0.05,33,6,2.0,6.0,13.0,4.0,13.0,22.0,2.0,3.0,,,,,,2.0,,,,,,
222,4.41,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,1.74,5,bruno-rodrigues,92811,275,5,Bruno Rafael Rodrigues do Nascimento,True,Bruno Rodrigues,B. Rodrigues,PAL,-0.3,-1.46,33,6,,,3.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,
223,10.5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,3.8,5,borre,92854,285,24,Rafael Santos Borré Maury,True,Borré,Borré,INT,8.1,1.02,33,7,3.0,20.0,33.0,7.0,18.0,15.0,5.0,9.0,,1.0,,,,1.0,1.0,,,,,
224,3.64,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,1.78,4,ronaldo,92981,285,15,Ronaldo da Silva Souza Guerrero,False,Ronaldo,Ronaldo,INT,0.0,0.0,33,5,4.0,23.0,21.0,2.0,2.0,3.0,,2.0,,,,,,,1.0,,,,,
225,6.01,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,3.78,2,rafael-ramos,93236,354,17,Rafael António Figueiredo Ramos,True,Rafael Ramos,R. Ramos,CEA,7.9,1.03,33,3,3.0,24.0,20.0,1.0,5.0,4.0,,,6.0,,,,,,,,,,,
226,7.74,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,4.42,3,joao-basso,93372,277,6,João Othávio Basso,False,João Basso,J. Basso,SAN,0.0,0.0,33,6,2.0,7.0,10.0,,,6.0,1.0,,2.0,,,,,,,,,,,
227,7.31,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,5.1,5,cantalapiedra,93411,287,14,Aitor Cantalapiedra Fernández,True,Cantalapiedra,Cantalapiedra,VIT,3.0,-0.24,33,6,1.0,12.0,4.0,7.0,5.0,13.0,2.0,3.0,,3.0,,,,2.0,,,,,,
228,4.66,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,1.91,5,wanderson,93478,283,27,Wanderson Maciel Sousa Campos,False,Wanderson,Wanderson,CRU,0.0,0.0,33,6,2.0,11.0,26.0,10.0,16.0,15.0,,6.0,,2.0,,,,1.0,,,,,,
229,11.96,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,7.68,2,paulo-henrique,93716,267,23,Paulo Henrique de Oliveira Alves,True,Paulo Henrique,P. Henrique,VAS,-2.2,-0.32,33,3,8.0,70.0,45.0,7.0,5.0,22.0,1.0,1.0,6.0,6.0,,,,2.0,1.0,,,1.0,,
230,5.14,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,2.0,4,marlon-freitas,93790,263,27,Marlon Rodrigues Freitas,True,Marlon Freitas,M. Freitas,BOT,2.7,0.35,33,6,7.0,24.0,28.0,5.0,11.0,8.0,,,,3.0,,,,,,,,,,
231,3.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,0.0,1,keiller,93834,354,0,Keiller da Silva Nunes,False,Keiller,Keiller,CEA,0.0,0.0,33,6,,,,,,,,,,,,,,,,,,,,
232,8.32,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,4.17,1,cleiton,93882,280,29,Cleiton Schwengber,True,Cleiton,Cleiton,RBB,10.2,1.13,33,6,5.0,,,,,9.0,,,7.0,,,98.0,41.0,,,,,,,
233,7.01,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,3.92,4,matheusinho,93886,292,18,Matheus Leonardo Sales Cardoso,True,Matheusinho,Matheusinho,SPT,1.7,-0.12,33,6,1.0,17.0,14.0,4.0,8.0,22.0,2.0,2.0,,3.0,,,,,1.0,,,,,
234,7.67,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,4.59,5,breno-lopes,93988,356,24,Breno Henrique Vasconcelos Lopes,True,Breno Lopes,B. Lopes,FOR,5.3,-0.24,33,7,4.0,12.0,11.0,11.0,18.0,41.0,5.0,16.0,,2.0,,,,1.0,,,,,,
235,5.49,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,2.35,4,matheus-fernandes,94067,280,16,Matheus Fernandes Siqueira,False,Matheus Fernandes,M. Fernandes,RBB,0.0,0.0,33,6,3.0,21.0,18.0,1.0,4.0,4.0,1.0,,,,,,,,,,,,,
236,4.38,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,2.35,4,maycon,94154,264,23,Maycon de Andrade Barberan,True,Maycon,Maycon,COR,3.8,0.51,33,6,3.0,20.0,14.0,,6.0,5.0,3.0,,,,,,,,,,,,,
237,9.24,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,5.58,5,guilherme,94207,277,26,Guilherme Augusto Vieira dos Santos,True,Guilherme,Guilherme,SAN,2.5,0.06,33,7,,34.0,13.0,13.0,24.0,44.0,4.0,12.0,,2.0,,,,,,,,,,
238,3.63,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,1.8,5,matheus-babi,94444,286,15,Matheus Barcelos da Silva,False,Matheus Babi,M. Babi,JUV,0.0,0.0,33,6,4.0,7.0,14.0,,4.0,12.0,2.0,4.0,,,,,,,,,,,,
239,9.88,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,2.78,4,raphael-veiga,94509,275,20,Raphael Cavalcante Veiga,True,Raphael Veiga,R. Veiga,PAL,0.5,-1.2,33,6,1.0,12.0,18.0,5.0,7.0,27.0,1.0,,,2.0,1.0,,,,,,,,,
240,4.15,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,1.85,3,lucas-oliveira,94514,267,6,Lucas da Cruz Oliveira,False,Lucas Oliveira,L. Oliveira,VAS,0.0,0.0,33,7,1.0,2.0,3.0,,,,,,2.0,,,,,,,,,,,
241,17.97,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,7.74,5,pedro,94583,262,21,Pedro Guilherme Abreu dos Santos,False,Pedro,Pedro,FLA,0.0,0.0,33,5,3.0,10.0,14.0,14.0,4.0,16.0,12.0,2.0,,6.0,2.0,,,1.0,,,,,1.0,
242,4.58,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,2.04,4,lucas-fernandes,94931,286,5,Lucas Fernandes da Silva,False,Lucas Fernandes,L. Fernandes,JUV,0.0,0.0,33,6,,5.0,5.0,1.0,2.0,3.0,,1.0,,,,,,,,,,,,
243,10.38,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,6.45,2,juninho-capixaba,94968,280,19,Luis Antônio da Rocha Júnior,False,Juninho Capixaba,J. Capixaba,RBB,0.0,0.0,33,6,3.0,39.0,27.0,5.0,10.0,37.0,1.0,2.0,7.0,,,,,,,,,,,
244,3.56,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,1.73,3,gabriel-bahia,95106,263,3,Gabriel Henrique Feitosa da Silva,False,Gabriel Bahia,G. Bahia,BOT,0.0,0.0,33,6,,3.0,2.0,,1.0,1.0,,,,,,,,,,,,,,
245,5.96,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,3.44,2,nicolas,95127,354,12,Nicolas Vecchiato da Silva - Vichiatto / Vechiatto,True,Nicolas,Nicolas,CEA,5.0,0.55,33,6,1.0,12.0,9.0,1.0,3.0,7.0,,,4.0,,,,,,,,,,,
246,8.36,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,4.05,5,gabriel-taliari,95131,286,27,Gabriel Pereira Taliari,True,Gabriel Taliari,G. Taliari,JUV,6.0,-0.71,33,7,7.0,21.0,48.0,8.0,15.0,50.0,4.0,5.0,,3.0,,,,2.0,,,,,,
247,1.83,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,0.3,4,giraldo,95354,286,13,Daniel Eduardo Giraldo Cárdenas,False,Giraldo,Giraldo,JUV,0.0,0.0,33,6,3.0,6.0,17.0,,2.0,3.0,,1.0,,,,,,,,,,,,
248,5.21,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,2.76,4,rivera,95357,292,27,Christian Hernando Rivera Cuéllar,True,Rivera,Rivera,SPT,5.4,0.62,33,6,6.0,56.0,64.0,,1.0,30.0,,3.0,,,,,,,,,,,,
249,6.31,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,3.38,2,igor-vinicius,95466,277,18,Igor Vinícius de Souza,True,Igor Vinícius,I. Vinícius,SAN,0.9,-0.55,33,6,5.0,33.0,23.0,3.0,3.0,14.0,,,2.0,,,,,,,,,,,
250,6.09,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,4.14,4,raniele,95556,264,26,Raniele Almeida Melo,False,Raniele,Raniele,COR,0.0,0.0,33,2,6.0,52.0,33.0,4.0,6.0,46.0,1.0,,,1.0,,,,,,,,,,
251,5.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,0.0,3,marcelo-benevenuto,95638,356,0,Marcelo da Conceição Benevenuto Malaquias,False,Marcelo Benevenuto,M. Benevenuto,FOR,0.0,0.0,33,5,,,,,,,,,,,,,,,,,,,,
252,2.34,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,0.15,4,lucas-kal,95662,292,7,Lucas Kal Schenfeld Prigioli,True,Lucas Kal,L. Kal,SPT,-0.6,-0.42,33,6,,2.0,8.0,,,1.0,,,,,,,,,,,,,,
253,9.26,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,4.03,5,artur,95799,263,21,Artur Victor Guimarães,False,Artur,Artur,BOT,0.0,0.0,33,6,3.0,10.0,13.0,6.0,14.0,22.0,3.0,1.0,,4.0,,,,1.0,,,,,,
254,2.04,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,-0.7,1,daniel-fuzato,95936,267,2,Daniel Cerântula Fuzato,False,Daniel Fuzato,D. Fuzato,VAS,0.0,0.0,33,6,,,,,,,,,,,,2.0,4.0,,,,,,,
