,atletas.posicao_id,atletas.jogos_num,atletas.pontos_num,atletas.variacao_num,atletas.atleta_id,atletas.media_num,atletas.preco_num,atletas.rodada_id,atletas.apelido_abreviado,atletas.nome,atletas.slug,atletas.foto,atletas.entrou_em_campo,atletas.apelido,atletas.minimo_para_valorizar,atletas.clube.id.full.name,atletas.clube_id,atletas.status_id,A,DS,FC,FD,FF,FS,G,I,CA,DE,GS,V,DP,SG,FT,PS,PC,CV,PP,GC
11,1,6,11.5,1.19,42234,6.48,10.68,6,Cássio,Cássio Roberto Ramos,cassio,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,True,Cássio,,CRU,283,7,,,,,,,,,2.0,23.0,6.0,,1.0,2.0,,,,,,
12,6,6,5.53,-0.24,42411,5.34,9.7,6,Cuca,Alexi Stival,cuca,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,True,Cuca,,CAM,282,7,,,,,,,,,,,,1.0,,,,,,,,
13,2,3,7.0,0.53,42500,5.9,8.04,6,Fagner,Fagner Conserva Lemos,fagner,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,True,Fagner,,CRU,283,7,,6.0,4.0,,,2.0,,1.0,1.0,,,,,2.0,,,,,,
14,3,0,0.0,0.0,50317,0.0,5.0,6,D. Braz,David Braz de Oliveira Filho,david-braz,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,False,David Braz,,MIR,2305,6,,,,,,,,,,,,,,,,,,,,
15,3,3,2.9,0.4,50353,4.6,6.28,6,Titi,Christian Chagas Tarouco,titi,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,True,Titi,,FOR,356,3,,5.0,4.0,,,1.0,,,,,,,,2.0,,,,1.0,,
16,1,0,0.0,0.0,51413,0.0,6.0,6,Walter,Walter Leandro Capeloza Artune,walter,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,False,Walter,,MIR,2305,6,,,,,,,,,,,,,,,,,,,,
17,4,5,4.2,-0.83,51772,3.44,8.03,6,E. Ribeiro,Everton Augusto de Barros Ribeiro,everton-ribeiro,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,True,Everton Ribeiro,,BAH,265,7,,7.0,5.0,1.0,,6.0,1.0,,1.0,,,,,,,,,1.0,,
18,4,4,0.0,0.0,52271,3.63,7.76,6,Fernando,Fernando Francisco Reges,fernando,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,False,Fernando,,INT,285,7,,7.0,2.0,3.0,,2.0,,,,,,,,,,,,,,
19,3,5,0.0,0.0,52827,3.34,7.23,6,D. Luiz,David Luiz Moreira Marinho,david-luiz,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,False,David Luiz,,FOR,356,6,,4.0,4.0,,3.0,1.0,,,1.0,,,,,2.0,,,,,,
20,5,0,0.0,0.0,53865,0.0,4.0,6,L. Gamalho,Leonardo Gamalho de Souza,leo-gamalho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,False,Léo Gamalho,,MIR,2305,6,,,,,,,,,,,,,,,,,,,,
21,5,4,0.0,-0.52,60793,1.03,3.13,6,A. Teixeira,Alex Teixeira Santos,alex-teixeira,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,True,Alex Teixeira,,VAS,267,6,,3.0,2.0,1.0,,,,,1.0,,,,,,,,,,,
22,3,0,0.0,0.0,60803,0.0,4.0,6,Souza,Josef de Souza Dias,souza,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,False,Souza,,VAS,267,6,,,,,,,,,,,,,,,,,,,,
23,5,3,6.1,1.04,61188,1.57,5.27,6,Gilberto,Gilberto Oliveira Souza Júnior,gilberto,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,True,Gilberto,,JUV,286,7,1.0,,4.0,,,4.0,,1.0,1.0,,,,,,,,,,,
24,2,4,0.0,0.0,61987,4.92,11.31,6,A. Sandro,Alex Sandro Lobo Silva,alex-sandro,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,False,Alex Sandro,,FLA,262,2,,7.0,12.0,,1.0,4.0,,,,,,,,2.0,,,,,,
25,4,4,2.0,-0.66,62977,1.0,7.79,6,Ganso,Paulo Henrique Chagas de Lima,ganso,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,True,Ganso,,FLU,266,7,,1.0,1.0,,1.0,6.0,,,1.0,,,,,,,,,,,
26,4,2,0.0,0.0,63007,1.55,19.72,6,Neymar,Neymar da Silva Santos Júnior,neymar,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,False,Neymar,,SAN,277,5,,,2.0,1.0,,7.0,,,1.0,,,,,,,,,,,
27,2,0,0.0,0.0,63013,0.0,7.0,6,M. Rocha,Marcos Luis Rocha Aquino,marcos-rocha,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,False,Marcos Rocha,,PAL,275,6,,,,,,,,,,,,,,,,,,,,
28,2,3,5.0,0.56,63110,5.37,7.14,6,A. Ruschel,Alan Luciano Ruschel,alan-ruschel,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,True,Alan Ruschel,,JUV,286,7,,6.0,1.0,,,5.0,,1.0,,,,,,1.0,,,,,,
29,4,6,2.2,0.14,63289,1.63,4.98,6,Edenílson,Edenílson Andrade dos Santos,edenilson,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,True,Edenílson,,GRE,284,7,,1.0,5.0,,1.0,6.0,1.0,,2.0,,,,,,,,,,,
30,4,5,17.7,1.71,68685,8.32,16.52,6,A. Patrick,Alan Patrick Lourenço,alan-patrick,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,True,Alan Patrick,,INT,285,7,3.0,5.0,3.0,2.0,2.0,4.0,2.0,,2.0,,,,,,,,,,,
31,4,5,0.0,-0.74,68708,0.28,3.55,6,Eduardo,Carlos Eduardo de Oliveira Alves,eduardo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,True,Eduardo,,CRU,283,6,,,1.0,1.0,,1.0,,,,,,,,,,,,,,
32,4,0,0.0,0.0,68811,0.0,20.0,6,Oscar,Oscar dos Santos Emboaba Júnior,oscar,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,False,Oscar,,SAO,276,5,,,,,,,,,,,,,,,,,,,,
33,1,0,0.0,0.0,68872,0.0,7.0,6,M. Lomba,Marcelo Lomba do Nascimento,marcelo-lomba,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,False,Marcelo Lomba,,PAL,275,6,,,,,,,,,,,,,,,,,,,,
34,4,4,4.0,-0.43,68899,3.87,11.36,6,P. Coutinho,Philippe Coutinho Correia,philippe-coutinho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,True,Philippe Coutinho,,VAS,267,7,1.0,,3.0,3.0,6.0,6.0,,,,,,,,,,,,,,
35,5,5,0.0,0.0,68920,3.26,9.15,6,Dudu,Eduardo Pereira Rodrigues,dudu,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,False,Dudu,,CRU,283,6,,4.0,4.0,,,7.0,1.0,,,,,,,,,,,,,
36,3,6,2.0,-0.42,68923,2.25,5.06,6,Gil,Carlos Gilberto do Nascimento Silva,gil,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,True,Gil,,SAN,277,7,,7.0,7.0,,2.0,1.0,,,2.0,,,,,1.0,,,,,,
37,1,6,0.8,-0.5,68928,4.9,10.17,6,Rafael,Rafael Pires Monteiro,rafael,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,True,Rafael,,SAO,276,6,,,,,,4.0,,,1.0,18.0,5.0,,,2.0,,,,,,
38,5,3,0.0,0.0,68952,2.27,6.85,6,Marinho,Mário Sérgio Santos Costa,marinho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,False,Marinho,,FOR,356,5,1.0,,5.0,,1.0,6.0,,5.0,,,,,,,,,,,,
39,4,5,2.0,-0.86,68991,6.24,7.29,6,L. Sasha,Lucas Pacheco Affini,lucas-sasha,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,True,Lucas Sasha,,FOR,356,6,,20.0,10.0,1.0,,6.0,,,,,,,,,,,,,,
40,5,4,2.9,-0.1,68996,1.48,7.69,6,W. José,Willian José da Silva,willian-jose,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,True,Willian José,,BAH,265,6,,,2.0,1.0,1.0,3.0,,,,,,,,,1.0,,,,,
41,3,0,0.0,0.0,69014,0.0,5.0,6,Manoel,Manoel Messias Silva Carvalho,manoel,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,False,Manoel,,FLU,266,6,,,,,,,,,,,,,,,,,,,,
42,1,0,0.0,0.0,69051,0.0,4.0,6,D. Fernandes,Danilo Fernandes Batista,danilo-fernandes,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,False,Danilo Fernandes,,BAH,265,6,,,,,,,,,,,,,,,,,,,,
43,5,3,0.0,0.0,69138,1.2,5.98,6,Pablo,Pablo Felipe Teixeira,pablo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,False,Pablo,,SPT,292,5,,1.0,3.0,,1.0,7.0,,3.0,1.0,,,,,,,,,,,
44,4,1,0.0,-0.51,69140,0.0,4.49,6,Allan,Allan Marques Loureiro,allan,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,True,Allan,,BOT,263,6,,,,,,,,,,,,,,,,,,,,
45,3,1,0.0,0.0,69783,17.1,17.63,6,Danilo,Danilo Luiz da Silva,danilo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,False,Danilo,,FLA,262,6,,3.0,3.0,,,1.0,1.0,,,,,,,1.0,,,,,,
46,4,0,0.0,0.0,70164,0.0,5.0,6,L. Moura,Lucas Rodrigues Moura da Silva,lucas-moura,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,False,Lucas Moura,,SAO,276,6,,,,,,,,,,,,,,,,,,,,
47,1,4,3.7,0.21,70216,2.37,4.25,6,Gustavo,Luiz Gustavo de Almeida Pinto,gustavo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,True,Gustavo,,JUV,286,7,,1.0,,,,,,,,10.0,12.0,,1.0,,,,,,,
48,3,0,0.0,0.0,70221,0.0,4.0,6,B. Uvini,Bruno Uvini Bortolança,bruno-uvini,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,False,Bruno Uvini,,VIT,287,6,,,,,,,,,,,,,,,,,,,,
49,5,6,12.2,0.85,70360,6.88,10.53,6,E. Sasha,Eduardo Colcenti Antunes,eduardo-sasha,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,True,Eduardo Sasha,,RBB,280,7,1.0,2.0,2.0,7.0,5.0,7.0,2.0,,1.0,,,,,,1.0,,,,,
50,1,1,0.0,0.0,70449,1.1,3.66,6,Gabriel,Gabriel Vasconcelos Ferreira,gabriel,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,False,Gabriel,,VIT,287,6,,,,,,1.0,,,,2.0,2.0,,,,,,,,,
51,4,6,-0.1,-1.03,70592,2.48,5.97,6,F. Anderson,Felipe Anderson Pereira Gomes,felipe-anderson,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,True,Felipe Anderson,,PAL,275,6,,8.0,6.0,,1.0,2.0,,1.0,,,,,,,1.0,,,,,
52,3,5,2.5,0.03,70666,3.82,6.68,6,Marllon,Marllon Gonçalves Jerônimo Borges,marllon,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,True,Marllon,,CEA,354,7,,4.0,3.0,,,2.0,1.0,,,,,,,1.0,,,,,,
53,5,6,2.2,-0.1,70788,3.13,7.02,6,E. Valencia,Enner Remberto Valencia Lastra,enner-valencia,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,True,Enner Valencia,,INT,285,7,,1.0,10.0,3.0,3.0,7.0,1.0,2.0,,,,,,,1.0,,,,,
54,2,4,5.0,0.52,70916,6.0,9.03,6,D. Barbosa,Diogo Barbosa Mendanha,diogo-barbosa,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,True,Diogo Barbosa,,FOR,356,6,,2.0,1.0,,1.0,5.0,1.0,,,,,,,2.0,,,,,,
55,4,5,1.2,-0.55,70944,2.96,6.69,6,B. Henrique,Bruno Henrique Corsini,bruno-henrique,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,True,Bruno Henrique,,INT,285,7,,6.0,9.0,,,1.0,1.0,,,,,,,,,,,,,
56,4,4,1.5,-0.58,70958,1.65,4.82,6,J. Carlos,Jean Carlos Vicente,jean-carlos,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,True,Jean Carlos,,JUV,286,6,,3.0,2.0,1.0,2.0,,,1.0,,,,,,,,,,,,
57,4,3,0.0,0.0,70984,5.23,8.7,6,Payet,Florent Dimitri Payet,payet,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,False,Payet,,VAS,267,6,2.0,2.0,2.0,,1.0,5.0,,,,,,,,,,,,,,
58,4,1,0.0,0.0,71536,9.6,10.73,6,L. Gustavo,Luiz Gustavo Dias,luiz-gustavo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,False,Luiz Gustavo,,SAO,276,6,,4.0,4.0,,1.0,2.0,,,,,,,,,1.0,,,,,
59,1,2,2.9,0.3,71571,3.15,4.29,6,F. Miguel,Fernando Miguel Kaufmann,fernando-miguel,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,True,Fernando Miguel,,CEA,354,7,,,,,,1.0,,,,6.0,2.0,,,,,,,,,
60,1,6,2.9,-0.92,71631,6.88,9.08,6,Weverton,Weverton Pereira da Silva,weverton,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,True,Weverton,,PAL,275,7,,,,,,5.0,,,1.0,16.0,3.0,,1.0,3.0,,,,,,
61,2,1,0.0,0.0,71680,-1.9,1.89,6,R. Cáceres,Raúl Alejandro Cáceres Bogado,raul-caceres,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,False,Raúl Cáceres,,VIT,287,7,,,3.0,,,,,,1.0,,,,,,,,,,,
62,3,4,-0.4,-1.53,71684,2.92,8.92,6,G. Gómez,Gustavo Raúl Gómez Portillo,gustavo-gomez,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,True,Gustavo Gómez,,PAL,275,7,,2.0,4.0,1.0,,2.0,,3.0,2.0,,,,,2.0,,,,,,
63,2,2,0.0,0.0,71701,0.6,6.38,6,S. Arias,Santiago Arias Naranjo,santiago-arias,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,False,Santiago Arias,,BAH,265,5,,,,1.0,,2.0,,,1.0,,,,,,,,,,,
64,4,1,0.2,-0.54,71709,0.2,5.46,6,Cuéllar,Gustavo Leonardo Cuellar Gallego,cuellar,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,True,Cuéllar,,GRE,284,7,,,1.0,,,1.0,,,,,,,,,,,,,,
65,1,6,2.1,-0.48,72018,2.2,6.19,6,T. Volpi,Tiago Luis Volpi,tiago-volpi,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,True,Tiago Volpi,,GRE,284,7,,,,,,3.0,,,1.0,19.0,11.0,,,,,,1.0,,,
66,1,0,0.0,0.0,72279,0.0,2.0,6,Thomazella,Carlos Eduardo Lecciolle Thomazella,thomazella,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,False,Thomazella,,MIR,2305,6,,,,,,,,,,,,,,,,,,,,
67,1,6,4.5,-0.43,72294,4.45,9.67,6,Everson,Everson Felipe Marques Pires,everson,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,True,Everson,,CAM,282,7,,,,,,,,,,19.0,8.0,,,2.0,,,,,,
68,3,0,0.0,0.0,72359,0.0,4.0,6,L. Otávio,Luiz Otávio Anacleto Leandro,luiz-otavio,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,False,Luiz Otávio,,CEA,354,6,,,,,,,,,,,,,,,,,,,,
69,4,6,0.7,-0.11,72460,1.23,4.39,6,Bernard,Bernard Anício Caldeira Duarte,bernard,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,True,Bernard,,CAM,282,6,,5.0,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,
70,2,5,5.5,0.07,72493,4.16,9.99,6,A. Telles,Alex Nicolao Telles,alex-telles,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,True,Alex Telles,,BOT,263,2,,3.0,9.0,1.0,1.0,4.0,,,,,,,,3.0,,,,,,
71,5,2,9.1,1.81,72583,5.2,8.57,6,P. Henrique,Pedro Henrique Konzen Medina da Silva,pedro-henrique,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,True,Pedro Henrique,,CEA,354,7,,3.0,3.0,,1.0,,1.0,,1.0,,,,,,,,1.0,,,
72,3,1,5.1,1.45,72605,5.1,6.45,6,V. Hugo,Vitor Hugo Franchescoli de Souza,vitor-hugo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,True,Vitor Hugo,,CAM,282,7,,2.0,,,2.0,1.0,,,,,,,,,,,,,,
73,3,2,0.0,0.0,72801,-0.55,3.55,6,W. Ángel,Wílker José Ángel Romero,wilker-angel,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,False,Wilker Ángel,,JUV,286,6,,,3.0,,1.0,,,,1.0,,,,,,,,,,,
74,3,0,0.0,0.0,72951,0.0,6.0,6,Mercado,Gabriel Iván Mercado,mercado,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,False,Mercado,,INT,285,6,,,,,,,,,,,,,,,,,,,,
75,2,4,1.0,-1.39,73318,4.58,4.11,6,D. Borges,Daniel Fortunato Borges,daniel-borges,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,True,Daniel Borges,,MIR,2305,6,,3.0,5.0,,1.0,1.0,2.0,,2.0,,,,,,,,,,,
76,2,5,1.5,-0.54,73384,5.14,9.17,6,S. Xavier,Samuel Xavier Brito,samuel-xavier,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,True,Samuel Xavier,,FLU,266,7,,3.0,6.0,1.0,1.0,6.0,1.0,,,,,,,2.0,,,,,,
77,4,4,0.0,-0.45,73515,3.52,5.77,6,Gabriel,Gabriel Santana Pinto,gabriel,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,True,Gabriel,,MIR,2305,6,,2.0,,1.0,,2.0,1.0,1.0,,,,,,,,1.0,,,,
78,4,1,0.0,0.0,74187,2.3,5.19,6,Rincón,Tomás Eduardo Rincón Hernández,rincon,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,False,Rincón,,SAN,277,6,,1.0,,,1.0,,,,,,,,,,,,,,,
