,atletas.posicao_id,atletas.jogos_num,atletas.pontos_num,atletas.variacao_num,atletas.atleta_id,atletas.media_num,atletas.preco_num,atletas.rodada_id,atletas.apelido_abreviado,atletas.nome,atletas.slug,atletas.foto,atletas.entrou_em_campo,atletas.apelido,atletas.minimo_para_valorizar,atletas.clube.id.full.name,atletas.clube_id,atletas.status_id,A,DS,FC,FD,FF,FS,G,I,CA,DE,GS,V,DP,SG,FT,PS,PC,CV,PP,GC
0,6,2,4.19,0.49,37281,3.32,9.53,6,M. Menezes,Luis Antônio Venker de Menezes,mano-menezes,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,True,Mano Menezes,,GRE,284,7,,,,,,,,,,,,,,,,,,,,
1,6,5,5.1,0.35,37457,5.49,7.34,6,L. Condé,Leonardo Rodrigues Condé,leo-conde,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,True,Léo Condé,,CEA,354,7,,,,,,,,,,,,1.0,,,,,,,,
2,1,6,4.5,0.23,37656,4.13,10.08,6,Fábio,Fábio Deivson Lopes Maciel,fabio,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,True,Fábio,,FLU,266,7,,,,,,,,,,16.0,6.0,,,2.0,,,,,,
3,3,3,0.0,0.0,37715,2.67,11.19,6,T. Silva,Thiago Emiliano da Silva,thiago-silva,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,False,Thiago Silva,,FLU,266,5,,,1.0,1.0,2.0,1.0,,,,,,,,1.0,,,,,,
4,4,0,0.0,0.0,38398,0.0,7.0,6,R. Augusto,Renato Soares de Oliveira Augusto,renato-augusto,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,False,Renato Augusto,,FLU,266,6,,,,,,,,,,,,,,,,,,,,
5,4,2,0.0,0.0,38913,0.75,4.26,6,Nenê,Anderson Luis de Carvalho - Luiz,nene,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,False,Nenê,,JUV,286,6,,,,,,3.0,,,,,,,,,,,,,,
6,5,6,15.9,2.39,39148,5.32,16.79,6,Hulk,Givanildo Vieira de Souza,hulk,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,True,Hulk,,CAM,282,3,1.0,,4.0,9.0,7.0,14.0,1.0,3.0,3.0,,,,,,,,,,,
7,4,3,2.7,0.23,39656,1.53,5.69,6,A. Franco,Alan Steven Franco Palma,alan-franco,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,True,Alan Franco,,CAM,282,5,,3.0,3.0,,,2.0,,,,,,,,,,,,,,
8,6,0,0.0,0.0,40990,0.0,9.96,6,D. Júnior,Dorival Silvestre Júnior,dorival-junior,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,False,Dorival Júnior,,COR,264,7,,,,,,,,,,,,,,,,,,,,
9,6,5,2.68,-0.65,41929,5.44,9.55,6,R. Gaúcho,Renato Portaluppi,renato-gaucho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,True,Renato Gaúcho,,FLU,266,7,,,,,,,,,,,,3.0,,,,,,,,
10,5,3,0.0,0.0,42222,0.4,3.53,6,Osvaldo,Osvaldo Lourenço Filho,osvaldo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,False,Osvaldo,,VIT,287,6,,,,1.0,,,,,,,,,,,,,,,,
