,atletas.apelido_abreviado,atletas.foto,atletas.pontos_num,atletas.jogos_num,atletas.variacao_num,atletas.rodada_id,atletas.status_id,atletas.preco_num,atletas.atleta_id,atletas.clube.id.full.name,atletas.entrou_em_campo,atletas.slug,atletas.clube_id,atletas.apelido,atletas.nome,atletas.media_num,atletas.posicao_id,A,CA,DS,FC,FD,FF,FS,G,I,SG,FT,PS,DE,GS,CV,V,PP,DP,PC,GC
33,Manoel,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,0.0,5,0.0,29,6,5.3,69014,FLU,False,manoel,266,Manoel,Manoel Messias Silva Carvalho,2.46,3,,,,1.0,,2.0,2.0,,,2.0,,,,,,,,,,
34,D. Fernandes,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,0.0,0,0.0,29,6,4.0,69051,BAH,False,danilo-fernandes,265,Danilo Fernandes,Danilo Fernandes Batista,0.0,1,,,,,,,,,,,,,,,,,,,,
35,Pablo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,0.8,14,-0.27,29,6,5.31,69138,SPT,True,pablo,292,Pablo,Pablo Felipe Teixeira,2.03,5,,1.0,6.0,10.0,2.0,7.0,16.0,1.0,6.0,,,,,,,,,,,
36,Allan,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,0.9,15,-0.15,29,7,3.54,69140,BOT,True,allan,263,Allan,Allan Marques Loureiro,1.66,4,,5.0,20.0,22.0,1.0,1.0,9.0,,,,,,,,,,,,,
37,Danilo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,1.2,12,0.41,29,6,11.32,69783,FLA,True,danilo,262,Danilo,Danilo Luiz da Silva,3.71,3,,1.0,7.0,13.0,1.0,1.0,4.0,1.0,,6.0,,,,,1.0,,,,,
38,L. Moura,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,3.5,6,0.24,29,7,6.48,70164,SAO,True,lucas-moura,276,Lucas Moura,Lucas Rodrigues Moura da Silva,3.78,4,,,5.0,3.0,2.0,4.0,7.0,1.0,,,,,,,,,,,1.0,
39,B. Uvini,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,0.0,0,0.0,29,6,4.0,70221,VIT,False,bruno-uvini,287,Bruno Uvini,Bruno Uvini Bortolança,0.0,3,,,,,,,,,,,,,,,,,,,,
40,E. Sasha,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,2.4,25,0.19,29,2,7.9,70360,RBB,True,eduardo-sasha,280,Eduardo Sasha,Eduardo Colcenti Antunes,4.05,5,2.0,5.0,8.0,7.0,20.0,12.0,26.0,5.0,2.0,,1.0,,,,1.0,,,,,
41,Gabriel,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,1.9,16,-0.88,29,7,6.12,70449,SPT,True,gabriel,292,Gabriel,Gabriel Vasconcelos Ferreira,4.82,1,,1.0,,,,,1.0,,,3.0,,,66.0,23.0,,,,,,
42,F. Anderson,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,7.3,22,-0.52,29,7,8.36,70592,PAL,True,felipe-anderson,275,Felipe Anderson,Felipe Anderson Pereira Gomes,5.17,4,2.0,,45.0,11.0,6.0,8.0,14.0,2.0,2.0,,1.0,,,,,,,,,
43,Marllon,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,1.3,19,-0.17,29,7,6.75,70666,CEA,True,marllon,354,Marllon,Marllon Gonçalves Jerônimo Borges,3.51,3,,2.0,13.0,12.0,,3.0,9.0,2.0,,6.0,,,,,,,,,,
44,J. Sampaoli,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,1.76,6,-0.75,29,7,9.46,70800,CAM,True,jorge-sampaoli,282,Jorge Sampaoli,Jorge Sampaoli,4.22,6,,,,,,,,,,,,,,,,1.0,,,,
45,D. Barbosa,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,0.5,12,-0.66,29,6,7.56,70916,FOR,True,diogo-barbosa,356,Diogo Barbosa,Diogo Barbosa Mendanha,4.21,2,,1.0,15.0,6.0,,3.0,11.0,1.0,,3.0,,,,,,,,,,
46,B. Henrique,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,9.5,22,0.81,29,6,7.05,70944,INT,True,bruno-henrique,285,Bruno Henrique,Bruno Henrique Corsini,2.88,4,,1.0,29.0,34.0,3.0,9.0,13.0,2.0,,,,1.0,,,1.0,,,,,
47,T. Mendes,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,0.0,3,0.0,29,5,4.96,71123,VAS,False,thiago-mendes,267,Thiago Mendes,Thiago Henrique Mendes Ribeiro,0.2,4,,1.0,1.0,3.0,,,2.0,,,,,,,,,,,,,
48,Vina,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,2.9,8,0.02,29,6,4.99,71162,CEA,True,vina,354,Vina,Vinícius Goes Barbosa de Souza,1.65,4,,1.0,2.0,5.0,4.0,3.0,5.0,,,,1.0,,,,,,,,,
49,L. Gustavo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,0.0,3,0.0,29,6,8.94,71536,SAO,False,luiz-gustavo,276,Luiz Gustavo,Luiz Gustavo Dias,3.17,4,,,4.0,6.0,,1.0,3.0,,,,1.0,,,,,,,,,
50,F. Miguel,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,0.0,6,0.0,29,6,7.02,71571,CEA,False,fernando-miguel,354,Fernando Miguel,Fernando Miguel Kaufmann,6.18,1,,,,,,,6.0,,,3.0,,,17.0,3.0,,,,,,
51,Weverton,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,0.0,25,0.0,29,5,7.96,71631,PAL,False,weverton,275,Weverton,Weverton Pereira da Silva,4.36,1,,2.0,,,,,10.0,,,9.0,,,57.0,20.0,,,,1.0,,
52,R. Cáceres,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,6.6,15,-0.15,29,7,4.54,71680,VIT,True,raul-caceres,287,Raúl Cáceres,Raúl Alejandro Cáceres Bogado,3.25,2,1.0,6.0,8.0,20.0,5.0,2.0,3.0,2.0,3.0,4.0,,,,,,,,,1.0,
53,G. Gómez,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,11.0,21,1.45,29,7,10.28,71684,PAL,True,gustavo-gomez,275,Gustavo Gómez,Gustavo Raúl Gómez Portillo,5.03,3,1.0,7.0,31.0,25.0,2.0,7.0,11.0,2.0,8.0,8.0,,,,,,,,,,
54,S. Arias,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,0.0,13,0.0,29,6,6.32,71701,BAH,False,santiago-arias,265,Santiago Arias,Santiago Arias Naranjo,3.14,2,,3.0,15.0,8.0,2.0,3.0,12.0,,1.0,3.0,,,,,,,,,2.0,
55,Cuéllar,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,2.5,9,0.2,29,7,5.94,71709,GRE,True,cuellar,284,Cuéllar,Gustavo Leonardo Cuellar Gallego,3.1,4,,1.0,18.0,12.0,,,11.0,,,,,,,,,,,,,
56,T. Volpi,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,0.0,22,0.0,29,6,7.33,72018,GRE,False,tiago-volpi,284,Tiago Volpi,Tiago Luis Volpi,4.16,1,,2.0,,,,,7.0,1.0,,4.0,,,70.0,28.0,,,,,1.0,
57,Thomazella,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,0.0,0,0.0,29,6,2.0,72279,MIR,False,thomazella,2305,Thomazella,Carlos Eduardo Lecciolle Thomazella,0.0,1,,,,,,,,,,,,,,,,,,,,
58,Everson,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,-1.0,25,-0.45,29,7,8.37,72294,CAM,True,everson,282,Everson,Everson Felipe Marques Pires,4.09,1,,6.0,,,,,7.0,,,8.0,,,72.0,29.0,,,,,,
59,L. Otávio,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,0.0,0,0.0,29,5,4.0,72359,CEA,False,luiz-otavio,354,Luiz Otávio,Luiz Otávio Anacleto Leandro,0.0,3,,,,,,,,,,,,,,,,,,,,
60,F. Diniz,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,9.11,19,0.23,29,7,10.5,72391,VAS,True,fernando-diniz,267,Fernando Diniz,Fernando Diniz Silva,5.78,6,,,,,,,,,,,,,,,,8.0,,,,
61,Bernard,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,-0.3,19,-0.42,29,6,3.35,72460,CAM,True,bernard,282,Bernard,Bernard Anício Caldeira Duarte,1.02,4,,1.0,12.0,12.0,1.0,3.0,5.0,,1.0,,,,,,,,,,,
62,A. Telles,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,0.0,17,0.0,29,6,10.51,72493,BOT,False,alex-telles,263,Alex Telles,Alex Nicolao Telles,5.59,2,2.0,1.0,8.0,16.0,2.0,7.0,10.0,2.0,1.0,10.0,,,,,,,,,,
63,P. Henrique,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,-0.5,20,-1.02,29,6,7.34,72583,CEA,True,pedro-henrique,354,Pedro Henrique,Pedro Henrique Konzen Medina da Silva,4.61,5,2.0,5.0,21.0,22.0,7.0,10.0,19.0,4.0,7.0,,2.0,,,,,,,,1.0,
64,V. Hugo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,2.4,12,-0.12,29,7,7.87,72605,CAM,True,vitor-hugo,282,Vitor Hugo,Vitor Hugo Franchescoli de Souza,5.2,3,,2.0,18.0,5.0,,3.0,1.0,1.0,1.0,5.0,1.0,,,,,,,,,
65,W. Ángel,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,0.0,14,0.0,29,5,2.98,72801,JUV,False,wilker-angel,286,Wilker Ángel,Wílker José Ángel Romero,1.55,3,,4.0,5.0,22.0,3.0,3.0,4.0,1.0,2.0,2.0,,,,,,,,,1.0,
66,Mercado,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,0.0,5,0.0,29,6,6.03,72951,INT,False,mercado,285,Mercado,Gabriel Iván Mercado,3.2,3,,1.0,7.0,5.0,1.0,1.0,2.0,,,1.0,,,,,,,,,,
67,D. Borges,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,7.9,12,0.23,29,7,5.85,73318,MIR,True,daniel-borges,2305,Daniel Borges,Daniel Fortunato Borges,4.29,2,1.0,2.0,5.0,11.0,2.0,3.0,7.0,2.0,,4.0,,,,,,,,,,
68,S. Xavier,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,2.0,19,-0.74,29,7,8.77,73384,FLU,True,samuel-xavier,266,Samuel Xavier,Samuel Xavier Brito,4.79,2,1.0,3.0,14.0,21.0,1.0,4.0,22.0,3.0,,7.0,,,,,,,,,,
69,Gabriel,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,0.0,19,0.0,29,5,5.22,73515,MIR,False,gabriel,2305,Gabriel,Gabriel Santana Pinto,2.7,4,1.0,2.0,4.0,6.0,5.0,6.0,18.0,3.0,6.0,,,1.0,,,,,,,,
70,G. Marques,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,3.2,5,0.11,29,7,4.28,73781,MIR,True,guilherme-marques,2305,Guilherme Marques,Guilherme Costa Marques,1.62,4,,1.0,4.0,5.0,,2.0,6.0,,,,,,,,,,,,,
71,Rincón,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,0.0,16,0.0,29,6,3.28,74187,SAN,False,rincon,277,Rincón,Tomás Eduardo Rincón Hernández,1.27,4,,4.0,17.0,24.0,,7.0,7.0,,,,,,,,1.0,,,,,
72,Carrillo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,0.0,15,0.0,29,6,6.96,77485,COR,False,carrillo,264,Carrillo,André Martín Carrillo Díaz,3.06,4,1.0,1.0,19.0,18.0,1.0,5.0,12.0,1.0,2.0,,,,,,,,,,,
