,atletas.clube.id.full.name,atletas.minimo_para_valorizar,atletas.pontos_num,atletas.atleta_id,atletas.foto,atletas.clube_id,atletas.preco_num,atletas.status_id,atletas.variacao_num,atletas.media_num,atletas.posicao_id,atletas.apelido_abreviado,atletas.rodada_id,atletas.nome,atletas.entrou_em_campo,atletas.slug,atletas.jogos_num,atletas.apelido,A,DS,FC,FD,FF,FS,G,I,CA,DE,GS,DP,SG,V,FT,PS,PC,CV,PP,GC
51,PAL,,1.8,70592,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,275,6.03,7,0.06,2.38,4,F. Anderson,7,Felipe Anderson Pereira Gomes,True,felipe-anderson,7,Felipe Anderson,,8.0,8.0,,4.0,2.0,,1.0,,,,,,,1.0,,,,,
52,CEA,,15.2,70666,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,354,9.25,7,2.57,5.72,3,Marllon,7,Marllon Gonçalves Jerônimo Borges,True,marllon,6,Marllon,,5.0,4.0,,,4.0,2.0,,,,,,2.0,,,,,,,
53,INT,,1.1,70788,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,285,6.63,7,-0.39,2.84,5,E. Valencia,7,Enner Remberto Valencia Lastra,True,enner-valencia,7,Enner Valencia,,1.0,10.0,4.0,3.0,7.0,1.0,3.0,,,,,,,1.0,,,,,
54,FOR,,0.0,70916,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,356,9.03,5,0.0,6.0,2,D. Barbosa,7,Diogo Barbosa Mendanha,False,diogo-barbosa,4,Diogo Barbosa,,2.0,1.0,,1.0,5.0,1.0,,,,,,2.0,,,,,,,
55,INT,,-3.4,70944,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,285,5.43,3,-1.26,1.9,4,B. Henrique,7,Bruno Henrique Corsini,True,bruno-henrique,6,Bruno Henrique,,6.0,13.0,,1.0,1.0,1.0,,,,,,,,,,,1.0,,
56,JUV,,0.8,70958,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,286,4.3,6,-0.52,1.48,4,J. Carlos,7,Jean Carlos Vicente,True,jean-carlos,5,Jean Carlos,,3.0,2.0,1.0,3.0,,,1.0,,,,,,,,,,,,
57,VAS,,0.0,70984,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,267,8.7,6,0.0,5.23,4,Payet,7,Florent Dimitri Payet,False,payet,3,Payet,2.0,2.0,2.0,,1.0,5.0,,,,,,,,,,,,,,
58,SAO,,0.0,71536,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,276,10.73,6,0.0,9.6,4,L. Gustavo,7,Luiz Gustavo Dias,False,luiz-gustavo,1,Luiz Gustavo,,4.0,4.0,,1.0,2.0,,,,,,,,,1.0,,,,,
59,CEA,,9.9,71571,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,354,6.23,7,1.94,5.4,1,F. Miguel,7,Fernando Miguel Kaufmann,True,fernando-miguel,3,Fernando Miguel,,,,,,3.0,,,,9.0,2.0,,1.0,,,,,,,
60,PAL,,10.2,71631,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,275,10.33,7,1.25,7.35,1,Weverton,7,Weverton Pereira da Silva,True,weverton,7,Weverton,,,,,,5.0,,,1.0,20.0,3.0,1.0,4.0,,,,,,,
61,VIT,,0.0,71680,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,287,1.89,7,0.0,-1.9,2,R. Cáceres,7,Raúl Alejandro Cáceres Bogado,False,raul-caceres,1,Raúl Cáceres,,,3.0,,,,,,1.0,,,,,,,,,,,
62,PAL,,6.7,71684,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,275,9.44,7,0.52,3.68,3,G. Gómez,7,Gustavo Raúl Gómez Portillo,True,gustavo-gomez,5,Gustavo Gómez,,3.0,6.0,1.0,1.0,2.0,,3.0,2.0,,,,3.0,,,,,,,
63,BAH,,0.0,71701,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,265,6.38,5,0.0,0.6,2,S. Arias,7,Santiago Arias Naranjo,False,santiago-arias,2,Santiago Arias,,,,1.0,,2.0,,,1.0,,,,,,,,,,,
64,GRE,,6.0,71709,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,284,6.52,7,1.06,3.1,4,Cuéllar,7,Gustavo Leonardo Cuellar Gallego,True,cuellar,2,Cuéllar,,4.0,1.0,,,1.0,,,,,,,,,,,,,,
65,GRE,,7.6,72018,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,284,7.16,7,0.97,2.97,1,T. Volpi,7,Tiago Luis Volpi,True,tiago-volpi,7,Tiago Volpi,,,,,,3.0,,,1.0,21.0,11.0,,1.0,,,,1.0,,,
66,MIR,,0.0,72279,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,2305,2.0,6,0.0,0.0,1,Thomazella,7,Carlos Eduardo Lecciolle Thomazella,False,thomazella,0,Thomazella,,,,,,,,,,,,,,,,,,,,
67,CAM,,11.0,72294,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,282,10.88,7,1.21,5.39,1,Everson,7,Everson Felipe Marques Pires,True,everson,7,Everson,,,,,,1.0,,,1.0,24.0,8.0,,3.0,,,,,,,
68,CEA,,0.0,72359,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,354,4.0,6,0.0,0.0,3,L. Otávio,7,Luiz Otávio Anacleto Leandro,False,luiz-otavio,0,Luiz Otávio,,,,,,,,,,,,,,,,,,,,
69,CAM,,0.0,72460,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,282,4.08,6,-0.31,1.05,4,Bernard,7,Bernard Anício Caldeira Duarte,True,bernard,7,Bernard,,5.0,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,
70,BOT,,1.7,72493,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,263,9.15,2,-0.84,3.75,2,A. Telles,7,Alex Nicolao Telles,True,alex-telles,6,Alex Telles,,3.0,9.0,2.0,1.0,5.0,,,,,,,3.0,,,,,,,
71,CEA,,10.8,72583,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,354,9.81,7,1.24,7.07,5,P. Henrique,7,Pedro Henrique Konzen Medina da Silva,True,pedro-henrique,3,Pedro Henrique,,4.0,5.0,2.0,3.0,6.0,1.0,1.0,1.0,,,,,,1.0,,1.0,,,
72,CAM,,5.0,72605,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,282,7.02,7,0.57,5.05,3,V. Hugo,7,Vitor Hugo Franchescoli de Souza,True,vitor-hugo,2,Vitor Hugo,,2.0,,,2.0,1.0,,,,,,,1.0,,,,,,,
73,JUV,,1.2,72801,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,286,3.43,6,-0.12,0.03,3,W. Ángel,7,Wílker José Ángel Romero,True,wilker-angel,3,Wilker Ángel,,1.0,4.0,,1.0,,,,1.0,,,,,,,,,,,
74,INT,,0.0,72951,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,285,6.0,6,0.0,0.0,3,Mercado,7,Gabriel Iván Mercado,False,mercado,0,Mercado,,,,,,,,,,,,,,,,,,,,
