,atletas.posicao_id,atletas.media_num,atletas.minimo_para_valorizar,atletas.foto,atletas.atleta_id,atletas.status_id,atletas.clube_id,atletas.clube.id.full.name,atletas.jogos_num,atletas.pontos_num,atletas.apelido_abreviado,atletas.entrou_em_campo,atletas.apelido,atletas.rodada_id,atletas.preco_num,atletas.slug,atletas.variacao_num,atletas.nome,CA,DS,FC,FS,SG,FD,FF,I,CV,A,FT,G,DE,DP,GS,PS,PC,V,PP,GC
22,2,5.06,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,61987,6,262,FLA,9,5.7,A. Sandro,True,Alex Sandro,11,10.82,alex-sandro,-0.21,Alex Sandro Lobo Silva,1.0,11.0,20.0,9.0,6.0,,2.0,1.0,,,,,,,,,,,,
23,4,1.69,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,62977,6,266,FLU,7,0.0,Ganso,True,Ganso,11,6.62,ganso,-1.08,Paulo Henrique Chagas de Lima,1.0,5.0,1.0,8.0,,,2.0,,,,,,,,,,,,,
24,4,1.35,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,63007,3,277,SAN,4,-0.1,Neymar,True,Neymar,11,15.74,neymar,-2.8,Neymar da Silva Santos Júnior,1.0,,5.0,13.0,,3.0,1.0,,1.0,,,,,,,,,,,
25,2,0.0,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,63013,6,275,PAL,0,0.0,M. Rocha,False,Marcos Rocha,11,7.0,marcos-rocha,0.0,Marcos Luis Rocha Aquino,,,,,,,,,,,,,,,,,,,,
26,2,2.99,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,63110,6,286,JUV,8,1.3,A. Ruschel,True,Alan Ruschel,11,5.6,alan-ruschel,-0.45,Alan Luciano Ruschel,2.0,10.0,8.0,17.0,1.0,,,2.0,,,,,,,,,,,,
27,4,1.75,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,63289,5,284,GRE,7,0.0,Edenílson,False,Edenílson,11,4.97,edenilson,0.0,Edenílson Andrade dos Santos,3.0,3.0,5.0,7.0,,,1.0,,,,,1.0,,,,,,,,
28,4,6.18,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,68685,3,285,INT,8,0.1,A. Patrick,True,Alan Patrick,11,13.06,alan-patrick,-0.98,Alan Patrick Lourenço,3.0,5.0,5.0,8.0,,4.0,2.0,,,4.0,,2.0,,,,,,,,
29,4,0.24,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,68708,6,283,CRU,9,0.1,Eduardo,True,Eduardo,11,2.99,eduardo,-0.14,Carlos Eduardo de Oliveira Alves,1.0,1.0,5.0,2.0,,1.0,,,,,,,,,,1.0,,,,
30,4,2.1,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,68811,5,276,SAO,3,0.0,Oscar,False,Oscar,11,15.36,oscar,0.0,Oscar dos Santos Emboaba Júnior,1.0,3.0,2.0,2.0,,2.0,,,,,,,,,,,,,,
31,1,0.0,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,68872,6,275,PAL,0,0.0,M. Lomba,False,Marcelo Lomba,11,7.0,marcelo-lomba,0.0,Marcelo Lomba do Nascimento,,,,,,,,,,,,,,,,,,,,
32,4,2.76,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,68899,7,267,VAS,7,0.9,P. Coutinho,True,Philippe Coutinho,11,9.1,philippe-coutinho,-0.47,Philippe Coutinho Correia,,1.0,7.0,11.0,,5.0,8.0,,1.0,1.0,,,,,,,,,,
33,5,3.26,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,68920,6,282,CAM,5,0.0,Dudu,False,Dudu,11,9.15,dudu,0.0,Eduardo Pereira Rodrigues,,4.0,4.0,7.0,,,,,,,,1.0,,,,,,,,
34,3,2.25,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,68923,6,277,SAN,6,0.0,Gil,False,Gil,11,5.06,gil,0.0,Carlos Gilberto do Nascimento Silva,2.0,7.0,7.0,1.0,1.0,,2.0,,,,,,,,,,,,,
35,1,3.85,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,68928,7,276,SAO,10,5.8,Rafael,True,Rafael,11,9.75,rafael,0.63,Rafael Pires Monteiro,2.0,,,5.0,2.0,,,,,,,,30.0,,11.0,,,,,
36,5,2.52,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,68952,2,356,FOR,6,4.7,Marinho,True,Marinho,11,6.65,marinho,1.03,Mário Sérgio Santos Costa,,3.0,9.0,10.0,,1.0,1.0,7.0,1.0,2.0,,,,,,,,,,
37,4,6.71,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,68991,5,356,FOR,7,0.0,L. Sasha,False,Lucas Sasha,11,8.3,lucas-sasha,0.0,Lucas Pacheco Affini,,30.0,13.0,7.0,,2.0,,,,,,,,,,,,,,
38,5,3.21,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,68996,7,265,BAH,9,18.4,W. José,True,Willian José,11,9.11,willian-jose,3.1,Willian José da Silva,,,2.0,3.0,,3.0,3.0,,,,2.0,2.0,,,,,,,,
39,3,0.0,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,69014,6,266,FLU,0,0.0,Manoel,False,Manoel,11,5.0,manoel,0.0,Manoel Messias Silva Carvalho,,,,,,,,,,,,,,,,,,,,
40,1,0.0,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,69051,6,265,BAH,0,0.0,D. Fernandes,False,Danilo Fernandes,11,4.0,danilo-fernandes,0.0,Danilo Fernandes Batista,,,,,,,,,,,,,,,,,,,,
41,5,3.27,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,69138,6,292,SPT,7,1.9,Pablo,True,Pablo,11,6.43,pablo,-0.21,Pablo Felipe Teixeira,1.0,5.0,8.0,10.0,,2.0,5.0,6.0,,,,1.0,,,,,,,,
42,4,1.22,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,69140,6,263,BOT,4,5.2,Allan,True,Allan,11,4.23,allan,0.92,Allan Marques Loureiro,1.0,3.0,6.0,4.0,,1.0,,,,,,,,,,,,,,
43,3,8.2,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,69783,6,262,FLA,4,5.5,Danilo,True,Danilo,11,15.75,danilo,-0.84,Danilo Luiz da Silva,,3.0,4.0,3.0,4.0,,,,,,,1.0,,,,,,,,
44,4,0.0,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,70164,5,276,SAO,0,0.0,L. Moura,False,Lucas Moura,11,5.0,lucas-moura,0.0,Lucas Rodrigues Moura da Silva,,,,,,,,,,,,,,,,,,,,
45,1,2.6,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,70216,5,286,JUV,6,0.0,Gustavo,False,Gustavo,11,4.07,gustavo,0.0,Luiz Gustavo de Almeida Pinto,1.0,1.0,,,,,,,,,,,17.0,1.0,14.0,,,,,
46,3,0.0,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,70221,6,287,VIT,0,0.0,B. Uvini,False,Bruno Uvini,11,4.0,bruno-uvini,0.0,Bruno Uvini Bortolança,,,,,,,,,,,,,,,,,,,,
47,5,4.62,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,70360,7,280,RBB,11,0.0,E. Sasha,True,Eduardo Sasha,11,8.02,eduardo-sasha,-0.47,Eduardo Colcenti Antunes,1.0,4.0,3.0,12.0,,8.0,9.0,1.0,,1.0,1.0,2.0,,,,,,,,
48,1,1.1,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,70449,6,287,VIT,1,0.0,Gabriel,False,Gabriel,11,3.66,gabriel,0.0,Gabriel Vasconcelos Ferreira,,,,1.0,,,,,,,,,2.0,,2.0,,,,,
49,4,2.86,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,70592,6,275,PAL,8,0.0,F. Anderson,False,Felipe Anderson,11,6.7,felipe-anderson,0.0,Felipe Anderson Pereira Gomes,,9.0,8.0,5.0,,2.0,5.0,1.0,,,1.0,,,,,,,,,
50,3,5.22,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,70666,6,354,CEA,9,2.5,Marllon,True,Marllon,11,7.74,marllon,-0.54,Marllon Gonçalves Jerônimo Borges,,6.0,6.0,6.0,4.0,,1.0,,,,,2.0,,,,,,,,
51,5,2.84,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,70788,5,285,INT,7,0.0,E. Valencia,False,Enner Valencia,11,6.63,enner-valencia,0.0,Enner Remberto Valencia Lastra,,1.0,10.0,7.0,,4.0,3.0,3.0,,,1.0,1.0,,,,,,,,
52,2,5.1,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,70916,6,356,FOR,5,0.0,D. Barbosa,False,Diogo Barbosa,11,8.22,diogo-barbosa,0.0,Diogo Barbosa Mendanha,,3.0,1.0,5.0,2.0,,1.0,,,,,1.0,,,,,,,,
53,4,3.17,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,70944,7,285,INT,8,7.9,B. Henrique,True,Bruno Henrique,11,7.3,bruno-henrique,0.5,Bruno Henrique Corsini,,13.0,18.0,3.0,,2.0,3.0,,1.0,,,1.0,,,,,,,,
54,4,0.98,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,70958,6,286,JUV,7,0.4,J. Carlos,True,Jean Carlos,11,3.75,jean-carlos,0.01,Jean Carlos Vicente,1.0,3.0,3.0,2.0,,1.0,3.0,3.0,,,,,,,,,,,,
55,4,5.23,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,70984,5,267,VAS,3,0.0,Payet,False,Payet,11,8.7,payet,0.0,Florent Dimitri Payet,,2.0,2.0,5.0,,,1.0,,,2.0,,,,,,,,,,
56,4,9.6,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,71536,5,276,SAO,1,0.0,L. Gustavo,False,Luiz Gustavo,11,10.73,luiz-gustavo,0.0,Luiz Gustavo Dias,,4.0,4.0,2.0,,,1.0,,,,1.0,,,,,,,,,
57,1,6.18,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,71571,6,354,CEA,6,3.4,F. Miguel,True,Fernando Miguel,11,7.02,fernando-miguel,-0.93,Fernando Miguel Kaufmann,,,,6.0,3.0,,,,,,,,17.0,,3.0,,,,,
58,1,5.44,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,71631,6,275,PAL,11,-0.7,Weverton,True,Weverton,11,8.3,weverton,-0.5,Weverton Pereira da Silva,1.0,,,6.0,5.0,,,,,,,,26.0,1.0,8.0,,,,,
59,2,-0.95,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,71680,5,287,VIT,2,0.0,R. Cáceres,False,Raúl Cáceres,11,1.72,raul-caceres,0.0,Raúl Alejandro Cáceres Bogado,1.0,,3.0,,,,,,,,,,,,,,,,,
60,3,3.99,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,71684,6,275,PAL,8,0.0,G. Gómez,False,Gustavo Gómez,11,8.67,gustavo-gomez,0.0,Gustavo Raúl Gómez Portillo,3.0,8.0,9.0,5.0,4.0,1.0,3.0,5.0,,,,,,,,,,,,
61,2,0.3,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,71701,6,265,BAH,4,0.0,S. Arias,True,Santiago Arias,11,5.0,santiago-arias,-0.81,Santiago Arias Naranjo,1.0,,,2.0,,1.0,,,,,,,,,,,,,,
62,4,3.1,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,71709,5,284,GRE,2,0.0,Cuéllar,False,Cuéllar,11,6.52,cuellar,0.0,Gustavo Leonardo Cuellar Gallego,,4.0,1.0,1.0,,,,,,,,,,,,,,,,
63,1,4.06,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,72018,7,284,GRE,11,11.5,T. Volpi,True,Tiago Volpi,11,8.12,tiago-volpi,0.58,Tiago Luis Volpi,2.0,,,5.0,3.0,,,,,,,,34.0,,14.0,,1.0,,,
64,1,0.0,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,72279,6,2305,MIR,0,0.0,Thomazella,False,Thomazella,11,2.0,thomazella,0.0,Carlos Eduardo Lecciolle Thomazella,,,,,,,,,,,,,,,,,,,,
65,1,5.37,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,72294,7,282,CAM,11,7.9,Everson,True,Everson,11,10.41,everson,0.35,Everson Felipe Marques Pires,2.0,,,4.0,6.0,,,,,,,,30.0,,10.0,,,,,
66,3,0.0,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,72359,6,354,CEA,0,0.0,L. Otávio,False,Luiz Otávio,11,4.0,luiz-otavio,0.0,Luiz Otávio Anacleto Leandro,,,,,,,,,,,,,,,,,,,,
67,6,5.16,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,72391,7,267,VAS,3,2.27,F. Diniz,True,Fernando Diniz,11,9.88,fernando-diniz,-0.8,Fernando Diniz Silva,,,,,,,,,,,,,,,,,,1.0,,
68,4,0.96,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,72460,6,282,CAM,9,0.0,Bernard,False,Bernard,11,3.88,bernard,0.0,Bernard Anício Caldeira Duarte,1.0,6.0,5.0,3.0,,,1.0,1.0,,,,,,,,,,,,
69,2,5.32,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,72493,6,263,BOT,9,3.6,A. Telles,True,Alex Telles,11,10.1,alex-telles,-0.63,Alex Nicolao Telles,1.0,5.0,12.0,6.0,6.0,2.0,2.0,1.0,,,,1.0,,,,,,,,
70,5,4.13,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,72583,6,354,CEA,6,1.4,P. Henrique,True,Pedro Henrique,11,7.46,pedro-henrique,-0.23,Pedro Henrique Konzen Medina da Silva,1.0,5.0,11.0,7.0,,3.0,6.0,3.0,,,1.0,1.0,,,,,1.0,,,
71,3,6.15,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,72605,6,282,CAM,4,8.0,V. Hugo,True,Vitor Hugo,11,8.41,vitor-hugo,0.67,Vitor Hugo Franchescoli de Souza,,5.0,,1.0,3.0,,2.0,,,,,,,,,,,,,
72,3,-0.24,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,72801,6,286,JUV,5,0.0,W. Ángel,False,Wilker Ángel,11,2.16,wilker-angel,0.0,Wílker José Ángel Romero,2.0,1.0,5.0,,,,1.0,,,,,,,,,,,,,
73,3,0.0,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,72951,6,285,INT,0,0.0,Mercado,False,Mercado,11,6.0,mercado,0.0,Gabriel Iván Mercado,,,,,,,,,,,,,,,,,,,,
74,2,3.66,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,73318,6,2305,MIR,5,0.0,D. Borges,False,Daniel Borges,11,3.83,daniel-borges,0.0,Daniel Fortunato Borges,2.0,3.0,5.0,1.0,,,1.0,,,,,2.0,,,,,,,,
75,2,4.65,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,73384,6,266,FLU,9,11.2,S. Xavier,True,Samuel Xavier,11,9.86,samuel-xavier,1.88,Samuel Xavier Brito,2.0,8.0,12.0,11.0,3.0,1.0,1.0,,,1.0,,1.0,,,,,,,,
