,atletas.atleta_id,atletas.jogos_num,atletas.entrou_em_campo,atletas.posicao_id,atletas.slug,atletas.nome,atletas.media_num,atletas.clube_id,atletas.preco_num,atletas.pontos_num,atletas.rodada_id,atletas.status_id,atletas.variacao_num,atletas.apelido_abreviado,atletas.apelido,atletas.clube.id.full.name,atletas.foto,A,DS,FC,FF,FS,I,CA,FD,G,FT,SG,V,DE,DP,GS,PC,PS,CV,PP,GC
17,61987,12,True,2,alex-sandro,Alex Sandro Lobo Silva,4.46,262,9.86,1.3,19,6,-0.33,A. Sandro,Alex Sandro,FLA,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,,12.0,25.0,3.0,11.0,1.0,1.0,1.0,,,7.0,,,,,,,,,
18,62977,11,True,4,ganso,Paulo Henrique Chagas de Lima,1.35,266,5.93,0.2,19,7,-0.38,Ganso,Ganso,FLU,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,,7.0,3.0,2.0,9.0,,1.0,,,,,,,,,,,,,
19,63007,10,True,4,neymar,Neymar da Silva Santos Júnior,5.42,277,14.92,3.3,19,7,-2.47,Neymar,Neymar,SAN,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,,2.0,15.0,8.0,36.0,2.0,2.0,8.0,3.0,1.0,,,,,,,,1.0,,
20,63013,1,False,2,marcos-rocha,Marcos Luis Rocha Aquino,2.6,275,7.4,0.0,19,6,0.0,M. Rocha,Marcos Rocha,PAL,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,,1.0,2.0,,1.0,,,1.0,,,,,,,,,,,,
21,63110,11,True,2,alan-ruschel,Alan Luciano Ruschel,2.63,286,5.24,0.0,19,6,-0.19,A. Ruschel,Alan Ruschel,JUV,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,,10.0,8.0,,17.0,2.0,2.0,,,,2.0,,,,,,,,,
22,63289,12,True,4,edenilson,Edenílson Andrade dos Santos,2.12,284,5.29,4.8,19,6,0.63,Edenílson,Edenílson,GRE,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,1.0,7.0,8.0,2.0,14.0,1.0,4.0,,1.0,,,,,,,,,,,
23,68685,13,True,4,alan-patrick,Alan Patrick Lourenço,6.64,285,14.02,7.6,19,7,0.29,A. Patrick,Alan Patrick,INT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,5.0,11.0,12.0,3.0,16.0,1.0,3.0,5.0,4.0,1.0,,,,,,,,,,
24,68708,15,False,4,eduardo,Carlos Eduardo de Oliveira Alves,1.5,283,3.45,0.0,19,6,0.0,Eduardo,Eduardo,CRU,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,,9.0,9.0,3.0,4.0,1.0,1.0,2.0,1.0,,,,,,,,1.0,1.0,,
25,68806,0,False,1,neto,Norberto Murara Neto,0.0,263,8.0,0.0,19,6,0.0,Neto,Neto,BOT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,,,,,,,,,,,,,,,,,,,,
26,68811,6,False,4,oscar,Oscar dos Santos Emboaba Júnior,1.67,276,11.39,0.0,19,5,0.0,Oscar,Oscar,SAO,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,,5.0,3.0,,4.0,,1.0,2.0,,,,,,,,,,,,
27,68872,1,False,1,marcelo-lomba,Marcelo Lomba do Nascimento,3.2,275,7.63,0.0,19,6,0.0,M. Lomba,Marcelo Lomba,PAL,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,,,,,,,,,,,,,4.0,,2.0,,,,,
28,68899,11,True,4,philippe-coutinho,Philippe Coutinho Correia,3.41,267,9.54,5.4,19,7,0.17,P. Coutinho,Philippe Coutinho,VAS,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,1.0,3.0,8.0,9.0,19.0,,,13.0,,,,,,,,,1.0,1.0,,
29,68920,7,False,5,dudu,Eduardo Pereira Rodrigues,2.57,282,8.39,0.0,19,3,0.0,Dudu,Dudu,CAM,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,,4.0,5.0,,11.0,,,,1.0,,,,,,,,,,,
30,68923,8,True,3,gil,Carlos Gilberto do Nascimento Silva,1.93,277,4.94,3.0,19,7,0.36,Gil,Gil,SAN,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,,9.0,7.0,2.0,1.0,,3.0,,,,1.0,,,,,,,,,
31,68928,18,True,1,rafael,Rafael Pires Monteiro,4.22,276,9.73,6.3,19,7,0.41,Rafael,Rafael,SAO,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,,1.0,,,5.0,,2.0,,,,5.0,,53.0,,20.0,,,,,
32,68952,11,False,5,marinho,Mário Sérgio Santos Costa,3.63,356,7.01,0.0,19,7,0.0,Marinho,Marinho,FOR,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,2.0,8.0,21.0,8.0,18.0,12.0,1.0,5.0,1.0,,,,,,,,,1.0,,
33,68991,12,True,4,lucas-sasha,Lucas Pacheco Affini,5.95,356,8.52,5.0,19,7,0.4,L. Sasha,Lucas Sasha,FOR,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,,46.0,16.0,1.0,10.0,,1.0,2.0,,,,,,,,,,,,
34,68996,14,True,5,willian-jose,Willian José da Silva,3.1,265,7.55,7.2,19,7,0.84,W. José,Willian José,BAH,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,2.0,1.0,4.0,5.0,6.0,,2.0,5.0,2.0,2.0,,,,,,,,,,
35,69014,2,False,3,manoel,Manoel Messias Silva Carvalho,3.55,266,6.19,0.0,19,7,0.0,Manoel,Manoel,FLU,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,,,,2.0,1.0,,,,,,1.0,,,,,,,,,
36,69051,0,False,1,danilo-fernandes,Danilo Fernandes Batista,0.0,265,4.0,0.0,19,6,0.0,D. Fernandes,Danilo Fernandes,BAH,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,,,,,,,,,,,,,,,,,,,,
37,69138,8,True,5,pablo,Pablo Felipe Teixeira,2.82,292,5.92,-0.3,19,6,-0.51,Pablo,Pablo,SPT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,,5.0,9.0,5.0,10.0,6.0,1.0,2.0,1.0,,,,,,,,,,,
38,69140,8,False,4,allan,Allan Marques Loureiro,2.3,263,4.58,0.0,19,6,0.0,Allan,Allan,BOT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,,14.0,16.0,,8.0,,3.0,1.0,,,,,,,,,,,,
39,69783,6,False,3,danilo,Danilo Luiz da Silva,6.63,262,14.33,0.0,19,5,0.0,Danilo,Danilo,FLA,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,,4.0,8.0,,4.0,,,1.0,1.0,,5.0,,,,,,,,,
40,70164,1,True,4,lucas-moura,Lucas Rodrigues Moura da Silva,0.5,276,4.73,0.5,19,6,-0.27,L. Moura,Lucas Moura,SAO,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,,,,,1.0,,,,,,,,,,,,,,,
41,70216,10,False,1,gustavo,Luiz Gustavo de Almeida Pinto,3.09,286,4.92,0.0,19,2,0.0,Gustavo,Gustavo,JUV,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,,1.0,,,,,1.0,,,,1.0,,31.0,1.0,22.0,,,,,
42,70221,0,False,3,bruno-uvini,Bruno Uvini Bortolança,0.0,287,4.0,0.0,19,6,0.0,B. Uvini,Bruno Uvini,VIT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,,,,,,,,,,,,,,,,,,,,
43,70360,17,False,5,eduardo-sasha,Eduardo Colcenti Antunes,3.79,280,7.39,0.0,19,7,0.0,E. Sasha,Eduardo Sasha,RBB,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,1.0,6.0,5.0,11.0,18.0,1.0,3.0,11.0,3.0,1.0,,,,,,,,1.0,,
44,70449,6,True,1,gabriel,Gabriel Vasconcelos Ferreira,4.27,292,6.12,11.5,19,7,1.2,Gabriel,Gabriel,SPT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,,,,,1.0,,,,,,2.0,,17.0,,7.0,,,,,
45,70592,12,True,4,felipe-anderson,Felipe Anderson Pereira Gomes,3.24,275,6.51,2.7,19,6,-0.33,F. Anderson,Felipe Anderson,PAL,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,,19.0,10.0,5.0,6.0,1.0,,3.0,,1.0,,,,,,,,,,
46,70666,15,True,3,marllon,Marllon Gonçalves Jerônimo Borges,3.88,354,7.35,4.2,19,7,0.46,Marllon,Marllon,CEA,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,,12.0,11.0,2.0,6.0,,2.0,,2.0,,5.0,,,,,,,,,
