,atletas.foto,atletas.clube.id.full.name,atletas.variacao_num,atletas.rodada_id,atletas.entrou_em_campo,atletas.pontos_num,atletas.slug,atletas.apelido_abreviado,atletas.posicao_id,atletas.nome,atletas.apelido,atletas.atleta_id,atletas.clube_id,atletas.status_id,atletas.preco_num,atletas.media_num,atletas.jogos_num,DE,GS,A,CA,DS,FC,FD,FF,FS,FT,G,I,PS,SG,V,CV,DP,PP,PC,GC
32,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,BAH,0.0,28,False,0.0,willian-jose,W. José,5,Willian José da Silva,Willian José,68996,265,7,7.7,3.84,21,,,4.0,3.0,1.0,8.0,7.0,7.0,9.0,2.0,5.0,1.0,,,,,,,,
33,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,FLU,0.0,28,False,0.0,manoel,Manoel,3,Manoel Messias Silva Carvalho,Manoel,69014,266,6,5.3,2.46,5,,,,,,1.0,,2.0,2.0,,,,,2.0,,,,,,
34,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,BAH,0.0,28,False,0.0,danilo-fernandes,D. Fernandes,1,Danilo Fernandes Batista,Danilo Fernandes,69051,265,6,4.0,0.0,0,,,,,,,,,,,,,,,,,,,,
35,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,SPT,0.21,28,True,1.8,pablo,Pablo,5,Pablo Felipe Teixeira,Pablo,69138,292,6,5.58,2.12,13,,,,1.0,6.0,10.0,2.0,6.0,16.0,,1.0,6.0,,,,,,,,
36,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,BOT,0.22,28,True,1.5,allan,Allan,4,Allan Marques Loureiro,Allan,69140,263,7,3.69,1.71,14,,,,5.0,19.0,20.0,1.0,1.0,9.0,,,,,,,,,,,
37,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,FLA,0.0,28,False,0.0,danilo,Danilo,3,Danilo Luiz da Silva,Danilo,69783,262,6,10.91,3.94,11,,,,1.0,6.0,12.0,1.0,1.0,4.0,,1.0,,,6.0,,1.0,,,,
38,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,SAO,-0.3,28,True,1.0,lucas-moura,L. Moura,4,Lucas Rodrigues Moura da Silva,Lucas Moura,70164,276,6,6.24,3.84,5,,,,,5.0,3.0,,2.0,6.0,,1.0,,,,,,,,,
39,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,VIT,0.0,28,False,0.0,bruno-uvini,B. Uvini,3,Bruno Uvini Bortolança,Bruno Uvini,70221,287,6,4.0,0.0,0,,,,,,,,,,,,,,,,,,,,
40,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,RBB,-0.6,28,True,0.0,eduardo-sasha,E. Sasha,5,Eduardo Colcenti Antunes,Eduardo Sasha,70360,280,2,7.71,4.12,24,,,2.0,5.0,8.0,7.0,20.0,12.0,21.0,1.0,5.0,1.0,,,,1.0,,,,
41,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,SPT,0.46,28,True,8.1,gabriel,Gabriel,1,Gabriel Vasconcelos Ferreira,Gabriel,70449,292,7,7.0,5.02,15,63.0,21.0,,1.0,,,,,1.0,,,,,3.0,,,,,,
42,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,PAL,1.54,28,True,11.5,felipe-anderson,F. Anderson,4,Felipe Anderson Pereira Gomes,Felipe Anderson,70592,275,7,8.88,5.07,21,,,2.0,,41.0,11.0,6.0,7.0,13.0,1.0,2.0,2.0,,,,,,,,
43,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,CEA,0.1,28,True,1.5,marllon,Marllon,3,Marllon Gonçalves Jerônimo Borges,Marllon,70666,354,7,6.92,3.63,18,,,,2.0,13.0,12.0,,2.0,8.0,,2.0,,,6.0,,,,,,
44,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,CAM,-0.18,28,True,4.26,jorge-sampaoli,J. Sampaoli,6,Jorge Sampaoli,Jorge Sampaoli,70800,282,7,10.21,4.71,5,,,,,,,,,,,,,,,1.0,,,,,
45,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,FOR,0.0,28,False,0.0,diogo-barbosa,D. Barbosa,2,Diogo Barbosa Mendanha,Diogo Barbosa,70916,356,7,8.22,4.55,11,,,,1.0,15.0,6.0,,3.0,10.0,,1.0,,,3.0,,,,,,
46,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,INT,0.44,28,True,4.0,bruno-henrique,B. Henrique,4,Bruno Henrique Corsini,Bruno Henrique,70944,285,7,6.24,2.57,21,,,,1.0,28.0,34.0,3.0,9.0,13.0,,1.0,,1.0,,,1.0,,,,
47,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,VAS,0.0,28,False,0.0,thiago-mendes,T. Mendes,4,Thiago Henrique Mendes Ribeiro,Thiago Mendes,71123,267,5,4.96,0.2,3,,,,1.0,1.0,3.0,,,2.0,,,,,,,,,,,
48,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,CEA,0.36,28,True,2.5,vina,Vina,4,Vinícius Goes Barbosa de Souza,Vina,71162,354,6,4.97,1.47,7,,,,1.0,2.0,4.0,2.0,2.0,5.0,1.0,,,,,,,,,,
49,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,SAO,-1.06,28,True,-0.6,luiz-gustavo,L. Gustavo,4,Luiz Gustavo Dias,Luiz Gustavo,71536,276,6,8.94,3.17,3,,,,,4.0,6.0,,1.0,3.0,1.0,,,,,,,,,,
50,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,CEA,0.0,28,False,0.0,fernando-miguel,F. Miguel,1,Fernando Miguel Kaufmann,Fernando Miguel,71571,354,6,7.02,6.18,6,17.0,3.0,,,,,,,6.0,,,,,3.0,,,,,,
51,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,PAL,-0.09,28,True,0.8,weverton,Weverton,1,Weverton Pereira da Silva,Weverton,71631,275,7,7.96,4.36,25,57.0,20.0,,2.0,,,,,10.0,,,,,9.0,,,1.0,,,
52,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,VIT,0.43,28,True,8.9,raul-caceres,R. Cáceres,2,Raúl Alejandro Cáceres Bogado,Raúl Cáceres,71680,287,7,4.69,3.01,14,,,1.0,5.0,6.0,19.0,5.0,2.0,3.0,,2.0,2.0,,3.0,,,,,1.0,
53,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,PAL,0.0,28,False,0.0,gustavo-gomez,G. Gómez,3,Gustavo Raúl Gómez Portillo,Gustavo Gómez,71684,275,7,8.83,4.73,20,,,1.0,6.0,30.0,24.0,1.0,5.0,11.0,,1.0,8.0,,8.0,,,,,,
54,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,BAH,0.26,28,True,3.5,santiago-arias,S. Arias,2,Santiago Arias Naranjo,Santiago Arias,71701,265,2,6.32,3.14,13,,,,3.0,15.0,8.0,2.0,3.0,12.0,,,1.0,,3.0,,,,,2.0,
55,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,GRE,-0.31,28,True,0.0,cuellar,Cuéllar,4,Gustavo Leonardo Cuellar Gallego,Cuéllar,71709,284,7,5.74,3.18,8,,,,1.0,17.0,12.0,,,9.0,,,,,,,,,,,
56,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,GRE,0.0,28,False,0.0,tiago-volpi,T. Volpi,1,Tiago Luis Volpi,Tiago Volpi,72018,284,6,7.33,4.16,22,70.0,28.0,,2.0,,,,,7.0,,1.0,,,4.0,,,,,1.0,
57,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,MIR,0.0,28,False,0.0,thomazella,Thomazella,1,Carlos Eduardo Lecciolle Thomazella,Thomazella,72279,2305,6,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
58,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,CAM,-0.62,28,True,0.8,everson,Everson,1,Everson Felipe Marques Pires,Everson,72294,282,7,8.82,4.3,24,72.0,28.0,,6.0,,,,,7.0,,,,,8.0,,,,,,
59,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,CEA,0.0,28,False,0.0,luiz-otavio,L. Otávio,3,Luiz Otávio Anacleto Leandro,Luiz Otávio,72359,354,5,4.0,0.0,0,,,,,,,,,,,,,,,,,,,,
60,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,VAS,0.35,28,True,7.57,fernando-diniz,F. Diniz,6,Fernando Diniz Silva,Fernando Diniz,72391,267,7,10.27,5.59,18,,,,,,,,,,,,,,,7.0,,,,,
61,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,CAM,-0.39,28,True,2.2,bernard,Bernard,4,Bernard Anício Caldeira Duarte,Bernard,72460,282,7,3.77,1.09,18,,,,1.0,12.0,11.0,1.0,3.0,5.0,,,1.0,,,,,,,,
62,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,BOT,0.0,28,False,0.0,alex-telles,A. Telles,2,Alex Nicolao Telles,Alex Telles,72493,263,6,10.51,5.59,17,,,2.0,1.0,8.0,16.0,2.0,7.0,10.0,,2.0,1.0,,10.0,,,,,,
63,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,CEA,-1.21,28,True,5.9,pedro-henrique,P. Henrique,5,Pedro Henrique Konzen Medina da Silva,Pedro Henrique,72583,354,7,8.36,4.88,19,,,2.0,4.0,21.0,22.0,7.0,10.0,18.0,2.0,4.0,7.0,,,,,,,1.0,
64,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,CAM,0.0,28,False,0.0,vitor-hugo,V. Hugo,3,Vitor Hugo Franchescoli de Souza,Vitor Hugo,72605,282,7,7.99,5.45,11,,,,2.0,18.0,3.0,,3.0,1.0,,1.0,1.0,,5.0,,,,,,
65,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,JUV,0.0,28,False,0.0,wilker-angel,W. Ángel,3,Wílker José Ángel Romero,Wilker Ángel,72801,286,5,2.98,1.55,14,,,,4.0,5.0,22.0,3.0,3.0,4.0,,1.0,2.0,,2.0,,,,,1.0,
66,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,INT,-0.89,28,True,1.7,mercado,Mercado,3,Gabriel Iván Mercado,Mercado,72951,285,7,6.03,3.2,5,,,,1.0,7.0,5.0,1.0,1.0,2.0,,,,,1.0,,,,,,
67,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,MIR,1.17,28,True,7.8,daniel-borges,D. Borges,2,Daniel Fortunato Borges,Daniel Borges,73318,2305,7,5.62,3.96,11,,,1.0,2.0,4.0,10.0,1.0,3.0,6.0,,2.0,,,3.0,,,,,,
68,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,FLU,-0.76,28,True,6.6,samuel-xavier,S. Xavier,2,Samuel Xavier Brito,Samuel Xavier,73384,266,7,9.51,4.95,18,,,1.0,3.0,13.0,21.0,1.0,4.0,21.0,,3.0,,,7.0,,,,,,
69,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,MIR,-0.07,28,True,0.7,gabriel,Gabriel,4,Gabriel Santana Pinto,Gabriel,73515,2305,6,5.22,2.7,19,,,1.0,2.0,4.0,6.0,5.0,6.0,18.0,,3.0,6.0,1.0,,,,,,,
70,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,MIR,-0.27,28,True,1.2,guilherme-marques,G. Marques,4,Guilherme Costa Marques,Guilherme Marques,73781,2305,7,4.17,1.22,4,,,,1.0,2.0,4.0,,2.0,5.0,,,,,,,,,,,
71,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,SAN,0.0,28,False,0.0,rincon,Rincón,4,Tomás Eduardo Rincón Hernández,Rincón,74187,277,5,3.28,1.27,16,,,,4.0,17.0,24.0,,7.0,7.0,,,,,,,1.0,,,,
72,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,COR,0.0,28,False,0.0,carrillo,Carrillo,4,André Martín Carrillo Díaz,Carrillo,77485,264,6,6.96,3.06,15,,,1.0,1.0,19.0,18.0,1.0,5.0,12.0,,1.0,2.0,,,,,,,,
73,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,SAO,0.0,28,False,0.0,cedric-soares,C. Soares,2,Cédric Ricardo Alves Soares,Cédric Soares,77656,276,6,7.08,3.5,22,,,2.0,1.0,23.0,10.0,,3.0,8.0,,,,,6.0,,,,,,
