,atletas.clube.id.full.name,atletas.foto,atletas.media_num,atletas.nome,atletas.status_id,atletas.jogos_num,atletas.apelido,atletas.slug,atletas.pontos_num,atletas.preco_num,atletas.rodada_id,atletas.atleta_id,atletas.clube_id,atletas.variacao_num,atletas.entrou_em_campo,atletas.apelido_abreviado,atletas.posicao_id,A,CA,DS,FC,FD,FF,FS,G,I,PS,V,SG,FT,CV,DE,DP,GS,PP,PC,GC
0,GRE,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,5.05,Luis Antônio Venker de Menezes,7,21,Mano Menezes,mano-menezes,2.44,9.09,27,37281,284,-0.35,True,M. Menezes,6,,,,,,,,,,,6.0,,,,,,,,,
1,CEA,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,5.35,Leonardo Rodrigues Condé,7,24,Léo Condé,leo-conde,10.08,9.03,27,37457,354,1.03,True,L. Condé,6,,,,,,,,,,,8.0,,,,,,,,,
2,FLU,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,3.55,Fábio Deivson Lopes Maciel,7,25,Fábio,fabio,6.3,8.68,27,37656,266,0.85,True,Fábio,1,,1.0,,,,,3.0,,,,,8.0,,,56.0,1.0,31.0,,,
3,FLU,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,3.23,Thiago Emiliano da Silva,7,15,Thiago Silva,thiago-silva,7.9,8.83,27,37715,266,0.46,True,T. Silva,3,,,6.0,8.0,3.0,3.0,6.0,,,,,6.0,1.0,,,,,,,
4,JUV,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,2.75,Anderson Luis de Carvalho - Luiz,6,14,Nenê,nene,0.5,4.3,27,38913,286,-0.05,True,Nenê,4,3.0,,2.0,3.0,2.0,3.0,17.0,1.0,,,,,,,,,,,,
5,CAM,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,5.48,Givanildo Vieira de Souza,7,20,Hulk,hulk,1.7,13.32,27,39148,282,-0.24,True,Hulk,5,3.0,9.0,7.0,24.0,16.0,27.0,50.0,4.0,7.0,,,,1.0,,,,,,,
6,CAM,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,1.9,Alan Steven Franco Palma,3,20,Alan Franco,alan-franco,1.8,4.44,27,39656,282,0.02,True,A. Franco,4,,2.0,27.0,28.0,,2.0,13.0,,,,,,,,,,,,,
7,COR,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,5.29,Dorival Silvestre Júnior,7,21,Dorival Júnior,dorival-junior,9.47,10.67,27,40990,264,0.59,True,D. Júnior,6,,,,,,,,,,,6.0,,,,,,,,,
8,GRE,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,3.7,Willian Borges da Silva,5,2,Willian,willian,0.0,9.58,27,42135,284,0.0,False,Willian,4,1.0,,1.0,2.0,,,3.0,,,,,,,,,,,,,
9,VIT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,2.0,Osvaldo Lourenço Filho,6,21,Osvaldo,osvaldo,0.5,3.69,27,42222,287,-0.13,True,Osvaldo,5,2.0,3.0,8.0,6.0,6.0,8.0,17.0,,4.0,,,,1.0,,,,,,,
