,atletas.clube.id.full.name,atletas.foto,atletas.media_num,atletas.nome,atletas.status_id,atletas.jogos_num,atletas.apelido,atletas.slug,atletas.pontos_num,atletas.preco_num,atletas.rodada_id,atletas.atleta_id,atletas.clube_id,atletas.variacao_num,atletas.entrou_em_campo,atletas.apelido_abreviado,atletas.posicao_id,A,CA,DS,FC,FD,FF,FS,G,I,PS,V,SG,FT,CV,DE,DP,GS,PP,PC,GC
10,CRU,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,5.44,Cássio Roberto Ramos,7,26,Cássio,cassio,4.7,9.76,27,42234,283,-0.7,True,Cássio,1,,4.0,,,,,4.0,,,,,11.0,,,78.0,1.0,20.0,,,
11,CRU,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,6.1,Fagner Conserva Lemos,6,9,Fagner,fagner,0.0,8.51,27,42500,283,0.0,False,Fagner,2,,1.0,20.0,11.0,,1.0,7.0,,1.0,,,5.0,,,,,,,,
12,MIR,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,6.97,Walter Leandro Capeloza Artune,7,19,Walter,walter,-3.0,9.61,27,51413,2305,-1.28,True,Walter,1,,2.0,,,,,3.0,,,,,7.0,,,77.0,2.0,16.0,,,
13,BAH,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,4.3,Everton Augusto de Barros Ribeiro,6,23,Everton Ribeiro,everton-ribeiro,0.5,7.57,27,51772,265,-0.74,True,E. Ribeiro,4,3.0,3.0,31.0,18.0,5.0,7.0,36.0,2.0,,,,,1.0,1.0,,,,,,
14,JUV,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,2.22,Gilberto Oliveira Souza Júnior,6,17,Gilberto,gilberto,-0.8,3.99,27,61188,286,-0.87,True,Gilberto,5,2.0,4.0,3.0,17.0,9.0,5.0,12.0,2.0,4.0,,,,,,,,,1.0,,
15,FLA,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,4.27,Alex Sandro Lobo Silva,7,15,Alex Sandro,alex-sandro,0.0,10.23,27,61987,262,0.0,False,A. Sandro,2,,3.0,14.0,30.0,1.0,3.0,13.0,,1.0,,,9.0,,,,,,,,
16,FLU,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,1.18,Paulo Henrique Chagas de Lima,5,14,Ganso,ganso,0.0,5.49,27,62977,266,0.0,False,Ganso,4,,2.0,7.0,6.0,,2.0,16.0,,,,,,,,,,,,,
17,SAN,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,4.78,Neymar da Silva Santos Júnior,5,13,Neymar,neymar,0.0,13.81,27,63007,277,0.0,False,Neymar,4,,4.0,3.0,15.0,9.0,9.0,49.0,3.0,2.0,,,,1.0,1.0,,,,,,
18,SAO,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,5.63,Rafael Toloi,6,3,Rafael Tolói,rafael-toloi,0.0,9.37,27,63008,276,0.0,False,R. Tolói,3,,,8.0,2.0,,,1.0,,,,,1.0,,,,,,,,
19,GRE,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,6.86,Marcos Luis Rocha Aquino,6,5,Marcos Rocha,marcos-rocha,0.0,9.81,27,63013,284,0.0,False,M. Rocha,2,,,17.0,3.0,1.0,,7.0,,,,,1.0,,,,,,,,
20,JUV,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,2.4,Alan Luciano Ruschel,6,13,Alan Ruschel,alan-ruschel,0.0,5.29,27,63110,286,0.0,False,A. Ruschel,2,,2.0,11.0,10.0,,,20.0,,3.0,,,2.0,,,,,,,,
21,GRE,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,2.61,Edenílson Andrade dos Santos,7,19,Edenílson,edenilson,0.5,4.91,27,63289,284,-1.08,True,Edenílson,4,1.0,4.0,9.0,11.0,2.0,3.0,20.0,3.0,1.0,,,,,,,,,,,
22,INT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,6.98,Alan Patrick Lourenço,7,20,Alan Patrick,alan-patrick,8.2,13.94,27,68685,285,0.76,True,A. Patrick,4,5.0,3.0,15.0,17.0,6.0,7.0,27.0,9.0,2.0,,,,2.0,,,,,1.0,,
23,CRU,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,1.41,Carlos Eduardo de Oliveira Alves,6,20,Eduardo,eduardo,-0.1,3.25,27,68708,283,-0.16,True,Eduardo,4,,1.0,12.0,16.0,2.0,4.0,9.0,1.0,1.0,1.0,,,,1.0,,,,,,
24,BOT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,2.03,Norberto Murara Neto,5,3,Neto,neto,0.0,7.25,27,68806,263,0.0,False,Neto,1,,,,,,,,,,,,,,,7.0,,3.0,,,
25,SAO,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,1.67,Oscar dos Santos Emboaba Júnior,6,6,Oscar,oscar,0.0,11.39,27,68811,276,0.0,False,Oscar,4,,1.0,5.0,3.0,2.0,,4.0,,,,,,,,,,,,,
26,PAL,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,3.2,Marcelo Lomba do Nascimento,6,1,Marcelo Lomba,marcelo-lomba,0.0,7.63,27,68872,275,0.0,False,M. Lomba,1,,,,,,,,,,,,,,,4.0,,2.0,,,
27,VAS,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,5.06,Philippe Coutinho Correia,7,19,Philippe Coutinho,philippe-coutinho,3.8,9.96,27,68899,267,-0.11,True,P. Coutinho,4,2.0,,8.0,12.0,15.0,16.0,28.0,4.0,1.0,1.0,,,1.0,1.0,,,,,,
28,CAM,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,2.09,Eduardo Pereira Rodrigues,6,9,Dudu,dudu,0.0,7.8,27,68920,282,0.0,False,Dudu,5,,,4.0,5.0,,1.0,11.0,1.0,,,,,,,,,,,,
29,SAO,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,4.95,Rafael Pires Monteiro,7,24,Rafael,rafael,3.5,9.6,27,68928,276,-1.3,True,Rafael,1,,2.0,1.0,,,,6.0,,,,,8.0,,,78.0,,25.0,,,
30,FOR,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,2.95,Mário Sérgio Santos Costa,7,15,Marinho,marinho,0.0,6.22,27,68952,356,0.0,False,Marinho,5,2.0,2.0,10.0,24.0,5.0,11.0,20.0,1.0,13.0,,,,,1.0,,,,,,
31,FOR,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,5.64,Lucas Pacheco Affini,7,18,Lucas Sasha,lucas-sasha,5.2,8.54,27,68991,356,0.31,True,L. Sasha,4,,2.0,64.0,33.0,2.0,2.0,13.0,1.0,1.0,,,,,,,,,,1.0,
32,BAH,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,3.84,Willian José da Silva,3,21,Willian José,willian-jose,6.1,7.7,27,68996,265,0.7,True,W. José,5,4.0,3.0,1.0,8.0,7.0,7.0,9.0,5.0,1.0,,,,2.0,,,,,,,
33,FLU,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,2.46,Manoel Messias Silva Carvalho,6,5,Manoel,manoel,0.0,5.3,27,69014,266,0.0,False,Manoel,3,,,,1.0,,2.0,2.0,,,,,2.0,,,,,,,,
34,BAH,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,0.0,Danilo Fernandes Batista,6,0,Danilo Fernandes,danilo-fernandes,0.0,4.0,27,69051,265,0.0,False,D. Fernandes,1,,,,,,,,,,,,,,,,,,,,
35,SPT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,2.15,Pablo Felipe Teixeira,6,12,Pablo,pablo,0.0,5.37,27,69138,292,0.0,False,Pablo,5,,1.0,6.0,10.0,2.0,5.0,14.0,1.0,6.0,,,,,,,,,,,
36,BOT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,1.73,Allan Marques Loureiro,7,13,Allan,allan,0.0,3.47,27,69140,263,0.04,True,Allan,4,,4.0,18.0,19.0,1.0,,8.0,,,,,,,,,,,,,
37,FLA,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,3.94,Danilo Luiz da Silva,3,11,Danilo,danilo,-3.6,10.91,27,69783,262,-0.95,True,Danilo,3,,1.0,6.0,12.0,1.0,1.0,4.0,1.0,,,,6.0,,1.0,,,,,,
38,SAO,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,4.55,Lucas Rodrigues Moura da Silva,6,4,Lucas Moura,lucas-moura,0.8,6.54,27,70164,276,-0.82,True,L. Moura,4,,,5.0,2.0,,1.0,5.0,1.0,,,,,,,,,,,,
39,VIT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,0.0,Bruno Uvini Bortolança,6,0,Bruno Uvini,bruno-uvini,0.0,4.0,27,70221,287,0.0,False,B. Uvini,3,,,,,,,,,,,,,,,,,,,,
40,RBB,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,4.3,Eduardo Colcenti Antunes,6,23,Eduardo Sasha,eduardo-sasha,0.0,8.31,27,70360,280,0.0,False,E. Sasha,5,2.0,5.0,8.0,7.0,20.0,12.0,21.0,5.0,1.0,,,,1.0,1.0,,,,,,
41,SPT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,4.8,Gabriel Vasconcelos Ferreira,7,14,Gabriel,gabriel,6.8,6.54,27,70449,292,0.71,True,Gabriel,1,,1.0,,,,,1.0,,,,,3.0,,,56.0,,20.0,,,
42,PAL,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,4.75,Felipe Anderson Pereira Gomes,7,20,Felipe Anderson,felipe-anderson,2.0,7.34,27,70592,275,-0.96,True,F. Anderson,4,2.0,,39.0,11.0,6.0,7.0,12.0,1.0,2.0,,,,1.0,,,,,,,
43,CEA,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,3.76,Marllon Gonçalves Jerônimo Borges,6,17,Marllon,marllon,0.0,6.82,27,70666,354,0.0,False,Marllon,3,,2.0,12.0,12.0,,2.0,8.0,2.0,,,,6.0,,,,,,,,
44,CAM,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,4.82,Jorge Sampaoli,7,4,Jorge Sampaoli,jorge-sampaoli,2.72,10.39,27,70800,282,-1.3,True,J. Sampaoli,6,,,,,,,,,,,1.0,,,,,,,,,
45,FOR,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,4.55,Diogo Barbosa Mendanha,6,11,Diogo Barbosa,diogo-barbosa,0.0,8.22,27,70916,356,0.0,False,D. Barbosa,2,,1.0,15.0,6.0,,3.0,10.0,1.0,,,,3.0,,,,,,,,
46,INT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,2.5,Bruno Henrique Corsini,7,20,Bruno Henrique,bruno-henrique,1.5,5.8,27,70944,285,-0.02,True,B. Henrique,4,,1.0,26.0,34.0,3.0,9.0,11.0,1.0,,1.0,,,,1.0,,,,,,
47,VAS,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,0.2,Thiago Henrique Mendes Ribeiro,5,3,Thiago Mendes,thiago-mendes,0.0,4.96,27,71123,267,0.0,False,T. Mendes,4,,1.0,1.0,3.0,,,2.0,,,,,,,,,,,,,
48,CEA,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,1.3,Vinícius Goes Barbosa de Souza,6,6,Vina,vina,0.0,4.61,27,71162,354,-0.21,True,Vina,4,,1.0,2.0,3.0,1.0,,5.0,,,,,,1.0,,,,,,,
49,SAO,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,5.05,Luiz Gustavo Dias,7,2,Luiz Gustavo,luiz-gustavo,0.0,10.0,27,71536,276,0.0,False,L. Gustavo,4,,,4.0,4.0,,1.0,3.0,,,,,,1.0,,,,,,,
50,CEA,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,6.18,Fernando Miguel Kaufmann,6,6,Fernando Miguel,fernando-miguel,0.0,7.02,27,71571,354,0.0,False,F. Miguel,1,,,,,,,6.0,,,,,3.0,,,17.0,,3.0,,,
51,PAL,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,4.51,Weverton Pereira da Silva,7,24,Weverton,weverton,1.9,8.05,27,71631,275,-1.02,True,Weverton,1,,2.0,,,,,9.0,,,,,9.0,,,56.0,1.0,19.0,,,
52,VIT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,2.56,Raúl Alejandro Cáceres Bogado,7,13,Raúl Cáceres,raul-caceres,8.5,4.26,27,71680,287,0.74,True,R. Cáceres,2,1.0,5.0,6.0,18.0,4.0,2.0,3.0,1.0,2.0,,,3.0,,,,,,,1.0,
53,PAL,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,4.73,Gustavo Raúl Gómez Portillo,6,20,Gustavo Gómez,gustavo-gomez,1.5,8.83,27,71684,275,-0.81,True,G. Gómez,3,1.0,6.0,30.0,24.0,1.0,5.0,11.0,1.0,8.0,,,8.0,,,,,,,,
54,BAH,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,3.11,Santiago Arias Naranjo,7,12,Santiago Arias,santiago-arias,0.0,6.06,27,71701,265,0.0,False,S. Arias,2,,3.0,13.0,8.0,2.0,3.0,9.0,,1.0,,,3.0,,,,,,,1.0,
55,GRE,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,3.63,Gustavo Leonardo Cuellar Gallego,6,7,Cuéllar,cuellar,0.0,6.05,27,71709,284,0.0,False,Cuéllar,4,,1.0,17.0,12.0,,,9.0,,,,,,,,,,,,,
56,GRE,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,4.16,Tiago Luis Volpi,6,22,Tiago Volpi,tiago-volpi,0.0,7.33,27,72018,284,0.0,False,T. Volpi,1,,2.0,,,,,7.0,1.0,,,,4.0,,,70.0,,28.0,,1.0,
57,MIR,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,0.0,Carlos Eduardo Lecciolle Thomazella,6,0,Thomazella,thomazella,0.0,2.0,27,72279,2305,0.0,False,Thomazella,1,,,,,,,,,,,,,,,,,,,,
58,CAM,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,4.45,Everson Felipe Marques Pires,7,23,Everson,everson,6.1,9.44,27,72294,282,-0.72,True,Everson,1,,6.0,,,,,6.0,,,,,8.0,,,71.0,,27.0,,,
59,CEA,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,0.0,Luiz Otávio Anacleto Leandro,5,0,Luiz Otávio,luiz-otavio,0.0,4.0,27,72359,354,0.0,False,L. Otávio,3,,,,,,,,,,,,,,,,,,,,
60,VAS,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,5.47,Fernando Diniz Silva,7,17,Fernando Diniz,fernando-diniz,6.75,9.92,27,72391,267,0.44,True,F. Diniz,6,,,,,,,,,,,6.0,,,,,,,,,
61,CAM,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,1.02,Bernard Anício Caldeira Duarte,7,17,Bernard,bernard,5.9,4.16,27,72460,282,0.82,True,Bernard,4,,1.0,11.0,9.0,1.0,2.0,4.0,,1.0,,,,,,,,,,,
62,BOT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,5.59,Alex Nicolao Telles,6,17,Alex Telles,alex-telles,0.0,10.51,27,72493,263,0.0,False,A. Telles,2,2.0,1.0,8.0,16.0,2.0,7.0,10.0,2.0,1.0,,,10.0,,,,,,,,
63,CEA,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,4.82,Pedro Henrique Konzen Medina da Silva,7,18,Pedro Henrique,pedro-henrique,17.2,9.57,27,72583,354,1.96,True,P. Henrique,5,1.0,4.0,21.0,21.0,6.0,10.0,18.0,4.0,7.0,,,,2.0,,,,,,1.0,
64,CAM,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,5.45,Vitor Hugo Franchescoli de Souza,7,11,Vitor Hugo,vitor-hugo,3.2,7.99,27,72605,282,-1.33,True,V. Hugo,3,,2.0,18.0,3.0,,3.0,1.0,1.0,1.0,,,5.0,,,,,,,,
65,JUV,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,1.55,Wílker José Ángel Romero,5,14,Wilker Ángel,wilker-angel,0.0,2.98,27,72801,286,0.0,False,W. Ángel,3,,4.0,5.0,22.0,3.0,3.0,4.0,1.0,2.0,,,2.0,,,,,,,1.0,
66,INT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,3.57,Gabriel Iván Mercado,2,4,Mercado,mercado,7.4,6.92,27,72951,285,0.8,True,Mercado,3,,1.0,6.0,4.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,
67,MIR,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,3.58,Daniel Fortunato Borges,2,10,Daniel Borges,daniel-borges,1.3,4.45,27,73318,2305,-0.53,True,D. Borges,2,,2.0,3.0,7.0,,3.0,4.0,2.0,,,,3.0,,,,,,,,
68,FLU,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,4.85,Samuel Xavier Brito,7,17,Samuel Xavier,samuel-xavier,14.5,10.27,27,73384,266,2.06,True,S. Xavier,2,1.0,3.0,12.0,18.0,1.0,4.0,19.0,3.0,,,,6.0,,,,,,,,
69,MIR,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,2.81,Gabriel Santana Pinto,7,18,Gabriel,gabriel,0.0,5.29,27,73515,2305,0.0,False,Gabriel,4,1.0,2.0,4.0,6.0,5.0,5.0,18.0,3.0,5.0,1.0,,,,,,,,,,
70,MIR,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,1.23,Guilherme Costa Marques,6,3,Guilherme Marques,guilherme-marques,1.4,4.44,27,73781,2305,-0.28,True,G. Marques,4,,,1.0,3.0,,2.0,3.0,,,,,,,,,,,,,
71,SAN,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,1.27,Tomás Eduardo Rincón Hernández,6,16,Rincón,rincon,1.2,3.28,27,74187,277,-0.19,True,Rincón,4,,4.0,17.0,24.0,,7.0,7.0,,,,,,,1.0,,,,,,
72,COR,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,3.06,André Martín Carrillo Díaz,5,15,Carrillo,carrillo,0.0,6.96,27,77485,264,0.0,False,Carrillo,4,1.0,1.0,19.0,18.0,1.0,5.0,12.0,1.0,2.0,,,,,,,,,,,
73,SAO,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,3.5,Cédric Ricardo Alves Soares,7,22,Cédric Soares,cedric-soares,4.5,7.08,27,77656,276,-0.2,True,C. Soares,2,2.0,1.0,23.0,10.0,,3.0,8.0,,,,,6.0,,,,,,,,
74,SPT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,4.6,Sérgio Miguel Relvas de Oliveira,6,8,Sérgio Oliveira,sergio-oliveira,0.0,8.59,27,77664,292,0.0,False,S. Oliveira,4,,3.0,14.0,12.0,3.0,6.0,6.0,1.0,,,,,1.0,,,,,,,
75,VIT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,1.56,Romário Ricardo da Silva,6,5,Romarinho,romarinho,0.0,5.44,27,77738,287,-0.76,True,Romarinho,5,,,2.0,,1.0,2.0,4.0,,,,,,,,,,,,,
