,atletas.slug,atletas.preco_num,atletas.foto,atletas.jogos_num,atletas.rodada_id,atletas.pontos_num,atletas.apelido,atletas.entrou_em_campo,atletas.clube_id,atletas.posicao_id,atletas.nome,atletas.clube.id.full.name,atletas.media_num,atletas.apelido_abreviado,atletas.status_id,atletas.atleta_id,atletas.variacao_num,CA,DS,FC,FD,FS,CV,FF,FT,I,PC,G,SG,DE,GS,A,PS,V,DP,GC,PP
17,david-luiz,7.34,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,6,14,0.0,David Luiz,False,356,3,David Luiz Moreira Marinho,FOR,3.18,D. Luiz,6,52827,0.0,2.0,5.0,6.0,1.0,2.0,,4.0,,,,,2.0,,,,,,,,
18,leo-gamalho,4.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,0,14,0.0,Léo Gamalho,False,2305,5,Leonardo Gamalho de Souza,MIR,0.0,L. Gamalho,6,53865,0.0,,,,,,,,,,,,,,,,,,,,
19,alex-teixeira,2.47,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,8,14,0.0,Alex Teixeira,False,267,5,Alex Teixeira Santos,VAS,0.66,A. Teixeira,6,60793,0.0,1.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,
20,gilberto,6.27,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,9,14,0.0,Gilberto,False,286,5,Gilberto Oliveira Souza Júnior,JUV,2.61,Gilberto,7,61188,0.0,2.0,,12.0,2.0,7.0,,3.0,,2.0,,2.0,,,,1.0,,,,,
21,alex-sandro,10.75,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,10,14,0.0,Alex Sandro,False,262,2,Alex Sandro Lobo Silva,FLA,5.05,A. Sandro,6,61987,0.0,1.0,11.0,20.0,,9.0,,2.0,,1.0,,,7.0,,,,,,,,
22,ganso,6.62,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,7,14,0.0,Ganso,False,266,4,Paulo Henrique Chagas de Lima,FLU,1.69,Ganso,2,62977,0.0,1.0,5.0,1.0,,8.0,,2.0,,,,,,,,,,,,,
23,neymar,16.37,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,5,14,10.8,Neymar,True,277,4,Neymar da Silva Santos Júnior,SAN,3.24,Neymar,7,63007,0.63,1.0,,8.0,4.0,18.0,1.0,1.0,,,,1.0,,,,,,,,,
24,marcos-rocha,7.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,0,14,0.0,Marcos Rocha,False,275,2,Marcos Luis Rocha Aquino,PAL,0.0,M. Rocha,2,63013,0.0,,,,,,,,,,,,,,,,,,,,
25,alan-ruschel,6.2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,9,14,0.0,Alan Ruschel,False,286,2,Alan Luciano Ruschel,JUV,3.21,A. Ruschel,6,63110,0.0,2.0,10.0,8.0,,17.0,,,,2.0,,,2.0,,,,,,,,
26,edenilson,5.58,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,8,14,0.0,Edenílson,False,284,4,Edenílson Andrade dos Santos,GRE,2.22,Edenílson,6,63289,0.0,3.0,3.0,5.0,,8.0,,1.0,,,,1.0,,,,1.0,,,,,
