,atletas.slug,atletas.preco_num,atletas.foto,atletas.jogos_num,atletas.rodada_id,atletas.pontos_num,atletas.apelido,atletas.entrou_em_campo,atletas.clube_id,atletas.posicao_id,atletas.nome,atletas.clube.id.full.name,atletas.media_num,atletas.apelido_abreviado,atletas.status_id,atletas.atleta_id,atletas.variacao_num,CA,DS,FC,FD,FS,CV,FF,FT,I,PC,G,SG,DE,GS,A,PS,V,DP,GC,PP
71,wilker-angel,3.13,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,6,14,0.0,Wilker Ángel,False,286,3,Wílker José Ángel Romero,JUV,0.53,W. Ángel,7,72801,0.0,2.0,1.0,7.0,,,,1.0,,,,,1.0,,,,,,,,
72,mercado,6.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,0,14,0.0,Mercado,False,285,3,Gabriel Iván Mercado,INT,0.0,Mercado,6,72951,0.0,,,,,,,,,,,,,,,,,,,,
73,daniel-borges,3.83,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,5,14,0.0,Daniel Borges,False,2305,2,Daniel Fortunato Borges,MIR,3.66,D. Borges,6,73318,0.0,2.0,3.0,5.0,,1.0,,1.0,,,,2.0,,,,,,,,,
74,samuel-xavier,8.82,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,10,14,2.5,Samuel Xavier,True,266,2,Samuel Xavier Brito,FLU,4.44,S. Xavier,7,73384,-1.04,2.0,8.0,13.0,1.0,15.0,,2.0,,,,1.0,3.0,,,1.0,,,,,
75,gabriel,5.18,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,10,14,0.0,Gabriel,True,2305,4,Gabriel Santana Pinto,MIR,2.6,Gabriel,7,73515,-0.22,1.0,3.0,1.0,1.0,7.0,,2.0,,5.0,,2.0,,,,,1.0,,,,
76,rincon,3.88,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,7,14,1.1,Rincón,True,277,4,Tomás Eduardo Rincón Hernández,SAN,1.55,Rincón,2,74187,-0.04,2.0,8.0,17.0,,4.0,,5.0,,,,,,,,,,,,,
77,carrillo,7.05,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,11,14,7.0,Carrillo,True,264,4,André Martín Carrillo Díaz,COR,3.27,Carrillo,7,77485,0.94,,18.0,14.0,1.0,8.0,,4.0,,2.0,,,,,,1.0,,,,,
78,cedric-soares,6.07,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,12,14,-0.3,Cédric Soares,True,276,2,Cédric Ricardo Alves Soares,SAO,2.15,C. Soares,7,77656,-0.52,1.0,10.0,5.0,,5.0,,1.0,,,,,1.0,,,1.0,,,,,
79,sergio-oliveira,8.59,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,8,14,0.0,Sérgio Oliveira,False,292,4,Sérgio Miguel Relvas de Oliveira,SPT,4.6,S. Oliveira,7,77664,0.0,3.0,14.0,12.0,3.0,6.0,,6.0,1.0,,,1.0,,,,,,,,,
80,joao-schmidt,4.59,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,9,14,0.0,João Schmidt,False,277,4,João Felipe Schmidt Urbano,SAN,2.37,J. Schmidt,2,77777,0.0,3.0,15.0,15.0,1.0,4.0,,4.0,,1.0,,,,,,,,,,,
81,everaldo,3.74,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,12,14,2.2,Everaldo,True,266,5,Everaldo Stum,FLU,1.7,Everaldo,6,78117,0.29,1.0,2.0,13.0,5.0,7.0,,6.0,,,,1.0,,,,,,,,,
82,gustavo-henrique,7.11,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,4,14,0.0,Gustavo Henrique,False,264,3,Gustavo Henrique Vernes,COR,3.35,G. Henrique,6,78248,0.0,,7.0,2.0,1.0,3.0,,1.0,,,,,,,,,,,,,
83,rene,9.33,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,9,14,1.5,Renê,True,266,2,Renê Rodrigues Martins,FLU,7.02,Renê,2,78445,-1.71,,25.0,8.0,,7.0,,2.0,,,,1.0,3.0,,,,,,,,
84,claudio-tencati,8.05,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,4,14,0.0,Cláudio Tencati,False,286,6,Cláudio Tencati,JUV,4.78,C. Tencati,7,78450,0.0,,,,,,,,,,,,,,,,,1.0,,,
85,willian-arao,7.19,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,1,14,-0.3,Willian Arão,True,277,4,Willian Souza Arão da Silva,SAN,-0.3,W. Arão,6,78478,-0.81,,,1.0,,,,,,,,,,,,,,,,,
86,cleber-xavier,10.65,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,7,14,7.33,Cleber Xavier,True,277,6,Cleber Marcio Serpa Xavier,SAN,5.35,C. Xavier,7,78479,0.43,,,,,,,,,,,,,,,,,3.0,,,
87,gabriel,6.06,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,13,14,1.7,Gabriel,True,280,4,Gabriel Girotto Franco,RBB,3.77,Gabriel,3,78605,0.24,3.0,25.0,20.0,1.0,16.0,,4.0,,,,1.0,,,,,,,,,
88,reinaldo,9.16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,12,14,0.7,Reinaldo,True,2305,2,Reinaldo Manoel da Silva,MIR,7.24,Reinaldo,7,78850,-1.93,2.0,10.0,9.0,4.0,9.0,,4.0,,,,6.0,2.0,,,2.0,,,,,1.0
89,richard,5.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,0,14,0.0,Richard,False,354,1,Richard de Oliveira Costa,CEA,0.0,Richard,6,78851,0.0,,,,,,,,,,,,,,,,,,,,
90,thiago-santos,7.89,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,4,14,0.0,Thiago Santos,False,266,3,Thiago dos Santos,FLU,5.15,T. Santos,6,78855,0.0,,4.0,3.0,,1.0,,,,,,,3.0,,,,,,,,
91,alex-muralha,3.34,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,6,14,0.0,Alex Muralha,False,2305,1,Alex Roberto Santana Rafael,MIR,2.37,A. Muralha,6,79066,0.0,2.0,,,,1.0,,,,,,,,19.0,9.0,,,,,,
92,bruno-ferreira,5.69,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,5,14,0.3,Bruno Ferreira,True,354,1,Bruno Ferreira Ventura Diniz - de Lins,CEA,3.7,B. Ferreira,7,79266,-0.9,1.0,,1.0,,1.0,,,,,,,2.0,11.0,5.0,,,,,,
93,roger-machado,9.98,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,13,14,0.0,Roger Machado,False,285,6,Roger Machado Marques,INT,5.06,R. Machado,7,79437,0.0,,,,,,,,,,,,,,,,,3.0,,,
94,cano,8.26,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,7,14,1.3,Cano,True,266,5,Germán Ezequiel Cano,FLU,2.9,Cano,7,79631,-0.15,1.0,1.0,4.0,1.0,8.0,,10.0,,2.0,,1.0,,,,,,,,,
95,lucas-silva,4.98,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,13,14,1.2,Lucas Silva,True,283,4,Lucas Silva Borges,CRU,2.42,L. Silva,7,79701,0.28,2.0,7.0,22.0,1.0,10.0,,3.0,1.0,,,1.0,,,,2.0,,,,,
96,antonio-carlos,3.81,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,3,14,0.0,Antônio Carlos,False,292,3,Antônio Carlos Cunha Capocasali Júnior,SPT,1.37,A. Carlos,6,79702,0.0,,3.0,3.0,,1.0,,,,,,,,,,,,,,,
97,ze-roberto,6.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,0,14,0.0,Zé Roberto,False,292,5,José Roberto Assunção de Araújo Filho,SPT,0.0,Z. Roberto,6,80076,0.0,,,,,,,,,,,,,,,,,,,,
98,jadson,6.43,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,11,14,0.0,Jadson,False,286,4,Jadson Alves dos Santos,JUV,3.65,Jadson,7,80129,0.0,4.0,21.0,17.0,3.0,19.0,,1.0,,2.0,1.0,,,,,1.0,,,,,
99,yago-pikachu,8.29,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,11,14,0.0,Yago Pikachu,False,356,4,Glaybson Yago Souza Lisboa,FOR,3.63,Y. Pikachu,7,80196,0.0,,7.0,4.0,3.0,10.0,,3.0,1.0,3.0,,2.0,,,,,1.0,,,,
100,rafa-silva,4.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,0,14,0.0,Rafa Silva,False,2305,5,Rafael da Silva,MIR,0.0,R. Silva,6,80225,0.0,,,,,,,,,,,,,,,,,,,,
101,luciano,11.27,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,11,14,19.4,Luciano,True,276,5,Luciano da Rocha Neves,SAO,5.69,Luciano,7,80287,2.3,3.0,13.0,10.0,9.0,16.0,,13.0,,1.0,,1.0,,,,2.0,2.0,,,,
102,gilberto,7.57,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,11,14,0.0,Gilberto,False,265,2,Gilberto Moraes Júnior,BAH,4.12,Gilberto,7,80313,0.0,2.0,14.0,9.0,1.0,5.0,,3.0,,1.0,,1.0,3.0,,,,,,,,
103,wendell,8.51,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,7,14,0.0,Wendell,False,276,2,Wendell Nascimento Borges,SAO,3.23,Wendell,6,80570,0.0,,7.0,8.0,,9.0,,,,,,,2.0,,,,,,,,
104,lucas-lima,5.51,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,11,14,0.0,Lucas Lima,False,292,4,Lucas Rafael Araújo Lima,SPT,2.54,L. Lima,7,80583,0.0,5.0,7.0,16.0,7.0,17.0,,1.0,,5.0,,,,,,2.0,,,,,
105,jair,4.89,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,6,14,0.0,Jair,False,267,4,Jair Rodrigues Júnior,VAS,2.02,Jair,6,81091,0.0,2.0,8.0,9.0,,8.0,,1.0,,,,,,,,,,,,,
106,lucas-mugni,6.45,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,10,14,-1.6,Lucas Mugni,True,354,4,Lucas Andrés Mugni,CEA,4.19,L. Mugni,3,81121,-0.66,3.0,15.0,16.0,1.0,8.0,,5.0,,1.0,,1.0,,,,2.0,,,,,
107,mayke,8.36,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,3,14,1.2,Mayke,True,275,2,Mayke Rocha de Oliveira,PAL,3.4,Mayke,2,81150,-0.56,1.0,5.0,10.0,,2.0,,1.0,,1.0,,,1.0,,,,,,,,
108,goncalo-paciencia,6.3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,3,14,0.0,Gonçalo Paciência,False,292,5,Gonçalo Mendes Paciência,SPT,0.87,G. Paciência,7,81401,0.0,,,1.0,,1.0,,3.0,,,,,,,,,,,,,
109,alisson,4.55,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,12,14,0.2,Alisson,True,276,4,Alisson Euler de Freitas Castro,SAO,1.77,Alisson,7,81845,-0.45,3.0,6.0,11.0,3.0,15.0,,3.0,,,,,,,,1.0,,,,,
110,joao-ricardo,8.76,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,11,14,0.0,João Ricardo,False,356,1,João Ricardo Riedi,FOR,4.75,J. Ricardo,5,81881,0.0,,,,,,,,,,,,4.0,41.0,18.0,,,,,1.0,
111,willian-oliveira,4.49,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,6,14,3.8,Willian Oliveira,True,287,4,Willian Osmar de Oliveira Silva,VIT,2.28,W. Oliveira,3,81952,-0.35,3.0,8.0,9.0,1.0,6.0,,4.0,,,,,,,,,,,,,
112,chico-kim,5.99,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,4,14,3.0,Chico Kim,True,2305,4,Francisco Hyun-Sol Kim,MIR,3.85,C. Kim,6,82407,0.15,,7.0,1.0,1.0,6.0,,,,,,,,,,,1.0,,,,
113,ze-rafael,8.43,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,6,14,6.2,Zé Rafael,True,277,4,José Rafael Vivian,SAN,4.77,Z. Rafael,7,82455,0.38,1.0,16.0,5.0,,11.0,,2.0,,,,,,,,,,,,,
114,otavio,7.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,0,14,0.0,Otávio,False,266,4,Otávio Henrique Passos Santos,FLU,0.0,Otávio,6,82463,0.0,,,,,,,,,,,,,,,,,,,,
115,luiz-araujo,9.51,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,12,14,3.0,Luiz Araújo,True,262,5,Luiz de Araújo Guimarães Neto,FLA,6.19,L. Araújo,7,82627,-1.39,,20.0,8.0,4.0,7.0,,8.0,1.0,1.0,,3.0,,,,1.0,,,,,
116,tinga,8.39,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,6,14,0.0,Tinga,False,356,2,Guilherme de Jesus da Silva,FOR,4.9,Tinga,7,82628,0.0,1.0,4.0,4.0,,2.0,,2.0,,,,1.0,3.0,,,,,,,,
117,marcelo-hermes,6.02,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,1,14,0.0,Marcelo Hermes,False,286,2,Marcelo Gazella Hermes,JUV,6.2,M. Hermes,7,82639,0.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,,
118,lucas-ramon,8.35,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,11,14,1.4,Lucas Ramon,True,2305,2,Lucas Ramon Batista Silva,MIR,5.79,L. Ramon,7,82775,-1.03,2.0,23.0,13.0,2.0,16.0,,1.0,,1.0,,1.0,2.0,,,1.0,1.0,,,,
119,rafael-thyere,6.23,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,1,14,0.0,Rafael Thyere,False,292,3,Rafael Thyere de Albuquerque Marques,SPT,4.4,R. Thyere,7,83048,0.0,,1.0,2.0,,1.0,,,1.0,,,,,,,,,,,,
120,alan-benitez,7.37,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,1,14,0.0,Alan Benítez,False,285,2,Alan Max Benítez Domínguez,INT,5.0,A. Benítez,6,83251,0.0,,,,,,,,,,,,1.0,,,,,,,,
121,gabriel,6.42,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,11,14,0.0,Gabriel,True,283,5,Gabriel Barbosa Almeida,CRU,2.79,Gabriel,6,83257,-0.01,1.0,1.0,1.0,4.0,3.0,,3.0,,3.0,,2.0,,,,2.0,,,,,1.0
122,leo-pereira,9.08,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,12,14,2.0,Léo Pereira,True,262,3,Leonardo Pereira,FLA,4.83,L. Pereira,7,83528,-0.54,,6.0,5.0,1.0,3.0,,1.0,,,1.0,1.0,8.0,,,,,,,,
123,neris,3.37,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,3,14,0.0,Neris,False,287,3,Hueglo dos Santos Neris,VIT,0.0,Neris,5,83786,0.0,1.0,1.0,7.0,1.0,1.0,,,,1.0,,,,,,,,,,,
124,tiquinho-soares,8.83,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,11,14,0.0,Tiquinho Soares,False,277,5,Francisco das Chagas Soares dos Santos Meireles,SAN,3.4,T. Soares,6,84042,0.0,2.0,6.0,17.0,4.0,13.0,,8.0,,2.0,,1.0,,,,2.0,,,,,
125,ruan-carneiro,1.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,0,14,0.0,Ruan Carneiro,False,286,1,Eudes Ruan de Souza Carneiro,JUV,0.0,R. Carneiro,6,84094,0.0,,,,,,,,,,,,,,,,,,,,
126,jemerson,4.77,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,9,14,0.0,Jemerson,False,284,3,Jemerson de Jesus Nascimento,GRE,3.2,Jemerson,6,84263,0.0,3.0,11.0,14.0,1.0,3.0,,1.0,1.0,,,1.0,1.0,,,,,,,,
127,fernando-sobral,4.43,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,10,14,-0.8,Fernando Sobral,True,354,4,Fernando Pereira do Nascimento,CEA,1.95,F. Sobral,7,84428,-0.83,4.0,15.0,15.0,,8.0,,2.0,,1.0,,,,,,,,,,,
128,romarinho,3.07,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,5,14,0.0,Romarinho,False,292,5,José Romário Silva de Souza,SPT,1.0,Romarinho,6,84523,0.0,,,,2.0,2.0,,2.0,,,,,,,,,,,,,
129,lucas-romero,8.83,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,13,14,6.8,Lucas Romero,True,283,4,Lucas Daniel Romero,CRU,5.54,L. Romero,7,84558,-0.21,4.0,32.0,14.0,1.0,20.0,,4.0,,1.0,,1.0,,,,2.0,,,,,
130,lucas-evangelista,6.43,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,8,14,0.0,Lucas Evangelista,False,275,4,Lucas Evangelista Santana de Oliveira,PAL,2.48,L. Evangelista,6,84674,0.0,,6.0,5.0,1.0,9.0,,2.0,,,,,,,,1.0,,,,,
131,jorginho,10.21,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,2,14,0.4,Jorginho,True,262,4,Jorge Luiz Frello Filho,FLA,0.8,Jorginho,7,84735,-1.11,1.0,2.0,3.0,,1.0,,,,,,,,,,,,,,,
132,varela,8.3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,8,14,0.5,Varela,True,262,2,Guillermo Varela Olivera,FLA,6.29,Varela,7,84816,-0.96,,6.0,1.0,1.0,3.0,,,,1.0,1.0,,6.0,,,2.0,,,,,
133,luan-peres,5.55,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,6,14,3.7,Luan Peres,True,277,3,Luan Peres Petroni,SAN,2.58,L. Peres,7,84847,0.4,4.0,3.0,9.0,1.0,3.0,,,,,,,3.0,,,,,,,,
134,marcos-felipe,7.43,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,10,14,0.0,Marcos Felipe,False,265,1,Marcos Felipe de Freitas Monteiro,BAH,4.76,M. Felipe,7,85004,0.0,,,,,3.0,,,,,1.0,,4.0,27.0,8.0,,,,,,
135,oscar-romero,4.71,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,8,14,0.0,Óscar Romero,False,285,4,Óscar David Romero Villamayor,INT,1.57,O. Romero,6,85034,0.0,1.0,2.0,1.0,1.0,5.0,,4.0,,,1.0,,,,,1.0,,,,,
136,memphis-depay,14.57,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,9,14,0.0,Memphis Depay,False,264,5,Memphis Depay,COR,6.85,M. Depay,7,85048,0.0,3.0,4.0,7.0,7.0,13.0,,6.0,2.0,,,3.0,,,,3.0,,,,,1.0
137,vinicius-silvestre,5.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,0,14,0.0,Vinicius Silvestre,False,356,1,Vinicius Silvestre da Costa,FOR,0.0,V. Silvestre,2,85083,0.0,,,,,,,,,,,,,,,,,,,,
138,danielzinho,5.05,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,12,14,-0.3,Danielzinho,True,2305,4,Daniel de Oliveira Sertanejo,MIR,3.22,Danielzinho,7,85403,-0.5,2.0,13.0,15.0,2.0,22.0,,4.0,1.0,,,,,,,1.0,1.0,,,,
139,joao-paulo,6.45,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,0,14,0.0,João Paulo,False,277,1,João Paulo Silva Martins,SAN,-1.0,J. Paulo,6,85425,0.0,2.0,,,,,,,,,,,,,,,,,,,
140,alex-santana,4.31,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,4,14,0.0,Alex Santana,False,284,4,Alex Paulo Menezes Santana,GRE,0.85,A. Santana,7,85465,0.0,1.0,1.0,4.0,,5.0,,2.0,,,,,,,,,,,,,
141,ricardo-ryller,2.69,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,12,14,0.3,Ricardo Ryller,True,287,4,Ricardo Ryller Ribeiro Lino Silva,VIT,1.26,R. Ryller,7,85856,-0.19,3.0,13.0,25.0,3.0,5.0,,,,,,,,,,,,,,,
142,aylon,4.72,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,6,14,2.0,Aylon,True,354,5,Aylon Darwin Tavella,CEA,3.23,Aylon,6,85930,0.1,,4.0,9.0,1.0,9.0,,3.0,,,,1.0,,,,,,,,,
143,hyoran,5.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,0,14,0.0,Hyoran,False,292,4,Hyoran Kaue Dalmoro,SPT,0.0,Hyoran,6,85931,0.0,,,,,,,,,,,,,,,,,,,,
144,bolasie,3.73,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,7,14,0.0,Bolasie,False,283,5,Yannick Bolasie,CRU,0.69,Bolasie,6,86292,0.0,,3.0,6.0,1.0,2.0,,,,1.0,,,,,,,,,,,
145,victor-luis,4.24,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,1,14,0.0,Victor Luis,False,267,2,Victor Luis Chuab Zamblauskas,VAS,1.7,V. Luis,6,86410,0.0,,,,1.0,1.0,,,,,,,,,,,,,,,
146,keno,5.72,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,5,14,1.2,Keno,True,266,5,Marcos da Silva França,FLU,1.8,Keno,6,86485,-0.29,,1.0,2.0,2.0,5.0,,4.0,,,,,,,,,,,,,
147,jandrei,5.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,0,14,0.0,Jandrei,False,276,1,Jandrei Chitolina Carniel,SAO,0.0,Jandrei,6,86508,0.0,,,,,,,,,,,,,,,,,,,,
148,richardson,3.62,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,1,14,0.0,Richardson,False,354,4,Richardson Fernandes dos Santos,CEA,0.0,Richardson,6,86536,0.0,,,,,,,,,,,,,,,,,,,,
