,atletas.jogos_num,atletas.foto,atletas.media_num,atletas.nome,atletas.status_id,atletas.atleta_id,atletas.apelido_abreviado,atletas.clube.id.full.name,atletas.variacao_num,atletas.entrou_em_campo,atletas.rodada_id,atletas.preco_num,atletas.clube_id,atletas.posicao_id,atletas.apelido,atletas.slug,atletas.pontos_num,A,CA,DS,FC,FD,FF,FS,G,I,PS,SG,DE,GS,FT,V,CV,DP,PP,PC,GC
24,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,2.03,Norberto Murara Neto,5,68806,Neto,BOT,0.0,False,30,7.25,263,1,Neto,neto,0.0,,,,,,,,,,,,7.0,3.0,,,,,,,
25,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,1.67,Oscar dos Santos Emboaba Júnior,5,68811,Oscar,SAO,0.0,False,30,11.39,276,4,Oscar,oscar,0.0,,1.0,5.0,3.0,2.0,,4.0,,,,,,,,,,,,,
26,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,3.2,Marcelo Lomba do Nascimento,6,68872,M. Lomba,PAL,0.0,False,30,7.63,275,1,Marcelo Lomba,marcelo-lomba,0.0,,,,,,,,,,,,4.0,2.0,,,,,,,
27,22,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,4.79,Philippe Coutinho Correia,7,68899,P. Coutinho,VAS,-0.37,True,30,9.52,267,4,Philippe Coutinho,philippe-coutinho,1.7,3.0,1.0,9.0,13.0,16.0,17.0,32.0,4.0,1.0,1.0,,,,1.0,,1.0,,,,
28,12,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,2.48,Eduardo Pereira Rodrigues,7,68920,Dudu,CAM,0.48,True,30,8.25,282,5,Dudu,dudu,5.5,1.0,,4.0,6.0,1.0,2.0,14.0,1.0,2.0,,,,,1.0,,,,,,
29,27,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,5.02,Rafael Pires Monteiro,7,68928,Rafael,SAO,0.7,True,30,10.32,276,1,Rafael,rafael,8.9,,2.0,1.0,,,,6.0,,,,9.0,91.0,30.0,,,,,,,
30,16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,3.02,Mário Sérgio Santos Costa,6,68952,Marinho,FOR,0.0,False,30,6.63,356,5,Marinho,marinho,0.0,2.0,2.0,11.0,24.0,5.0,13.0,22.0,1.0,13.0,,,,,,,1.0,,,,
31,21,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,5.77,Lucas Pacheco Affini,7,68991,L. Sasha,FOR,-0.42,True,30,8.71,356,4,Lucas Sasha,lucas-sasha,5.0,,2.0,73.0,37.0,5.0,4.0,17.0,1.0,1.0,,,,,,,,,,1.0,
32,23,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,4.2,Willian José da Silva,7,68996,W. José,BAH,-1.9,True,30,7.28,265,5,Willian José,willian-jose,0.9,5.0,3.0,1.0,9.0,9.0,8.0,9.0,6.0,1.0,,,,,2.0,,,,,,
33,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,2.46,Manoel Messias Silva Carvalho,6,69014,Manoel,FLU,0.0,False,30,5.3,266,3,Manoel,manoel,0.0,,,,1.0,,2.0,2.0,,,,2.0,,,,,,,,,
34,0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,0.0,Danilo Fernandes Batista,6,69051,D. Fernandes,BAH,0.0,False,30,4.0,265,1,Danilo Fernandes,danilo-fernandes,0.0,,,,,,,,,,,,,,,,,,,,
35,14,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,2.03,Pablo Felipe Teixeira,6,69138,Pablo,SPT,0.0,False,30,5.31,292,5,Pablo,pablo,0.0,,1.0,6.0,10.0,2.0,7.0,16.0,1.0,6.0,,,,,,,,,,,
36,16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,1.47,Allan Marques Loureiro,3,69140,Allan,BOT,-0.41,True,30,3.13,263,4,Allan,allan,-1.3,,6.0,20.0,23.0,1.0,1.0,9.0,,,,,,,,,,,,,
37,13,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,3.64,Danilo Luiz da Silva,6,69783,Danilo,FLA,-0.04,True,30,11.28,262,3,Danilo,danilo,2.8,,1.0,8.0,13.0,1.0,2.0,5.0,1.0,,,6.0,,,,,1.0,,,,
38,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,3.53,Lucas Rodrigues Moura da Silva,7,70164,L. Moura,SAO,-0.35,True,30,6.13,276,4,Lucas Moura,lucas-moura,2.0,,,6.0,3.0,2.0,4.0,8.0,1.0,,,,,,,,,,,1.0,
39,0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,0.0,Bruno Uvini Bortolança,6,70221,B. Uvini,VIT,0.0,False,30,4.0,287,3,Bruno Uvini,bruno-uvini,0.0,,,,,,,,,,,,,,,,,,,,
40,26,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,4.03,Eduardo Colcenti Antunes,7,70360,E. Sasha,RBB,0.07,True,30,7.97,280,5,Eduardo Sasha,eduardo-sasha,3.5,2.0,5.0,9.0,7.0,20.0,14.0,27.0,5.0,3.0,,,,,1.0,,1.0,,,,
41,17,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,4.68,Gabriel Vasconcelos Ferreira,7,70449,Gabriel,SPT,-0.02,True,30,6.1,292,1,Gabriel,gabriel,2.4,,1.0,,,,,2.0,,,,3.0,69.0,25.0,,,,,,,
42,23,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,5.02,Felipe Anderson Pereira Gomes,7,70592,F. Anderson,PAL,-0.82,True,30,7.54,275,4,Felipe Anderson,felipe-anderson,1.7,2.0,,46.0,12.0,6.0,8.0,15.0,2.0,2.0,,,,,1.0,,,,,,
43,20,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,3.47,Marllon Gonçalves Jerônimo Borges,7,70666,Marllon,CEA,0.12,True,30,6.87,354,3,Marllon,marllon,2.8,,2.0,14.0,12.0,,4.0,10.0,2.0,,,6.0,,,,,,,,,
44,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,4.71,Jorge Sampaoli,7,70800,J. Sampaoli,CAM,0.82,True,30,10.28,282,6,Jorge Sampaoli,jorge-sampaoli,7.64,,,,,,,,,,,,,,,2.0,,,,,
45,12,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,4.21,Diogo Barbosa Mendanha,6,70916,D. Barbosa,FOR,0.0,False,30,7.56,356,2,Diogo Barbosa,diogo-barbosa,0.0,,1.0,15.0,6.0,,3.0,11.0,1.0,,,3.0,,,,,,,,,
46,23,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,2.82,Bruno Henrique Corsini,6,70944,B. Henrique,INT,-1.09,True,30,5.96,285,4,Bruno Henrique,bruno-henrique,1.5,,1.0,30.0,34.0,3.0,9.0,13.0,2.0,,1.0,,,,,,1.0,,,,
47,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,0.2,Thiago Henrique Mendes Ribeiro,6,71123,T. Mendes,VAS,0.0,False,30,4.96,267,4,Thiago Mendes,thiago-mendes,0.0,,1.0,1.0,3.0,,,2.0,,,,,,,,,,,,,
48,9,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,1.79,Vinícius Goes Barbosa de Souza,6,71162,Vina,CEA,-0.01,True,30,4.98,354,4,Vina,vina,2.9,,1.0,2.0,6.0,6.0,4.0,5.0,,,,,,,1.0,,,,,,
49,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,3.05,Luiz Gustavo Dias,6,71536,L. Gustavo,SAO,-0.37,True,30,8.57,276,4,Luiz Gustavo,luiz-gustavo,2.7,,,6.0,7.0,,1.0,3.0,,,,,,,1.0,,,,,,
50,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,6.18,Fernando Miguel Kaufmann,6,71571,F. Miguel,CEA,0.0,False,30,7.02,354,1,Fernando Miguel,fernando-miguel,0.0,,,,,,,6.0,,,,3.0,17.0,3.0,,,,,,,
51,25,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,4.36,Weverton Pereira da Silva,5,71631,Weverton,PAL,0.0,False,30,7.96,275,1,Weverton,weverton,0.0,,2.0,,,,,10.0,,,,9.0,57.0,20.0,,,,1.0,,,
52,15,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,3.25,Raúl Alejandro Cáceres Bogado,7,71680,R. Cáceres,VIT,0.0,False,30,4.54,287,2,Raúl Cáceres,raul-caceres,0.0,1.0,6.0,8.0,20.0,5.0,2.0,3.0,2.0,3.0,,4.0,,,,,,,,1.0,
53,22,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,5.0,Gustavo Raúl Gómez Portillo,7,71684,G. Gómez,PAL,-0.93,True,30,9.35,275,3,Gustavo Gómez,gustavo-gomez,4.3,1.0,8.0,31.0,27.0,2.0,7.0,13.0,2.0,9.0,,9.0,,,,,,,,,
54,14,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,2.92,Santiago Arias Naranjo,7,71701,S. Arias,BAH,-0.66,True,30,5.66,265,2,Santiago Arias,santiago-arias,0.0,,3.0,15.0,8.0,2.0,3.0,12.0,,1.0,,3.0,,,,,,,,2.0,
55,10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,2.99,Gustavo Leonardo Cuellar Gallego,6,71709,Cuéllar,GRE,-0.17,True,30,5.77,284,4,Cuéllar,cuellar,2.0,,1.0,19.0,12.0,,,12.0,,,,,,,,,,,,,
56,23,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,4.13,Tiago Luis Volpi,7,72018,T. Volpi,GRE,-0.17,True,30,7.16,284,1,Tiago Volpi,tiago-volpi,3.4,,2.0,,,,,8.0,1.0,,,4.0,73.0,29.0,,,,,,1.0,
57,0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,0.0,Carlos Eduardo Lecciolle Thomazella,6,72279,Thomazella,MIR,0.0,False,30,2.0,2305,1,Thomazella,thomazella,0.0,,,,,,,,,,,,,,,,,,,,
58,26,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,4.43,Everson Felipe Marques Pires,7,72294,Everson,CAM,1.87,True,30,10.24,282,1,Everson,everson,12.8,,6.0,,,,,7.0,,,,9.0,78.0,29.0,,,,,,,
59,0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,0.0,Luiz Otávio Anacleto Leandro,5,72359,L. Otávio,CEA,0.0,False,30,4.0,354,3,Luiz Otávio,luiz-otavio,0.0,,,,,,,,,,,,,,,,,,,,
60,20,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,5.95,Fernando Diniz Silva,7,72391,F. Diniz,VAS,0.05,True,30,10.55,267,6,Fernando Diniz,fernando-diniz,9.11,,,,,,,,,,,,,,,9.0,,,,,
61,20,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,1.11,Bernard Anício Caldeira Duarte,6,72460,Bernard,CAM,0.4,True,30,3.75,282,4,Bernard,bernard,2.8,,1.0,13.0,12.0,1.0,4.0,6.0,,1.0,,,,,,,,,,,
62,18,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,5.45,Alex Nicolao Telles,6,72493,A. Telles,BOT,-0.49,True,30,10.02,263,2,Alex Telles,alex-telles,3.0,2.0,1.0,8.0,16.0,2.0,7.0,10.0,2.0,1.0,,10.0,,,1.0,,,,,,
63,20,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,4.61,Pedro Henrique Konzen Medina da Silva,7,72583,P. Henrique,CEA,0.0,False,30,7.34,354,5,Pedro Henrique,pedro-henrique,0.0,2.0,5.0,21.0,22.0,7.0,10.0,19.0,4.0,7.0,,,,,2.0,,,,,1.0,
64,13,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,5.28,Vitor Hugo Franchescoli de Souza,7,72605,V. Hugo,CAM,0.5,True,30,8.37,282,3,Vitor Hugo,vitor-hugo,6.2,,2.0,19.0,6.0,,3.0,1.0,1.0,1.0,,6.0,,,1.0,,,,,,
65,14,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,1.55,Wílker José Ángel Romero,5,72801,W. Ángel,JUV,0.0,False,30,2.98,286,3,Wilker Ángel,wilker-angel,0.0,,4.0,5.0,22.0,3.0,3.0,4.0,1.0,2.0,,2.0,,,,,,,,1.0,
66,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,2.87,Gabriel Iván Mercado,7,72951,Mercado,INT,-0.35,True,30,5.68,285,3,Mercado,mercado,1.2,,1.0,8.0,6.0,1.0,1.0,2.0,,,,1.0,,,,,,,,,
67,13,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,4.55,Daniel Fortunato Borges,7,73318,D. Borges,MIR,0.16,True,30,6.01,2305,2,Daniel Borges,daniel-borges,7.7,2.0,2.0,7.0,12.0,2.0,3.0,7.0,2.0,,,4.0,,,,,,,,,
68,20,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,5.32,Samuel Xavier Brito,7,73384,S. Xavier,FLU,1.92,True,30,10.69,266,2,Samuel Xavier,samuel-xavier,15.4,1.0,3.0,16.0,23.0,1.0,4.0,22.0,4.0,,,8.0,,,,,,,,,
69,19,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,2.7,Gabriel Santana Pinto,5,73515,Gabriel,MIR,0.0,False,30,5.22,2305,4,Gabriel,gabriel,0.0,1.0,2.0,4.0,6.0,5.0,6.0,18.0,3.0,6.0,1.0,,,,,,,,,,
70,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,3.02,Guilherme Costa Marques,7,73781,G. Marques,MIR,1.53,True,30,5.81,2305,4,Guilherme Marques,guilherme-marques,10.0,,1.0,5.0,5.0,,2.0,7.0,1.0,,,,,,,,,,,,
71,16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,1.27,Tomás Eduardo Rincón Hernández,6,74187,Rincón,SAN,0.0,False,30,3.28,277,4,Rincón,rincon,0.0,,4.0,17.0,24.0,,7.0,7.0,,,,,,,,,1.0,,,,
72,16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,2.92,André Martín Carrillo Díaz,7,77485,Carrillo,COR,-1.07,True,30,5.89,264,4,Carrillo,carrillo,0.8,1.0,1.0,20.0,22.0,1.0,5.0,13.0,1.0,2.0,,,,,,,,,,,
73,22,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,3.5,Cédric Ricardo Alves Soares,5,77656,C. Soares,SAO,0.0,False,30,7.08,276,2,Cédric Soares,cedric-soares,0.0,2.0,1.0,23.0,10.0,,3.0,8.0,,,,6.0,,,,,,,,,
