,atletas.apelido_abreviado,atletas.foto,atletas.jogos_num,atletas.apelido,atletas.minimo_para_valorizar,atletas.nome,atletas.atleta_id,atletas.posicao_id,atletas.entrou_em_campo,atletas.status_id,atletas.pontos_num,atletas.media_num,atletas.clube_id,atletas.preco_num,atletas.rodada_id,atletas.clube.id.full.name,atletas.slug,atletas.variacao_num,CA,DS,FC,FD,FF,FS,SG,DE,DP,GS,G,I,V,A,FT,PS,CV,PC,PP,GC
23,Neymar,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,4,Neymar,,Neymar da Silva Santos Júnior,63007,4,False,6,0.0,1.35,277,15.74,12,SAN,neymar,0.0,1.0,,5.0,3.0,1.0,13.0,,,,,,,,,,,1.0,,,
24,M. Rocha,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,0,Marcos Rocha,,Marcos Luis Rocha Aquino,63013,2,False,6,0.0,0.0,275,7.0,12,PAL,marcos-rocha,0.0,,,,,,,,,,,,,,,,,,,,
25,A. Ruschel,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,8,Alan Ruschel,,Alan Luciano Ruschel,63110,2,False,7,0.0,2.99,286,5.6,12,JUV,alan-ruschel,0.0,2.0,10.0,8.0,,,17.0,1.0,,,,,2.0,,,,,,,,
26,Edenílson,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,7,Edenílson,,Edenílson Andrade dos Santos,63289,4,False,5,0.0,1.75,284,4.97,12,GRE,edenilson,0.0,3.0,3.0,5.0,,1.0,7.0,,,,,1.0,,,,,,,,,
27,A. Patrick,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,8,Alan Patrick,,Alan Patrick Lourenço,68685,4,False,6,0.0,6.18,285,13.06,12,INT,alan-patrick,0.0,3.0,5.0,5.0,4.0,2.0,8.0,,,,,2.0,,,4.0,,,,,,
28,Eduardo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,10,Eduardo,,Carlos Eduardo de Oliveira Alves,68708,4,True,3,-0.6,0.16,283,2.77,12,CRU,eduardo,-0.22,1.0,2.0,7.0,1.0,2.0,2.0,,,,,,1.0,,,,1.0,1.0,,,
29,Oscar,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,3,Oscar,,Oscar dos Santos Emboaba Júnior,68811,4,False,5,0.0,2.1,276,15.36,12,SAO,oscar,0.0,1.0,3.0,2.0,2.0,,2.0,,,,,,,,,,,,,,
30,M. Lomba,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,0,Marcelo Lomba,,Marcelo Lomba do Nascimento,68872,1,False,6,0.0,0.0,275,7.0,12,PAL,marcelo-lomba,0.0,,,,,,,,,,,,,,,,,,,,
31,P. Coutinho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,8,Philippe Coutinho,,Philippe Coutinho Correia,68899,4,True,7,5.4,3.09,267,9.67,12,VAS,philippe-coutinho,0.57,,1.0,8.0,7.0,9.0,16.0,,,,,,,,1.0,,,1.0,,,
32,Dudu,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,6,Dudu,,Eduardo Pereira Rodrigues,68920,5,True,7,1.7,3.0,282,9.0,12,CAM,dudu,-0.15,,4.0,5.0,,,11.0,,,,,1.0,,,,,,,,,
33,Gil,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,6,Gil,,Carlos Gilberto do Nascimento Silva,68923,3,False,6,0.0,2.25,277,5.06,12,SAN,gil,0.0,2.0,7.0,7.0,,2.0,1.0,1.0,,,,,,,,,,,,,
34,Rafael,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,11,Rafael,,Rafael Pires Monteiro,68928,1,True,7,3.5,3.82,276,9.4,12,SAO,rafael,-0.35,2.0,,,,,5.0,2.0,35.0,,14.0,,,,,,,,,,
35,Marinho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,7,Marinho,,Mário Sérgio Santos Costa,68952,5,True,7,6.2,3.05,356,7.07,12,FOR,marinho,0.42,1.0,5.0,13.0,2.0,4.0,14.0,,,,,,9.0,,2.0,,,1.0,,,
36,L. Sasha,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,7,Lucas Sasha,,Lucas Pacheco Affini,68991,4,False,5,0.0,6.71,356,8.3,12,FOR,lucas-sasha,0.0,,30.0,13.0,2.0,,7.0,,,,,,,,,,,,,,
37,W. José,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,10,Willian José,,Willian José da Silva,68996,5,True,7,4.0,3.29,265,7.4,12,BAH,willian-jose,-1.71,1.0,,2.0,3.0,3.0,3.0,,,,,2.0,,,1.0,2.0,,,,,
38,Manoel,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,0,Manoel,,Manoel Messias Silva Carvalho,69014,3,False,6,0.0,0.0,266,5.0,12,FLU,manoel,0.0,,,,,,,,,,,,,,,,,,,,
39,D. Fernandes,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,0,Danilo Fernandes,,Danilo Fernandes Batista,69051,1,False,6,0.0,0.0,265,4.0,12,BAH,danilo-fernandes,0.0,,,,,,,,,,,,,,,,,,,,
40,Pablo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,7,Pablo,,Pablo Felipe Teixeira,69138,5,False,7,0.0,3.27,292,6.43,12,SPT,pablo,0.0,1.0,5.0,8.0,2.0,5.0,10.0,,,,,1.0,6.0,,,,,,,,
41,Allan,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,4,Allan,,Allan Marques Loureiro,69140,4,False,6,0.0,1.22,263,4.23,12,BOT,allan,0.0,1.0,3.0,6.0,1.0,,4.0,,,,,,,,,,,,,,
42,Danilo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,4,Danilo,,Danilo Luiz da Silva,69783,3,False,6,0.0,8.2,262,15.75,12,FLA,danilo,0.0,,3.0,4.0,,,3.0,4.0,,,,1.0,,,,,,,,,
43,L. Moura,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,0,Lucas Moura,,Lucas Rodrigues Moura da Silva,70164,4,False,5,0.0,0.0,276,5.0,12,SAO,lucas-moura,0.0,,,,,,,,,,,,,,,,,,,,
44,Gustavo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,6,Gustavo,,Luiz Gustavo de Almeida Pinto,70216,1,False,5,0.0,2.6,286,4.07,12,JUV,gustavo,0.0,1.0,1.0,,,,,,17.0,1.0,14.0,,,,,,,,,,
45,B. Uvini,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,0,Bruno Uvini,,Bruno Uvini Bortolança,70221,3,False,6,0.0,0.0,287,4.0,12,VIT,bruno-uvini,0.0,,,,,,,,,,,,,,,,,,,,
46,E. Sasha,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,12,Eduardo Sasha,,Eduardo Colcenti Antunes,70360,5,True,7,0.3,4.26,280,7.86,12,RBB,eduardo-sasha,-0.16,2.0,4.0,3.0,8.0,10.0,13.0,,,,,2.0,1.0,,1.0,1.0,,,,,
47,Gabriel,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,1,Gabriel,,Gabriel Vasconcelos Ferreira,70449,1,False,6,0.0,1.1,287,3.66,12,VIT,gabriel,0.0,,,,,,1.0,,2.0,,2.0,,,,,,,,,,
48,F. Anderson,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,8,Felipe Anderson,,Felipe Anderson Pereira Gomes,70592,4,False,6,0.0,2.86,275,6.7,12,PAL,felipe-anderson,0.0,,9.0,8.0,2.0,5.0,5.0,,,,,,1.0,,,1.0,,,,,
49,Marllon,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,9,Marllon,,Marllon Gonçalves Jerônimo Borges,70666,3,False,7,0.0,5.22,354,7.74,12,CEA,marllon,0.0,,6.0,6.0,,1.0,6.0,4.0,,,,2.0,,,,,,,,,
50,E. Valencia,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,8,Enner Valencia,,Enner Remberto Valencia Lastra,70788,5,True,6,0.0,2.48,285,6.25,12,INT,enner-valencia,-0.38,,1.0,10.0,4.0,3.0,7.0,,,,,1.0,3.0,,,1.0,,,,,
51,D. Barbosa,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,5,Diogo Barbosa,,Diogo Barbosa Mendanha,70916,2,False,6,0.0,5.1,356,8.22,12,FOR,diogo-barbosa,0.0,,3.0,1.0,,1.0,5.0,2.0,,,,1.0,,,,,,,,,
52,B. Henrique,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,9,Bruno Henrique,,Bruno Henrique Corsini,70944,4,True,7,0.8,2.91,285,6.28,12,INT,bruno-henrique,-1.02,,13.0,18.0,2.0,4.0,3.0,,,,,1.0,,,,,,1.0,,,
53,L. Gustavo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,1,Luiz Gustavo,,Luiz Gustavo Dias,71536,4,False,5,0.0,9.6,276,10.73,12,SAO,luiz-gustavo,0.0,,4.0,4.0,,1.0,2.0,,,,,,,,,1.0,,,,,
54,F. Miguel,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,6,Fernando Miguel,,Fernando Miguel Kaufmann,71571,1,False,6,0.0,6.18,354,7.02,12,CEA,fernando-miguel,0.0,,,,,,6.0,3.0,17.0,,3.0,,,,,,,,,,
55,Weverton,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,11,Weverton,,Weverton Pereira da Silva,71631,1,False,7,0.0,5.44,275,8.3,12,PAL,weverton,0.0,1.0,,,,,6.0,5.0,26.0,1.0,8.0,,,,,,,,,,
56,R. Cáceres,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,2,Raúl Cáceres,,Raúl Alejandro Cáceres Bogado,71680,2,False,6,0.0,-0.95,287,1.72,12,VIT,raul-caceres,0.0,1.0,,3.0,,,,,,,,,,,,,,,,,
57,G. Gómez,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,8,Gustavo Gómez,,Gustavo Raúl Gómez Portillo,71684,3,False,7,0.0,3.99,275,8.67,12,PAL,gustavo-gomez,0.0,3.0,8.0,9.0,1.0,3.0,5.0,4.0,,,,,5.0,,,,,,,,
58,S. Arias,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,5,Santiago Arias,,Santiago Arias Naranjo,71701,2,True,7,8.0,1.84,265,6.17,12,BAH,santiago-arias,1.17,1.0,2.0,,1.0,,2.0,1.0,,,,,,,,,,,,,
59,Cuéllar,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,2,Cuéllar,,Gustavo Leonardo Cuellar Gallego,71709,4,False,5,0.0,3.1,284,6.52,12,GRE,cuellar,0.0,,4.0,1.0,,,1.0,,,,,,,,,,,,,,
60,T. Volpi,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,12,Tiago Volpi,,Tiago Luis Volpi,72018,1,True,7,1.6,3.85,284,6.82,12,GRE,tiago-volpi,-1.3,2.0,,,,,5.0,3.0,36.0,,15.0,,,,,,,,1.0,,
61,Thomazella,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,0,Thomazella,,Carlos Eduardo Lecciolle Thomazella,72279,1,False,6,0.0,0.0,2305,2.0,12,MIR,thomazella,0.0,,,,,,,,,,,,,,,,,,,,
62,Everson,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,12,Everson,,Everson Felipe Marques Pires,72294,1,True,3,6.6,5.47,282,10.33,12,CAM,everson,-0.08,3.0,,,,,4.0,7.0,32.0,,10.0,,,,,,,,,,
63,L. Otávio,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,0,Luiz Otávio,,Luiz Otávio Anacleto Leandro,72359,3,False,5,0.0,0.0,354,4.0,12,CEA,luiz-otavio,0.0,,,,,,,,,,,,,,,,,,,,
64,F. Diniz,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,4,Fernando Diniz,,Fernando Diniz Silva,72391,6,True,7,6.46,5.49,267,10.3,12,VAS,fernando-diniz,0.42,,,,,,,,,,,,,2.0,,,,,,,
65,Bernard,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,9,Bernard,,Bernard Anício Caldeira Duarte,72460,4,False,2,0.0,0.96,282,3.88,12,CAM,bernard,0.0,1.0,6.0,5.0,,1.0,3.0,,,,,,1.0,,,,,,,,
66,A. Telles,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,9,Alex Telles,,Alex Nicolao Telles,72493,2,False,7,0.0,5.32,263,10.1,12,BOT,alex-telles,0.0,1.0,5.0,12.0,2.0,2.0,6.0,6.0,,,,1.0,1.0,,,,,,,,
67,P. Henrique,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,6,Pedro Henrique,,Pedro Henrique Konzen Medina da Silva,72583,5,False,7,0.0,4.13,354,7.46,12,CEA,pedro-henrique,0.0,1.0,5.0,11.0,3.0,6.0,7.0,,,,,1.0,3.0,,,1.0,,,1.0,,
68,V. Hugo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,5,Vitor Hugo,,Vitor Hugo Franchescoli de Souza,72605,3,True,6,5.0,5.92,282,8.15,12,CAM,vitor-hugo,-0.26,,5.0,,,2.0,1.0,4.0,,,,,,,,,,,,,
69,W. Ángel,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,5,Wilker Ángel,,Wílker José Ángel Romero,72801,3,False,6,0.0,-0.24,286,2.16,12,JUV,wilker-angel,0.0,2.0,1.0,5.0,,1.0,,,,,,,,,,,,,,,
70,Mercado,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,0,Mercado,,Gabriel Iván Mercado,72951,3,False,6,0.0,0.0,285,6.0,12,INT,mercado,0.0,,,,,,,,,,,,,,,,,,,,
71,D. Borges,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,5,Daniel Borges,,Daniel Fortunato Borges,73318,2,False,6,0.0,3.66,2305,3.83,12,MIR,daniel-borges,0.0,2.0,3.0,5.0,,1.0,1.0,,,,,2.0,,,,,,,,,
72,S. Xavier,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,9,Samuel Xavier,,Samuel Xavier Brito,73384,2,False,7,0.0,4.65,266,9.86,12,FLU,samuel-xavier,0.0,2.0,8.0,12.0,1.0,1.0,11.0,3.0,,,,1.0,,,1.0,,,,,,
73,Gabriel,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,9,Gabriel,,Gabriel Santana Pinto,73515,4,False,7,0.0,2.89,2305,5.4,12,MIR,gabriel,0.0,1.0,3.0,1.0,1.0,2.0,7.0,,,,,2.0,5.0,,,,1.0,,,,
74,Rincón,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,6,Rincón,,Tomás Eduardo Rincón Hernández,74187,4,False,7,0.0,1.63,277,3.92,12,SAN,rincon,0.0,2.0,7.0,13.0,,4.0,4.0,,,,,,,,,,,,,,
75,Carrillo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,9,Carrillo,,André Martín Carrillo Díaz,77485,4,False,7,0.0,3.07,264,6.93,12,COR,carrillo,0.0,,16.0,12.0,1.0,4.0,6.0,,,,,,2.0,,,,,,,,
