,atletas.rodada_id,atletas.foto,atletas.status_id,atletas.pontos_num,atletas.variacao_num,atletas.media_num,atletas.slug,atletas.apelido,atletas.atleta_id,atletas.nome,atletas.clube.id.full.name,atletas.entrou_em_campo,atletas.jogos_num,atletas.clube_id,atletas.posicao_id,atletas.preco_num,atletas.minimo_para_valorizar,atletas.apelido_abreviado
0,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,7,0,0,0,mano-menezes,Mano Menezes,37281,Luis Antônio Venker de Menezes,FLU,False,0,266,6,10,,M. Menezes
1,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,7,0,0,0,leo-conde,Léo Condé,37457,Leonardo Rodrigues Condé,CEA,False,0,354,6,4,,L. Condé
2,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,7,0,0,0,fabio,Fábio,37656,Fábio Deivson Lopes Maciel,FLU,False,0,266,1,14,,Fábio
3,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,7,0,0,0,thiago-silva,Thiago Silva,37715,Thiago Emiliano da Silva,FLU,False,0,266,3,15,,T. Silva
4,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,6,0,0,0,renato-augusto,Renato Augusto,38398,Renato Soares de Oliveira Augusto,FLU,False,0,266,4,7,,R. Augusto
5,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,6,0,0,0,nene,Nenê,38913,Anderson Luis de Carvalho - Luiz,JUV,False,0,286,4,5,,Nenê
6,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,7,0,0,0,hulk,Hulk,39148,Givanildo Vieira de Souza,CAM,False,0,282,5,24,,Hulk
7,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,7,0,0,0,alan-franco,Alan Franco,39656,Alan Steven Franco Palma,CAM,False,0,282,4,7,,A. Franco
8,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,6,0,0,0,osvaldo,Osvaldo,42222,Osvaldo Lourenço Filho,VIT,False,0,287,5,5,,Osvaldo
9,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,7,0,0,0,cassio,Cássio,42234,Cássio Roberto Ramos,CRU,False,0,283,1,8,,Cássio
