,atletas.clube_id,atletas.clube.id.full.name,atletas.posicao_id,atletas.nome,atletas.slug,atletas.apelido_abreviado,atletas.foto,atletas.apelido,atletas.jogos_num,atletas.media_num,atletas.pontos_num,atletas.variacao_num,atletas.entrou_em_campo,atletas.status_id,atletas.preco_num,atletas.rodada_id,atletas.atleta_id,CA,DS,FC,FD,FF,FS,G,I,SG,A,PS,DE,GS,V,FT,CV,DP,PC,PP,GC
10,287,VIT,5,Osvaldo Lourenço Filho,osvaldo,Osvaldo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Osvaldo,26,1.71,0.0,0.0,False,6,3.52,35,42222,3.0,9.0,6.0,6.0,8.0,19.0,,4.0,,2.0,,,,,1.0,,,,,
11,283,CRU,1,Cássio Roberto Ramos,cassio,Cássio,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,Cássio,33,5.72,5.0,0.32,True,7,10.12,35,42234,4.0,,,,,9.0,,,15.0,,,100.0,24.0,,,,1.0,,,
12,283,CRU,2,Fagner Conserva Lemos,fagner,Fagner,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,Fagner,9,6.1,0.0,0.0,False,6,8.51,35,42500,1.0,20.0,11.0,,1.0,7.0,,1.0,5.0,,,,,,,,,,,
13,2305,MIR,1,Walter Leandro Capeloza Artune,walter,Walter,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,Walter,26,6.66,7.9,0.09,True,7,11.11,35,51413,4.0,,,,,4.0,,,10.0,,,101.0,20.0,,,,2.0,,,
14,265,BAH,4,Everton Augusto de Barros Ribeiro,everton-ribeiro,E. Ribeiro,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Everton Ribeiro,27,3.94,3.0,0.07,True,7,7.76,35,51772,3.0,34.0,20.0,5.0,8.0,42.0,2.0,,,3.0,,,,,1.0,1.0,,,,
15,286,JUV,5,Gilberto Oliveira Souza Júnior,gilberto,Gilberto,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Gilberto,21,2.05,0.0,0.0,False,5,4.05,35,61188,5.0,6.0,23.0,9.0,7.0,16.0,2.0,4.0,,2.0,,,,,,,,,1.0,
16,262,FLA,2,Alex Sandro Lobo Silva,alex-sandro,A. Sandro,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,Alex Sandro,19,4.0,5.6,0.74,True,7,9.83,35,61987,4.0,16.0,39.0,2.0,3.0,16.0,,1.0,11.0,,,,,,,,,,,
17,266,FLU,4,Paulo Henrique Chagas de Lima,ganso,Ganso,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Ganso,14,1.18,0.0,0.0,False,6,5.49,35,62977,2.0,7.0,6.0,,2.0,16.0,,,,,,,,,,,,,,
18,277,SAN,4,Neymar da Silva Santos Júnior,neymar,Neymar,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,Neymar,16,5.56,0.0,0.0,False,6,15.82,35,63007,5.0,4.0,17.0,13.0,13.0,57.0,4.0,4.0,,1.0,,,,,2.0,1.0,,1.0,,
19,276,SAO,3,Rafael Toloi,rafael-toloi,R. Tolói,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Rafael Tolói,4,5.85,0.0,0.0,False,5,10.2,35,63008,,12.0,2.0,,,2.0,,,1.0,,,,,,,,,,,
20,284,GRE,2,Marcos Luis Rocha Aquino,marcos-rocha,M. Rocha,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Marcos Rocha,9,6.46,5.0,-0.44,True,7,10.23,35,63013,,25.0,5.0,1.0,,12.0,,1.0,3.0,,,,,,,,,,,
21,286,JUV,2,Alan Luciano Ruschel,alan-ruschel,A. Ruschel,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Alan Ruschel,17,2.07,0.0,0.0,False,3,4.68,35,63110,4.0,16.0,14.0,1.0,,25.0,,3.0,2.0,,,,,,,1.0,,1.0,,
22,284,GRE,4,Edenílson Andrade dos Santos,edenilson,Edenílson,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Edenílson,26,2.42,0.5,-0.11,True,7,4.81,35,63289,6.0,13.0,17.0,3.0,7.0,31.0,3.0,1.0,,1.0,1.0,,,,,,,,,
23,285,INT,4,Alan Patrick Lourenço,alan-patrick,A. Patrick,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Alan Patrick,27,6.34,13.9,0.77,True,7,14.3,35,68685,5.0,21.0,24.0,8.0,10.0,39.0,10.0,5.0,,6.0,,,,,3.0,,,,1.0,
24,283,CRU,4,Carlos Eduardo de Oliveira Alves,eduardo,Eduardo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,Eduardo,26,1.28,0.0,0.0,False,5,3.08,35,68708,1.0,15.0,22.0,2.0,4.0,14.0,1.0,1.0,,,1.0,,,,,1.0,,,,
25,263,BOT,1,Norberto Murara Neto,neto,Neto,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Neto,3,2.03,0.0,0.0,False,5,7.25,35,68806,,,,,,,,,,,,7.0,3.0,,,,,,,
26,276,SAO,4,Oscar dos Santos Emboaba Júnior,oscar,Oscar,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Oscar,6,1.67,0.0,0.0,False,5,11.39,35,68811,1.0,5.0,3.0,2.0,,4.0,,,,,,,,,,,,,,
27,275,PAL,1,Marcelo Lomba do Nascimento,marcelo-lomba,M. Lomba,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,Marcelo Lomba,1,3.2,0.0,0.0,False,6,7.63,35,68872,,,,,,,,,,,,4.0,2.0,,,,,,,
28,267,VAS,4,Philippe Coutinho Correia,philippe-coutinho,P. Coutinho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,Philippe Coutinho,26,4.27,0.0,0.0,False,3,9.04,35,68899,3.0,12.0,17.0,16.0,20.0,36.0,4.0,1.0,,3.0,1.0,,,,1.0,1.0,,,,
29,282,CAM,5,Eduardo Pereira Rodrigues,dudu,Dudu,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Dudu,15,2.45,0.0,0.0,False,6,7.68,35,68920,,6.0,6.0,1.0,6.0,16.0,1.0,3.0,,1.0,,,,,1.0,,,,,
30,276,SAO,1,Rafael Pires Monteiro,rafael,Rafael,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Rafael,32,4.71,3.2,0.55,True,7,9.48,35,68928,3.0,1.0,,,,6.0,,,10.0,,,105.0,37.0,,,,,,,
31,356,FOR,5,Mário Sérgio Santos Costa,marinho,Marinho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Marinho,16,3.02,0.0,0.0,False,6,6.63,35,68952,2.0,11.0,24.0,5.0,13.0,22.0,1.0,13.0,,2.0,,,,,,1.0,,,,
32,356,FOR,4,Lucas Pacheco Affini,lucas-sasha,L. Sasha,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Lucas Sasha,24,5.38,0.0,0.0,False,6,7.96,35,68991,2.0,78.0,43.0,6.0,4.0,19.0,1.0,1.0,,,,,,,,,,1.0,,
33,265,BAH,5,Willian José da Silva,willian-jose,W. José,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Willian José,28,5.15,1.5,-1.53,True,7,8.04,35,68996,3.0,4.0,11.0,10.0,13.0,16.0,10.0,2.0,,5.0,,,,,3.0,,,,,
34,266,FLU,3,Manoel Messias Silva Carvalho,manoel,Manoel,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Manoel,5,2.46,0.0,0.0,False,6,5.3,35,69014,,,1.0,,2.0,2.0,,,2.0,,,,,,,,,,,
35,265,BAH,1,Danilo Fernandes Batista,danilo-fernandes,D. Fernandes,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Danilo Fernandes,0,-1.0,0.0,0.0,False,6,3.55,35,69051,1.0,,,,,,,,,,,,,,,,,,,
36,292,SPT,5,Pablo Felipe Teixeira,pablo,Pablo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Pablo,18,2.57,11.0,1.07,True,7,6.79,35,69138,1.0,8.0,15.0,2.0,10.0,18.0,2.0,7.0,,1.0,,,,,,,,,,
37,263,BOT,4,Allan Marques Loureiro,allan,Allan,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Allan,17,1.38,0.0,0.0,False,6,3.24,35,69140,6.0,20.0,23.0,1.0,1.0,9.0,,,,,,,,,,,,,,
38,262,FLA,3,Danilo Luiz da Silva,danilo,Danilo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,Danilo,18,3.41,5.0,0.37,True,7,11.02,35,69783,2.0,11.0,15.0,2.0,2.0,5.0,1.0,,8.0,,,,,,,1.0,,,,
39,276,SAO,4,Lucas Rodrigues Moura da Silva,lucas-moura,L. Moura,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Lucas Moura,10,3.52,0.0,0.0,False,5,6.13,35,70164,,6.0,5.0,2.0,6.0,11.0,2.0,1.0,,,,,,,,,,1.0,,
40,287,VIT,3,Bruno Uvini Bortolança,bruno-uvini,B. Uvini,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Bruno Uvini,0,0.0,0.0,0.0,False,6,4.0,35,70221,,,,,,,,,,,,,,,,,,,,
