,atletas.foto,atletas.variacao_num,atletas.entrou_em_campo,atletas.atleta_id,atletas.clube_id,atletas.posicao_id,atletas.clube.id.full.name,atletas.rodada_id,atletas.pontos_num,atletas.preco_num,atletas.nome,atletas.status_id,atletas.slug,atletas.media_num,atletas.jogos_num,atletas.apelido_abreviado,atletas.apelido,atletas.minimo_para_valorizar,CA,DS,FC,FF,FS,I,FD,G,SG,DE,GS,A,DP,V,PS,FT,PC,PP,CV,GC
17,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,-1.27,True,52827,356,3,FOR,4,2.3,8.03,David Luiz Moreira Marinho,7,david-luiz,4.12,4,D. Luiz,David Luiz,,1.0,4.0,2.0,2.0,1.0,,,,2.0,,,,,,,,,,,
18,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,0.0,False,53865,2305,5,MIR,4,0.0,4.0,Leonardo Gamalho de Souza,6,leo-gamalho,0.0,0,L. Gamalho,Léo Gamalho,,,,,,,,,,,,,,,,,,,,,
19,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,0.0,False,60793,267,5,VAS,4,0.0,3.7,Alex Teixeira Santos,6,alex-teixeira,1.3,2,A. Teixeira,Alex Teixeira,,1.0,2.0,2.0,,,,1.0,,,,,,,,,,,,,
20,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,0.0,False,60803,267,3,VAS,4,0.0,4.0,Josef de Souza Dias,6,souza,0.0,0,Souza,Souza,,,,,,,,,,,,,,,,,,,,,
21,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,-1.09,True,61188,286,5,JUV,4,-0.8,4.91,Gilberto Oliveira Souza Júnior,2,gilberto,-0.8,1,Gilberto,Gilberto,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,
22,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,-0.84,True,61987,262,2,FLA,4,4.1,11.31,Alex Sandro Lobo Silva,6,alex-sandro,4.92,4,A. Sandro,Alex Sandro,,,7.0,12.0,1.0,4.0,,,,2.0,,,,,,,,,,,
23,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,0.0,False,62977,266,4,FLU,4,0.0,9.25,Paulo Henrique Chagas de Lima,6,ganso,0.65,2,Ganso,Ganso,,,,,1.0,1.0,,,,,,,,,,,,,,,
24,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,-2.91,True,63007,277,4,SAN,4,0.5,19.72,Neymar da Silva Santos Júnior,6,neymar,1.55,2,Neymar,Neymar,,1.0,,2.0,,7.0,,1.0,,,,,,,,,,,,,
25,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,0.0,False,63013,275,2,PAL,4,0.0,7.0,Marcos Luis Rocha Aquino,6,marcos-rocha,0.0,0,M. Rocha,Marcos Rocha,,,,,,,,,,,,,,,,,,,,,
26,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,0.0,False,63110,286,2,JUV,4,0.0,6.58,Alan Luciano Ruschel,6,alan-ruschel,5.55,2,A. Ruschel,Alan Ruschel,,,4.0,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,
