"slug","team","posicao","score.no.cleansheets_mean","G_mean","shotsX_mean","A_mean","RB_mean","PE_mean","faltas_mean"
"victor-luis","Palmeiras - SP","lat",2.57692307692308,0,0.615384615384615,0,1.84615384615385,2.30769230769231,0.923076923076923
"zeca","Internacional - RS","lat",2.18666666666667,0,0.2,0.0666666666666667,1.86666666666667,2.66666666666667,0.866666666666667
"messias","América - MG","zag",1.00833333333333,0.0416666666666667,0.25,0,1.04166666666667,1.75,1.125
"ramon","Vitória - BA","zag",1.08947368421053,0.0526315789473684,0.315789473684211,0,1.05263157894737,1.42105263157895,1.73684210526316
"iago-maidana","Atlético - MG","zag",0.391666666666667,0,0.833333333333333,0,0.75,1.83333333333333,1.33333333333333
"igor-rabello","Botafogo - RJ","zag",2.07916666666667,0.0833333333333333,0.583333333333333,0,1.29166666666667,1.83333333333333,0.875
"bruno-pacheco","Chapecoense - SC","lat",2.13888888888889,0,0.222222222222222,0,1.94444444444444,2.16666666666667,1.72222222222222
"moises","Botafogo - RJ","lat",2.63529411764706,0,0.411764705882353,0,2.41176470588235,1.94117647058824,2.11764705882353
"arboleda","São Paulo - SP","zag",1.64666666666667,0,0.666666666666667,0.0666666666666667,1.46666666666667,1.46666666666667,1.93333333333333
"igor","Paraná - PR","lat",1.52666666666667,0,0.666666666666667,0,1.8,2.33333333333333,1.46666666666667
"aderllan","Vitória - BA","zag",1.06666666666667,0.0666666666666667,0.733333333333333,0,0.8,1.13333333333333,1.4
"joel-carli","Botafogo - RJ","zag",0.485,0.05,0.45,0,1.1,2.1,2.05
"marcinho","Botafogo - RJ","lat",2.52857142857143,0.0476190476190476,0.761904761904762,0.19047619047619,1.42857142857143,3.14285714285714,1.14285714285714
"leo-duarte","Flamengo - RJ","zag",1.72857142857143,0,0.380952380952381,0,1.28571428571429,0.761904761904762,0.761904761904762
"junior","Paraná - PR","lat",4.42,0.05,0.55,0.05,2.7,2.1,1.55
"sander","Sport - PE","lat",4.51304347826087,0,0.565217391304348,0,3.56521739130435,2.43478260869565,2.30434782608696
"renan-lodi","Atlético - PR","lat",1.25384615384615,0,1.53846153846154,0,0.769230769230769,1.46153846153846,1.46153846153846
"emerson","Atlético - MG","lat",1.64615384615385,0,0.384615384615385,0,1.61538461538462,2.15384615384615,2.23076923076923
"iago","Internacional - RS","lat",1.9,0,0.409090909090909,0.0454545454545455,2.04545454545455,2.59090909090909,1.54545454545455
"liziero","São Paulo - SP","lat",1.86842105263158,0,0.263157894736842,0,1.42105263157895,1.05263157894737,0.947368421052632
