atletas.apelido,atletas.apelido_abreviado,atletas.atleta_id,atletas.clube.id.full.name,atletas.clube_id,atletas.entrou_em_campo,atletas.foto,atletas.jogos_num,atletas.media_num,atletas.nome,atletas.pontos_num,atletas.posicao_id,atletas.preco_num,atletas.rodada_id,atletas.slug,atletas.status_id,atletas.variacao_num,A,CA,CV,DE,DP,DS,FC,FD,FF,FS,FT,G,GC,GS,I,PC,PP,PS,SG,V
Léo Condé,L. Condé,37457,REM,364,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/REM/FORMATO.png,3,2.58,Leonardo Rodrigues Condé,2.47,6,7.01,7,leo-conde,7,-0.2,,,,,,,,,,,,,,,,,,,,
Fábio,Fábio,37656,FLU,266,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,7,4.16,Fábio Deivson Lopes Maciel,0.9,1,9.38,7,fabio,7,0.01,,1.0,,22.0,,,,,,3.0,,,,9.0,,1.0,,,2.0,
Hulk,Hulk,39148,CAM,282,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,7,5.76,Givanildo Vieira de Souza,3.9,5,12.99,7,hulk,7,0.29,2.0,,,,,4.0,5.0,3.0,5.0,21.0,,1.0,,,3.0,,,,,
Alan Franco,A. Franco,39656,CAM,282,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,7,3.27,Alan Steven Franco Palma,7.9,4,6.4,7,alan-franco,7,1.17,1.0,1.0,,,,11.0,9.0,2.0,1.0,4.0,,,,,1.0,,,,,
Vagner Mancini,V. Mancini,39850,RBB,280,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/RBB/FORMATO.png,7,4.55,Vagner Carmo Mancini,3.9,6,7.47,7,vagner-mancini,7,0.17,,,,,,,,,,,,,,,,,,,,2.0
Dorival Júnior,D. Júnior,40990,COR,264,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,6,5.16,Dorival Silvestre Júnior,5.39,6,10.77,7,dorival-junior,7,0.21,,,,,,,,,,,,,,,,,,,,1.0
Renato Gaúcho,R. Gaúcho,41929,VAS,267,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VAS/FORMATO.png,3,6.27,Renato Portaluppi,7.04,6,11.14,7,renato-gaucho,7,0.61,,,,,,,,,,,,,,,,,,,,2.0
Willian,Willian,42135,GRE,284,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,5,1.5,Willian Borges da Silva,1.3,4,4.31,7,willian,6,-0.29,,,,,,2.0,1.0,1.0,2.0,4.0,,,,,,,,,,
Osvaldo,Osvaldo,42222,VIT,287,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VIT/FORMATO.png,1,0.8,Osvaldo Lourenço Filho,0.0,5,4.37,7,osvaldo,6,0.0,,,,,,,,,1.0,,,,,,,,,,,
Cássio,Cássio,42234,CRU,283,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,5,1.32,Cássio Roberto Ramos,0.0,1,6.89,7,cassio,5,0.0,,,,12.0,,,,,,2.0,,,,10.0,,,,,,
