atletas.apelido,atletas.apelido_abreviado,atletas.atleta_id,atletas.clube.id.full.name,atletas.clube_id,atletas.entrou_em_campo,atletas.foto,atletas.jogos_num,atletas.media_num,atletas.nome,atletas.pontos_num,atletas.posicao_id,atletas.preco_num,atletas.rodada_id,atletas.slug,atletas.status_id,atletas.variacao_num,A,CA,CV,DE,DS,FC,FD,FF,FS,FT,G,GC,GS,I,PC,PS,SG,V
Saúl,Saúl,80061,FLA,262,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,0,0.0,Saúl Ñíguez Esclapez,0.0,4,7.0,2,saul,5,0.0,,,,,,,,,,,,,,,,,,
Jadson,Jadson,80129,CAP,293,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAP/FORMATO.png,1,0.5,Jadson Alves dos Santos,0.0,4,5.08,2,jadson,6,0.0,,,,,,,,,1.0,,,,,,,,,
Yago Pikachu,Y. Pikachu,80196,REM,364,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/REM/FORMATO.png,2,1.75,Glaybson Yago Souza Lisboa,1.4,4,5.99,2,yago-pikachu,7,-0.47,,,,,,1.0,1.0,2.0,2.0,,,,,,,,,
Luciano,Luciano,80287,SAO,276,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,2,10.05,Luciano da Rocha Neves,4.8,5,18.59,2,luciano,7,-1.5,,,,,4.0,1.0,1.0,4.0,4.0,,1.0,,,,,,,
Gilberto,Gilberto,80313,BAH,265,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BAH/FORMATO.png,2,4.1,Gilberto Moraes Júnior,3.8,2,7.31,2,gilberto,7,0.04,1.0,,,,2.0,2.0,,1.0,,,,,,,,,,
Wendell,Wendell,80570,SAO,276,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,0,0.0,Wendell Nascimento Borges,0.0,2,7.0,2,wendell,6,0.0,,,,,,,,,,,,,,,,,,
André Luis,A. Luis,81005,MIR,2305,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,0,0.0,André Luis Silva de Aguiar,0.0,5,5.0,2,andre-luis,5,0.0,,,,,,,,,,,,,,,,,,
Jair,Jair,81091,VAS,267,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VAS/FORMATO.png,0,0.0,Jair Rodrigues Júnior,0.0,4,6.0,2,jair,6,0.0,,,,,,,,,,,,,,,,,,
Lucas Mugni,L. Mugni,81121,MIR,2305,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,0,0.0,Lucas Andrés Mugni,0.0,4,7.0,2,lucas-mugni,6,0.0,,,,,,,,,,,,,,,,,,
Mayke,Mayke,81150,SAN,277,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAN/FORMATO.png,1,1.2,Mayke Rocha de Oliveira,1.2,2,4.67,2,mayke,6,-0.33,,,,,,1.0,,,3.0,,,,,,,,,
Alisson,Alisson,81845,SAO,276,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,0,0.0,Alisson Euler de Freitas Castro,0.0,4,6.0,2,alisson,6,0.0,,,,,,,,,,,,,,,,,,
Willian Oliveira,W. Oliveira,81952,CFC,294,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CFC/FORMATO.png,2,4.65,Willian Osmar de Oliveira Silva,1.4,4,6.24,2,willian-oliveira,7,-0.62,,,,,6.0,5.0,,1.0,2.0,,,,,,,,,
Chico Kim,C. Kim,82407,MIR,2305,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,0,0.0,Francisco Hyun-Sol Kim,0.0,4,4.0,2,chico-kim,6,0.0,,,,,,,,,,,,,,,,,,
Zé Rafael,Z. Rafael,82455,SAN,277,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAN/FORMATO.png,2,9.0,José Rafael Vivian,10.1,4,10.04,2,ze-rafael,7,1.54,1.0,1.0,,,2.0,3.0,,3.0,3.0,,1.0,,,,,,,
Otávio,Otávio,82463,FLU,266,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,0,0.0,Otávio Henrique Passos Santos,0.0,4,4.0,2,otavio,6,0.0,,,,,,,,,,,,,,,,,,
Luiz Araújo,L. Araújo,82627,FLA,262,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,0,0.0,Luiz de Araújo Guimarães Neto,0.0,5,10.0,2,luiz-araujo,6,0.0,,,,,,,,,,,,,,,,,,
Tinga,Tinga,82628,CFC,294,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CFC/FORMATO.png,2,4.1,Guilherme de Jesus da Silva,3.2,2,5.89,2,tinga,7,0.05,,,,,5.0,1.0,,,2.0,,,,,,,,,
Marcelo Rangel,M. Rangel,82730,REM,364,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/REM/FORMATO.png,2,3.2,Marcelo Rangel da Rosa,3.2,1,4.65,2,marcelo-rangel,7,0.26,,,,8.0,,,,,,,,,4.0,,,,,
Lucas Ramon,L. Ramon,82775,SAO,276,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,0,0.0,Lucas Ramon Batista Silva,0.0,2,7.0,2,lucas-ramon,6,0.0,,,,,,,,,,,,,,,,,,
Rafael Thyere,R. Thyere,83048,CHA,315,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,0,0.0,Rafael Thyere de Albuquerque Marques,0.0,3,4.0,2,rafael-thyere,5,0.0,,,,,,,,,,,,,,,,,,
Ygor Vinhas,Y. Vinhas,83074,REM,364,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/REM/FORMATO.png,0,0.0,Ygor Vinhas Oliveira Lima,0.0,1,3.0,2,ygor-vinhas,6,0.0,,,,,,,,,,,,,,,,,,
Alan Benítez,A. Benítez,83251,INT,285,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/INT/FORMATO.png,0,0.0,Alan Max Benítez Domínguez,0.0,2,4.0,2,alan-benitez,6,0.0,,,,,,,,,,,,,,,,,,
Gabriel,Gabriel,83257,SAN,277,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAN/FORMATO.png,1,2.1,Gabriel Barbosa Almeida,2.1,5,8.38,2,gabriel,7,-0.62,,,,,,,,1.0,3.0,,,,,2.0,,,,
Yuri Lara,Y. Lara,83263,MIR,2305,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,2,4.95,Yuri Lima Lara,4.4,4,6.36,2,yuri-lara,6,0.34,,,,,5.0,1.0,1.0,,3.0,,,,,,,,,
Patrick,Patrick,83433,REM,364,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/REM/FORMATO.png,2,1.4,Patrick Bezerra do Nascimento,1.5,4,4.36,2,patrick,6,-0.19,,,,,1.0,,,1.0,1.0,,,,,,,,,
Léo Pereira,L. Pereira,83528,FLA,262,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,2,-0.1,Leonardo Pereira,-0.3,3,9.24,2,leo-pereira,6,-1.43,,,,,,4.0,,,2.0,,,,,,,,,
Neris,Neris,83786,VIT,287,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VIT/FORMATO.png,1,1.5,Hueglo dos Santos Neris,1.5,3,3.08,2,neris,6,0.08,,,,,1.0,,,,,,,,,,,,,
Tiquinho Soares,T. Soares,84042,SAN,277,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAN/FORMATO.png,0,0.0,Francisco das Chagas Soares dos Santos Meireles,0.0,5,7.0,2,tiquinho-soares,6,0.0,,,,,,,,,,,,,,,,,,
Bruno Melo,B. Melo,84339,CFC,294,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CFC/FORMATO.png,2,3.35,Bruno Ferreira Melo,4.6,2,4.72,2,bruno-melo,7,0.71,1.0,1.0,,,2.0,2.0,,,1.0,,,,,2.0,,,,
Fernando Sobral,F. Sobral,84428,CFC,294,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CFC/FORMATO.png,1,3.0,Fernando Pereira do Nascimento,3.0,4,5.32,2,fernando-sobral,6,0.32,,,,,2.0,,,,,,,,,,,,,
Lucas Romero,L. Romero,84558,CRU,283,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,2,3.6,Lucas Daniel Romero,5.0,4,9.14,2,lucas-romero,7,0.19,1.0,,,,1.0,1.0,,,2.0,,,,,,,,,
Josué,Josué,84626,CFC,294,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CFC/FORMATO.png,1,-1.0,Josué Filipe Soares Pesqueira,0.0,4,4.56,2,josue,6,0.0,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,
Lucas Evangelista,L. Evangelista,84674,PAL,275,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/PAL/FORMATO.png,0,0.0,Lucas Evangelista Santana de Oliveira,0.0,4,7.0,2,lucas-evangelista,6,0.0,,,,,,,,,,,,,,,,,,
Panagiotis,Panagiotis,84708,REM,364,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/REM/FORMATO.png,0,0.0,Panagiotis Tachtsidis,0.0,4,3.0,2,panagiotis,6,0.0,,,,,,,,,,,,,,,,,,
Jorginho,Jorginho,84735,FLA,262,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,1,-1.8,Jorge Luiz Frello Filho,0.0,4,11.64,2,jorginho,6,0.0,,,1.0,,1.0,1.0,,,,,,,,,,,,
Varela,Varela,84816,FLA,262,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,2,3.2,Guillermo Varela Olivera,-0.3,2,6.86,2,varela,6,-1.22,,1.0,,,4.0,2.0,,,2.0,,,,,,,1.0,,
Luan Peres,L. Peres,84847,SAN,277,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAN/FORMATO.png,2,0.8,Luan Peres Petroni,-0.1,3,4.75,2,luan-peres,7,-0.76,,,,,1.0,3.0,,,2.0,,,,,,,,,
Memphis Depay,M. Depay,85048,COR,264,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,1,3.7,Memphis Depay,0.0,5,15.21,2,memphis-depay,7,0.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
Cantillo,Cantillo,85315,REM,364,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/REM/FORMATO.png,0,0.0,Víctor Danilo Cantillo Jiménez,0.0,4,5.0,2,cantillo,6,0.0,,,,,,,,,,,,,,,,,,
Danielzinho,Danielzinho,85403,SAO,276,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,2,6.9,Daniel de Oliveira Sertanejo,6.2,4,8.89,2,danielzinho,7,0.5,,,,,3.0,4.0,,,5.0,,1.0,,,,,,,
João Paulo,J. Paulo,85425,BAH,265,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BAH/FORMATO.png,0,0.0,João Paulo Silva Martins,0.0,1,6.0,2,joao-paulo,6,0.0,,,,,,,,,,,,,,,,,,
Léo,Léo,85626,CAP,293,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAP/FORMATO.png,1,4.7,Leonardo Pinheiro da Conceição,0.0,3,5.74,2,leo,6,0.0,,,,,,1.0,,,,,,,,,,,1.0,
Bolasie,Bolasie,86292,CHA,315,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,1,1.2,Yannick Bolasie,0.0,5,5.33,2,bolasie,6,0.0,,,,,1.0,1.0,,,,,,,,,,,,
Victor Luis,V. Luis,86410,VAS,267,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VAS/FORMATO.png,0,0.0,Victor Luis Chuab Zamblauskas,0.0,2,4.0,2,victor-luis,6,0.0,,,,,,,,,,,,,,,,,,
Keno,Keno,86485,CFC,294,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CFC/FORMATO.png,1,-0.6,Marcos da Silva França,-0.6,5,4.86,2,keno,6,-1.14,,,,,,2.0,,,,,,,,,,,,
Tchê Tchê,T. Tchê,86686,VAS,267,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VAS/FORMATO.png,0,0.0,Danilo das Neves Pinheiro,0.0,4,6.0,2,tche-tche,6,0.0,,,,,,,,,,,,,,,,,,
Richard,Richard,86711,INT,285,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/INT/FORMATO.png,0,0.0,Richard Cândido Coelho,0.0,4,4.0,2,richard,6,0.0,,,,,,,,,,,,,,,,,,
Everton,Everton,86757,FLA,262,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,2,3.3,Everton Sousa Soares,3.4,5,8.29,2,everton,6,-0.2,,,,,1.0,1.0,1.0,4.0,2.0,,,,,,,,,
José Welison,J. Welison,86859,REM,364,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/REM/FORMATO.png,1,0.8,José Welison da Silva - Zé,0.8,4,3.68,2,jose-welison,6,-0.32,,,,,,,,1.0,,,,,,,,,,
Luiz Otávio,L. Otávio,86863,MIR,2305,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,1,1.5,Luiz Otávio da Silva Santos,0.0,3,3.8,2,luiz-otavio,7,0.0,,,,,1.0,,,,,,,,,,,,,
Léo Jardim,L. Jardim,87008,VAS,267,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VAS/FORMATO.png,2,0.45,Leonardo César Jardim,-1.0,1,8.14,2,leo-jardim,7,-1.53,,,,3.0,,,,,,,,,3.0,,,,,
Pedro Henrique,P. Henrique,87225,RBB,280,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/RBB/FORMATO.png,2,5.0,Pedro Henrique Ribeiro Gonçalves,5.5,3,7.8,2,pedro-henrique,2,0.49,,1.0,,,,1.0,,1.0,1.0,,,,,,,,2.0,
Guilherme Arana,G. Arana,87228,FLU,266,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,1,0.8,Guilherme Antonio Arana Lopes,0.8,2,8.76,2,guilherme-arana,6,-1.24,,,,,,,,1.0,,,,,,,,,,
Soteldo,Soteldo,87258,FLU,266,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,0,0.0,Yeferson Julio Soteldo Martínez,0.0,5,6.0,2,soteldo,6,0.0,,,,,,,,,,,,,,,,,,
Kannemann,Kannemann,87342,GRE,284,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,0,0.0,Walter Kannemann,0.0,3,5.0,2,kannemann,6,0.0,,,,,,,,,,,,,,,,,,
Thaciano,Thaciano,87470,SAN,277,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAN/FORMATO.png,0,0.0,Thaciano Mickael da Silva,0.0,4,6.0,2,thaciano,6,0.0,,,,,,,,,,,,,,,,,,
Vitor Bueno,V. Bueno,87552,REM,364,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/REM/FORMATO.png,1,3.5,Vitor Frezarin Bueno,3.5,4,7.2,2,vitor-bueno,6,0.2,,,,,2.0,,,,1.0,,,,,,,,,
Neto Moura,N. Moura,87742,MIR,2305,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,1,0.5,Antônio Francisco Moura Neto,0.0,4,4.27,2,neto-moura,7,0.0,,,,,,1.0,,1.0,,,,,,,,,,
Arrascaeta,Arrascaeta,87863,FLA,262,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,2,4.6,Giorgian Daniel de Arrascaeta Benedetti,8.4,4,18.96,2,arrascaeta,6,-0.14,,,,,,2.0,,1.0,2.0,,1.0,,,,,,,
Balbuena,Balbuena,87887,GRE,284,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,1,1.5,Fabián Cornelio Balbuena González,1.5,3,6.47,2,balbuena,6,-0.53,,,,,1.0,,,,,,,,,,,,,
Gustavo Scarpa,G. Scarpa,87999,CAM,282,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,2,0.25,Gustavo Henrique Furtado Scarpa,0.0,4,7.29,2,gustavo-scarpa,6,-1.07,,,,,,,,,1.0,,,,,,,,,
Luís Castro,L. Castro,88037,GRE,284,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,2,6.56,Luís Manuel Ribeiro de Castro,8.65,6,10.79,2,luis-castro,7,1.04,,,,,,,,,,,,,,,,,,1.0
Jorge,Jorge,88065,REM,364,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/REM/FORMATO.png,0,0.0,Jorge Marco de Oliveira Moraes,0.0,2,4.0,2,jorge,6,0.0,,,,,,,,,,,,,,,,,,
Ivan,Ivan,88136,REM,364,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/REM/FORMATO.png,0,0.0,Ivan Quaresma da Silva,0.0,1,4.0,2,ivan,6,0.0,,,,,,,,,,,,,,,,,,
Neto Pessoa,N. Pessoa,88293,CHA,315,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,0,0.0,Altemir Cordeiro Pessôa Neto,0.0,5,3.0,2,neto-pessoa,5,0.0,,,,,,,,,,,,,,,,,,
Junior Alonso,J. Alonso,88312,CAM,282,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,2,4.0,Júnior Osmar Ignacio Alonso Mujica,4.5,3,6.53,2,junior-alonso,7,0.39,,,,,4.0,,,,4.0,,,,,,,,,
Ayrton Lucas,A. Lucas,88393,FLA,262,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,0,0.0,Ayrton Lucas Dantas de Medeiros,0.0,2,8.0,2,ayrton-lucas,6,0.0,,,,,,,,,,,,,,,,,,
Walace,Walace,88479,CRU,283,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,0,0.0,Walace Souza Silva,0.0,4,4.0,2,walace,6,0.0,,,,,,,,,,,,,,,,,,
Gerson,Gerson,89256,CRU,283,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,2,2.7,Gerson Santos da Silva,4.0,4,10.79,2,gerson,7,-0.34,,,,,2.0,2.0,1.0,,4.0,,,,,2.0,,,,
João Pedro,J. Pedro,89273,GRE,284,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,2,0.9,João Pedro Maturano dos Santos,1.4,2,4.07,2,joao-pedro,7,-0.16,,,,,1.0,2.0,,,2.0,,,,,1.0,,,,
Andreas Pereira,A. Pereira,89274,PAL,275,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/PAL/FORMATO.png,2,11.6,Andreas Hugo Hoelgebaum Pereira,16.5,4,17.15,2,andreas-pereira,7,2.53,4.0,,,,2.0,2.0,,1.0,,,,,,,,,,
William,William,89275,CRU,283,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,1,1.9,Willian de Asevedo Furtado,1.9,2,10.85,2,william,7,-1.15,,,,,1.0,2.0,,,2.0,,,,,,,,,
Braithwaite,Braithwaite,89368,GRE,284,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,0,0.0,Martin Christensen Braithwaite,0.0,5,13.0,2,braithwaite,6,0.0,,,,,,,,,,,,,,,,,,
Igor Rabello,I. Rabello,89493,FLU,266,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,0,0.0,Igor Rabello da Costa,0.0,3,5.0,2,igor-rabello,6,0.0,,,,,,,,,,,,,,,,,,
Thiago Maia,T. Maia,89637,INT,285,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/INT/FORMATO.png,1,1.5,Thiago Maia Alencar,1.5,4,5.62,2,thiago-maia,6,-0.38,,,,,1.0,,,,,,,,,,,,,
Lucho Acosta,L. Acosta,89837,FLU,266,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,2,9.1,Luciano Federico Acosta,4.4,4,10.9,2,lucho-acosta,7,-0.48,,,,,5.0,4.0,,3.0,3.0,,1.0,,,,,,,
Calleri,Calleri,89840,SAO,276,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,2,5.7,Jonathan Calleri,11.0,5,13.11,2,calleri,7,1.52,,,,,1.0,3.0,,1.0,4.0,,1.0,,,,,,,
Cristaldo,Cristaldo,89846,GRE,284,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,0,0.0,Franco Cristaldo,0.0,4,6.0,2,cristaldo,6,0.0,,,,,,,,,,,,,,,,,,
Dodi,Dodi,89883,GRE,284,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,2,0.05,Douglas Moreira Fagundes,1.2,4,4.3,2,dodi,6,-0.22,,1.0,,,1.0,3.0,,,1.0,,,,,,,,,
Everton Galdino,E. Galdino,89918,MIR,2305,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,2,0.85,Everton Galdino Moreira,1.2,5,3.33,2,everton-galdino,7,-0.12,,,,,,,1.0,,1.0,,,,,,,,,
Mendoza,Mendoza,90031,CAP,293,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAP/FORMATO.png,1,8.2,John Stiven Mendoza Valencia,0.0,5,7.78,2,mendoza,7,0.0,,,,,,1.0,,,1.0,,1.0,,,,,,,
Bruno Pacheco,B. Pacheco,90061,CHA,315,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,0,0.0,Bruno de Jesus Pacheco,0.0,2,6.0,2,bruno-pacheco,6,0.0,,,,,,,,,,,,,,,,,,
Bruno Henrique,B. Henrique,90285,FLA,262,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,2,1.55,Bruno Henrique Pinto,2.3,5,7.29,2,bruno-henrique,6,-0.35,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,
Pedro Rocha,P. Rocha,90302,CFC,294,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CFC/FORMATO.png,2,1.6,Pedro Rocha Neves,0.4,5,5.92,2,pedro-rocha,7,-0.79,,1.0,,,,6.0,1.0,3.0,5.0,,,,,1.0,,,,
David,David,90309,VAS,267,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VAS/FORMATO.png,1,1.2,David Correa da Fonseca,1.2,5,4.67,2,david,6,-0.33,,,,,,,1.0,,,,,,,,,,,
Matheus Pereira,M. Pereira,90370,COR,264,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,1,-0.3,Matheus Pereira da Silva,0.0,4,4.8,2,matheus-pereira,6,0.0,,,,,,1.0,,,,,,,,,,,,
