atletas.apelido,atletas.apelido_abreviado,atletas.atleta_id,atletas.clube.id.full.name,atletas.clube_id,atletas.entrou_em_campo,atletas.foto,atletas.jogos_num,atletas.media_num,atletas.nome,atletas.pontos_num,atletas.posicao_id,atletas.preco_num,atletas.rodada_id,atletas.slug,atletas.status_id,atletas.variacao_num,A,CA,CV,DE,DS,FC,FD,FF,FS,FT,G,GC,GS,I,PC,PS,SG,V
Edenílson,Edenílson,63289,GRE,284,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,2,5.25,Edenílson Andrade dos Santos,8.0,4,7.9,2,edenilson,6,1.3,,,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,
Rodrigo Moledo,R. Moledo,63354,CFC,294,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CFC/FORMATO.png,0,0.0,Rodrigo Modesto da Silva Moledo,0.0,3,3.0,2,rodrigo-moledo,6,0.0,,,,,,,,,,,,,,,,,,
Alan Patrick,A. Patrick,68685,INT,285,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/INT/FORMATO.png,2,2.5,Alan Patrick Lourenço,2.0,4,7.13,2,alan-patrick,7,-0.47,,,,,,1.0,1.0,2.0,5.0,,,,,,,,,
Eduardo,Eduardo,68708,MIR,2305,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,2,4.75,Carlos Eduardo de Oliveira Alves,2.5,4,6.99,2,eduardo,6,-0.37,,,,,1.0,5.0,,,3.0,,1.0,,,,,,,
Neto,Neto,68806,BOT,263,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BOT/FORMATO.png,2,4.55,Norberto Murara Neto,-1.1,1,8.37,2,neto,6,-1.75,,,,7.0,,,,,,,,,5.0,,,,1.0,
Rafael Santos,R. Santos,68822,CHA,315,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,0,0.0,Rafael de Carvalho Santos,0.0,1,3.0,2,rafael-santos,6,0.0,,,,,,,,,,,,,,,,,,
Marcelo Lomba,M. Lomba,68872,PAL,275,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/PAL/FORMATO.png,0,0.0,Marcelo Lomba do Nascimento,0.0,1,4.0,2,marcelo-lomba,6,0.0,,,,,,,,,,,,,,,,,,
Philippe Coutinho,P. Coutinho,68899,VAS,267,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VAS/FORMATO.png,2,11.1,Philippe Coutinho Correia,11.4,4,14.8,2,philippe-coutinho,7,1.19,,,,,1.0,,5.0,4.0,1.0,1.0,1.0,,,,,,,
Dudu,Dudu,68920,CAM,282,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,2,1.5,Eduardo Pereira Rodrigues,0.5,5,7.29,2,dudu,7,-0.95,,,,,1.0,1.0,,1.0,2.0,,,,,,,,,
Rafael,Rafael,68928,SAO,276,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,2,3.55,Rafael Pires Monteiro,2.9,1,8.44,2,rafael,7,-0.4,,,,7.0,,,,,,,,,2.0,,,,,
