atletas.apelido,atletas.apelido_abreviado,atletas.atleta_id,atletas.clube.id.full.name,atletas.clube_id,atletas.entrou_em_campo,atletas.foto,atletas.jogos_num,atletas.media_num,atletas.nome,atletas.pontos_num,atletas.posicao_id,atletas.preco_num,atletas.rodada_id,atletas.slug,atletas.status_id,atletas.variacao_num,A,CA,CV,DE,DP,DS,FC,FD,FF,FS,FT,G,GC,GS,I,PC,PP,PS,SG,V
Léo Condé,L. Condé,37457,REM,364,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/REM/FORMATO.png,8,4.3,Leonardo Rodrigues Condé,2.99,6,7.62,12,leo-conde,7,-0.29,,,,,,,,,,,,,,,,,,,,1.0
Fábio,Fábio,37656,FLU,266,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,12,4.55,Fábio Deivson Lopes Maciel,1.9,1,9.57,12,fabio,7,-0.66,,1.0,,42.0,,,,,,4.0,,,,15.0,,1.0,,,3.0,
Hulk,Hulk,39148,CAM,282,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,12,4.55,Givanildo Vieira de Souza,3.5,5,11.8,12,hulk,7,0.16,3.0,1.0,,,,4.0,9.0,6.0,8.0,32.0,,1.0,,,3.0,,,,,
Alan Franco,A. Franco,39656,CAM,282,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,11,2.44,Alan Steven Franco Palma,-0.6,4,4.89,12,alan-franco,7,-0.68,1.0,2.0,,,,15.0,18.0,2.0,3.0,4.0,,,,,1.0,,,,,
Vagner Mancini,V. Mancini,39850,RBB,280,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/RBB/FORMATO.png,12,5.51,Vagner Carmo Mancini,5.25,6,8.54,12,vagner-mancini,7,0.17,,,,,,,,,,,,,,,,,,,,5.0
Renato Gaúcho,R. Gaúcho,41929,VAS,267,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VAS/FORMATO.png,8,5.32,Renato Portaluppi,6.28,6,10.39,12,renato-gaucho,7,0.44,,,,,,,,,,,,,,,,,,,,4.0
Willian,Willian,42135,GRE,284,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,6,1.25,Willian Borges da Silva,0.0,4,3.93,12,willian,5,0.0,,,,,,2.0,1.0,1.0,2.0,4.0,,,,,,,,,,
Osvaldo,Osvaldo,42222,VIT,287,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VIT/FORMATO.png,1,0.8,Osvaldo Lourenço Filho,0.0,5,4.37,12,osvaldo,6,0.0,,,,,,,,,1.0,,,,,,,,,,,
Cássio,Cássio,42234,CRU,283,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,5,1.32,Cássio Roberto Ramos,0.0,1,6.89,12,cassio,5,0.0,,,,12.0,,,,,,2.0,,,,10.0,,,,,,
Cuca,Cuca,42411,SAN,277,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAN/FORMATO.png,5,5.92,Alexi Stival,4.22,6,10.17,12,cuca,7,-0.83,,,,,,,,,,,,,,,,,,,,2.0
Fagner,Fagner,42500,CRU,283,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,8,3.08,Fagner Conserva Lemos,4.4,2,5.98,12,fagner,7,-0.31,1.0,1.0,,,,8.0,8.0,,,2.0,,,,,,,,,2.0,
Gabriel Leite,G. Leite,50742,CFC,294,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CFC/FORMATO.png,0,0.0,Gabriel Christoni Leite,0.0,1,3.0,12,gabriel-leite,6,0.0,,,,,,,,,,,,,,,,,,,,
Walter,Walter,51413,MIR,2305,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,10,3.5,Walter Leandro Capeloza Artune,5.8,1,6.3,12,walter,7,0.17,,1.0,,40.0,,,,,,,,,,15.0,,1.0,,,,
Everton Ribeiro,E. Ribeiro,51772,BAH,265,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BAH/FORMATO.png,7,5.05,Everton Augusto de Barros Ribeiro,2.5,4,9.21,12,everton-ribeiro,7,-0.55,2.0,,,,,9.0,5.0,3.0,1.0,18.0,,,,,,,,,,
Alex Sandro,A. Sandro,61987,FLA,262,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,8,4.04,Alex Sandro Lobo Silva,4.4,2,9.58,12,alex-sandro,7,0.53,,1.0,,,,8.0,10.0,,1.0,7.0,,,,,,,,,4.0,
Ganso,Ganso,62977,FLU,266,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,11,1.03,Paulo Henrique Chagas de Lima,0.0,4,3.58,12,ganso,7,-0.08,,,,,,4.0,3.0,1.0,,4.0,1.0,,,,,,,,,
Neymar,Neymar,63007,SAN,277,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAN/FORMATO.png,6,8.82,Neymar da Silva Santos Júnior,7.5,4,19.84,12,neymar,7,-0.07,1.0,3.0,,,,4.0,8.0,4.0,7.0,27.0,,3.0,,,6.0,,,,,
Rafael Tolói,R. Tolói,63008,SAO,276,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,4,4.05,Rafael Toloi,0.0,3,7.32,12,rafael-toloi,7,0.0,,3.0,,,,9.0,6.0,1.0,1.0,1.0,,,,,,,,,1.0,
Marcos Rocha,M. Rocha,63013,GRE,284,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,1,0.0,Marcos Luis Rocha Aquino,0.0,2,7.36,12,marcos-rocha,6,0.0,,,,,,,,,,,,,,,,,,,,
Edenílson,Edenílson,63289,BOT,263,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BOT/FORMATO.png,9,4.79,Edenílson Andrade dos Santos,18.4,4,9.3,12,edenilson,6,2.33,2.0,1.0,,,,4.0,6.0,2.0,2.0,4.0,,3.0,,,1.0,,,,,
Rodrigo Moledo,R. Moledo,63354,CFC,294,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CFC/FORMATO.png,0,0.0,Rodrigo Modesto da Silva Moledo,0.0,3,3.0,12,rodrigo-moledo,6,0.0,,,,,,,,,,,,,,,,,,,,
Alan Patrick,A. Patrick,68685,INT,285,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/INT/FORMATO.png,10,5.18,Alan Patrick Lourenço,11.3,4,9.33,12,alan-patrick,7,1.55,,,,,,8.0,5.0,1.0,9.0,18.0,,3.0,,,,,,,,
Eduardo,Eduardo,68708,MIR,2305,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,5,2.98,Carlos Eduardo de Oliveira Alves,0.0,4,6.21,12,eduardo,6,0.0,,,1.0,,,3.0,7.0,2.0,2.0,7.0,,1.0,,,,,,,,
Neto,Neto,68806,BOT,263,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BOT/FORMATO.png,4,3.72,Norberto Murara Neto,1.6,1,8.29,12,neto,2,-0.33,,,,13.0,,,,,,,,,,7.0,,,,,1.0,
Rafael Santos,R. Santos,68822,CHA,315,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,4,3.75,Rafael de Carvalho Santos,1.2,1,4.94,12,rafael-santos,7,-0.48,,,,20.0,,,,,,,,,,11.0,,,,,,
Marcelo Lomba,M. Lomba,68872,PAL,275,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/PAL/FORMATO.png,0,0.0,Marcelo Lomba do Nascimento,0.0,1,4.0,12,marcelo-lomba,6,0.0,,,,,,,,,,,,,,,,,,,,
Dudu,Dudu,68920,CAM,282,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,11,2.91,Eduardo Pereira Rodrigues,4.7,5,7.15,12,dudu,6,0.65,,,,,,2.0,2.0,6.0,3.0,8.0,,2.0,,,,,,,,
Rafael,Rafael,68928,SAO,276,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,12,3.96,Rafael Pires Monteiro,1.9,1,8.06,12,rafael,7,-0.29,,,,33.0,,,,,,1.0,,,,11.0,,,,,3.0,
Giovanni Augusto,G. Augusto,68938,CHA,315,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,7,0.93,Giovanni Augusto Oliveira Cardoso,0.0,4,3.2,12,giovanni-augusto,6,0.0,,1.0,,,,3.0,5.0,,,9.0,,,,,,,,,,
Marinho,Marinho,68952,VIT,287,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VIT/FORMATO.png,2,1.8,Mário Sérgio Santos Costa,0.0,5,5.91,12,marinho,6,0.0,,,,,,1.0,1.0,,2.0,2.0,,,,,2.0,,,,,
Willian José,W. José,68996,BAH,265,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BAH/FORMATO.png,10,2.46,Willian José da Silva,0.2,5,8.12,12,willian-jose,6,-0.17,1.0,,,,,2.0,8.0,3.0,3.0,2.0,,2.0,,,,,1.0,,,
Santos,Santos,69012,CAP,293,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAP/FORMATO.png,10,3.81,Aderbar Melo dos Santos Neto,0.3,1,8.23,12,santos,7,-1.01,,,,27.0,,,,,,,,,,12.0,,,,,3.0,
Allan,Allan,69140,BOT,263,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BOT/FORMATO.png,8,2.14,Allan Marques Loureiro,1.5,4,4.7,12,allan,7,-0.58,,3.0,,,,13.0,10.0,,2.0,4.0,,,,,,,,,,
Gabriel Paulista,G. Paulista,69208,COR,264,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,8,5.49,Gabriel Armando de Abreu,7.0,3,10.43,12,gabriel-paulista,7,-0.07,,,,,,9.0,9.0,1.0,8.0,5.0,,1.0,,,,,,,3.0,
Danilo,Danilo,69783,FLA,262,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,3,0.5,Danilo Luiz da Silva,0.0,3,6.23,12,danilo,6,0.0,,,,,,1.0,,,,,,,,,,,,,,
Lucas Moura,L. Moura,70164,SAO,276,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,7,2.69,Lucas Rodrigues Moura da Silva,0.0,4,7.89,12,lucas-moura,5,0.0,1.0,,,,,,4.0,2.0,2.0,6.0,,1.0,,,,,,,,
Eduardo Sasha,E. Sasha,70360,RBB,280,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/RBB/FORMATO.png,8,1.86,Eduardo Colcenti Antunes,1.2,5,5.18,12,eduardo-sasha,6,-0.21,,,,,,3.0,1.0,5.0,3.0,5.0,,,,,3.0,,,,,
Gabriel,Gabriel,70449,VIT,287,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VIT/FORMATO.png,2,2.2,Gabriel Vasconcelos Ferreira,0.0,1,5.6,12,gabriel,6,0.0,,,,3.0,,,,,,1.0,,,,5.0,,,,,1.0,
Felipe Anderson,F. Anderson,70592,PAL,275,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/PAL/FORMATO.png,9,1.8,Felipe Anderson Pereira Gomes,0.0,4,5.81,12,felipe-anderson,6,-0.41,,,,,,9.0,3.0,1.0,1.0,3.0,,,,,,,,,,
Marllon,Marllon,70666,REM,364,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/REM/FORMATO.png,12,3.23,Marllon Gonçalves Jerônimo Borges,2.0,3,5.65,12,marllon,7,-0.76,,2.0,,,,17.0,9.0,,1.0,8.0,,1.0,,,,,,,1.0,
Bruno Henrique,B. Henrique,70944,INT,285,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/INT/FORMATO.png,9,0.98,Bruno Henrique Corsini,0.0,4,3.78,12,bruno-henrique,7,0.0,,,,,,4.0,9.0,1.0,3.0,4.0,,,,,1.0,,,,,
