atletas.apelido,atletas.apelido_abreviado,atletas.atleta_id,atletas.clube.id.full.name,atletas.clube_id,atletas.entrou_em_campo,atletas.foto,atletas.jogos_num,atletas.media_num,atletas.nome,atletas.pontos_num,atletas.posicao_id,atletas.preco_num,atletas.rodada_id,atletas.slug,atletas.status_id,atletas.variacao_num,A,CA,CV,DE,DP,DS,FC,FD,FF,FS,FT,G,GC,GS,I,PC,PP,PS,SG,V
Rafael Tolói,R. Tolói,63008,SAO,276,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,5,4.82,Rafael Toloi,0.0,3,8.24,14,rafael-toloi,7,0.0,,3.0,,,,11.0,8.0,1.0,1.0,2.0,,,,,,,,,2.0,
Marcos Rocha,M. Rocha,63013,GRE,284,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,1,0.0,Marcos Luis Rocha Aquino,0.0,2,7.36,14,marcos-rocha,6,0.0,,,,,,,,,,,,,,,,,,,,
Edenílson,Edenílson,63289,BOT,263,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BOT/FORMATO.png,11,3.97,Edenílson Andrade dos Santos,0.0,4,6.64,14,edenilson,2,-0.25,2.0,1.0,,,,5.0,9.0,2.0,2.0,4.0,,3.0,,,1.0,,,,,
Rodrigo Moledo,R. Moledo,63354,CFC,294,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CFC/FORMATO.png,0,0.0,Rodrigo Modesto da Silva Moledo,0.0,3,3.0,14,rodrigo-moledo,6,0.0,,,,,,,,,,,,,,,,,,,,
Alan Patrick,A. Patrick,68685,INT,285,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/INT/FORMATO.png,11,4.94,Alan Patrick Lourenço,0.0,4,8.11,14,alan-patrick,2,0.0,,,,,,9.0,5.0,1.0,9.0,20.0,,3.0,,,,,,,,
Eduardo,Eduardo,68708,MIR,2305,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,7,2.59,Carlos Eduardo de Oliveira Alves,0.0,4,5.75,14,eduardo,7,-0.64,,,1.0,,,5.0,9.0,2.0,3.0,7.0,,1.0,,,,,,,,
Neto,Neto,68806,BOT,263,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BOT/FORMATO.png,6,3.85,Norberto Murara Neto,7.6,1,8.63,14,neto,7,1.23,,,,22.0,,,,,,1.0,,,,11.0,,,,,1.0,
Rafael Santos,R. Santos,68822,CHA,315,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,4,3.75,Rafael de Carvalho Santos,0.0,1,4.94,14,rafael-santos,6,0.0,,,,20.0,,,,,,,,,,11.0,,,,,,
Marcelo Lomba,M. Lomba,68872,PAL,275,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/PAL/FORMATO.png,0,0.0,Marcelo Lomba do Nascimento,0.0,1,4.0,14,marcelo-lomba,6,0.0,,,,,,,,,,,,,,,,,,,,
Dudu,Dudu,68920,CAM,282,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,12,2.78,Eduardo Pereira Rodrigues,0.0,5,6.58,14,dudu,6,0.0,,,,,,2.0,2.0,6.0,4.0,9.0,,2.0,,,,,,,,
Rafael,Rafael,68928,SAO,276,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,14,4.2,Rafael Pires Monteiro,5.0,1,8.59,14,rafael,7,-0.08,,,,39.0,,,,,,2.0,,,,13.0,,,,,4.0,
Giovanni Augusto,G. Augusto,68938,CHA,315,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,8,1.0,Giovanni Augusto Oliveira Cardoso,1.5,4,3.42,14,giovanni-augusto,6,0.22,,1.0,,,,4.0,5.0,,,9.0,,,,,,,,,,
Marinho,Marinho,68952,VIT,287,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VIT/FORMATO.png,4,2.0,Mário Sérgio Santos Costa,3.2,5,5.76,14,marinho,6,0.08,,,,,,3.0,2.0,1.0,2.0,3.0,,,,,2.0,,,,,
Willian José,W. José,68996,BAH,265,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BAH/FORMATO.png,12,2.87,Willian José da Silva,1.7,5,8.38,14,willian-jose,7,-0.91,1.0,,,,,2.0,11.0,4.0,5.0,2.0,,3.0,,,,,1.0,,,
Santos,Santos,69012,CAP,293,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAP/FORMATO.png,12,3.53,Aderbar Melo dos Santos Neto,5.0,1,8.58,14,santos,7,0.79,,1.0,,28.0,,,,,,,,,,13.0,,,,,4.0,
Allan,Allan,69140,BOT,263,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BOT/FORMATO.png,10,2.03,Allan Marques Loureiro,0.5,4,4.48,14,allan,6,-0.37,,3.0,,,,15.0,11.0,,2.0,5.0,,,,,,,,,,
Gabriel Paulista,G. Paulista,69208,COR,264,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,10,5.03,Gabriel Armando de Abreu,-1.6,3,9.15,14,gabriel-paulista,7,-1.55,,1.0,,,,11.0,11.0,1.0,8.0,5.0,,1.0,,,,,,,4.0,
Danilo,Danilo,69783,FLA,262,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,3,0.5,Danilo Luiz da Silva,0.0,3,6.23,14,danilo,6,0.0,,,,,,1.0,,,,,,,,,,,,,,
Lucas Moura,L. Moura,70164,SAO,276,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,8,2.32,Lucas Rodrigues Moura da Silva,-0.3,4,7.5,14,lucas-moura,6,-0.39,1.0,,,,,,5.0,2.0,2.0,6.0,,1.0,,,,,,,,
Eduardo Sasha,E. Sasha,70360,RBB,280,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/RBB/FORMATO.png,10,1.84,Eduardo Colcenti Antunes,0.5,5,4.98,14,eduardo-sasha,7,-0.41,,,,,,4.0,1.0,5.0,3.0,9.0,,,,,3.0,,,,,
Gabriel,Gabriel,70449,VIT,287,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VIT/FORMATO.png,2,2.2,Gabriel Vasconcelos Ferreira,0.0,1,5.6,14,gabriel,6,0.0,,,,3.0,,,,,,1.0,,,,5.0,,,,,1.0,
Felipe Anderson,F. Anderson,70592,PAL,275,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/PAL/FORMATO.png,10,1.58,Felipe Anderson Pereira Gomes,0.0,4,5.52,14,felipe-anderson,6,0.0,,1.0,,,,10.0,6.0,1.0,1.0,3.0,,,,,,,,,,
Marllon,Marllon,70666,REM,364,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/REM/FORMATO.png,14,3.27,Marllon Gonçalves Jerônimo Borges,2.0,3,5.71,14,marllon,7,-0.39,,2.0,,,,21.0,9.0,,1.0,10.0,,1.0,,,,,,,1.0,
