atletas.apelido,atletas.apelido_abreviado,atletas.atleta_id,atletas.clube.id.full.name,atletas.clube_id,atletas.entrou_em_campo,atletas.foto,atletas.jogos_num,atletas.media_num,atletas.nome,atletas.pontos_num,atletas.posicao_id,atletas.preco_num,atletas.rodada_id,atletas.slug,atletas.status_id,atletas.variacao_num,A,CA,CV,DE,DP,DS,FC,FD,FF,FS,FT,G,GC,GS,I,PC,PP,PS,SG,V
Léo Condé,L. Condé,37457,REM,364,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/REM/FORMATO.png,1,2.96,Leonardo Rodrigues Condé,2.96,6,7.4,5,leo-conde,7,0.35,,,,,,,,,,,,,,,,,,,,
Fábio,Fábio,37656,FLU,266,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,5,5.94,Fábio Deivson Lopes Maciel,8.9,1,11.16,5,fabio,7,0.56,,1.0,,19.0,,,,,,2.0,,,,4.0,,1.0,,,2.0,
Hulk,Hulk,39148,CAM,282,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,5,7.18,Givanildo Vieira de Souza,8.2,5,14.13,5,hulk,2,-0.12,2.0,,,,,4.0,5.0,1.0,5.0,17.0,,1.0,,,3.0,,,,,
Alan Franco,A. Franco,39656,CAM,282,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,5,2.52,Alan Steven Franco Palma,3.9,4,5.38,5,alan-franco,7,-0.34,,1.0,,,,9.0,7.0,1.0,,2.0,,,,,,,,,,
Vagner Mancini,V. Mancini,39850,RBB,280,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/RBB/FORMATO.png,5,4.94,Vagner Carmo Mancini,4.79,6,7.45,5,vagner-mancini,7,0.15,,,,,,,,,,,,,,,,,,,,2.0
Dorival Júnior,D. Júnior,40990,COR,264,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,4,5.27,Dorival Silvestre Júnior,2.37,6,10.71,5,dorival-junior,7,-0.89,,,,,,,,,,,,,,,,,,,,1.0
Renato Gaúcho,R. Gaúcho,41929,VAS,267,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VAS/FORMATO.png,1,6.95,Renato Portaluppi,6.95,6,10.38,5,renato-gaucho,7,1.68,,,,,,,,,,,,,,,,,,,,1.0
Willian,Willian,42135,GRE,284,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,3,1.63,Willian Borges da Silva,0.0,4,4.62,5,willian,6,0.0,,,,,,2.0,1.0,1.0,,2.0,,,,,,,,,,
Osvaldo,Osvaldo,42222,VIT,287,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VIT/FORMATO.png,1,0.8,Osvaldo Lourenço Filho,0.0,5,4.37,5,osvaldo,6,0.0,,,,,,,,,1.0,,,,,,,,,,,
Cássio,Cássio,42234,CRU,283,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,5,1.32,Cássio Roberto Ramos,1.6,1,6.89,5,cassio,6,-0.72,,,,12.0,,,,,,2.0,,,,10.0,,,,,,
Fagner,Fagner,42500,CRU,283,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,5,1.16,Fagner Conserva Lemos,-1.1,2,4.23,5,fagner,6,-0.85,,1.0,,,,5.0,4.0,,,1.0,,,,,,,,,,
Tite,Tite,45125,CRU,283,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,5,3.23,Adenor Leonardo Bachi,2.73,6,8.54,5,tite,7,-0.68,,,,,,,,,,,,,,,,,,,,
Gabriel Leite,G. Leite,50742,CFC,294,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CFC/FORMATO.png,0,0.0,Gabriel Christoni Leite,0.0,1,3.0,5,gabriel-leite,6,0.0,,,,,,,,,,,,,,,,,,,,
Walter,Walter,51413,MIR,2305,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,3,3.1,Walter Leandro Capeloza Artune,0.0,1,5.26,5,walter,7,0.0,,,,11.0,,,,,,,,,,5.0,,,,,,
Everton Ribeiro,E. Ribeiro,51772,BAH,265,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BAH/FORMATO.png,3,5.87,Everton Augusto de Barros Ribeiro,0.0,4,10.45,5,everton-ribeiro,5,0.0,1.0,,,,,5.0,3.0,1.0,1.0,8.0,,,,,,,,,,
Alex Sandro,A. Sandro,61987,FLA,262,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,3,3.47,Alex Sandro Lobo Silva,4.9,2,10.14,5,alex-sandro,7,0.05,,,,,,2.0,3.0,,1.0,5.0,,,,,,,,,1.0,
Ganso,Ganso,62977,FLU,266,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,4,0.85,Paulo Henrique Chagas de Lima,0.0,4,4.53,5,ganso,6,0.0,,,,,,2.0,2.0,,,2.0,,,,,,,,,,
Neymar,Neymar,63007,SAN,277,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAN/FORMATO.png,1,19.2,Neymar da Silva Santos Júnior,0.0,4,24.24,5,neymar,7,0.0,,1.0,,,,1.0,3.0,1.0,,5.0,,2.0,,,1.0,,,,,
Rafael Tolói,R. Tolói,63008,SAO,276,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,1,10.6,Rafael Toloi,0.0,3,8.5,5,rafael-toloi,6,0.0,,1.0,,,,4.0,2.0,1.0,,,,,,,,,,,1.0,
Marcos Rocha,M. Rocha,63013,GRE,284,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,1,0.0,Marcos Luis Rocha Aquino,0.0,2,7.36,5,marcos-rocha,6,0.0,,,,,,,,,,,,,,,,,,,,
Edenílson,Edenílson,63289,BOT,263,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BOT/FORMATO.png,3,4.0,Edenílson Andrade dos Santos,0.0,4,6.91,5,edenilson,6,0.0,,,,,,2.0,1.0,,1.0,1.0,,1.0,,,,,,,,
Rodrigo Moledo,R. Moledo,63354,CFC,294,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CFC/FORMATO.png,0,0.0,Rodrigo Modesto da Silva Moledo,0.0,3,3.0,5,rodrigo-moledo,6,0.0,,,,,,,,,,,,,,,,,,,,
Alan Patrick,A. Patrick,68685,INT,285,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/INT/FORMATO.png,5,4.16,Alan Patrick Lourenço,2.2,4,7.25,5,alan-patrick,7,-1.37,,,,,,2.0,3.0,1.0,5.0,11.0,,1.0,,,,,,,,
Eduardo,Eduardo,68708,MIR,2305,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,3,4.2,Carlos Eduardo de Oliveira Alves,0.0,4,6.9,5,eduardo,5,0.0,,,,,,1.0,6.0,2.0,,5.0,,1.0,,,,,,,,
Neto,Neto,68806,BOT,263,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BOT/FORMATO.png,3,4.43,Norberto Murara Neto,0.0,1,8.62,5,neto,6,0.0,,,,11.0,,,,,,,,,,6.0,,,,,1.0,
Rafael Santos,R. Santos,68822,CHA,315,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,0,0.0,Rafael de Carvalho Santos,0.0,1,3.0,5,rafael-santos,6,0.0,,,,,,,,,,,,,,,,,,,,
Marcelo Lomba,M. Lomba,68872,PAL,275,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/PAL/FORMATO.png,0,0.0,Marcelo Lomba do Nascimento,0.0,1,4.0,5,marcelo-lomba,6,0.0,,,,,,,,,,,,,,,,,,,,
Dudu,Dudu,68920,CAM,282,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,5,3.34,Eduardo Pereira Rodrigues,0.0,5,7.01,5,dudu,2,-0.98,,,,,,2.0,1.0,2.0,2.0,4.0,,1.0,,,,,,,,
Rafael,Rafael,68928,SAO,276,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,5,5.46,Rafael Pires Monteiro,6.3,1,9.24,5,rafael,7,-0.21,,,,11.0,,,,,,,,,,2.0,,,,,3.0,
Giovanni Augusto,G. Augusto,68938,CHA,315,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,3,1.27,Giovanni Augusto Oliveira Cardoso,1.2,4,4.19,5,giovanni-augusto,2,-0.12,,,,,,2.0,4.0,,,4.0,,,,,,,,,,
Marinho,Marinho,68952,VIT,287,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VIT/FORMATO.png,1,3.6,Mário Sérgio Santos Costa,3.6,5,6.71,5,marinho,6,0.71,,,,,,1.0,1.0,,2.0,2.0,,,,,2.0,,,,,
Willian José,W. José,68996,BAH,265,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BAH/FORMATO.png,4,3.1,Willian José da Silva,2.7,5,9.89,5,willian-jose,7,-0.2,1.0,,,,,1.0,2.0,1.0,1.0,1.0,,1.0,,,,,1.0,,,
Santos,Santos,69012,CAP,293,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAP/FORMATO.png,3,5.77,Aderbar Melo dos Santos Neto,0.0,1,9.75,5,santos,7,0.0,,,,11.0,,,,,,,,,,2.0,,,,,1.0,
Allan,Allan,69140,BOT,263,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BOT/FORMATO.png,3,1.33,Allan Marques Loureiro,0.0,4,4.84,5,allan,6,0.0,,2.0,,,,2.0,2.0,,2.0,4.0,,,,,,,,,,
Gabriel Paulista,G. Paulista,69208,COR,264,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,3,7.27,Gabriel Armando de Abreu,5.5,3,11.04,5,gabriel-paulista,7,-0.67,,,,,,4.0,2.0,,3.0,2.0,,1.0,,,,,,,1.0,
Danilo,Danilo,69783,FLA,262,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,0,0.0,Danilo Luiz da Silva,0.0,3,8.0,5,danilo,6,0.0,,,,,,,,,,,,,,,,,,,,
Lucas Moura,L. Moura,70164,SAO,276,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,5,3.34,Lucas Rodrigues Moura da Silva,1.8,4,8.51,5,lucas-moura,7,-0.62,1.0,,,,,,2.0,1.0,2.0,3.0,,1.0,,,,,,,,
Eduardo Sasha,E. Sasha,70360,RBB,280,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/RBB/FORMATO.png,4,2.45,Eduardo Colcenti Antunes,2.8,5,6.14,5,eduardo-sasha,7,-0.23,,,,,,1.0,,4.0,2.0,4.0,,,,,1.0,,,,,
Gabriel,Gabriel,70449,VIT,287,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VIT/FORMATO.png,2,2.2,Gabriel Vasconcelos Ferreira,0.0,1,5.6,5,gabriel,6,0.0,,,,3.0,,,,,,1.0,,,,5.0,,,,,1.0,
Felipe Anderson,F. Anderson,70592,PAL,275,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/PAL/FORMATO.png,2,2.7,Felipe Anderson Pereira Gomes,5.4,4,8.57,5,felipe-anderson,6,0.56,,,,,,4.0,2.0,,,,,,,,,,,,,
Marllon,Marllon,70666,REM,364,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/REM/FORMATO.png,5,3.86,Marllon Gonçalves Jerônimo Borges,3.2,3,5.88,5,marllon,7,-0.22,,,,,,12.0,4.0,,,5.0,,,,,,,,,,
Bruno Henrique,B. Henrique,70944,INT,285,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/INT/FORMATO.png,3,1.2,Bruno Henrique Corsini,0.0,4,4.77,5,bruno-henrique,6,-0.54,,,,,,1.0,3.0,1.0,1.0,2.0,,,,,,,,,,
Jean Carlos,J. Carlos,70958,CHA,315,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,4,8.25,Jean Carlos Vicente,2.5,4,9.34,5,jean-carlos,2,-0.57,2.0,,,,,1.0,,2.0,2.0,3.0,,2.0,,,,,,,,
Léo Vieira,L. Vieira,71043,CHA,315,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,4,4.82,Leonardo da Silva Vieira,4.5,1,5.2,5,leo-vieira,7,0.99,,1.0,,21.0,,,,,,2.0,,,,8.0,,,,,,
Thiago Mendes,T. Mendes,71123,VAS,267,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VAS/FORMATO.png,5,4.16,Thiago Henrique Mendes Ribeiro,10.8,4,7.86,5,thiago-mendes,3,1.73,,3.0,,,,7.0,5.0,,1.0,12.0,,1.0,,,,,,,,
Maicon,Maicon,71227,CFC,294,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CFC/FORMATO.png,5,2.34,Maicon Pereira Roque,7.0,3,4.81,5,maicon,7,1.0,,,,,,4.0,1.0,,,2.0,,,,,,,,,1.0,
