atletas.apelido,atletas.apelido_abreviado,atletas.atleta_id,atletas.clube.id.full.name,atletas.clube_id,atletas.craque,atletas.entrou_em_campo,atletas.foto,atletas.jogos_num,atletas.media_num,atletas.nome,atletas.pontos_num,atletas.posicao_id,atletas.preco_num,atletas.rodada_id,atletas.slug,atletas.status_id,atletas.variacao_num,A,CA,CV,DE,DP,DS,FC,FD,FF,FS,FT,G,GC,GS,I,PC,PP,PS,SG,V
Léo Condé,L. Condé,37457,REM,364,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/REM/FORMATO.png,13,4.36,Leonardo Rodrigues Condé,4.19,6,7.85,17,leo-conde,7,-0.15,,,,,,,,,,,,,,,,,,,,3.0
Fábio,Fábio,37656,FLU,266,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,17,4.55,Fábio Deivson Lopes Maciel,8.1,1,10.17,17,fabio,7,0.2,,1.0,,65.0,,,,,,4.0,,,,22.0,,1.0,,,3.0,
Hulk,Hulk,39148,FLU,266,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,12,4.55,Givanildo Vieira de Souza,0.0,5,11.8,17,hulk,6,0.0,3.0,1.0,,,,4.0,9.0,6.0,8.0,32.0,,1.0,,,3.0,,,,,
Alan Franco,A. Franco,39656,CAM,282,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,15,2.42,Alan Steven Franco Palma,0.9,4,4.99,17,alan-franco,6,-0.34,1.0,3.0,,,,23.0,23.0,2.0,3.0,4.0,,,,,1.0,,,,,
Vagner Mancini,V. Mancini,39850,RBB,280,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/RBB/FORMATO.png,17,5.54,Vagner Carmo Mancini,10.21,6,9.35,17,vagner-mancini,7,0.51,,,,,,,,,,,,,,,,,,,,8.0
Dorival Júnior,D. Júnior,40990,SAO,276,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,10,4.41,Dorival Silvestre Júnior,3.5,6,9.9,17,dorival-junior,7,-0.06,,,,,,,,,,,,,,,,,,,,1.0
Renato Gaúcho,R. Gaúcho,41929,VAS,267,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VAS/FORMATO.png,13,5.15,Renato Portaluppi,3.65,6,9.91,17,renato-gaucho,7,-0.11,,,,,,,,,,,,,,,,,,,,5.0
Willian,Willian,42135,GRE,284,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,8,1.06,Willian Borges da Silva,0.0,4,3.74,17,willian,6,0.0,,,,,,2.0,1.0,1.0,2.0,6.0,,,,,,,,,,
Osvaldo,Osvaldo,42222,VIT,287,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VIT/FORMATO.png,1,0.8,Osvaldo Lourenço Filho,0.0,5,4.37,17,osvaldo,6,0.0,,,,,,,,,1.0,,,,,,,,,,,
Cássio,Cássio,42234,CRU,283,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,5,1.32,Cássio Roberto Ramos,0.0,1,6.89,17,cassio,5,0.0,,,,12.0,,,,,,2.0,,,,10.0,,,,,,
Cuca,Cuca,42411,SAN,277,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAN/FORMATO.png,10,5.45,Alexi Stival,4.86,6,10.07,17,cuca,7,0.17,,,,,,,,,,,,,,,,,,,,3.0
Fagner,Fagner,42500,CRU,283,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,11,2.44,Fagner Conserva Lemos,-0.3,2,4.98,17,fagner,2,-0.42,1.0,1.0,,,,10.0,14.0,,,4.0,,,,,,,,,2.0,
Gabriel Leite,G. Leite,50742,CFC,294,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CFC/FORMATO.png,0,0.0,Gabriel Christoni Leite,0.0,1,3.0,17,gabriel-leite,6,0.0,,,,,,,,,,,,,,,,,,,,
Walter,Walter,51413,MIR,2305,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,15,3.06,Walter Leandro Capeloza Artune,6.3,1,6.11,17,walter,7,0.78,,2.0,,50.0,,,,,,,,,,21.0,,1.0,,,1.0,
Everton Ribeiro,E. Ribeiro,51772,BAH,265,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BAH/FORMATO.png,12,5.42,Everton Augusto de Barros Ribeiro,9.0,4,10.23,17,everton-ribeiro,7,0.81,4.0,1.0,,,,19.0,10.0,4.0,3.0,27.0,,,,,,,,,,
Alex Sandro,A. Sandro,61987,FLA,262,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,12,3.74,Alex Sandro Lobo Silva,1.5,2,8.8,17,alex-sandro,6,-0.11,,2.0,,,,13.0,15.0,,1.0,12.0,,,,,,,,,5.0,
Ganso,Ganso,62977,FLU,266,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,12,0.85,Paulo Henrique Chagas de Lima,0.0,4,3.27,17,ganso,6,0.0,,1.0,,,,4.0,5.0,1.0,,5.0,1.0,,,,,,,,,
Neymar,Neymar,63007,SAN,277,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAN/FORMATO.png,8,8.42,Neymar da Silva Santos Júnior,0.0,4,18.96,17,neymar,5,0.0,1.0,5.0,,,,5.0,12.0,5.0,10.0,36.0,,4.0,,,6.0,,,,,
Rafael Tolói,R. Tolói,63008,SAO,276,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,5,4.82,Rafael Toloi,0.0,3,8.24,17,rafael-toloi,6,0.0,,3.0,,,,11.0,8.0,1.0,1.0,2.0,,,,,,,,,2.0,
Marcos Rocha,M. Rocha,63013,GRE,284,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,3,0.67,Marcos Luis Rocha Aquino,0.0,2,6.56,17,marcos-rocha,6,-1.06,,,,,,1.0,,,,1.0,,,,,,,,,,
Edenílson,Edenílson,63289,BOT,263,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BOT/FORMATO.png,14,3.2,Edenílson Andrade dos Santos,0.0,4,6.15,17,edenilson,6,-0.34,2.0,1.0,,,,6.0,10.0,2.0,2.0,4.0,,3.0,,,1.0,,,,,
Rodrigo Moledo,R. Moledo,63354,CFC,294,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CFC/FORMATO.png,2,7.75,Rodrigo Modesto da Silva Moledo,0.0,3,7.4,17,rodrigo-moledo,6,0.0,,,,,,1.0,,,,2.0,,1.0,,,,,,,1.0,
Alan Patrick,A. Patrick,68685,INT,285,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/INT/FORMATO.png,13,4.18,Alan Patrick Lourenço,0.0,4,7.37,17,alan-patrick,6,-0.28,,,,,,9.0,5.0,1.0,9.0,20.0,,3.0,,,,,,,,
Eduardo,Eduardo,68708,MIR,2305,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,10,3.16,Carlos Eduardo de Oliveira Alves,0.5,4,6.07,17,eduardo,6,-0.72,,,1.0,,,8.0,9.0,2.0,3.0,9.0,,2.0,,,,,,,,
Neto,Neto,68806,BOT,263,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BOT/FORMATO.png,9,3.4,Norberto Murara Neto,1.6,1,7.5,17,neto,7,-0.06,,,,30.0,,,,,,1.0,,,,14.0,,,,,1.0,
Rafael Santos,R. Santos,68822,CHA,315,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,4,3.75,Rafael de Carvalho Santos,0.0,1,4.94,17,rafael-santos,6,0.0,,,,20.0,,,,,,,,,,11.0,,,,,,
