atletas.apelido,atletas.apelido_abreviado,atletas.atleta_id,atletas.clube.id.full.name,atletas.clube_id,atletas.craque,atletas.entrou_em_campo,atletas.foto,atletas.jogos_num,atletas.media_num,atletas.nome,atletas.pontos_num,atletas.posicao_id,atletas.preco_num,atletas.rodada_id,atletas.slug,atletas.status_id,atletas.variacao_num,A,CA,CV,DE,DP,DS,FC,FD,FF,FS,FT,G,GC,GS,I,PC,PP,PS,SG,V
Léo Condé,L. Condé,37457,REM,364,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/REM/FORMATO.png,15,4.53,Leonardo Rodrigues Condé,2.26,6,7.63,19,leo-conde,7,-0.92,,,,,,,,,,,,,,,,,,,,4.0
Fábio,Fábio,37656,FLU,266,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,18,4.39,Fábio Deivson Lopes Maciel,0.0,1,9.11,19,fabio,7,0.0,,1.0,,67.0,,,,,,4.0,,,,23.0,,1.0,,,3.0,
Thiago Silva,T. Silva,37715,FLU,266,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,0,0.0,Thiago Emiliano da Silva,0.0,3,7.0,19,thiago-silva,7,0.0,,,,,,,,,,,,,,,,,,,,
Hulk,Hulk,39148,FLU,266,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,12,4.55,Givanildo Vieira de Souza,0.0,5,11.8,19,hulk,7,0.0,3.0,1.0,,,,4.0,9.0,6.0,8.0,32.0,,1.0,,,3.0,,,,,
Alan Franco,A. Franco,39656,CAM,282,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,15,2.42,Alan Steven Franco Palma,0.0,4,4.99,19,alan-franco,6,0.0,1.0,3.0,,,,23.0,23.0,2.0,3.0,4.0,,,,,1.0,,,,,
Vagner Mancini,V. Mancini,39850,RBB,280,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/RBB/FORMATO.png,18,5.58,Vagner Carmo Mancini,0.0,6,8.78,19,vagner-mancini,7,0.0,,,,,,,,,,,,,,,,,,,,9.0
Dorival Júnior,D. Júnior,40990,SAO,276,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,12,4.17,Dorival Silvestre Júnior,4.17,6,9.6,19,dorival-junior,7,0.24,,,,,,,,,,,,,,,,,,,,1.0
Willian,Willian,42135,GRE,284,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,8,1.06,Willian Borges da Silva,0.0,4,3.74,19,willian,6,0.0,,,,,,2.0,1.0,1.0,2.0,6.0,,,,,,,,,,
Osvaldo,Osvaldo,42222,VIT,287,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VIT/FORMATO.png,2,0.4,Osvaldo Lourenço Filho,0.0,5,4.07,19,osvaldo,6,0.0,,,,,,,,,1.0,,,,,,,,,,,
Cássio,Cássio,42234,CRU,283,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,5,1.32,Cássio Roberto Ramos,0.0,1,6.89,19,cassio,5,0.0,,,,12.0,,,,,,2.0,,,,10.0,,,,,,
