atletas.apelido,atletas.apelido_abreviado,atletas.atleta_id,atletas.clube.id.full.name,atletas.clube_id,atletas.entrou_em_campo,atletas.foto,atletas.jogos_num,atletas.media_num,atletas.nome,atletas.pontos_num,atletas.posicao_id,atletas.preco_num,atletas.rodada_id,atletas.slug,atletas.status_id,atletas.variacao_num,A,CA,CV,DE,DP,DS,FC,FD,FF,FS,FT,G,GC,GS,I,PC,PP,PS,SG,V
Fábio,Fábio,37656,FLU,266,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,4,5.2,Fábio Deivson Lopes Maciel,3.8,1,10.6,4,fabio,7,-0.76,,1.0,,16.0,,,,,,2.0,,,,4.0,,1.0,,,1.0,
Hulk,Hulk,39148,CAM,282,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,4,6.93,Givanildo Vieira de Souza,5.3,5,14.25,4,hulk,7,-1.19,1.0,,,,,4.0,2.0,,5.0,11.0,,1.0,,,2.0,,,,,
Alan Franco,A. Franco,39656,CAM,282,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,4,2.17,Alan Steven Franco Palma,6.2,4,5.72,4,alan-franco,7,0.79,,1.0,,,,6.0,5.0,1.0,,2.0,,,,,,,,,,
Vagner Mancini,V. Mancini,39850,RBB,280,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/RBB/FORMATO.png,4,4.98,Vagner Carmo Mancini,3.15,6,7.3,4,vagner-mancini,7,0.22,,,,,,,,,,,,,,,,,,,,2.0
Dorival Júnior,D. Júnior,40990,COR,264,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,3,6.23,Dorival Silvestre Júnior,3.31,6,11.6,4,dorival-junior,7,-0.69,,,,,,,,,,,,,,,,,,,,1.0
Willian,Willian,42135,GRE,284,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,3,1.63,Willian Borges da Silva,0.0,4,4.62,4,willian,7,0.0,,,,,,2.0,1.0,1.0,,2.0,,,,,,,,,,
Osvaldo,Osvaldo,42222,VIT,287,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VIT/FORMATO.png,1,0.8,Osvaldo Lourenço Filho,0.0,5,4.37,4,osvaldo,7,0.0,,,,,,,,,1.0,,,,,,,,,,,
Cássio,Cássio,42234,CRU,283,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,4,1.25,Cássio Roberto Ramos,0.8,1,7.61,4,cassio,7,-1.49,,,,10.0,,,,,,2.0,,,,9.0,,,,,,
Fagner,Fagner,42500,CRU,283,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,4,1.72,Fagner Conserva Lemos,0.0,2,5.08,4,fagner,7,-0.89,,,,,,5.0,2.0,,,,,,,,,,,,,
Tite,Tite,45125,CRU,283,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,4,3.36,Adenor Leonardo Bachi,2.58,6,9.22,4,tite,7,-0.68,,,,,,,,,,,,,,,,,,,,
Gabriel Leite,G. Leite,50742,CFC,294,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CFC/FORMATO.png,0,0.0,Gabriel Christoni Leite,0.0,1,3.0,4,gabriel-leite,6,0.0,,,,,,,,,,,,,,,,,,,,
Walter,Walter,51413,MIR,2305,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,3,3.1,Walter Leandro Capeloza Artune,0.0,1,5.26,4,walter,6,0.0,,,,11.0,,,,,,,,,,5.0,,,,,,
Everton Ribeiro,E. Ribeiro,51772,BAH,265,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BAH/FORMATO.png,3,5.87,Everton Augusto de Barros Ribeiro,0.0,4,10.45,4,everton-ribeiro,7,0.0,1.0,,,,,5.0,3.0,1.0,1.0,8.0,,,,,,,,,,
Alex Sandro,A. Sandro,61987,FLA,262,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,2,2.75,Alex Sandro Lobo Silva,0.0,2,10.09,4,alex-sandro,7,0.0,,,,,,2.0,1.0,,1.0,4.0,,,,,,,,,,
Ganso,Ganso,62977,FLU,266,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,4,0.85,Paulo Henrique Chagas de Lima,2.2,4,4.53,4,ganso,6,-0.09,,,,,,2.0,2.0,,,2.0,,,,,,,,,,
Neymar,Neymar,63007,SAN,277,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAN/FORMATO.png,1,19.2,Neymar da Silva Santos Júnior,19.2,4,24.24,4,neymar,6,5.24,,1.0,,,,1.0,3.0,1.0,,5.0,,2.0,,,1.0,,,,,
