atletas.apelido,atletas.apelido_abreviado,atletas.atleta_id,atletas.clube.id.full.name,atletas.clube_id,atletas.craque,atletas.entrou_em_campo,atletas.foto,atletas.jogos_num,atletas.media_num,atletas.nome,atletas.pontos_num,atletas.posicao_id,atletas.preco_num,atletas.rodada_id,atletas.slug,atletas.status_id,atletas.variacao_num,A,CA,CV,DE,DP,DS,FC,FD,FF,FS,FT,G,GC,GS,I,PC,PP,PS,SG,V
Léo Condé,L. Condé,37457,REM,364,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/REM/FORMATO.png,14,4.69,Leonardo Rodrigues Condé,9.0,6,8.55,18,leo-conde,7,0.7,,,,,,,,,,,,,,,,,,,,4.0
Fábio,Fábio,37656,FLU,266,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,18,4.39,Fábio Deivson Lopes Maciel,1.6,1,9.11,18,fabio,6,-1.06,,1.0,,67.0,,,,,,4.0,,,,23.0,,1.0,,,3.0,
Hulk,Hulk,39148,FLU,266,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,12,4.55,Givanildo Vieira de Souza,0.0,5,11.8,18,hulk,6,0.0,3.0,1.0,,,,4.0,9.0,6.0,8.0,32.0,,1.0,,,3.0,,,,,
Alan Franco,A. Franco,39656,CAM,282,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,15,2.42,Alan Steven Franco Palma,0.0,4,4.99,18,alan-franco,6,0.0,1.0,3.0,,,,23.0,23.0,2.0,3.0,4.0,,,,,1.0,,,,,
Vagner Mancini,V. Mancini,39850,RBB,280,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/RBB/FORMATO.png,18,5.58,Vagner Carmo Mancini,6.18,6,8.78,18,vagner-mancini,6,-0.57,,,,,,,,,,,,,,,,,,,,9.0
Dorival Júnior,D. Júnior,40990,SAO,276,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,11,4.17,Dorival Silvestre Júnior,1.76,6,9.36,18,dorival-junior,7,-0.54,,,,,,,,,,,,,,,,,,,,1.0
Renato Gaúcho,R. Gaúcho,41929,VAS,267,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VAS/FORMATO.png,14,5.08,Renato Portaluppi,4.15,6,9.79,18,renato-gaucho,6,-0.12,,,,,,,,,,,,,,,,,,,,5.0
Willian,Willian,42135,GRE,284,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,8,1.06,Willian Borges da Silva,0.0,4,3.74,18,willian,6,0.0,,,,,,2.0,1.0,1.0,2.0,6.0,,,,,,,,,,
Osvaldo,Osvaldo,42222,VIT,287,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VIT/FORMATO.png,2,0.4,Osvaldo Lourenço Filho,0.0,5,4.07,18,osvaldo,6,-0.3,,,,,,,,,1.0,,,,,,,,,,,
Cássio,Cássio,42234,CRU,283,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,5,1.32,Cássio Roberto Ramos,0.0,1,6.89,18,cassio,5,0.0,,,,12.0,,,,,,2.0,,,,10.0,,,,,,
Cuca,Cuca,42411,SAN,277,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAN/FORMATO.png,11,5.62,Alexi Stival,7.36,6,10.35,18,cuca,6,0.28,,,,,,,,,,,,,,,,,,,,4.0
Fagner,Fagner,42500,CRU,283,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,12,2.46,Fagner Conserva Lemos,2.7,2,5.28,18,fagner,7,0.3,1.0,1.0,,,,12.0,15.0,,,4.0,,,,,,,,,2.0,
Gabriel Leite,G. Leite,50742,CFC,294,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CFC/FORMATO.png,0,0.0,Gabriel Christoni Leite,0.0,1,3.0,18,gabriel-leite,6,0.0,,,,,,,,,,,,,,,,,,,,
Walter,Walter,51413,MIR,2305,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,16,2.89,Walter Leandro Capeloza Artune,0.3,1,5.18,18,walter,6,-0.93,,2.0,,51.0,,,,,,,,,,22.0,,1.0,,,1.0,
Everton Ribeiro,E. Ribeiro,51772,BAH,265,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BAH/FORMATO.png,13,5.24,Everton Augusto de Barros Ribeiro,3.1,4,9.27,18,everton-ribeiro,7,-0.96,4.0,1.0,,,,20.0,10.0,4.0,5.0,27.0,,,,,,,,,,
Alex Sandro,A. Sandro,61987,FLA,262,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,12,3.74,Alex Sandro Lobo Silva,0.0,2,8.8,18,alex-sandro,2,0.0,,2.0,,,,13.0,15.0,,1.0,12.0,,,,,,,,,5.0,
Ganso,Ganso,62977,FLU,266,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,12,0.85,Paulo Henrique Chagas de Lima,0.0,4,3.27,18,ganso,6,0.0,,1.0,,,,4.0,5.0,1.0,,5.0,1.0,,,,,,,,,
Neymar,Neymar,63007,SAN,277,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAN/FORMATO.png,8,8.42,Neymar da Silva Santos Júnior,0.0,4,18.96,18,neymar,5,0.0,1.0,5.0,,,,5.0,12.0,5.0,10.0,36.0,,4.0,,,6.0,,,,,
Rafael Tolói,R. Tolói,63008,SAO,276,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,5,4.82,Rafael Toloi,0.0,3,8.24,18,rafael-toloi,7,0.0,,3.0,,,,11.0,8.0,1.0,1.0,2.0,,,,,,,,,2.0,
Marcos Rocha,M. Rocha,63013,GRE,284,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,4,0.8,Marcos Luis Rocha Aquino,1.2,2,5.95,18,marcos-rocha,6,-0.61,,,,,,2.0,1.0,,,1.0,,,,,,,,,,
Edenílson,Edenílson,63289,BOT,263,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BOT/FORMATO.png,14,3.2,Edenílson Andrade dos Santos,0.0,4,6.15,18,edenilson,6,0.0,2.0,1.0,,,,6.0,10.0,2.0,2.0,4.0,,3.0,,,1.0,,,,,
