atletas.apelido,atletas.apelido_abreviado,atletas.atleta_id,atletas.clube.id.full.name,atletas.clube_id,atletas.entrou_em_campo,atletas.foto,atletas.jogos_num,atletas.media_num,atletas.nome,atletas.pontos_num,atletas.posicao_id,atletas.preco_num,atletas.rodada_id,atletas.slug,atletas.status_id,atletas.variacao_num,A,CA,CV,DE,DP,DS,FC,FD,FF,FS,FT,G,GC,GS,I,PC,PP,PS,SG,V
Léo Condé,L. Condé,37457,REM,364,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/REM/FORMATO.png,12,4.37,Leonardo Rodrigues Condé,5.09,6,8.0,16,leo-conde,7,0.16,,,,,,,,,,,,,,,,,,,,3.0
Fábio,Fábio,37656,FLU,266,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,16,4.33,Fábio Deivson Lopes Maciel,6.8,1,9.97,16,fabio,7,0.99,,1.0,,58.0,,,,,,4.0,,,,21.0,,1.0,,,3.0,
Hulk,Hulk,39148,FLU,266,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,12,4.55,Givanildo Vieira de Souza,0.0,5,11.8,16,hulk,6,0.0,3.0,1.0,,,,4.0,9.0,6.0,8.0,32.0,,1.0,,,3.0,,,,,
Alan Franco,A. Franco,39656,CAM,282,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,14,2.53,Alan Steven Franco Palma,2.7,4,5.33,16,alan-franco,7,-0.4,1.0,3.0,,,,22.0,21.0,2.0,3.0,4.0,,,,,1.0,,,,,
Vagner Mancini,V. Mancini,39850,RBB,280,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/RBB/FORMATO.png,16,5.25,Vagner Carmo Mancini,7.34,6,8.84,16,vagner-mancini,7,0.72,,,,,,,,,,,,,,,,,,,,7.0
Dorival Júnior,D. Júnior,40990,SAO,276,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,9,4.51,Dorival Silvestre Júnior,0.0,6,9.96,16,dorival-junior,7,0.0,,,,,,,,,,,,,,,,,,,,1.0
Renato Gaúcho,R. Gaúcho,41929,VAS,267,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VAS/FORMATO.png,12,5.27,Renato Portaluppi,3.37,6,10.02,16,renato-gaucho,7,-0.9,,,,,,,,,,,,,,,,,,,,5.0
Willian,Willian,42135,GRE,284,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,8,1.06,Willian Borges da Silva,0.5,4,3.74,16,willian,6,-0.13,,,,,,2.0,1.0,1.0,2.0,6.0,,,,,,,,,,
Osvaldo,Osvaldo,42222,VIT,287,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VIT/FORMATO.png,1,0.8,Osvaldo Lourenço Filho,0.0,5,4.37,16,osvaldo,6,0.0,,,,,,,,,1.0,,,,,,,,,,,
Cássio,Cássio,42234,CRU,283,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,5,1.32,Cássio Roberto Ramos,0.0,1,6.89,16,cassio,5,0.0,,,,12.0,,,,,,2.0,,,,10.0,,,,,,
Cuca,Cuca,42411,SAN,277,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAN/FORMATO.png,9,5.51,Alexi Stival,2.73,6,9.9,16,cuca,7,-0.97,,,,,,,,,,,,,,,,,,,,3.0
Fagner,Fagner,42500,CRU,283,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,10,2.71,Fagner Conserva Lemos,1.4,2,5.4,16,fagner,6,-0.08,1.0,1.0,,,,10.0,13.0,,,4.0,,,,,,,,,2.0,
