atletas.apelido,atletas.apelido_abreviado,atletas.atleta_id,atletas.clube.id.full.name,atletas.clube_id,atletas.entrou_em_campo,atletas.foto,atletas.jogos_num,atletas.media_num,atletas.nome,atletas.pontos_num,atletas.posicao_id,atletas.preco_num,atletas.rodada_id,atletas.slug,atletas.status_id,atletas.variacao_num,A,CA,CV,DE,DP,DS,FC,FD,FF,FS,FT,G,GC,GS,I,PC,PP,PS,SG,V
Léo Condé,L. Condé,37457,REM,364,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/REM/FORMATO.png,4,4.06,Leonardo Rodrigues Condé,8.52,6,8.16,8,leo-conde,7,1.15,,,,,,,,,,,,,,,,,,,,1.0
Fábio,Fábio,37656,FLU,266,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,8,4.91,Fábio Deivson Lopes Maciel,10.2,1,10.91,8,fabio,7,1.53,,1.0,,26.0,,,,,,3.0,,,,9.0,,1.0,,,3.0,
Hulk,Hulk,39148,CAM,282,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,8,5.24,Givanildo Vieira de Souza,1.6,5,12.33,8,hulk,7,-0.66,2.0,1.0,,,,4.0,7.0,4.0,5.0,25.0,,1.0,,,3.0,,,,,
Alan Franco,A. Franco,39656,CAM,282,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,8,3.01,Alan Steven Franco Palma,1.2,4,5.46,8,alan-franco,7,-0.94,1.0,2.0,,,,12.0,12.0,2.0,3.0,4.0,,,,,1.0,,,,,
Vagner Mancini,V. Mancini,39850,RBB,280,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/RBB/FORMATO.png,8,4.52,Vagner Carmo Mancini,4.32,6,7.57,8,vagner-mancini,7,0.1,,,,,,,,,,,,,,,,,,,,2.0
Dorival Júnior,D. Júnior,40990,COR,264,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,7,4.96,Dorival Silvestre Júnior,3.78,6,10.44,8,dorival-junior,7,-0.33,,,,,,,,,,,,,,,,,,,,1.0
Renato Gaúcho,R. Gaúcho,41929,VAS,267,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VAS/FORMATO.png,4,6.17,Renato Portaluppi,5.87,6,10.97,8,renato-gaucho,7,-0.17,,,,,,,,,,,,,,,,,,,,3.0
Willian,Willian,42135,GRE,284,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,6,1.25,Willian Borges da Silva,0.0,4,3.93,8,willian,6,-0.38,,,,,,2.0,1.0,1.0,2.0,4.0,,,,,,,,,,
Osvaldo,Osvaldo,42222,VIT,287,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VIT/FORMATO.png,1,0.8,Osvaldo Lourenço Filho,0.0,5,4.37,8,osvaldo,6,0.0,,,,,,,,,1.0,,,,,,,,,,,
Cássio,Cássio,42234,CRU,283,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,5,1.32,Cássio Roberto Ramos,0.0,1,6.89,8,cassio,5,0.0,,,,12.0,,,,,,2.0,,,,10.0,,,,,,
Cuca,Cuca,42411,SAN,277,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAN/FORMATO.png,1,4.64,Alexi Stival,4.64,6,9.36,8,cuca,6,1.17,,,,,,,,,,,,,,,,,,,,
Fagner,Fagner,42500,CRU,283,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,5,1.16,Fagner Conserva Lemos,0.0,2,4.23,8,fagner,6,0.0,,1.0,,,,5.0,4.0,,,1.0,,,,,,,,,,
Gabriel Leite,G. Leite,50742,CFC,294,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CFC/FORMATO.png,0,0.0,Gabriel Christoni Leite,0.0,1,3.0,8,gabriel-leite,6,0.0,,,,,,,,,,,,,,,,,,,,
Walter,Walter,51413,MIR,2305,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,6,3.43,Walter Leandro Capeloza Artune,5.5,1,6.14,8,walter,7,0.58,,,,22.0,,,,,,,,,,8.0,,,,,,
Everton Ribeiro,E. Ribeiro,51772,BAH,265,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BAH/FORMATO.png,3,5.87,Everton Augusto de Barros Ribeiro,0.0,4,10.45,8,everton-ribeiro,6,0.0,1.0,,,,,5.0,3.0,1.0,1.0,8.0,,,,,,,,,,
Alex Sandro,A. Sandro,61987,FLA,262,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,6,4.72,Alex Sandro Lobo Silva,-1.3,2,9.42,8,alex-sandro,5,-1.78,,1.0,,,,8.0,5.0,,1.0,6.0,,,,,,,,,3.0,
Ganso,Ganso,62977,FLU,266,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,7,1.13,Paulo Henrique Chagas de Lima,0.0,4,3.89,8,ganso,6,-0.72,,,,,,3.0,2.0,,,2.0,1.0,,,,,,,,,
Neymar,Neymar,63007,SAN,277,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAN/FORMATO.png,3,10.77,Neymar da Silva Santos Júnior,0.0,4,22.63,8,neymar,7,0.0,,2.0,,,,2.0,5.0,2.0,2.0,10.0,,3.0,,,2.0,,,,,
Rafael Tolói,R. Tolói,63008,SAO,276,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,1,10.6,Rafael Toloi,0.0,3,8.5,8,rafael-toloi,6,0.0,,1.0,,,,4.0,2.0,1.0,,,,,,,,,,,1.0,
Marcos Rocha,M. Rocha,63013,GRE,284,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,1,0.0,Marcos Luis Rocha Aquino,0.0,2,7.36,8,marcos-rocha,6,0.0,,,,,,,,,,,,,,,,,,,,
Edenílson,Edenílson,63289,BOT,263,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BOT/FORMATO.png,5,2.08,Edenílson Andrade dos Santos,-1.3,4,5.48,8,edenilson,2,-0.85,,1.0,,,,2.0,3.0,,1.0,1.0,,1.0,,,,,,,,
Rodrigo Moledo,R. Moledo,63354,CFC,294,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CFC/FORMATO.png,0,0.0,Rodrigo Modesto da Silva Moledo,0.0,3,3.0,8,rodrigo-moledo,6,0.0,,,,,,,,,,,,,,,,,,,,
Alan Patrick,A. Patrick,68685,INT,285,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/INT/FORMATO.png,7,5.11,Alan Patrick Lourenço,12.5,4,9.27,8,alan-patrick,7,2.05,,,,,,5.0,5.0,1.0,7.0,14.0,,2.0,,,,,,,,
Eduardo,Eduardo,68708,MIR,2305,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,3,4.2,Carlos Eduardo de Oliveira Alves,0.0,4,6.9,8,eduardo,5,0.0,,,,,,1.0,6.0,2.0,,5.0,,1.0,,,,,,,,
Neto,Neto,68806,BOT,263,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BOT/FORMATO.png,3,4.43,Norberto Murara Neto,0.0,1,8.62,8,neto,6,0.0,,,,11.0,,,,,,,,,,6.0,,,,,1.0,
